episode,seed,method,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,7,MemDRL,29.641,47.466,29.035,0.6011,4.2482
2,7,MemDRL,32.163,45.27,29.103,0.61,3.9948
3,7,MemDRL,34.659,45.638,29.985,0.5992,3.9374
4,7,MemDRL,34.515,46.18,31.837,0.5952,4.0503
5,7,MemDRL,33.81,49.941,29.557,0.5751,4.1441
6,7,MemDRL,31.357,48.146,29.463,0.5741,4.1429
7,7,MemDRL,30.758,47.208,28.859,0.5839,4.089
8,7,MemDRL,31.522,47.525,27.751,0.5977,4.0103
9,7,MemDRL,30.517,47.022,26.758,0.581,4.0435
10,7,MemDRL,31.479,46.366,27.388,0.5877,4.1123
11,7,MemDRL,32.642,44.469,25.228,0.5805,4.1149
12,7,MemDRL,34.934,47.359,26.931,0.5881,4.1677
13,7,MemDRL,34.561,46.59,28.309,0.5911,4.1953
14,7,MemDRL,37.313,43.691,29.922,0.595,4.1062
15,7,MemDRL,35.56,46.486,30.719,0.5817,4.1132
16,7,MemDRL,36.276,45.468,30.624,0.5787,4.0794
17,7,MemDRL,36.416,43.992,31.119,0.5688,4.0957
18,7,MemDRL,36.175,43.025,31.294,0.5633,4.0625
19,7,MemDRL,37.485,43.743,32.787,0.5659,4.0323
20,7,MemDRL,39.816,43.771,32.021,0.5646,4.0073
21,7,MemDRL,41.873,43.788,34.149,0.5873,3.9453
22,7,MemDRL,38.793,44.874,34.317,0.5766,4.0298
23,7,MemDRL,38.717,43.569,30.58,0.5695,4.0334
24,7,MemDRL,36.63,45.163,30.788,0.5495,4.1199
25,7,MemDRL,38.13,47.109,30.159,0.5686,4.1222
26,7,MemDRL,37.762,46.726,29.318,0.557,4.1281
27,7,MemDRL,40.145,46.119,29.508,0.5697,4.0652
28,7,MemDRL,40.355,48.509,29.552,0.5542,4.069
29,7,MemDRL,39.609,48.111,31.541,0.5528,4.1366
30,7,MemDRL,39.312,47.795,30.628,0.545,4.1174
31,7,MemDRL,38.719,46.85,31.849,0.5581,4.0522
32,7,MemDRL,38.405,46.048,31.82,0.5401,4.2189
33,7,MemDRL,38.377,45.201,32.033,0.5526,4.225
34,7,MemDRL,35.442,46.585,29.733,0.5514,4.2284
35,7,MemDRL,38.576,45.869,31.025,0.5746,4.041
36,7,MemDRL,38.078,44.568,32.206,0.5706,4.0299
37,7,MemDRL,34.645,46.27,33.32,0.5635,4.127
38,7,MemDRL,36.09,48.106,35.188,0.5737,4.0878
39,7,MemDRL,35.419,49.475,35.656,0.5572,4.1699
40,7,MemDRL,38.461,48.95,34.504,0.5624,4.1533
41,7,MemDRL,40.591,46.402,32.272,0.5566,4.037
42,7,MemDRL,40.352,44.668,30.234,0.5688,4.0354
43,7,MemDRL,40.516,41.424,29.81,0.5864,4.0161
44,7,MemDRL,37.075,43.816,29.351,0.5879,4.0491
45,7,MemDRL,33.122,42.485,29.379,0.5923,4.139
46,7,MemDRL,33.587,46.066,30.981,0.603,4.1732
47,7,MemDRL,32.733,45.862,30.794,0.6011,4.2071
48,7,MemDRL,34.607,45.05,28.752,0.6163,4.1735
49,7,MemDRL,35.178,44.562,30.928,0.5851,4.1766
50,7,MemDRL,35.561,44.005,30.361,0.5961,4.1545
51,7,MemDRL,35.54,45.213,29.109,0.6186,4.0201
52,7,MemDRL,35.771,44.608,28.961,0.6198,4.1411
53,7,MemDRL,36.042,44.239,30.127,0.6353,4.2148
54,7,MemDRL,34.98,44.22,31.145,0.6105,4.2661
55,7,MemDRL,33.669,46.144,31.352,0.5854,4.3168
56,7,MemDRL,36.789,43.108,30.471,0.5903,4.2237
57,7,MemDRL,35.919,45.233,28.824,0.6049,4.1355
58,7,MemDRL,37.084,43.38,29.388,0.6076,4.0203
59,7,MemDRL,35.717,45.071,29.03,0.6037,4.2022
60,7,MemDRL,36.3,46.52,28.275,0.5995,4.1399
61,7,MemDRL,39.45,45.567,27.364,0.6208,4.1757
62,7,MemDRL,35.432,45.747,27.863,0.6145,4.2851
63,7,MemDRL,35.622,44.564,27.716,0.6074,4.242
64,7,MemDRL,36.386,46.725,28.73,0.6164,4.2816
65,7,MemDRL,34.387,45.306,28.009,0.6144,4.2639
66,7,MemDRL,37.879,42.953,26.375,0.6327,4.2008
67,7,MemDRL,35.999,42.512,25.85,0.6285,4.2251
68,7,MemDRL,35.283,43.291,27.506,0.6305,4.1699
69,7,MemDRL,33.771,43.352,27.805,0.633,4.2394
70,7,MemDRL,37.551,42.352,27.432,0.6255,4.1254
71,7,MemDRL,31.979,42.539,27.227,0.6097,4.2029
72,7,MemDRL,31.198,45.422,29.164,0.62,4.1378
73,7,MemDRL,31.311,44.684,28.403,0.6158,4.164
74,7,MemDRL,32.466,45.205,26.256,0.5969,4.2015
75,7,MemDRL,33.462,42.348,27.796,0.5968,4.1366
76,7,MemDRL,32.113,44.439,27.643,0.5929,4.2185
77,7,MemDRL,32.688,42.279,30.484,0.5866,4.2286
78,7,MemDRL,35.027,41.895,29.101,0.6009,4.1179
79,7,MemDRL,32.774,40.557,28.881,0.6014,4.247
80,7,MemDRL,31.779,40.581,27.817,0.5968,4.3286
81,7,MemDRL,34.505,38.7,28.133,0.6099,4.2847
82,7,MemDRL,36.22,39.533,28.021,0.6036,4.323
83,7,MemDRL,37.032,39.844,27.715,0.6272,4.2931
84,7,MemDRL,36.552,40.804,28.451,0.6099,4.2715
85,7,MemDRL,35.497,42.739,30.195,0.5894,4.3336
86,7,MemDRL,34.129,44.27,30.305,0.6014,4.2864
87,7,MemDRL,32.19,46.438,32.375,0.5977,4.3707
88,7,MemDRL,30.978,46.49,31.551,0.6012,4.3179
89,7,MemDRL,30.532,46.248,32.691,0.578,4.2552
90,7,MemDRL,30.523,44.774,31.084,0.5666,4.1564
91,7,MemDRL,30.253,44.283,29.264,0.5352,4.16
92,7,MemDRL,28.884,45.973,31.206,0.5487,4.1003
93,7,MemDRL,33.0,45.173,31.07,0.5642,4.1743
94,7,MemDRL,33.809,45.892,32.896,0.5544,4.2132
95,7,MemDRL,32.006,44.083,31.263,0.5767,4.13
96,7,MemDRL,32.523,44.931,29.46,0.5563,4.1105
97,7,MemDRL,34.413,43.076,31.165,0.5537,4.1333
98,7,MemDRL,33.709,46.554,33.339,0.5367,4.1765
99,7,MemDRL,36.521,44.864,33.884,0.5623,4.1106
100,7,MemDRL,36.915,46.1,33.622,0.5725,4.0886
101,7,MemDRL,35.985,47.553,33.014,0.5752,4.0816
102,7,MemDRL,38.397,46.841,30.36,0.5804,4.0328
103,7,MemDRL,36.503,51.045,31.932,0.5479,4.1412
104,7,MemDRL,36.341,49.404,30.892,0.5634,4.1156
105,7,MemDRL,34.941,49.325,30.169,0.5601,4.0458
106,7,MemDRL,38.165,48.032,27.741,0.5582,3.9395
107,7,MemDRL,37.794,45.907,30.684,0.5601,3.9963
108,7,MemDRL,37.697,44.871,29.438,0.5626,4.0076
109,7,MemDRL,36.849,48.651,29.478,0.5645,4.0885
110,7,MemDRL,36.06,47.212,29.831,0.5678,4.1571
111,7,MemDRL,36.658,46.944,29.28,0.5722,4.194
112,7,MemDRL,36.253,45.019,28.092,0.5969,4.164
113,7,MemDRL,36.534,47.536,25.399,0.5894,4.094
114,7,MemDRL,37.396,45.487,24.738,0.5812,4.1415
115,7,MemDRL,36.994,44.307,26.258,0.5776,4.1057
116,7,MemDRL,36.117,46.843,27.781,0.5813,4.1292
117,7,MemDRL,36.819,48.636,30.361,0.5642,4.1821
118,7,MemDRL,37.359,49.584,29.675,0.5881,4.1737
119,7,MemDRL,38.975,46.104,25.941,0.6011,4.1593
120,7,MemDRL,38.514,46.459,27.638,0.5904,4.2157
121,7,MemDRL,37.859,46.762,28.489,0.5828,4.2402
122,7,MemDRL,36.907,46.216,28.167,0.5817,4.2319
123,7,MemDRL,40.559,44.046,31.168,0.5714,4.2093
124,7,MemDRL,41.399,44.381,33.421,0.5579,4.2597
125,7,MemDRL,39.844,44.317,32.568,0.5648,4.2934
126,7,MemDRL,44.144,43.061,32.167,0.5682,4.1454
127,7,MemDRL,40.297,43.803,33.852,0.5478,4.261
128,7,MemDRL,40.858,46.328,33.617,0.536,4.1373
129,7,MemDRL,40.064,47.438,32.856,0.5493,4.0488
130,7,MemDRL,38.285,49.471,32.285,0.5177,4.2761
131,7,MemDRL,36.697,47.869,33.128,0.5143,4.274
132,7,MemDRL,41.028,49.365,31.551,0.5353,4.1396
133,7,MemDRL,39.933,49.937,29.687,0.5336,4.2102
134,7,MemDRL,36.88,49.195,29.413,0.5401,4.21
135,7,MemDRL,38.581,48.787,26.184,0.5722,4.0946
136,7,MemDRL,35.436,48.66,25.239,0.5916,4.0659
137,7,MemDRL,33.994,46.427,25.193,0.5882,4.1022
138,7,MemDRL,34.299,46.631,26.213,0.5922,4.0664
139,7,MemDRL,36.32,45.135,26.683,0.6073,3.938
