episode,seed,method,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,6,NavRL,38.369,45.723,25.079,0.5855,3.9822
2,6,NavRL,32.424,47.586,28.177,0.5874,4.2509
3,6,NavRL,34.438,46.428,27.951,0.6242,4.1379
4,6,NavRL,34.488,45.823,26.785,0.6086,4.0555
5,6,NavRL,31.724,45.267,26.97,0.6239,4.1327
6,6,NavRL,33.312,42.365,27.628,0.6236,4.0385
7,6,NavRL,31.781,43.405,28.048,0.6276,3.9996
8,6,NavRL,34.716,45.302,27.013,0.6269,4.0563
9,6,NavRL,35.289,45.472,27.865,0.645,3.9521
10,6,NavRL,33.346,45.411,26.947,0.6101,4.0583
11,6,NavRL,33.322,46.439,24.889,0.6062,4.0667
12,6,NavRL,36.891,45.297,24.981,0.5868,3.9991
13,6,NavRL,36.736,46.361,27.807,0.5882,3.9656
14,6,NavRL,38.384,46.045,27.819,0.6032,3.8746
15,6,NavRL,37.263,49.72,26.967,0.6041,3.8083
16,6,NavRL,37.943,46.963,26.788,0.6213,3.8153
17,6,NavRL,38.052,48.248,26.173,0.6192,3.9192
18,6,NavRL,36.409,48.532,26.818,0.6166,3.9134
19,6,NavRL,40.05,46.259,26.85,0.6219,3.8713
20,6,NavRL,42.11,44.817,27.488,0.646,3.7853
21,6,NavRL,40.944,44.378,30.061,0.6259,3.728
22,6,NavRL,42.203,46.697,29.31,0.616,3.7612
23,6,NavRL,41.974,44.576,29.947,0.6175,3.6723
24,6,NavRL,41.596,48.196,29.315,0.6042,3.711
25,6,NavRL,41.594,48.652,30.273,0.5926,3.6056
26,6,NavRL,41.995,49.927,28.909,0.6027,3.6021
27,6,NavRL,40.489,46.189,28.598,0.5872,3.6464
28,6,NavRL,41.922,44.171,30.106,0.5718,3.6907
29,6,NavRL,42.493,44.929,29.797,0.5601,3.6646
30,6,NavRL,40.804,44.94,32.505,0.5863,3.6383
31,6,NavRL,43.549,43.723,28.25,0.5618,3.6058
32,6,NavRL,39.933,42.525,28.259,0.5653,3.6556
33,6,NavRL,41.315,41.612,27.497,0.5868,3.7126
34,6,NavRL,40.363,39.674,25.238,0.5944,3.761
35,6,NavRL,40.153,41.256,24.605,0.5913,3.8727
36,6,NavRL,41.576,42.025,23.876,0.6086,3.9349
37,6,NavRL,41.582,42.642,24.609,0.597,3.8322
38,6,NavRL,42.255,42.331,25.239,0.6165,3.8932
39,6,NavRL,44.431,40.968,25.826,0.6188,3.7845
40,6,NavRL,41.972,44.483,26.321,0.6061,3.87
41,6,NavRL,38.748,46.62,27.111,0.5979,3.9712
42,6,NavRL,36.774,44.598,25.43,0.6029,4.0448
43,6,NavRL,38.074,42.419,26.219,0.634,4.0449
44,6,NavRL,36.579,41.744,25.347,0.6178,3.9817
45,6,NavRL,36.944,41.949,29.344,0.6236,3.8562
46,6,NavRL,34.583,46.712,29.106,0.6063,3.9768
47,6,NavRL,39.208,45.716,26.354,0.6248,3.8721
48,6,NavRL,38.552,45.935,25.854,0.6254,3.85
49,6,NavRL,37.781,46.576,26.589,0.5965,3.9053
50,6,NavRL,38.025,43.969,25.153,0.5978,3.8308
51,6,NavRL,39.889,44.667,24.058,0.6,3.8404
52,6,NavRL,43.211,42.813,20.334,0.6222,3.8384
53,6,NavRL,40.61,44.342,22.624,0.6068,3.8602
54,6,NavRL,41.815,42.519,25.08,0.6165,3.86
