episode,seed,method,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,5,STARNav,30.586,41.175,25.213,0.5738,4.0571
2,5,STARNav,31.028,40.578,27.412,0.5853,4.1548
3,5,STARNav,33.905,38.479,27.711,0.5855,4.0974
4,5,STARNav,34.571,41.285,29.523,0.5993,4.0629
5,5,STARNav,33.386,41.773,27.932,0.5926,3.9989
6,5,STARNav,32.032,38.957,26.351,0.5908,4.0692
7,5,STARNav,32.231,37.583,25.686,0.6045,4.1041
8,5,STARNav,29.971,39.526,26.649,0.5977,4.0746
9,5,STARNav,31.048,40.986,29.799,0.5736,4.0234
10,5,STARNav,32.316,39.979,28.271,0.5946,4.0107
11,5,STARNav,32.458,40.626,27.18,0.5891,3.9876
12,5,STARNav,34.437,41.005,29.254,0.5912,4.0048
13,5,STARNav,37.285,39.972,29.826,0.593,4.0054
14,5,STARNav,38.183,37.421,29.686,0.6076,4.032
15,5,STARNav,38.246,38.336,30.16,0.6033,4.1692
16,5,STARNav,37.534,41.169,28.406,0.5976,4.2109
17,5,STARNav,36.844,40.147,28.385,0.5803,4.1689
18,5,STARNav,39.378,39.538,32.301,0.5743,4.1642
19,5,STARNav,39.395,38.832,30.452,0.5778,3.9712
20,5,STARNav,38.407,37.937,31.417,0.5775,4.1849
21,5,STARNav,38.572,40.995,30.616,0.5737,4.2066
22,5,STARNav,37.424,42.815,30.543,0.5588,4.3507
23,5,STARNav,39.186,44.688,27.458,0.5796,4.3088
24,5,STARNav,37.294,44.084,27.404,0.5925,4.2885
25,5,STARNav,36.248,41.997,28.324,0.6289,4.222
26,5,STARNav,30.775,43.808,30.402,0.6027,4.4383
27,5,STARNav,31.247,44.523,31.238,0.5883,4.317
28,5,STARNav,30.967,43.891,29.377,0.6123,4.3772
29,5,STARNav,30.385,43.275,29.736,0.6041,4.4117
30,5,STARNav,31.65,41.406,30.41,0.6145,4.2614
31,5,STARNav,33.856,43.195,29.231,0.6117,4.2825
32,5,STARNav,33.659,43.98,32.673,0.6193,4.2983
33,5,STARNav,36.858,43.313,30.646,0.6358,4.1363
34,5,STARNav,37.779,42.872,30.077,0.6219,4.16
35,5,STARNav,33.486,46.189,29.961,0.5951,4.1953
36,5,STARNav,38.884,43.715,30.174,0.6206,4.0467
37,5,STARNav,36.164,46.001,29.203,0.5852,4.2534
38,5,STARNav,36.453,46.552,30.509,0.5777,4.3869
39,5,STARNav,37.395,48.604,30.417,0.5789,4.4188
40,5,STARNav,40.053,46.827,29.777,0.5863,4.3691
41,5,STARNav,39.397,48.158,29.239,0.594,4.2451
42,5,STARNav,39.112,47.48,27.755,0.5733,4.1356
43,5,STARNav,39.785,45.896,28.565,0.5807,4.1309
44,5,STARNav,34.487,45.724,28.184,0.5611,4.2077
45,5,STARNav,31.552,46.16,28.998,0.5665,4.2862
46,5,STARNav,32.809,42.986,29.186,0.5676,4.3598
47,5,STARNav,33.751,43.839,28.542,0.5895,4.2836
48,5,STARNav,38.913,41.588,29.63,0.6051,4.1332
49,5,STARNav,37.709,40.945,32.586,0.6046,4.2801
50,5,STARNav,40.441,42.165,32.157,0.5969,4.1663
51,5,STARNav,38.635,43.685,34.438,0.595,4.1639
52,5,STARNav,39.911,41.657,31.996,0.6007,4.165
53,5,STARNav,37.102,43.235,33.234,0.5978,4.1769
54,5,STARNav,38.472,43.769,32.797,0.5703,4.1648
55,5,STARNav,36.495,42.73,29.88,0.5704,4.1688
56,5,STARNav,37.333,39.509,28.303,0.5844,4.0479
57,5,STARNav,35.802,42.078,28.593,0.5882,4.1162
58,5,STARNav,34.269,44.946,24.634,0.58,4.1057
59,5,STARNav,37.311,42.82,22.94,0.6009,4.0561
60,5,STARNav,34.56,44.489,22.487,0.5634,4.0601
61,5,STARNav,34.334,43.862,21.598,0.5677,4.0606
62,5,STARNav,35.417,44.781,23.98,0.5816,4.1918
63,5,STARNav,35.957,42.301,25.756,0.5709,4.0603
