episode,seed,method,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,7,TD3,35.13,41.827,32.703,0.5508,4.2319
2,7,TD3,36.415,42.297,31.37,0.5571,4.1478
3,7,TD3,36.506,43.953,30.549,0.551,4.2281
4,7,TD3,34.19,44.419,30.35,0.5386,4.2933
5,7,TD3,35.195,43.87,30.23,0.5425,4.2162
6,7,TD3,33.336,45.958,32.749,0.5458,4.3836
7,7,TD3,32.575,47.776,35.612,0.5393,4.2698
8,7,TD3,32.27,46.887,36.239,0.5529,4.2675
9,7,TD3,29.804,45.62,37.175,0.5348,4.2786
10,7,TD3,32.037,44.726,34.397,0.5575,4.2389
11,7,TD3,31.286,44.747,34.524,0.5578,4.2124
12,7,TD3,32.33,45.81,35.433,0.5132,4.3134
13,7,TD3,34.096,46.915,32.358,0.4913,4.388
14,7,TD3,37.711,46.15,31.687,0.5395,4.262
15,7,TD3,35.219,47.549,34.18,0.5217,4.3543
16,7,TD3,38.629,47.197,31.725,0.5393,4.3566
17,7,TD3,36.291,45.225,32.152,0.5356,4.3238
18,7,TD3,34.037,43.363,35.529,0.5336,4.4548
19,7,TD3,33.305,46.79,33.79,0.5352,4.5191
20,7,TD3,33.652,46.146,34.779,0.5306,4.5062
21,7,TD3,32.426,47.001,34.48,0.5527,4.5159
22,7,TD3,33.409,45.402,36.171,0.5397,4.431
23,7,TD3,31.471,46.392,35.375,0.5392,4.4626
24,7,TD3,30.351,45.626,34.697,0.533,4.432
25,7,TD3,30.075,44.321,33.778,0.5179,4.3556
26,7,TD3,33.005,46.519,34.762,0.5205,4.4134
27,7,TD3,34.896,46.389,33.132,0.5148,4.3768
28,7,TD3,35.862,46.88,33.593,0.5263,4.3884
29,7,TD3,35.604,47.105,31.595,0.5384,4.4482
30,7,TD3,34.398,46.055,33.053,0.5634,4.3371
31,7,TD3,32.2,45.412,33.239,0.5367,4.3849
32,7,TD3,30.387,45.784,30.784,0.5348,4.4652
33,7,TD3,31.228,45.564,31.916,0.5305,4.495
34,7,TD3,31.646,45.661,31.262,0.5164,4.4592
35,7,TD3,29.693,47.422,32.904,0.5324,4.4614
36,7,TD3,29.591,47.51,32.644,0.5272,4.4488
37,7,TD3,28.644,48.12,33.893,0.5321,4.3802
38,7,TD3,31.284,48.542,32.541,0.546,4.3386
39,7,TD3,31.546,49.261,31.026,0.5452,4.2599
40,7,TD3,31.837,48.377,30.977,0.5523,4.1677
41,7,TD3,29.667,50.853,32.098,0.5302,4.2595
42,7,TD3,29.466,50.316,31.745,0.5275,4.2439
43,7,TD3,27.353,48.755,31.376,0.5325,4.2642
44,7,TD3,25.066,48.756,30.87,0.5265,4.3316
45,7,TD3,25.771,46.758,30.558,0.5291,4.4157
46,7,TD3,28.398,44.437,29.748,0.5587,4.4033
47,7,TD3,27.241,44.156,31.045,0.541,4.4685
48,7,TD3,28.092,43.083,29.825,0.541,4.4597
49,7,TD3,29.569,44.179,30.343,0.5539,4.3073
50,7,TD3,31.489,46.353,30.499,0.5757,4.324
51,7,TD3,32.476,47.101,30.624,0.571,4.4241
52,7,TD3,32.367,45.109,29.357,0.5831,4.3425
53,7,TD3,28.147,47.421,30.409,0.5524,4.4162
54,7,TD3,31.759,47.505,32.373,0.5605,4.3319
55,7,TD3,32.544,49.277,31.596,0.5337,4.4086
56,7,TD3,34.969,48.555,32.321,0.542,4.4058
57,7,TD3,31.975,49.624,31.725,0.5261,4.4056
58,7,TD3,34.35,48.873,29.555,0.5558,4.3142
59,7,TD3,33.629,47.867,29.882,0.5641,4.2641
60,7,TD3,32.979,45.815,30.291,0.5438,4.3158
61,7,TD3,31.648,43.656,30.17,0.5488,4.3286
62,7,TD3,30.147,44.51,30.537,0.5477,4.4066
63,7,TD3,31.039,44.779,31.788,0.5613,4.3744
64,7,TD3,30.26,46.241,32.225,0.5374,4.3804
65,7,TD3,31.995,47.144,29.16,0.5487,4.3123
66,7,TD3,31.642,48.183,28.06,0.5153,4.4496
67,7,TD3,30.051,47.456,27.656,0.51,4.4457
68,7,TD3,29.208,48.365,27.678,0.5022,4.4761
69,7,TD3,31.595,47.844,29.086,0.501,4.4151
70,7,TD3,30.606,48.107,28.895,0.4916,4.4572
71,7,TD3,30.566,46.481,28.419,0.4992,4.4321
72,7,TD3,30.387,47.399,28.911,0.5203,4.4192
73,7,TD3,29.221,46.235,27.821,0.5284,4.5091
74,7,TD3,28.938,46.888,28.691,0.5372,4.4893
75,7,TD3,31.238,44.195,27.933,0.5452,4.507
76,7,TD3,32.371,46.291,27.071,0.5526,4.4841
77,7,TD3,31.377,43.027,25.666,0.5557,4.3703
78,7,TD3,30.037,47.312,26.084,0.5486,4.3777
79,7,TD3,30.595,46.05,25.573,0.5513,4.4304
80,7,TD3,31.463,45.405,25.555,0.5427,4.5051
81,7,TD3,32.113,46.635,27.844,0.5572,4.6133
82,7,TD3,36.076,44.755,25.763,0.5495,4.4354
83,7,TD3,34.906,45.869,27.792,0.5676,4.3105
84,7,TD3,34.649,44.895,27.557,0.5561,4.2127
85,7,TD3,33.263,45.462,26.525,0.5335,4.2452
86,7,TD3,35.651,44.903,27.713,0.5577,4.1602
87,7,TD3,33.849,48.265,27.866,0.5624,4.1512
88,7,TD3,33.388,47.114,28.187,0.5553,4.1552
89,7,TD3,34.005,46.616,27.312,0.525,4.3059
90,7,TD3,34.499,47.553,29.242,0.5391,4.2809
91,7,TD3,36.84,47.032,26.643,0.5604,4.1377
92,7,TD3,38.098,44.753,25.407,0.5591,4.0437
93,7,TD3,37.092,46.742,28.298,0.5466,4.1651
94,7,TD3,37.785,45.113,29.554,0.5819,4.2105
95,7,TD3,35.214,45.565,28.756,0.5851,4.1823
96,7,TD3,34.447,44.611,29.886,0.5742,4.2137
97,7,TD3,35.788,44.181,29.883,0.5404,4.1723
98,7,TD3,34.347,44.121,28.589,0.5469,4.1642
99,7,TD3,34.309,45.208,31.103,0.5442,4.0558
100,7,TD3,33.618,44.585,31.26,0.5638,4.0413
101,7,TD3,35.381,45.962,31.923,0.5566,4.1127
102,7,TD3,32.977,47.215,31.892,0.5592,4.2115
103,7,TD3,35.523,45.955,31.027,0.5681,4.058
104,7,TD3,35.286,45.108,30.835,0.5814,4.0569
105,7,TD3,40.852,44.359,30.597,0.5812,3.9294
106,7,TD3,40.264,41.829,32.053,0.5634,4.0898
107,7,TD3,42.573,41.898,31.967,0.577,4.1604
108,7,TD3,45.229,40.846,30.701,0.5813,4.0384
109,7,TD3,42.064,45.265,29.226,0.5544,4.0726
110,7,TD3,44.933,44.305,28.729,0.5577,3.9599
111,7,TD3,44.278,45.896,31.472,0.5786,3.9233
112,7,TD3,41.447,44.974,32.671,0.5696,3.9607
113,7,TD3,40.636,45.358,32.251,0.5635,4.0183
114,7,TD3,39.487,47.271,30.806,0.5498,4.1366
115,7,TD3,39.593,49.632,34.241,0.5568,3.9459
116,7,TD3,39.229,47.757,32.429,0.5589,3.9506
117,7,TD3,37.332,47.459,31.831,0.5489,4.0272
118,7,TD3,39.014,49.272,30.299,0.5523,3.9954
119,7,TD3,38.143,50.76,30.399,0.5518,4.091
120,7,TD3,39.876,49.688,27.652,0.5871,4.0801
121,7,TD3,39.979,49.939,28.306,0.5675,4.1138
122,7,TD3,39.446,48.061,29.27,0.5772,4.1061
123,7,TD3,40.568,47.14,26.397,0.594,4.0721
124,7,TD3,36.446,47.826,28.475,0.5869,4.2132
125,7,TD3,37.093,47.022,25.85,0.59,4.127
126,7,TD3,36.835,46.481,27.628,0.5959,4.0226
127,7,TD3,36.222,46.23,26.83,0.604,4.1031
128,7,TD3,33.237,46.474,27.462,0.5975,4.1546
129,7,TD3,33.585,44.916,29.195,0.5996,4.1169
130,7,TD3,35.237,45.846,28.962,0.593,4.1537
131,7,TD3,33.735,49.517,29.066,0.5844,4.091
132,7,TD3,37.009,49.604,30.671,0.5796,4.0615
133,7,TD3,38.2,47.807,28.973,0.5846,4.0186
134,7,TD3,37.378,47.264,29.275,0.5998,4.0692
