episode,seed,method,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,7,ViTPPO,32.179,48.118,30.048,0.5396,4.1749
2,7,ViTPPO,34.438,47.696,28.489,0.5411,4.1046
3,7,ViTPPO,34.581,48.119,29.228,0.5498,4.0386
4,7,ViTPPO,34.662,46.988,26.05,0.5386,3.9805
5,7,ViTPPO,34.82,47.742,27.113,0.54,3.9963
6,7,ViTPPO,33.342,48.964,27.741,0.5162,3.9998
7,7,ViTPPO,36.622,48.999,28.926,0.5304,4.0168
8,7,ViTPPO,34.172,50.758,28.18,0.5106,4.0934
9,7,ViTPPO,33.398,50.336,27.073,0.5034,4.0955
10,7,ViTPPO,35.162,49.577,26.107,0.5111,4.1145
11,7,ViTPPO,32.941,49.371,30.704,0.5238,4.2154
12,7,ViTPPO,39.257,44.795,30.46,0.5515,4.0747
13,7,ViTPPO,39.302,47.162,29.964,0.5478,4.0106
14,7,ViTPPO,38.43,47.989,30.753,0.5484,4.0927
15,7,ViTPPO,40.015,45.697,30.15,0.5814,3.9755
16,7,ViTPPO,41.352,48.453,29.174,0.5657,4.1083
17,7,ViTPPO,39.962,47.748,29.439,0.5728,4.0416
18,7,ViTPPO,37.16,46.733,30.121,0.5472,4.115
19,7,ViTPPO,39.647,46.454,29.774,0.559,4.0123
20,7,ViTPPO,39.963,44.085,29.442,0.5543,4.1006
21,7,ViTPPO,36.052,45.217,30.758,0.5604,4.2482
22,7,ViTPPO,34.559,45.197,28.39,0.5625,4.1703
23,7,ViTPPO,35.719,45.661,29.262,0.5698,4.0625
24,7,ViTPPO,34.178,45.198,29.043,0.5693,4.1036
25,7,ViTPPO,32.986,45.586,30.086,0.5617,4.1173
26,7,ViTPPO,36.38,43.809,28.788,0.5814,3.9832
27,7,ViTPPO,34.407,45.161,29.445,0.5773,3.9668
28,7,ViTPPO,35.324,43.905,30.017,0.5681,3.937
29,7,ViTPPO,34.268,43.481,31.975,0.5735,3.875
30,7,ViTPPO,36.578,44.825,30.612,0.5671,3.8879
31,7,ViTPPO,35.369,48.19,30.986,0.5313,4.0475
32,7,ViTPPO,36.759,47.596,31.164,0.537,3.9791
33,7,ViTPPO,33.817,48.213,32.342,0.5296,3.9714
34,7,ViTPPO,40.529,47.155,32.015,0.5413,3.7976
35,7,ViTPPO,39.23,48.085,33.588,0.5191,3.877
36,7,ViTPPO,37.552,47.424,30.215,0.5267,3.8028
37,7,ViTPPO,37.299,47.58,34.103,0.53,3.7495
38,7,ViTPPO,38.25,47.721,33.493,0.5457,3.76
39,7,ViTPPO,39.26,47.006,31.917,0.5594,3.8264
40,7,ViTPPO,38.613,47.368,33.291,0.5565,3.8493
41,7,ViTPPO,38.363,45.795,32.762,0.5564,3.9337
42,7,ViTPPO,39.858,45.915,31.025,0.5697,3.8274
43,7,ViTPPO,37.958,46.087,30.944,0.5642,3.9216
44,7,ViTPPO,35.95,45.15,31.477,0.5529,4.085
45,7,ViTPPO,37.318,45.643,30.418,0.5575,4.0671
46,7,ViTPPO,34.327,48.799,32.085,0.5569,4.1695
47,7,ViTPPO,35.64,46.2,30.847,0.5771,4.1543
48,7,ViTPPO,36.266,46.059,30.859,0.5793,4.1279
