episode,seed,method,scenario,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,3,STARNav,B,28.591,46.204,30.979,0.3433,3.3145
2,3,STARNav,B,27.522,45.738,31.141,0.3535,3.3186
3,3,STARNav,B,28.41,45.163,30.738,0.3843,3.361
4,3,STARNav,B,26.98,42.442,30.81,0.3714,3.3727
5,3,STARNav,B,25.296,43.662,31.4,0.3544,3.2454
6,3,STARNav,B,25.33,45.244,32.843,0.3554,3.2633
7,3,STARNav,B,26.374,46.139,34.571,0.3852,3.2942
8,3,STARNav,B,25.196,45.676,33.938,0.3702,3.2268
9,3,STARNav,B,24.823,42.41,32.84,0.3718,3.2787
10,3,STARNav,B,27.094,42.443,33.393,0.3664,3.2721
11,3,STARNav,B,27.227,42.98,34.078,0.3634,3.2949
12,3,STARNav,B,24.928,43.551,35.44,0.3575,3.3544
13,3,STARNav,B,24.854,42.67,33.363,0.3557,3.3562
14,3,STARNav,B,26.235,42.785,32.224,0.3545,3.3072
15,3,STARNav,B,28.374,42.872,31.391,0.3534,3.2722
16,3,STARNav,B,28.937,41.806,31.471,0.3496,3.2623
17,3,STARNav,B,28.194,41.34,30.947,0.3436,3.2656
18,3,STARNav,B,27.952,40.972,31.914,0.34,3.1876
19,3,STARNav,B,27.927,41.348,30.221,0.3483,3.1996
20,3,STARNav,B,27.511,41.432,33.988,0.3436,3.2589
21,3,STARNav,B,26.845,41.502,34.799,0.3473,3.2551
22,3,STARNav,B,28.357,39.712,32.728,0.3301,3.2399
23,3,STARNav,B,28.627,41.406,31.228,0.3372,3.1823
24,3,STARNav,B,28.999,42.488,31.294,0.3457,3.1916
25,3,STARNav,B,28.508,41.533,31.018,0.3536,3.1248
26,3,STARNav,B,29.115,41.672,30.21,0.3452,3.1866
27,3,STARNav,B,27.279,41.649,29.975,0.347,3.3273
28,3,STARNav,B,29.223,42.429,30.661,0.3471,3.2399
29,3,STARNav,B,29.862,43.183,30.638,0.3372,3.2374
30,3,STARNav,B,31.246,42.959,32.186,0.3451,3.3212
31,3,STARNav,B,32.036,40.889,31.109,0.3656,3.3061
32,3,STARNav,B,30.85,42.016,35.147,0.3635,3.322
33,3,STARNav,B,31.679,44.04,35.109,0.3801,3.4143
34,3,STARNav,B,34.234,44.388,35.006,0.375,3.4552
35,3,STARNav,B,31.518,43.702,34.122,0.3589,3.4571
36,3,STARNav,B,32.763,43.455,34.202,0.3659,3.4822
37,3,STARNav,B,30.828,43.039,33.576,0.3701,3.4686
38,3,STARNav,B,31.286,45.279,33.597,0.3771,3.4849
39,3,STARNav,B,30.209,46.169,32.313,0.3802,3.4339
40,3,STARNav,B,29.255,46.811,31.761,0.3762,3.4721
41,3,STARNav,B,26.102,46.69,32.591,0.3827,3.4578
42,3,STARNav,B,25.24,45.951,33.325,0.3895,3.3757
43,3,STARNav,B,25.172,44.198,32.123,0.3992,3.2339
44,3,STARNav,B,25.122,44.261,32.42,0.4001,3.364
45,3,STARNav,B,24.231,43.901,30.983,0.4096,3.307
46,3,STARNav,B,22.955,43.197,30.779,0.4115,3.2609
47,3,STARNav,B,23.909,43.682,30.47,0.4158,3.272
48,3,STARNav,B,21.413,43.986,30.173,0.4076,3.2079
49,3,STARNav,B,23.743,44.71,30.199,0.3968,3.2046
50,3,STARNav,B,25.434,46.022,29.523,0.3682,3.248
51,3,STARNav,B,24.817,45.214,29.785,0.3782,3.2207
52,3,STARNav,B,26.495,45.824,31.349,0.3772,3.1465
53,3,STARNav,B,29.066,45.552,33.441,0.4061,3.1997
54,3,STARNav,B,28.447,42.442,34.704,0.3875,3.2289
55,3,STARNav,B,25.012,44.528,34.686,0.3811,3.2485
56,3,STARNav,B,25.664,42.381,34.142,0.371,3.2794
57,3,STARNav,B,25.16,42.918,32.628,0.3662,3.2804
58,3,STARNav,B,24.71,43.659,30.747,0.39,3.2022
59,3,STARNav,B,22.779,43.057,29.981,0.3915,3.1648
60,3,STARNav,B,23.221,42.414,29.952,0.382,3.1301
61,3,STARNav,B,24.597,43.491,30.4,0.3895,3.102
62,3,STARNav,B,23.199,43.312,30.319,0.3761,3.1805
63,3,STARNav,B,22.079,44.736,28.975,0.3774,3.205
64,3,STARNav,B,21.66,44.627,28.755,0.3861,3.2043
65,3,STARNav,B,24.018,45.762,28.776,0.3887,3.0771
66,3,STARNav,B,23.855,45.097,28.32,0.3888,3.0528
67,3,STARNav,B,24.943,46.367,29.39,0.384,3.0886
68,3,STARNav,B,24.878,45.434,30.264,0.3741,3.0463
69,3,STARNav,B,25.061,44.656,28.883,0.3765,3.0579
70,3,STARNav,B,25.844,43.03,28.63,0.3625,3.0968
71,3,STARNav,B,26.241,43.013,30.39,0.3588,3.1949
72,3,STARNav,B,27.417,43.892,31.929,0.3646,3.1387
73,3,STARNav,B,27.955,44.675,32.803,0.375,3.1716
74,3,STARNav,B,27.272,44.975,31.588,0.3923,3.161
75,3,STARNav,B,29.423,45.052,33.202,0.394,3.0739
76,3,STARNav,B,30.371,44.109,33.759,0.3845,3.1167
77,3,STARNav,B,30.776,44.236,33.268,0.3923,3.1136
78,3,STARNav,B,29.765,44.172,32.539,0.3945,3.063
79,3,STARNav,B,30.143,44.853,33.087,0.4033,3.0877
80,3,STARNav,B,28.755,44.854,32.904,0.4024,3.0643
81,3,STARNav,B,28.276,44.765,34.44,0.3961,3.0302
82,3,STARNav,B,29.69,44.807,32.816,0.3963,3.0524
83,3,STARNav,B,28.02,43.356,33.42,0.3867,3.2093
84,3,STARNav,B,28.049,44.796,33.892,0.3899,3.2763
85,3,STARNav,B,29.874,45.201,31.625,0.3899,3.2828
86,3,STARNav,B,30.826,45.867,31.947,0.3796,3.2831
87,3,STARNav,B,31.44,43.559,32.457,0.3742,3.3436
88,3,STARNav,B,30.28,42.535,33.122,0.3834,3.2614
89,3,STARNav,B,30.433,43.887,32.662,0.3878,3.3159
90,3,STARNav,B,32.136,43.459,32.267,0.4019,3.283
91,3,STARNav,B,32.614,42.821,32.987,0.3986,3.1782
92,3,STARNav,B,34.39,44.524,32.04,0.3888,3.1593
93,3,STARNav,B,35.597,45.206,32.419,0.3809,3.1969
94,3,STARNav,B,35.5,44.204,30.104,0.3773,3.2108
95,3,STARNav,B,33.478,45.091,30.894,0.3563,3.1821
96,3,STARNav,B,33.774,42.122,30.133,0.3707,3.0879
97,3,STARNav,B,33.948,41.376,29.131,0.3726,3.1885
98,3,STARNav,B,32.709,41.125,32.263,0.3763,3.0646
99,3,STARNav,B,32.68,40.351,33.428,0.3822,3.0936
100,3,STARNav,B,31.579,42.027,34.093,0.3749,3.1193
101,3,STARNav,B,33.173,40.361,34.927,0.4006,3.0957
102,3,STARNav,B,32.888,40.346,34.279,0.399,3.0763
103,3,STARNav,B,32.74,40.728,34.951,0.3907,3.0304
104,3,STARNav,B,32.55,41.91,36.273,0.3847,3.0627
105,3,STARNav,B,32.191,42.276,35.144,0.393,3.0521
106,3,STARNav,B,31.623,43.173,34.5,0.3888,3.0461
107,3,STARNav,B,31.117,42.681,33.873,0.3928,3.0531
108,3,STARNav,B,30.628,42.438,33.658,0.4022,3.1253
109,3,STARNav,B,28.694,42.095,34.015,0.3886,3.0004
110,3,STARNav,B,28.807,42.695,33.28,0.4009,3.0083
111,3,STARNav,B,30.258,43.914,33.793,0.4025,3.0365
112,3,STARNav,B,31.35,44.748,35.74,0.3874,3.0665
113,3,STARNav,B,31.85,43.976,32.74,0.4076,3.1227
