episode,seed,method,scenario,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,4,TD3,B,12.868,48.406,33.257,0.237,3.6427
2,4,TD3,B,12.601,49.621,35.299,0.2311,3.5415
3,4,TD3,B,12.868,49.965,35.707,0.2447,3.5352
4,4,TD3,B,12.553,48.94,34.861,0.2334,3.4899
5,4,TD3,B,15.147,49.979,34.339,0.2236,3.4312
6,4,TD3,B,16.213,47.865,35.189,0.2284,3.424
7,4,TD3,B,16.541,47.916,33.479,0.2382,3.4641
8,4,TD3,B,18.16,48.738,33.877,0.2599,3.4991
9,4,TD3,B,18.811,50.287,32.653,0.2565,3.4256
10,4,TD3,B,18.95,50.492,32.386,0.2591,3.5392
11,4,TD3,B,17.665,49.78,32.85,0.2748,3.4913
12,4,TD3,B,20.581,50.338,32.385,0.2724,3.4828
13,4,TD3,B,20.323,49.77,33.403,0.2708,3.4326
14,4,TD3,B,20.061,49.683,31.736,0.26,3.4798
15,4,TD3,B,19.963,48.872,32.867,0.2504,3.5458
16,4,TD3,B,18.073,51.257,33.656,0.2579,3.4537
17,4,TD3,B,18.245,51.097,33.618,0.2631,3.4642
18,4,TD3,B,18.659,50.371,36.133,0.2706,3.4671
19,4,TD3,B,20.016,51.219,37.095,0.287,3.5135
20,4,TD3,B,21.314,49.392,37.292,0.2946,3.5404
21,4,TD3,B,21.551,49.234,35.223,0.2692,3.5218
22,4,TD3,B,21.492,50.235,36.113,0.2794,3.4783
23,4,TD3,B,21.496,48.694,35.867,0.2707,3.5244
24,4,TD3,B,22.025,51.233,37.267,0.2781,3.5058
25,4,TD3,B,21.069,50.4,37.616,0.2809,3.5658
26,4,TD3,B,19.724,49.49,39.41,0.2617,3.623
27,4,TD3,B,19.934,49.57,35.7,0.2674,3.5879
28,4,TD3,B,21.288,51.143,34.991,0.2684,3.6445
29,4,TD3,B,21.335,51.542,35.937,0.2594,3.5969
30,4,TD3,B,20.964,49.024,36.004,0.2615,3.694
31,4,TD3,B,21.033,48.18,35.877,0.2593,3.6581
32,4,TD3,B,22.617,49.287,35.178,0.2524,3.6148
33,4,TD3,B,22.517,49.806,34.545,0.2594,3.587
34,4,TD3,B,23.438,50.869,34.678,0.2337,3.5596
35,4,TD3,B,22.515,53.367,34.697,0.2477,3.4908
36,4,TD3,B,21.45,52.628,36.903,0.2554,3.5526
37,4,TD3,B,20.967,52.645,39.311,0.2439,3.5162
38,4,TD3,B,21.164,51.333,40.911,0.252,3.5134
39,4,TD3,B,23.475,51.784,40.626,0.2441,3.4768
40,4,TD3,B,23.402,51.693,38.186,0.2648,3.4774
41,4,TD3,B,23.052,54.198,36.678,0.2693,3.4771
42,4,TD3,B,21.883,55.78,36.296,0.2755,3.5138
43,4,TD3,B,20.797,53.89,38.163,0.2768,3.4881
44,4,TD3,B,17.76,52.126,36.297,0.2681,3.5343
45,4,TD3,B,17.473,51.834,34.962,0.255,3.5058
46,4,TD3,B,18.995,54.129,33.934,0.2468,3.5684
47,4,TD3,B,18.656,53.505,33.639,0.2747,3.5525
