episode,seed,method,scenario,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,1,NavRL,C,16.652,52.118,44.866,0.2276,3.3098
2,1,NavRL,C,20.705,51.811,46.045,0.2188,3.3639
3,1,NavRL,C,21.192,51.222,46.484,0.2218,3.3755
4,1,NavRL,C,20.853,50.589,48.889,0.2438,3.4442
5,1,NavRL,C,20.296,49.804,47.651,0.2461,3.4295
6,1,NavRL,C,19.819,49.25,46.492,0.2349,3.5153
7,1,NavRL,C,21.423,48.123,44.593,0.237,3.4919
8,1,NavRL,C,18.538,50.071,43.514,0.2335,3.5034
9,1,NavRL,C,17.976,49.74,44.515,0.2299,3.538
10,1,NavRL,C,20.437,49.676,44.205,0.2252,3.6068
11,1,NavRL,C,19.527,48.87,43.665,0.2171,3.5215
12,1,NavRL,C,20.136,47.285,42.532,0.2059,3.5516
13,1,NavRL,C,18.405,48.539,41.235,0.2047,3.5777
14,1,NavRL,C,19.105,49.675,42.321,0.1971,3.6413
15,1,NavRL,C,17.249,51.072,41.829,0.1863,3.6648
16,1,NavRL,C,16.134,51.885,44.451,0.1896,3.6033
17,1,NavRL,C,17.472,51.315,43.733,0.1986,3.572
18,1,NavRL,C,15.423,50.178,42.802,0.2028,3.52
19,1,NavRL,C,18.331,51.269,44.957,0.2055,3.4675
20,1,NavRL,C,16.714,51.829,45.366,0.1966,3.3935
21,1,NavRL,C,17.21,52.413,48.202,0.2036,3.4358
22,1,NavRL,C,16.356,53.51,48.78,0.2022,3.4618
23,1,NavRL,C,15.076,54.521,49.09,0.2176,3.4485
24,1,NavRL,C,15.941,54.872,45.726,0.2185,3.4394
25,1,NavRL,C,16.762,55.113,44.35,0.2249,3.3596
26,1,NavRL,C,16.854,55.098,45.925,0.2134,3.384
27,1,NavRL,C,16.621,54.509,48.472,0.2173,3.4484
28,1,NavRL,C,17.534,54.04,48.357,0.2318,3.531
29,1,NavRL,C,17.294,52.789,47.161,0.2481,3.6008
30,1,NavRL,C,14.81,53.915,45.69,0.2371,3.6098
31,1,NavRL,C,15.915,52.906,45.267,0.2292,3.5547
32,1,NavRL,C,15.569,53.966,45.691,0.2194,3.5931
33,1,NavRL,C,16.336,55.622,45.862,0.2225,3.6138
34,1,NavRL,C,15.882,56.09,46.002,0.2467,3.6351
35,1,NavRL,C,16.482,53.693,46.865,0.2527,3.5392
36,1,NavRL,C,18.993,52.245,44.608,0.253,3.4933
37,1,NavRL,C,17.005,53.177,44.131,0.2517,3.5743
38,1,NavRL,C,17.117,53.453,45.795,0.253,3.4787
39,1,NavRL,C,17.167,52.92,44.403,0.2363,3.4782
40,1,NavRL,C,16.692,54.685,42.386,0.2335,3.4379
41,1,NavRL,C,18.402,54.824,42.265,0.2556,3.4129
42,1,NavRL,C,18.33,55.154,42.414,0.2574,3.5187
43,1,NavRL,C,18.672,54.582,40.791,0.2681,3.5282
44,1,NavRL,C,15.726,55.26,41.651,0.2724,3.587
45,1,NavRL,C,17.27,56.312,41.757,0.2625,3.5433
46,1,NavRL,C,18.184,53.937,43.65,0.2691,3.5353
47,1,NavRL,C,18.012,54.37,44.332,0.2647,3.5136
48,1,NavRL,C,18.847,54.419,45.989,0.2692,3.5
49,1,NavRL,C,22.181,52.091,46.074,0.2682,3.5002
50,1,NavRL,C,21.698,50.818,46.179,0.2548,3.4284
51,1,NavRL,C,21.091,49.531,48.869,0.2468,3.4324
52,1,NavRL,C,22.456,48.659,49.826,0.2589,3.467
53,1,NavRL,C,20.322,49.062,47.282,0.2598,3.4607
54,1,NavRL,C,19.103,50.135,45.456,0.2411,3.4474
55,1,NavRL,C,19.337,50.205,43.549,0.252,3.4205
56,1,NavRL,C,19.184,50.788,42.767,0.2387,3.5095
57,1,NavRL,C,17.989,48.637,43.943,0.2302,3.4736
58,1,NavRL,C,14.661,50.213,44.383,0.2334,3.4768
59,1,NavRL,C,12.87,49.049,45.277,0.2394,3.4535
60,1,NavRL,C,14.291,50.191,44.522,0.2272,3.5425
61,1,NavRL,C,14.248,50.837,44.716,0.2237,3.5752
62,1,NavRL,C,15.84,52.156,46.14,0.2403,3.5379
63,1,NavRL,C,15.009,53.547,46.314,0.2627,3.5583
64,1,NavRL,C,17.267,52.767,45.612,0.2392,3.5442
65,1,NavRL,C,16.611,51.255,45.553,0.2396,3.5595
66,1,NavRL,C,17.919,51.973,44.466,0.2396,3.4964
67,1,NavRL,C,17.928,52.245,44.229,0.2389,3.4834
68,1,NavRL,C,18.002,52.016,44.943,0.2395,3.4738
69,1,NavRL,C,21.269,51.794,44.555,0.2579,3.559
70,1,NavRL,C,21.258,51.531,45.76,0.2566,3.5149
71,1,NavRL,C,20.882,53.235,45.621,0.2611,3.5436
72,1,NavRL,C,20.437,52.221,45.266,0.2636,3.5248
73,1,NavRL,C,22.209,52.355,44.074,0.2482,3.5968
74,1,NavRL,C,23.778,52.506,45.551,0.2264,3.601
75,1,NavRL,C,23.415,51.47,44.684,0.233,3.5316
76,1,NavRL,C,22.537,49.989,45.448,0.2227,3.5579
77,1,NavRL,C,21.371,48.165,44.027,0.2268,3.5053
78,1,NavRL,C,22.36,49.163,43.612,0.2073,3.3914
79,1,NavRL,C,21.487,48.891,44.199,0.2155,3.3666
80,1,NavRL,C,20.224,48.786,45.678,0.2228,3.3208
81,1,NavRL,C,20.468,48.413,43.523,0.2297,3.2561
82,1,NavRL,C,20.404,49.654,43.311,0.2221,3.2432
83,1,NavRL,C,21.574,51.525,43.338,0.2298,3.2752
84,1,NavRL,C,21.642,51.674,43.871,0.2488,3.365
85,1,NavRL,C,22.575,52.537,45.213,0.2444,3.4001
86,1,NavRL,C,22.448,51.837,45.436,0.2549,3.4693
87,1,NavRL,C,23.552,53.798,45.158,0.2673,3.5449
88,1,NavRL,C,20.515,53.752,45.926,0.2711,3.5504
89,1,NavRL,C,21.313,53.54,45.274,0.2915,3.6182
90,1,NavRL,C,17.367,51.572,47.161,0.2699,3.6364
91,1,NavRL,C,18.79,52.035,45.516,0.2541,3.6268
92,1,NavRL,C,19.969,52.994,45.834,0.2391,3.5369
93,1,NavRL,C,22.188,52.817,42.752,0.2312,3.5701
94,1,NavRL,C,19.62,52.646,43.562,0.2303,3.4545
95,1,NavRL,C,20.074,52.131,45.443,0.2426,3.4759
96,1,NavRL,C,20.6,52.413,45.669,0.2421,3.4698
97,1,NavRL,C,24.647,52.619,44.565,0.2535,3.4805
98,1,NavRL,C,24.269,50.013,44.633,0.233,3.5825
99,1,NavRL,C,24.636,49.238,46.13,0.2505,3.5911
100,1,NavRL,C,24.732,49.464,45.729,0.2438,3.5238
101,1,NavRL,C,24.463,49.056,43.452,0.2444,3.4752
102,1,NavRL,C,23.936,46.973,42.952,0.2427,3.4797
103,1,NavRL,C,24.703,48.868,42.108,0.2443,3.523
104,1,NavRL,C,23.527,47.879,43.457,0.2422,3.5199
105,1,NavRL,C,21.579,48.756,43.738,0.2551,3.4843
106,1,NavRL,C,22.56,50.065,44.262,0.2578,3.4874
107,1,NavRL,C,21.901,49.324,43.872,0.2593,3.532
108,1,NavRL,C,22.186,49.766,45.511,0.2519,3.6165
109,1,NavRL,C,22.707,49.983,44.845,0.2448,3.5294
110,1,NavRL,C,20.71,48.882,43.747,0.2519,3.4847
111,1,NavRL,C,23.39,47.942,43.151,0.2576,3.4417
112,1,NavRL,C,22.382,49.725,44.431,0.2449,3.3959
113,1,NavRL,C,23.869,50.191,42.491,0.263,3.4523
114,1,NavRL,C,24.104,51.674,42.37,0.2659,3.514
115,1,NavRL,C,21.156,52.315,41.418,0.2654,3.4271
116,1,NavRL,C,21.243,53.285,40.073,0.2636,3.4395
117,1,NavRL,C,21.934,52.728,41.571,0.2672,3.4313
118,1,NavRL,C,21.286,52.614,43.191,0.2544,3.4101
119,1,NavRL,C,22.711,51.536,42.888,0.2578,3.3738
120,1,NavRL,C,21.296,51.816,40.806,0.2703,3.4298
121,1,NavRL,C,22.822,53.645,41.084,0.2702,3.3959
122,1,NavRL,C,22.355,53.271,42.168,0.2696,3.2959
123,1,NavRL,C,21.85,52.971,43.106,0.2716,3.2498
124,1,NavRL,C,20.386,51.569,44.291,0.2678,3.2906
125,1,NavRL,C,23.02,51.79,42.595,0.2713,3.2455
126,1,NavRL,C,24.082,50.304,40.225,0.271,3.2275
127,1,NavRL,C,21.745,49.621,38.082,0.2764,3.2442
128,1,NavRL,C,23.162,50.409,38.054,0.2793,3.3227
129,1,NavRL,C,24.658,49.81,38.208,0.2933,3.4118
130,1,NavRL,C,24.381,49.34,38.136,0.2948,3.3197
131,1,NavRL,C,24.682,49.148,38.353,0.2841,3.3292
132,1,NavRL,C,23.671,45.771,40.446,0.2784,3.3665
133,1,NavRL,C,22.546,46.854,42.34,0.2693,3.2954
134,1,NavRL,C,23.001,46.563,41.519,0.2604,3.3916
135,1,NavRL,C,21.238,47.674,41.279,0.2589,3.3706
136,1,NavRL,C,22.61,48.561,41.871,0.2669,3.2834
137,1,NavRL,C,21.659,48.404,42.23,0.2524,3.3407
138,1,NavRL,C,20.115,48.974,43.543,0.2313,3.3075
139,1,NavRL,C,20.687,50.549,42.692,0.2437,3.274
140,1,NavRL,C,22.812,50.899,43.468,0.2466,3.3111
141,1,NavRL,C,22.94,49.887,40.365,0.2486,3.2903
142,1,NavRL,C,23.818,52.144,39.739,0.2477,3.3314
143,1,NavRL,C,22.728,51.042,41.039,0.244,3.2988
144,1,NavRL,C,23.205,49.644,40.544,0.2488,3.3088
145,1,NavRL,C,20.833,49.359,42.182,0.2428,3.2969
146,1,NavRL,C,22.276,48.986,41.732,0.2363,3.3471
147,1,NavRL,C,23.923,49.358,43.092,0.2532,3.3119
148,1,NavRL,C,24.688,49.305,43.846,0.2586,3.3757
149,1,NavRL,C,23.751,49.378,45.723,0.261,3.4663
150,1,NavRL,C,21.507,49.813,45.691,0.2676,3.4318
151,1,NavRL,C,22.606,48.61,44.488,0.277,3.371
152,1,NavRL,C,24.445,46.474,43.034,0.2717,3.4954
153,1,NavRL,C,26.08,46.228,42.401,0.2633,3.4796
154,1,NavRL,C,26.461,47.647,40.85,0.2656,3.4315
155,1,NavRL,C,24.773,48.036,40.175,0.2542,3.3716
156,1,NavRL,C,24.992,49.544,39.095,0.25,3.3422
157,1,NavRL,C,24.969,48.881,39.812,0.2599,3.3346
158,1,NavRL,C,24.923,49.992,39.466,0.2621,3.2957
159,1,NavRL,C,25.291,49.424,38.267,0.2541,3.2865
160,1,NavRL,C,22.443,49.37,42.459,0.2613,3.2303
161,1,NavRL,C,23.133,50.816,41.624,0.2756,3.2077
162,1,NavRL,C,23.265,50.846,41.115,0.2781,3.2332
163,1,NavRL,C,25.446,50.774,42.308,0.2761,3.2716
164,1,NavRL,C,25.51,49.348,43.175,0.3013,3.2803
165,1,NavRL,C,26.118,49.119,44.108,0.2919,3.2839
166,1,NavRL,C,21.654,49.963,44.122,0.2853,3.2468
167,1,NavRL,C,21.568,47.825,44.379,0.2791,3.3057
168,1,NavRL,C,21.723,50.616,44.12,0.2753,3.2417
169,1,NavRL,C,24.575,48.762,45.652,0.2831,3.1462
170,1,NavRL,C,24.441,48.716,43.659,0.3084,3.1551
171,1,NavRL,C,25.205,48.555,43.812,0.3055,3.1406
172,1,NavRL,C,24.667,49.165,43.491,0.311,3.1476
173,1,NavRL,C,26.745,50.05,46.711,0.298,3.2692
174,1,NavRL,C,26.842,49.566,46.276,0.3078,3.2542
175,1,NavRL,C,26.421,49.812,46.618,0.3153,3.1844
176,1,NavRL,C,25.796,50.62,47.485,0.3202,3.1163
177,1,NavRL,C,27.375,50.065,47.079,0.3101,3.1623
178,1,NavRL,C,27.756,51.116,46.911,0.2955,3.3206
179,1,NavRL,C,27.827,49.543,45.509,0.3041,3.2952
180,1,NavRL,C,27.331,49.113,45.032,0.2965,3.3165
181,1,NavRL,C,29.919,48.202,44.998,0.2972,3.2752
182,1,NavRL,C,31.846,49.579,44.048,0.2869,3.3649
183,1,NavRL,C,30.323,50.062,42.251,0.2919,3.3165
184,1,NavRL,C,28.134,50.094,42.711,0.3003,3.3184
185,1,NavRL,C,27.662,48.799,42.802,0.2983,3.3178
186,1,NavRL,C,27.701,49.192,43.257,0.2952,3.2931
187,1,NavRL,C,28.474,48.155,43.005,0.2939,3.3455
188,1,NavRL,C,30.05,47.56,40.933,0.3062,3.3369
189,1,NavRL,C,29.532,47.168,42.296,0.2976,3.2637
190,1,NavRL,C,27.991,47.812,43.779,0.3123,3.2817
191,1,NavRL,C,25.357,47.451,43.387,0.317,3.2805
192,1,NavRL,C,25.269,46.788,44.133,0.3353,3.1945
193,1,NavRL,C,26.211,48.025,44.124,0.3199,3.1978
194,1,NavRL,C,25.072,47.697,43.297,0.3215,3.1942
195,1,NavRL,C,26.037,47.853,43.645,0.3003,3.3082
196,1,NavRL,C,26.832,46.448,42.298,0.2864,3.3165
197,1,NavRL,C,26.86,47.045,43.072,0.2752,3.2966
198,1,NavRL,C,25.449,47.495,43.223,0.2661,3.3261
199,1,NavRL,C,26.643,47.122,44.328,0.2373,3.4846
200,1,NavRL,C,29.228,48.064,42.252,0.2492,3.3937
201,1,NavRL,C,28.166,47.97,42.176,0.2446,3.3567
202,1,NavRL,C,24.291,47.594,42.32,0.2264,3.4142
203,1,NavRL,C,22.188,45.011,42.65,0.2304,3.3076
204,1,NavRL,C,22.372,45.339,42.129,0.245,3.3281
205,1,NavRL,C,21.823,46.622,42.288,0.2604,3.438
206,1,NavRL,C,21.98,45.542,42.309,0.2465,3.3911
207,1,NavRL,C,22.344,46.381,43.193,0.2503,3.3949
208,1,NavRL,C,23.806,47.204,45.205,0.2718,3.3596
209,1,NavRL,C,24.862,43.814,43.213,0.2682,3.3211
210,1,NavRL,C,25.169,43.854,42.671,0.2592,3.2816
211,1,NavRL,C,24.248,46.056,42.955,0.2603,3.2974
212,1,NavRL,C,24.048,44.822,43.509,0.2787,3.3685
213,1,NavRL,C,23.551,46.025,42.353,0.289,3.3501
214,1,NavRL,C,25.788,45.64,42.697,0.2967,3.3971
215,1,NavRL,C,25.05,46.394,42.64,0.2924,3.3499
216,1,NavRL,C,24.662,47.31,41.973,0.2804,3.3379
217,1,NavRL,C,22.414,48.548,39.501,0.2871,3.3251
218,1,NavRL,C,25.211,48.544,37.108,0.2917,3.3257
219,1,NavRL,C,22.97,48.006,37.871,0.2813,3.2414
220,1,NavRL,C,23.712,49.132,39.671,0.2813,3.1913
221,1,NavRL,C,21.94,49.89,38.723,0.2932,3.2228
222,1,NavRL,C,22.413,49.931,36.386,0.2892,3.2212
223,1,NavRL,C,24.328,49.542,37.389,0.3003,3.186
224,1,NavRL,C,26.353,51.465,38.894,0.3026,3.2208
225,1,NavRL,C,25.82,50.879,40.203,0.3065,3.2232
226,1,NavRL,C,24.404,50.072,38.141,0.3183,3.2326
227,1,NavRL,C,24.502,49.257,38.07,0.3274,3.1782
228,1,NavRL,C,25.311,48.278,37.766,0.3226,3.1383
229,1,NavRL,C,23.585,49.009,38.527,0.3195,3.1391
230,1,NavRL,C,23.466,48.138,38.887,0.3369,3.1438
231,1,NavRL,C,24.321,45.845,40.743,0.3444,3.0231
232,1,NavRL,C,25.115,44.526,41.031,0.3414,2.9839
233,1,NavRL,C,24.163,42.398,42.285,0.3353,3.0112
234,1,NavRL,C,24.264,44.7,41.483,0.3389,3.0722
235,1,NavRL,C,27.298,47.54,42.45,0.3398,3.0183
236,1,NavRL,C,25.973,47.292,43.806,0.3225,3.0431
237,1,NavRL,C,25.386,48.874,44.252,0.3164,3.1612
238,1,NavRL,C,28.266,47.403,43.928,0.3069,3.2414
239,1,NavRL,C,26.633,45.957,43.151,0.3001,3.2108
240,1,NavRL,C,27.17,48.114,42.51,0.2929,3.2062
241,1,NavRL,C,25.675,47.779,41.936,0.2708,3.1482
242,1,NavRL,C,24.16,49.314,40.81,0.2666,3.094
243,1,NavRL,C,24.812,48.522,40.214,0.26,3.0473
244,1,NavRL,C,22.689,46.604,41.631,0.2541,3.0563
245,1,NavRL,C,23.213,46.431,41.906,0.275,2.9973
246,1,NavRL,C,23.268,46.281,42.811,0.2858,3.0635
247,1,NavRL,C,23.862,46.586,43.925,0.2913,3.0203
248,1,NavRL,C,26.08,48.499,43.033,0.3,3.1032
249,1,NavRL,C,25.326,47.481,42.058,0.3086,3.125
250,1,NavRL,C,27.447,47.587,42.872,0.2947,3.1133
251,1,NavRL,C,28.361,47.382,42.048,0.2805,3.1677
252,1,NavRL,C,27.602,46.738,40.684,0.2722,3.1956
253,1,NavRL,C,25.887,46.889,41.939,0.2657,3.1691
254,1,NavRL,C,27.233,46.95,39.937,0.2622,3.1311
255,1,NavRL,C,30.697,45.963,39.353,0.2663,3.1914
256,1,NavRL,C,28.666,47.981,38.623,0.2616,3.2091
257,1,NavRL,C,26.617,46.514,39.125,0.2443,3.114
258,1,NavRL,C,27.397,46.917,41.293,0.275,3.1593
259,1,NavRL,C,26.626,46.682,40.021,0.2773,3.1799
260,1,NavRL,C,25.098,48.268,41.044,0.2894,3.2468
261,1,NavRL,C,27.125,47.708,42.646,0.2892,3.2865
262,1,NavRL,C,27.457,47.018,42.431,0.3016,3.2422
263,1,NavRL,C,24.669,46.818,42.29,0.279,3.2481
264,1,NavRL,C,23.958,45.227,41.326,0.2923,3.186
265,1,NavRL,C,22.305,47.202,40.62,0.3082,3.2235
266,1,NavRL,C,20.512,46.894,40.309,0.303,3.3198
267,1,NavRL,C,23.183,44.807,42.822,0.3161,3.3187
268,1,NavRL,C,23.79,43.222,45.102,0.3006,3.3051
269,1,NavRL,C,22.882,43.658,44.902,0.324,3.3381
270,1,NavRL,C,22.444,43.751,43.362,0.3121,3.3085
271,1,NavRL,C,22.108,44.04,43.278,0.3122,3.3059
272,1,NavRL,C,21.495,44.585,43.904,0.3045,3.1952
273,1,NavRL,C,23.891,45.378,42.178,0.3232,3.1848
274,1,NavRL,C,21.189,45.1,40.481,0.3203,3.1713
275,1,NavRL,C,20.232,46.767,40.995,0.3261,3.1672
276,1,NavRL,C,20.375,46.586,41.231,0.3118,3.1345
277,1,NavRL,C,19.394,43.23,40.559,0.3283,3.1007
278,1,NavRL,C,21.019,42.804,40.105,0.3264,3.0715
279,1,NavRL,C,22.514,43.505,41.28,0.3097,3.1026
280,1,NavRL,C,22.794,43.937,39.876,0.2993,3.1753
281,1,NavRL,C,22.212,45.697,38.424,0.3105,3.1573
282,1,NavRL,C,22.97,45.275,39.316,0.3048,3.093
283,1,NavRL,C,23.39,45.603,39.646,0.2875,3.1155
284,1,NavRL,C,23.07,45.883,40.612,0.2775,3.0731
285,1,NavRL,C,21.549,44.572,40.356,0.2863,3.016
286,1,NavRL,C,20.497,45.674,40.854,0.2898,3.0472
287,1,NavRL,C,19.395,46.563,42.295,0.3088,3.1387
288,1,NavRL,C,21.417,45.708,41.377,0.2918,3.1535
289,1,NavRL,C,21.873,46.273,41.654,0.2804,3.1016
290,1,NavRL,C,22.04,46.169,41.363,0.2986,3.0756
291,1,NavRL,C,22.363,45.799,40.476,0.2887,3.1004
292,1,NavRL,C,22.322,46.98,38.876,0.3004,3.0865
293,1,NavRL,C,22.825,49.071,38.856,0.2995,3.1604
294,1,NavRL,C,23.971,49.878,38.731,0.2832,3.166
295,1,NavRL,C,24.743,49.578,41.867,0.2799,3.21
296,1,NavRL,C,22.712,47.91,40.61,0.2738,3.2472
297,1,NavRL,C,24.456,47.305,39.861,0.2737,3.132
298,1,NavRL,C,23.794,47.745,39.266,0.269,3.1247
299,1,NavRL,C,25.54,46.933,39.045,0.2932,3.0847
300,1,NavRL,C,23.105,44.235,38.266,0.3087,3.111
301,1,NavRL,C,25.295,44.657,40.452,0.3,3.0687
302,1,NavRL,C,27.64,44.674,40.881,0.3056,3.0891
303,1,NavRL,C,28.176,45.593,42.763,0.3108,3.164
304,1,NavRL,C,28.018,45.419,42.837,0.3033,3.1998
305,1,NavRL,C,28.781,45.478,42.773,0.2956,3.1303
306,1,NavRL,C,26.592,44.673,41.96,0.2987,3.1357
307,1,NavRL,C,26.549,44.689,41.504,0.2936,3.1076
308,1,NavRL,C,24.709,42.774,40.472,0.3083,3.0102
309,1,NavRL,C,24.306,43.421,40.206,0.3063,3.0618
310,1,NavRL,C,25.221,43.013,40.656,0.3034,3.0056
311,1,NavRL,C,26.579,46.467,39.045,0.3088,3.0059
312,1,NavRL,C,26.362,45.345,41.182,0.2975,3.0044
313,1,NavRL,C,27.202,46.885,41.49,0.2964,2.9848
314,1,NavRL,C,27.747,47.628,40.711,0.3047,2.9009
315,1,NavRL,C,28.865,46.822,41.6,0.3075,2.8543
316,1,NavRL,C,29.616,45.836,41.146,0.2768,2.9916
317,1,NavRL,C,29.828,44.964,40.844,0.2674,3.0479
318,1,NavRL,C,32.316,45.015,39.316,0.2801,3.0012
319,1,NavRL,C,32.997,45.924,41.203,0.2949,2.88
320,1,NavRL,C,30.725,45.842,42.789,0.3099,2.9469
321,1,NavRL,C,31.557,45.797,41.999,0.3249,2.9749
322,1,NavRL,C,30.307,44.422,41.675,0.332,2.987
323,1,NavRL,C,30.351,45.949,40.474,0.3399,2.9738
324,1,NavRL,C,32.343,45.309,40.052,0.3199,3.0365
325,1,NavRL,C,33.664,43.585,40.247,0.3124,3.0013
326,1,NavRL,C,32.559,42.958,40.47,0.3077,2.9664
327,1,NavRL,C,29.559,43.921,40.341,0.3062,3.0353
328,1,NavRL,C,30.638,45.535,40.952,0.3153,3.1196
329,1,NavRL,C,28.573,44.707,41.496,0.3125,3.1877
330,1,NavRL,C,31.571,46.636,41.951,0.3084,3.1527
331,1,NavRL,C,31.163,44.772,42.167,0.3079,3.1548
332,1,NavRL,C,29.883,44.987,40.876,0.2976,3.1938
333,1,NavRL,C,31.233,44.616,41.94,0.3057,3.1747
334,1,NavRL,C,29.12,43.127,41.038,0.3263,3.2049
335,1,NavRL,C,27.339,43.15,39.9,0.3349,3.1562
336,1,NavRL,C,26.126,41.903,39.87,0.3334,3.0974
337,1,NavRL,C,26.025,43.247,40.983,0.329,3.1057
338,1,NavRL,C,24.723,42.728,41.795,0.3222,3.1794
339,1,NavRL,C,26.451,44.339,42.927,0.3162,3.1635
340,1,NavRL,C,26.191,43.989,44.606,0.3087,3.1596
341,1,NavRL,C,24.628,46.471,45.724,0.3041,3.2295
342,1,NavRL,C,25.973,45.301,45.884,0.3241,3.1836
343,1,NavRL,C,25.828,44.517,45.416,0.3368,3.2198
344,1,NavRL,C,22.069,43.864,46.092,0.352,3.1133
345,1,NavRL,C,21.796,42.498,45.393,0.346,3.0831
346,1,NavRL,C,25.237,44.123,46.172,0.344,3.1196
347,1,NavRL,C,28.133,43.899,46.2,0.317,3.115
348,1,NavRL,C,28.478,43.23,44.411,0.3099,3.1426
349,1,NavRL,C,28.758,43.18,45.284,0.2907,3.1472
350,1,NavRL,C,29.225,41.147,44.442,0.2941,3.2281
351,1,NavRL,C,29.149,41.37,45.174,0.2898,3.2219
352,1,NavRL,C,28.352,40.97,45.692,0.3076,3.1918
353,1,NavRL,C,30.818,42.404,45.34,0.3202,3.1008
354,1,NavRL,C,31.399,43.678,44.627,0.334,3.0616
355,1,NavRL,C,29.109,44.042,44.708,0.3377,3.0521
356,1,NavRL,C,28.904,45.312,45.04,0.3413,3.0592
357,1,NavRL,C,29.525,45.482,45.458,0.3402,3.0554
358,1,NavRL,C,30.422,47.027,44.985,0.3343,3.1017
359,1,NavRL,C,28.556,49.574,43.917,0.3205,3.1191
360,1,NavRL,C,29.835,49.075,42.777,0.3215,3.0787
361,1,NavRL,C,29.065,48.9,40.762,0.3211,3.0069
362,1,NavRL,C,30.364,49.644,39.996,0.3215,3.0116
363,1,NavRL,C,29.224,50.158,39.556,0.3251,3.0877
364,1,NavRL,C,31.723,49.396,38.569,0.3229,3.2258
365,1,NavRL,C,30.468,47.341,38.264,0.328,3.1634
