episode,seed,method,scenario,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,4,PPO,C,14.989,47.895,43.478,0.2797,3.7458
2,4,PPO,C,15.422,45.911,45.097,0.2811,3.6379
3,4,PPO,C,15.362,46.781,46.243,0.2929,3.5858
4,4,PPO,C,11.256,46.368,46.277,0.2973,3.5668
5,4,PPO,C,11.295,45.269,45.711,0.2968,3.5739
6,4,PPO,C,9.14,46.608,45.808,0.2936,3.6416
7,4,PPO,C,9.841,46.572,44.293,0.3035,3.6648
8,4,PPO,C,7.726,47.092,44.195,0.3177,3.683
9,4,PPO,C,7.598,46.048,42.861,0.3181,3.6407
10,4,PPO,C,9.032,46.912,40.804,0.3179,3.6272
11,4,PPO,C,8.948,47.818,39.766,0.3193,3.6331
12,4,PPO,C,11.413,49.382,38.905,0.3049,3.5508
13,4,PPO,C,11.345,49.511,39.082,0.3105,3.6105
14,4,PPO,C,11.547,49.102,37.092,0.316,3.6642
15,4,PPO,C,14.102,47.376,36.956,0.3126,3.7732
16,4,PPO,C,12.365,47.844,38.89,0.3145,3.8209
17,4,PPO,C,12.53,49.201,38.174,0.3177,3.8344
18,4,PPO,C,12.526,49.558,39.071,0.3134,3.8709
19,4,PPO,C,13.248,48.08,40.519,0.312,3.869
20,4,PPO,C,12.209,49.92,39.447,0.2972,3.8722
21,4,PPO,C,13.664,47.117,39.895,0.2942,3.9037
22,4,PPO,C,13.556,49.134,40.361,0.2886,3.8474
23,4,PPO,C,12.547,50.072,39.348,0.3093,3.8365
24,4,PPO,C,13.058,50.552,39.22,0.3169,3.825
25,4,PPO,C,10.517,48.542,38.041,0.3216,3.7934
26,4,PPO,C,10.224,47.809,38.593,0.3147,3.8458
27,4,PPO,C,12.239,47.387,40.823,0.3299,3.9388
28,4,PPO,C,12.032,48.904,39.951,0.3282,4.0199
29,4,PPO,C,12.134,49.671,38.965,0.3192,3.9771
30,4,PPO,C,12.063,49.883,37.618,0.3218,3.9003
31,4,PPO,C,7.428,50.3,39.571,0.3185,3.831
32,4,PPO,C,9.246,51.023,38.367,0.324,3.7914
33,4,PPO,C,9.481,51.503,39.144,0.3148,3.7537
34,4,PPO,C,11.419,50.332,39.081,0.2945,3.7963
35,4,PPO,C,10.652,50.48,39.611,0.2793,3.7662
36,4,PPO,C,15.048,49.774,38.13,0.2733,3.8614
37,4,PPO,C,14.578,49.272,37.866,0.2553,3.8454
38,4,PPO,C,15.45,47.843,38.663,0.2704,3.8287
39,4,PPO,C,14.311,48.41,38.853,0.2682,3.8692
40,4,PPO,C,12.106,48.508,36.39,0.2532,3.9319
41,4,PPO,C,10.133,47.88,36.823,0.2574,3.8759
42,4,PPO,C,10.624,47.503,37.995,0.2652,3.8173
43,4,PPO,C,12.047,47.283,38.56,0.2652,3.8583
44,4,PPO,C,11.793,45.207,39.009,0.2669,3.8834
45,4,PPO,C,13.358,44.272,37.09,0.2668,3.8991
46,4,PPO,C,11.131,45.828,36.077,0.2699,3.9016
47,4,PPO,C,10.879,47.251,35.437,0.2509,3.925
48,4,PPO,C,10.57,47.855,34.218,0.2469,3.944
49,4,PPO,C,13.019,48.276,36.655,0.2561,3.8804
50,4,PPO,C,12.941,46.021,38.042,0.2526,3.8039
51,4,PPO,C,15.014,47.961,40.035,0.279,3.7929
