episode,seed,method,scenario,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,2,TD3,C,15.234,49.008,51.132,0.2835,3.9209
2,2,TD3,C,13.518,47.726,50.981,0.293,3.8901
3,2,TD3,C,12.662,46.968,50.93,0.2839,3.8654
4,2,TD3,C,12.262,48.608,47.986,0.2747,3.9292
5,2,TD3,C,12.563,48.226,49.065,0.2829,4.0149
6,2,TD3,C,13.54,49.541,47.82,0.283,3.9683
7,2,TD3,C,12.832,49.924,47.032,0.273,3.9532
8,2,TD3,C,11.741,49.017,49.594,0.2593,3.9517
9,2,TD3,C,11.536,49.114,49.34,0.2516,4.0804
10,2,TD3,C,12.314,48.366,51.898,0.2534,4.0793
11,2,TD3,C,9.695,50.365,51.613,0.2533,4.0083
12,2,TD3,C,9.326,49.004,51.541,0.2487,3.9448
13,2,TD3,C,9.211,48.976,52.791,0.2514,3.9889
14,2,TD3,C,11.296,49.875,52.245,0.2618,3.9528
15,2,TD3,C,12.175,49.513,51.476,0.2586,3.9199
16,2,TD3,C,10.797,48.77,50.14,0.2546,3.8467
17,2,TD3,C,10.762,49.047,48.993,0.2421,3.9212
18,2,TD3,C,12.835,50.174,49.371,0.2527,3.8512
19,2,TD3,C,11.24,47.776,49.22,0.2649,3.9556
20,2,TD3,C,12.111,49.123,47.199,0.2587,3.9333
21,2,TD3,C,10.545,46.877,47.346,0.2669,3.967
22,2,TD3,C,11.064,45.996,48.114,0.2642,3.9165
23,2,TD3,C,10.303,47.492,45.955,0.2403,3.9176
24,2,TD3,C,9.379,44.734,46.695,0.2489,3.8357
25,2,TD3,C,9.294,45.021,47.409,0.2404,3.9228
26,2,TD3,C,10.556,43.949,45.6,0.2471,3.9084
27,2,TD3,C,13.633,45.309,47.2,0.2488,3.8227
28,2,TD3,C,15.074,48.757,48.366,0.2709,3.8141
29,2,TD3,C,14.83,49.475,48.718,0.285,3.6736
30,2,TD3,C,16.3,47.638,47.967,0.2923,3.6648
31,2,TD3,C,15.635,48.105,49.013,0.2799,3.7746
32,2,TD3,C,18.846,46.995,48.648,0.2935,3.7295
33,2,TD3,C,17.898,46.43,50.294,0.2913,3.7432
34,2,TD3,C,18.407,46.485,50.127,0.2832,3.8733
35,2,TD3,C,19.537,47.477,48.809,0.2675,3.8834
36,2,TD3,C,18.053,46.95,48.04,0.2698,3.8605
37,2,TD3,C,19.394,48.432,47.165,0.2709,3.9183
38,2,TD3,C,17.539,46.619,45.869,0.2718,3.9474
39,2,TD3,C,17.537,46.315,47.285,0.2683,3.8744
40,2,TD3,C,17.466,46.142,48.772,0.2665,3.9723
41,2,TD3,C,15.981,47.684,48.003,0.2758,3.9175
42,2,TD3,C,16.949,47.8,48.459,0.2885,3.9235
43,2,TD3,C,20.463,46.217,48.035,0.2891,3.93
44,2,TD3,C,21.111,45.861,48.172,0.2839,3.9229
45,2,TD3,C,18.687,46.657,50.377,0.2651,3.998
46,2,TD3,C,19.065,47.797,50.955,0.2616,3.9775
47,2,TD3,C,19.73,46.723,51.103,0.256,4.0801
48,2,TD3,C,16.923,47.034,51.831,0.2672,4.058
49,2,TD3,C,15.087,47.331,51.064,0.2754,4.1095
50,2,TD3,C,16.059,47.62,50.126,0.2793,4.0538
51,2,TD3,C,14.173,46.844,49.25,0.2816,4.003
52,2,TD3,C,13.316,48.36,47.709,0.297,3.9512
53,2,TD3,C,13.749,46.335,47.703,0.2939,3.8882
54,2,TD3,C,15.388,44.546,48.24,0.2832,3.8878
55,2,TD3,C,18.011,46.05,48.637,0.2884,3.8409
56,2,TD3,C,17.761,46.441,50.255,0.2852,3.8104
57,2,TD3,C,19.084,48.34,53.052,0.2745,3.7818
58,2,TD3,C,18.982,48.952,51.268,0.2604,3.7833
59,2,TD3,C,16.123,48.475,49.756,0.2743,3.7866
60,2,TD3,C,17.39,48.156,47.831,0.287,3.7248
61,2,TD3,C,17.518,47.23,46.462,0.2939,3.7515
