episode,seed,method,scenario,success_rate,collision_rate,offlane_rate,spl,lateral_displacement_error
1,6,ViTPPO,C,16.142,49.65,46.345,0.1942,3.7405
2,6,ViTPPO,C,19.33,50.719,45.707,0.2062,3.6992
3,6,ViTPPO,C,19.378,51.307,46.791,0.2097,3.7109
4,6,ViTPPO,C,20.158,51.057,48.383,0.2036,3.7064
5,6,ViTPPO,C,19.428,51.962,48.266,0.2188,3.7737
6,6,ViTPPO,C,19.903,51.661,48.794,0.2274,3.669
7,6,ViTPPO,C,18.873,51.302,50.0,0.2372,3.7861
8,6,ViTPPO,C,19.558,50.946,48.871,0.2418,3.7686
9,6,ViTPPO,C,18.653,51.962,49.701,0.2554,3.7112
10,6,ViTPPO,C,20.32,50.969,48.561,0.262,3.7235
11,6,ViTPPO,C,19.858,53.742,48.945,0.2621,3.695
12,6,ViTPPO,C,21.269,52.623,50.521,0.2563,3.6132
13,6,ViTPPO,C,21.051,52.621,48.388,0.2576,3.6106
14,6,ViTPPO,C,20.985,50.127,46.919,0.2549,3.6153
15,6,ViTPPO,C,20.239,50.425,47.61,0.2602,3.5933
16,6,ViTPPO,C,20.262,51.403,49.301,0.2455,3.6127
17,6,ViTPPO,C,21.055,51.714,47.061,0.2292,3.6632
18,6,ViTPPO,C,21.263,51.035,46.421,0.2442,3.6771
19,6,ViTPPO,C,19.716,53.234,46.765,0.2419,3.7343
20,6,ViTPPO,C,20.925,54.428,47.321,0.2386,3.6471
21,6,ViTPPO,C,18.547,54.554,47.15,0.2596,3.6547
22,6,ViTPPO,C,15.903,54.692,47.35,0.2514,3.6338
23,6,ViTPPO,C,14.552,54.069,47.225,0.2383,3.6443
24,6,ViTPPO,C,14.522,51.217,48.636,0.2256,3.6643
25,6,ViTPPO,C,16.767,51.955,49.32,0.2148,3.7084
26,6,ViTPPO,C,17.506,52.537,49.66,0.2126,3.6385
27,6,ViTPPO,C,18.194,53.307,50.599,0.204,3.6552
28,6,ViTPPO,C,17.48,53.922,49.939,0.2002,3.6316
29,6,ViTPPO,C,17.214,55.148,48.317,0.2129,3.6517
30,6,ViTPPO,C,18.077,55.212,49.342,0.2034,3.7511
31,6,ViTPPO,C,17.215,55.545,51.392,0.1902,3.7135
32,6,ViTPPO,C,14.09,55.248,52.94,0.2167,3.7947
33,6,ViTPPO,C,15.514,54.856,52.461,0.2233,3.7921
34,6,ViTPPO,C,15.675,55.444,51.11,0.2107,3.7584
35,6,ViTPPO,C,14.874,53.111,52.179,0.2252,3.7532
36,6,ViTPPO,C,14.88,51.093,49.879,0.2284,3.7249
37,6,ViTPPO,C,15.13,51.259,50.778,0.2469,3.6669
38,6,ViTPPO,C,17.198,52.015,52.092,0.2535,3.7208
39,6,ViTPPO,C,16.435,50.449,51.166,0.2585,3.7561
40,6,ViTPPO,C,15.715,52.284,49.586,0.2417,3.681
41,6,ViTPPO,C,15.809,53.829,48.238,0.2389,3.7734
42,6,ViTPPO,C,13.567,52.86,46.604,0.2498,3.7094
43,6,ViTPPO,C,12.245,51.382,49.117,0.2449,3.7277
44,6,ViTPPO,C,12.209,52.778,50.421,0.2209,3.6392
45,6,ViTPPO,C,12.296,55.275,51.02,0.2234,3.581
46,6,ViTPPO,C,14.199,55.65,51.264,0.2391,3.5733
47,6,ViTPPO,C,14.996,54.968,51.574,0.2293,3.5664
48,6,ViTPPO,C,12.985,55.352,51.085,0.2216,3.668
49,6,ViTPPO,C,15.839,54.911,49.004,0.2432,3.6199
50,6,ViTPPO,C,16.015,53.211,49.762,0.2374,3.6871
51,6,ViTPPO,C,16.241,52.843,49.273,0.2387,3.7561
52,6,ViTPPO,C,17.201,52.554,48.002,0.2292,3.7891
53,6,ViTPPO,C,15.815,52.827,49.136,0.2456,3.803
54,6,ViTPPO,C,14.742,52.861,49.627,0.2382,3.7722
55,6,ViTPPO,C,15.569,51.539,48.075,0.2503,3.677
56,6,ViTPPO,C,16.019,51.546,47.777,0.2471,3.8064
57,6,ViTPPO,C,15.757,50.313,47.355,0.2535,3.7409
58,6,ViTPPO,C,16.723,50.327,47.058,0.26,3.6699
59,6,ViTPPO,C,17.086,51.048,47.794,0.2642,3.6654
60,6,ViTPPO,C,19.271,50.533,46.539,0.2625,3.7136
61,6,ViTPPO,C,19.527,50.502,47.003,0.251,3.6098
62,6,ViTPPO,C,22.147,51.332,45.674,0.2601,3.5927
63,6,ViTPPO,C,22.031,52.977,48.318,0.254,3.6005
64,6,ViTPPO,C,21.543,51.247,47.915,0.2649,3.5628
65,6,ViTPPO,C,19.626,51.081,50.49,0.2611,3.5713
66,6,ViTPPO,C,20.546,50.159,50.79,0.2524,3.5953
67,6,ViTPPO,C,20.055,49.363,52.62,0.2522,3.6299
68,6,ViTPPO,C,18.356,49.84,50.777,0.2622,3.6415
69,6,ViTPPO,C,18.326,49.951,50.206,0.2584,3.6168
70,6,ViTPPO,C,18.0,49.142,48.941,0.2697,3.5937
71,6,ViTPPO,C,18.472,48.74,49.058,0.27,3.5781
72,6,ViTPPO,C,16.626,50.32,49.153,0.2579,3.637
73,6,ViTPPO,C,15.141,50.848,51.862,0.2704,3.6984
74,6,ViTPPO,C,12.392,49.673,49.488,0.2698,3.662
75,6,ViTPPO,C,9.05,50.402,48.18,0.2565,3.7236
76,6,ViTPPO,C,10.422,50.582,49.104,0.2606,3.6138
77,6,ViTPPO,C,11.659,50.487,50.04,0.2642,3.5978
78,6,ViTPPO,C,12.563,50.153,51.124,0.2654,3.6024
79,6,ViTPPO,C,15.405,51.641,50.518,0.263,3.667
80,6,ViTPPO,C,18.227,50.932,48.541,0.2775,3.6813
81,6,ViTPPO,C,18.829,52.212,48.979,0.2674,3.5968
82,6,ViTPPO,C,18.002,53.161,50.058,0.2569,3.5791
83,6,ViTPPO,C,20.729,52.75,49.345,0.261,3.5832
84,6,ViTPPO,C,20.528,54.431,49.173,0.2492,3.6087
85,6,ViTPPO,C,18.814,56.382,47.619,0.2672,3.6448
86,6,ViTPPO,C,19.352,56.342,48.157,0.2771,3.6197
87,6,ViTPPO,C,18.682,57.153,47.538,0.29,3.6271
88,6,ViTPPO,C,19.429,56.025,45.303,0.2914,3.5743
89,6,ViTPPO,C,20.206,55.13,44.244,0.268,3.6376
90,6,ViTPPO,C,22.005,54.595,42.522,0.2568,3.6471
91,6,ViTPPO,C,24.2,55.805,43.478,0.2432,3.6991
92,6,ViTPPO,C,23.617,54.104,46.014,0.2427,3.6494
93,6,ViTPPO,C,23.816,52.95,45.605,0.2529,3.6654
94,6,ViTPPO,C,22.233,53.675,47.946,0.2391,3.7583
95,6,ViTPPO,C,20.024,53.897,48.479,0.2519,3.812
96,6,ViTPPO,C,18.721,53.211,45.969,0.2683,3.8261
97,6,ViTPPO,C,18.714,52.508,46.427,0.2604,3.8089
98,6,ViTPPO,C,19.096,51.147,47.671,0.2745,3.7262
99,6,ViTPPO,C,19.313,53.002,47.762,0.2653,3.6281
100,6,ViTPPO,C,21.543,52.46,46.459,0.2539,3.6949
101,6,ViTPPO,C,23.401,52.351,46.081,0.2558,3.6582
102,6,ViTPPO,C,23.747,52.712,44.366,0.2383,3.5922
103,6,ViTPPO,C,22.582,53.475,44.53,0.2299,3.6533
104,6,ViTPPO,C,22.076,53.682,44.731,0.2353,3.6706
105,6,ViTPPO,C,22.968,52.045,45.937,0.2381,3.6303
106,6,ViTPPO,C,23.305,53.919,46.262,0.2334,3.6824
107,6,ViTPPO,C,25.347,52.985,47.227,0.2338,3.6415
108,6,ViTPPO,C,23.154,51.824,48.481,0.2351,3.661
109,6,ViTPPO,C,21.231,51.737,47.693,0.2369,3.6386
110,6,ViTPPO,C,21.936,50.612,47.752,0.2408,3.6728
111,6,ViTPPO,C,21.004,49.819,47.689,0.2409,3.6937
112,6,ViTPPO,C,22.417,49.139,47.98,0.2507,3.6784
113,6,ViTPPO,C,21.183,48.291,49.014,0.2631,3.6901
114,6,ViTPPO,C,20.732,48.168,50.929,0.2581,3.638
115,6,ViTPPO,C,21.982,47.477,50.504,0.2541,3.7696
116,6,ViTPPO,C,24.409,49.29,50.899,0.2516,3.8014
117,6,ViTPPO,C,20.248,48.87,50.062,0.2492,3.8504
118,6,ViTPPO,C,21.298,48.699,48.129,0.2442,3.7544
119,6,ViTPPO,C,23.9,49.225,48.479,0.2576,3.7186
120,6,ViTPPO,C,25.25,47.979,48.791,0.2589,3.6927
121,6,ViTPPO,C,24.005,48.506,45.599,0.2624,3.6826
122,6,ViTPPO,C,22.531,49.851,42.629,0.2569,3.6568
123,6,ViTPPO,C,19.852,50.927,42.94,0.264,3.7067
124,6,ViTPPO,C,19.306,50.717,44.661,0.2671,3.638
125,6,ViTPPO,C,17.638,51.946,44.697,0.2692,3.564
126,6,ViTPPO,C,16.762,49.863,45.268,0.266,3.5395
127,6,ViTPPO,C,16.586,49.676,47.121,0.2634,3.5403
128,6,ViTPPO,C,14.796,49.735,49.827,0.2693,3.5449
129,6,ViTPPO,C,14.636,51.672,51.395,0.2887,3.4829
130,6,ViTPPO,C,16.025,53.079,51.567,0.2765,3.4939
131,6,ViTPPO,C,14.955,52.277,50.53,0.2803,3.398
132,6,ViTPPO,C,20.221,53.781,50.51,0.2791,3.4609
133,6,ViTPPO,C,20.097,53.458,48.461,0.2698,3.5297
134,6,ViTPPO,C,18.459,52.269,48.188,0.2639,3.4625
135,6,ViTPPO,C,20.479,51.479,47.181,0.2635,3.5258
136,6,ViTPPO,C,22.898,49.59,47.453,0.2664,3.5928
137,6,ViTPPO,C,21.958,49.833,46.319,0.2547,3.5214
138,6,ViTPPO,C,21.619,50.829,44.905,0.2511,3.5548
139,6,ViTPPO,C,21.533,51.368,42.993,0.2463,3.5571
140,6,ViTPPO,C,22.573,51.644,43.376,0.2604,3.535
141,6,ViTPPO,C,20.694,49.925,43.831,0.2544,3.5845
142,6,ViTPPO,C,20.076,50.622,44.297,0.2656,3.5719
143,6,ViTPPO,C,19.47,51.625,42.391,0.2639,3.6402
144,6,ViTPPO,C,19.687,52.286,42.249,0.2881,3.6839
145,6,ViTPPO,C,19.449,51.275,42.243,0.2826,3.7264
146,6,ViTPPO,C,21.017,53.728,41.317,0.2855,3.7142
147,6,ViTPPO,C,20.179,55.625,43.421,0.2853,3.6843
148,6,ViTPPO,C,19.599,55.694,44.912,0.2861,3.7198
149,6,ViTPPO,C,20.706,54.954,46.307,0.2804,3.7185
150,6,ViTPPO,C,19.265,53.291,45.805,0.2741,3.8248
151,6,ViTPPO,C,19.557,53.809,46.803,0.2816,3.7926
152,6,ViTPPO,C,20.44,54.811,48.243,0.2803,3.7946
153,6,ViTPPO,C,21.884,54.676,46.83,0.3025,3.7628
154,6,ViTPPO,C,20.001,53.016,47.129,0.2825,3.7114
155,6,ViTPPO,C,17.096,53.647,46.939,0.291,3.7703
156,6,ViTPPO,C,16.094,52.317,45.702,0.3029,3.7171
157,6,ViTPPO,C,16.076,52.666,43.528,0.2892,3.6644
158,6,ViTPPO,C,16.086,53.445,43.913,0.2874,3.689
159,6,ViTPPO,C,18.132,52.365,42.368,0.2942,3.6077
160,6,ViTPPO,C,17.739,52.928,40.511,0.2824,3.5998
161,6,ViTPPO,C,14.839,50.616,41.829,0.2788,3.5759
162,6,ViTPPO,C,17.045,48.932,41.503,0.2697,3.6286
163,6,ViTPPO,C,19.934,49.833,42.08,0.2767,3.653
164,6,ViTPPO,C,20.179,50.659,41.44,0.2644,3.6919
165,6,ViTPPO,C,20.636,49.407,42.916,0.2715,3.6858
166,6,ViTPPO,C,21.261,49.347,40.969,0.2808,3.7406
167,6,ViTPPO,C,20.445,48.813,43.645,0.297,3.6959
168,6,ViTPPO,C,20.741,46.96,43.915,0.3018,3.6824
169,6,ViTPPO,C,20.725,48.347,46.097,0.2832,3.6579
170,6,ViTPPO,C,22.283,50.139,46.314,0.2781,3.6796
171,6,ViTPPO,C,22.726,52.164,45.411,0.2798,3.604
172,6,ViTPPO,C,22.553,51.395,47.377,0.2734,3.6105
173,6,ViTPPO,C,24.119,51.334,48.569,0.2697,3.6244
174,6,ViTPPO,C,25.376,51.724,48.138,0.2742,3.5378
175,6,ViTPPO,C,23.761,50.901,48.459,0.2677,3.4792
176,6,ViTPPO,C,24.319,49.97,46.326,0.2756,3.5051
177,6,ViTPPO,C,25.493,50.008,45.597,0.2706,3.594
178,6,ViTPPO,C,23.617,49.831,47.135,0.2726,3.5648
179,6,ViTPPO,C,23.586,51.007,47.537,0.2671,3.5615
180,6,ViTPPO,C,23.356,50.242,46.324,0.2855,3.6277
181,6,ViTPPO,C,23.574,50.034,45.796,0.2892,3.7039
182,6,ViTPPO,C,22.027,50.597,45.95,0.2912,3.6645
183,6,ViTPPO,C,18.672,50.673,44.714,0.2851,3.5471
184,6,ViTPPO,C,20.162,50.241,43.317,0.2889,3.6155
185,6,ViTPPO,C,20.463,50.891,43.467,0.2787,3.58
186,6,ViTPPO,C,19.479,51.067,43.172,0.2739,3.6096
187,6,ViTPPO,C,22.913,51.482,43.064,0.2707,3.4802
188,6,ViTPPO,C,22.883,52.808,43.467,0.2667,3.5082
189,6,ViTPPO,C,21.763,52.607,44.116,0.2566,3.5848
190,6,ViTPPO,C,21.622,52.596,44.177,0.2481,3.5947
191,6,ViTPPO,C,20.446,53.099,44.526,0.2571,3.5879
192,6,ViTPPO,C,20.767,51.598,44.865,0.2663,3.5834
193,6,ViTPPO,C,22.448,52.507,43.266,0.2584,3.6212
194,6,ViTPPO,C,22.751,51.402,42.385,0.2402,3.6082
195,6,ViTPPO,C,20.741,50.45,44.672,0.2385,3.596
196,6,ViTPPO,C,22.513,50.4,45.686,0.2373,3.6147
197,6,ViTPPO,C,19.72,50.647,45.758,0.2427,3.6015
198,6,ViTPPO,C,18.471,50.453,44.238,0.2549,3.5352
199,6,ViTPPO,C,17.918,47.517,43.501,0.2789,3.4863
200,6,ViTPPO,C,17.166,50.321,43.541,0.2803,3.5036
201,6,ViTPPO,C,18.418,50.648,44.067,0.2688,3.4831
202,6,ViTPPO,C,17.406,49.482,43.603,0.2839,3.5399
203,6,ViTPPO,C,17.879,50.221,43.69,0.2708,3.4604
204,6,ViTPPO,C,17.986,49.008,44.063,0.2732,3.5605
205,6,ViTPPO,C,19.487,46.756,43.169,0.2649,3.537
206,6,ViTPPO,C,19.573,46.151,44.047,0.2645,3.4902
207,6,ViTPPO,C,20.191,46.749,42.994,0.2596,3.5336
208,6,ViTPPO,C,18.377,49.302,42.879,0.2681,3.5997
209,6,ViTPPO,C,19.164,48.126,43.84,0.2549,3.5431
210,6,ViTPPO,C,21.524,49.91,45.645,0.2902,3.4933
211,6,ViTPPO,C,23.409,50.911,44.747,0.2893,3.5101
212,6,ViTPPO,C,22.349,51.197,46.144,0.2936,3.4949
213,6,ViTPPO,C,21.836,49.734,44.152,0.2898,3.5157
214,6,ViTPPO,C,22.805,48.354,42.723,0.2839,3.6087
215,6,ViTPPO,C,24.46,48.593,44.503,0.2805,3.5775
216,6,ViTPPO,C,22.114,49.196,45.391,0.3025,3.6282
217,6,ViTPPO,C,22.956,48.323,43.49,0.2874,3.5803
218,6,ViTPPO,C,20.659,48.804,42.486,0.2762,3.4284
219,6,ViTPPO,C,24.077,48.151,43.283,0.2638,3.4239
220,6,ViTPPO,C,26.338,44.054,43.31,0.2679,3.4178
221,6,ViTPPO,C,26.47,45.164,44.529,0.2766,3.4906
222,6,ViTPPO,C,27.891,47.251,45.263,0.29,3.4697
223,6,ViTPPO,C,26.257,47.37,44.157,0.2759,3.4794
224,6,ViTPPO,C,23.033,46.396,45.028,0.2755,3.4661
225,6,ViTPPO,C,21.916,48.47,43.496,0.2767,3.526
226,6,ViTPPO,C,23.611,49.85,41.801,0.274,3.4926
227,6,ViTPPO,C,22.86,48.943,42.934,0.2728,3.5855
228,6,ViTPPO,C,19.539,49.294,41.795,0.276,3.5157
229,6,ViTPPO,C,21.165,48.277,41.268,0.281,3.521
230,6,ViTPPO,C,19.716,45.68,43.035,0.2972,3.4887
231,6,ViTPPO,C,19.013,46.766,42.758,0.2956,3.4626
232,6,ViTPPO,C,20.411,47.444,44.076,0.3049,3.4844
233,6,ViTPPO,C,21.484,48.602,46.069,0.3193,3.4352
