Episode,mIoU,Geo_MAE,Success_Rate
0,38.312,0.6279,14.16
1,38.881,0.6565,15.096
2,38.194,0.6583,16.506
3,37.733,0.6651,17.215
4,38.046,0.6509,16.25
5,37.232,0.6701,17.5
6,35.878,0.6652,19.821
7,37.55,0.6628,19.464
8,36.95,0.6463,20.287
9,37.224,0.6537,19.468
10,37.168,0.6669,17.453
11,36.904,0.6862,17.553
12,38.394,0.6802,17.262
13,37.276,0.6701,16.725
14,37.371,0.6784,15.011
15,37.19,0.6814,17.749
16,37.357,0.6973,18.626
17,39.207,0.6922,18.014
18,39.898,0.6844,18.156
19,39.736,0.684,17.952
20,39.72,0.696,16.992
21,40.451,0.6887,17.836
22,39.917,0.6573,17.623
23,38.565,0.6571,16.997
24,38.868,0.664,16.79
25,38.802,0.6364,16.627
26,38.306,0.6377,15.669
27,38.418,0.6401,15.844
28,39.185,0.6516,17.453
29,37.411,0.662,15.687
30,37.567,0.6784,14.251
31,38.677,0.6766,13.163
32,37.843,0.6443,15.364
33,38.15,0.6551,16.74
34,38.77,0.6416,14.932
35,36.861,0.6586,14.386
36,35.909,0.6329,15.292
37,39.072,0.6422,16.91
38,39.1,0.6449,16.535
39,39.524,0.6546,17.373
40,39.336,0.6494,17.854
41,37.373,0.6452,17.065
42,36.877,0.6596,18.664
43,37.521,0.6455,19.115
44,37.397,0.6423,17.361
45,37.793,0.6535,18.917
46,38.099,0.642,18.918
47,36.764,0.664,18.541
48,37.409,0.68,17.265
49,38.463,0.668,17.205
50,37.372,0.6635,16.959
51,37.171,0.642,19.058
52,36.243,0.6471,19.648
53,36.346,0.6615,19.528
54,35.373,0.651,18.637
55,35.193,0.6325,17.09
56,35.632,0.6448,15.822
57,36.328,0.643,18.083
58,37.222,0.6513,20.269
59,38.428,0.6193,21.37
60,39.627,0.6314,21.22
61,39.424,0.6263,19.007
62,38.398,0.6309,18.435
63,38.81,0.6296,18.511
64,39.778,0.6369,17.721
65,40.076,0.6566,15.921
66,39.982,0.6567,15.212
67,37.669,0.6387,15.569
68,37.992,0.6515,17.355
69,37.662,0.6555,16.553
70,38.923,0.6638,17.016
71,39.421,0.6463,16.471
72,38.715,0.6507,17.106
73,38.405,0.6477,15.974
74,39.594,0.64,16.618
75,40.335,0.6434,17.743
76,41.57,0.6445,16.742
77,40.301,0.6452,18.673
78,42.021,0.6605,17.938
79,41.152,0.6791,18.912
80,41.034,0.6736,18.364
81,39.767,0.672,19.144
82,41.148,0.6899,20.049
83,40.706,0.694,19.073
84,41.266,0.6646,18.485
85,40.826,0.6611,20.382
86,42.535,0.6413,20.182
87,42.501,0.6475,21.707
88,42.107,0.6495,23.697
89,41.598,0.6309,24.309
90,40.212,0.6253,25.402
91,39.993,0.6215,26.248
92,40.324,0.621,25.198
93,40.978,0.6144,24.54
94,41.252,0.5932,23.641
95,40.976,0.5809,24.489
96,41.988,0.5871,23.316
97,42.199,0.5879,22.421
98,41.903,0.6423,23.708
99,41.385,0.6399,22.466
100,40.33,0.6589,21.012
101,41.061,0.6251,21.738
102,40.632,0.6343,22.967
103,40.626,0.6426,24.462
104,40.437,0.6264,23.257
105,39.645,0.6344,24.211
106,40.513,0.6625,24.645
107,40.41,0.6569,21.966
108,41.233,0.644,23.556
109,40.041,0.6291,22.483
110,40.866,0.6203,20.952
111,40.67,0.6383,22.728
112,41.373,0.6407,23.806
113,42.231,0.6635,22.346
114,42.172,0.6532,22.323
115,40.759,0.6414,22.638
116,42.193,0.6449,20.407
117,42.007,0.6253,19.678
118,42.093,0.6178,20.742
119,43.025,0.6076,20.532
120,41.369,0.5868,19.421
121,41.262,0.6071,19.782
122,40.387,0.614,20.51
123,41.795,0.6304,20.375
124,41.562,0.6162,21.332
125,41.567,0.6125,21.918
126,41.753,0.5835,19.81
127,41.312,0.6084,21.653
128,41.451,0.5999,21.555
129,41.58,0.6013,19.874
130,41.267,0.5951,19.458
131,42.016,0.6098,19.77
132,39.976,0.61,21.404
133,37.635,0.6221,20.5
134,38.456,0.5928,21.445
135,38.18,0.5936,21.191
136,38.828,0.5939,21.085
137,40.515,0.5977,22.648
138,39.785,0.6092,23.446
139,40.444,0.5979,21.853
140,41.817,0.6193,23.004
141,41.741,0.6099,22.617
142,41.7,0.6078,24.537
143,41.343,0.6354,22.619
144,41.712,0.6173,22.003
145,41.174,0.6277,22.824
146,39.723,0.641,21.181
147,40.129,0.6144,23.535
148,42.156,0.5895,24.044
149,42.24,0.616,22.856
150,42.594,0.6293,22.251
151,43.601,0.6193,22.551
152,46.262,0.6085,21.924
153,44.002,0.6127,21.574
154,42.93,0.6136,23.493
155,43.12,0.6126,22.814
156,43.367,0.6101,24.163
157,41.801,0.6006,24.574
158,43.033,0.6034,24.228
159,44.045,0.615,23.615
160,45.449,0.5885,20.689
161,46.814,0.6018,21.118
162,45.993,0.6208,22.419
163,44.935,0.6068,22.132
164,46.341,0.6034,21.063
165,45.719,0.6157,22.5
166,45.628,0.6143,24.386
167,46.966,0.6221,26.666
168,46.416,0.6532,27.613
169,46.225,0.6499,27.124
170,46.263,0.6697,27.391
171,45.559,0.6608,27.151
172,46.422,0.6533,27.8
173,45.939,0.6438,26.345
174,45.074,0.6435,24.516
175,44.61,0.643,26.558
176,43.506,0.6304,26.226
177,44.721,0.6264,24.95
178,44.44,0.6291,23.386
179,42.41,0.6316,26.343
180,41.485,0.6118,24.818
181,43.263,0.624,23.464
182,42.479,0.6307,23.476
183,41.842,0.6277,24.014
184,41.357,0.6451,25.934
185,42.896,0.6213,24.068
186,43.218,0.6104,21.413
187,44.142,0.6247,23.418
188,43.084,0.6286,23.594
189,42.451,0.628,24.871
190,41.6,0.6231,20.725
191,42.487,0.6267,20.179
192,44.297,0.622,19.752
193,43.618,0.6239,20.096
194,44.114,0.6351,20.613
195,43.839,0.6302,19.793
196,41.736,0.5989,20.663
197,41.258,0.5833,22.681
198,40.036,0.5829,23.256
199,40.237,0.5856,25.508
200,40.832,0.5843,24.825
201,39.978,0.5828,24.756
202,40.802,0.5933,25.46
203,42.095,0.6045,23.757
204,42.026,0.6007,23.166
205,43.21,0.6009,24.063
206,45.166,0.5985,23.707
207,45.444,0.6015,23.97
208,46.291,0.5985,24.115
209,45.262,0.5949,24.187
210,45.976,0.5797,22.764
211,44.585,0.5984,23.058
212,44.769,0.5966,23.2
213,44.451,0.6034,23.101
214,45.163,0.608,22.242
215,44.058,0.6121,23.185
216,43.29,0.5851,24.494
217,43.626,0.586,24.199
218,44.113,0.5801,26.437
219,42.902,0.5745,27.129
220,42.654,0.569,25.994
221,43.47,0.5781,21.621
222,45.202,0.5868,23.543
223,45.166,0.5913,25.919
224,45.391,0.6083,26.655
225,45.224,0.5817,25.629
226,45.876,0.5932,25.142
227,46.878,0.5967,25.87
228,45.065,0.597,25.395
229,46.842,0.5926,25.895
230,47.655,0.6159,25.034
231,46.822,0.6021,25.125
232,45.162,0.5945,24.971
233,44.298,0.5837,26.164
234,45.022,0.6023,24.69
235,45.692,0.5912,26.165
236,43.777,0.602,25.525
237,43.913,0.6236,25.13
238,45.376,0.616,24.013
239,46.172,0.6154,23.525
240,45.983,0.6135,23.264
241,44.422,0.5908,22.846
242,43.409,0.5939,25.187
243,43.411,0.5744,25.37
244,43.847,0.5848,26.503
245,42.372,0.5757,25.359
246,43.263,0.5709,24.946
247,44.404,0.5566,27.564
248,43.822,0.5542,26.699
249,44.207,0.5579,26.909
250,45.193,0.5664,29.232
251,46.54,0.5654,29.963
252,47.456,0.5378,30.461
253,46.407,0.5375,30.748
254,46.558,0.554,29.574
255,45.747,0.5311,29.318
256,45.037,0.5414,29.477
257,44.9,0.5243,28.945
258,44.524,0.5071,27.969
259,43.292,0.5218,28.541
260,43.254,0.5288,29.176
261,44.04,0.5444,30.581
262,43.898,0.5762,30.806
263,44.927,0.5922,30.361
264,47.513,0.5897,31.047
265,45.089,0.5856,30.865
266,45.697,0.5882,32.417
267,46.184,0.5652,32.898
268,45.721,0.5604,31.387
269,44.204,0.5755,31.241
270,43.967,0.5559,29.46
271,44.822,0.5698,27.49
272,45.403,0.572,27.668
273,46.458,0.5501,27.833
274,45.25,0.5708,28.176
275,44.576,0.5958,25.889
276,44.4,0.591,25.767
277,45.227,0.5652,26.887
278,45.763,0.5694,26.367
279,46.432,0.5505,25.593
280,45.503,0.5453,25.141
281,44.227,0.5513,24.893
