Episode,mIoU,Geo_MAE,Success_Rate
0,20.693,0.8967,10.334
1,20.798,0.8944,10.488
2,21.482,0.8798,7.935
3,22.618,0.8798,7.188
4,22.573,0.8918,5.814
5,23.133,0.8846,7.104
6,23.293,0.8727,8.02
7,23.985,0.8716,4.523
8,23.493,0.8974,4.36
9,23.894,0.8903,5.248
10,24.021,0.8807,6.188
11,23.965,0.9017,4.35
12,22.235,0.8981,4.379
13,21.828,0.8621,5.864
14,22.771,0.8876,8.708
15,22.445,0.879,8.49
16,22.328,0.8634,10.276
17,22.25,0.8673,11.241
18,21.062,0.8735,11.273
19,20.775,0.8667,11.531
20,21.829,0.866,9.06
21,20.349,0.8228,9.819
22,21.647,0.8542,10.776
23,21.893,0.8243,11.056
24,22.345,0.8511,11.997
25,22.41,0.8428,12.83
26,23.147,0.8555,12.592
27,22.983,0.8368,13.27
28,24.151,0.8793,13.577
29,23.294,0.8698,11.521
30,24.836,0.8621,10.521
31,24.947,0.8537,9.368
32,23.665,0.8449,10.311
33,23.618,0.8515,11.921
34,24.078,0.8542,10.76
35,24.054,0.8459,8.853
36,23.592,0.8509,9.409
37,22.525,0.8697,9.756
38,21.937,0.8961,8.359
39,21.567,0.9007,9.592
40,23.125,0.9198,11.962
41,24.306,0.9108,12.206
42,24.157,0.8998,11.139
43,23.737,0.9005,11.556
44,25.338,0.8703,10.75
45,24.871,0.8685,11.47
46,25.239,0.8778,11.427
47,24.006,0.8947,12.76
48,25.105,0.8798,11.585
49,24.938,0.8696,9.912
50,26.739,0.8765,9.674
51,26.277,0.8809,11.199
52,25.261,0.8388,10.98
53,25.88,0.8397,10.207
54,25.655,0.854,12.011
55,27.358,0.8603,11.085
56,27.824,0.8246,12.111
57,27.364,0.8259,12.878
58,26.907,0.8226,12.147
59,27.252,0.8279,11.323
60,26.459,0.8054,11.505
61,25.215,0.831,12.706
62,24.868,0.8339,11.46
63,26.292,0.8426,11.58
64,26.53,0.8647,11.45
65,27.225,0.8534,11.258
66,27.786,0.8585,9.25
67,27.286,0.8486,11.343
68,27.236,0.8614,10.822
69,27.705,0.8446,11.896
70,27.798,0.8532,12.076
71,27.792,0.8436,13.099
72,28.125,0.8479,14.55
73,27.309,0.8557,15.116
74,27.698,0.8737,14.092
75,27.613,0.8541,15.376
76,27.938,0.8661,18.246
77,29.071,0.8544,18.561
78,26.343,0.8606,18.753
79,27.292,0.857,19.184
80,28.348,0.8423,19.096
81,28.493,0.8649,19.875
82,28.376,0.8432,21.12
83,27.229,0.8505,19.264
84,26.373,0.8373,19.443
85,26.082,0.8369,16.798
86,26.171,0.8313,18.42
87,24.957,0.8204,20.512
88,25.448,0.8318,20.639
89,24.544,0.8549,19.106
90,25.638,0.8455,17.561
91,24.92,0.8741,19.129
