Episode,mIoU,Geo_MAE,Success_Rate
0,37.994,0.8673,15.581
1,38.942,0.874,14.122
2,38.757,0.8749,14.491
3,38.48,0.8892,13.523
4,39.069,0.8854,13.687
5,37.989,0.8773,12.898
6,37.539,0.8787,14.344
7,37.332,0.8916,14.435
8,38.598,0.9018,11.874
9,38.325,0.895,13.229
10,38.875,0.8994,12.957
11,37.919,0.9119,12.945
12,37.853,0.9149,10.993
13,37.625,0.9175,12.505
14,37.331,0.9106,11.702
15,37.424,0.8913,14.544
16,37.253,0.876,16.142
17,36.991,0.8602,15.651
18,36.103,0.8632,16.508
19,37.444,0.8665,12.397
20,38.261,0.8809,12.773
21,39.019,0.8791,13.108
22,39.045,0.877,13.567
23,40.992,0.8795,14.05
24,40.829,0.8697,11.783
25,40.528,0.8689,11.769
26,39.762,0.8807,13.739
27,39.654,0.883,13.765
28,38.609,0.9151,15.377
29,39.111,0.8877,15.52
30,39.056,0.8646,14.744
31,38.712,0.8786,16.43
32,39.029,0.8904,15.394
33,39.9,0.8802,16.076
34,39.823,0.8647,16.756
35,37.379,0.8601,14.703
36,36.443,0.8617,16.805
37,36.085,0.8551,17.735
38,34.184,0.8728,17.511
39,34.863,0.8498,17.522
40,35.701,0.8461,19.766
41,37.248,0.8654,18.111
42,37.353,0.8386,18.637
43,37.22,0.8465,17.269
44,38.632,0.8433,20.825
45,38.852,0.8452,20.412
46,39.652,0.8585,16.985
47,41.467,0.8487,19.38
48,41.166,0.8477,21.774
49,39.985,0.8403,21.494
50,39.073,0.8356,21.662
51,38.944,0.8302,22.231
52,40.525,0.8403,23.713
53,39.932,0.8495,23.113
54,39.884,0.8529,21.131
55,39.763,0.8416,19.99
56,39.866,0.8494,19.828
57,40.19,0.8616,20.654
58,40.029,0.862,19.174
59,40.956,0.8621,17.921
60,41.875,0.8629,20.605
61,42.488,0.8646,20.623
62,42.313,0.8665,22.291
63,41.319,0.8422,21.492
64,41.147,0.8435,23.259
65,41.597,0.8469,25.701
66,41.037,0.8395,26.021
67,41.127,0.8393,25.786
68,41.546,0.8607,24.384
69,40.989,0.8341,26.519
70,41.433,0.8428,25.002
71,40.499,0.8567,23.255
72,40.574,0.8569,24.32
73,41.815,0.8417,25.2
74,43.351,0.8552,24.879
75,43.053,0.8457,23.875
76,41.575,0.8524,24.146
77,42.829,0.8426,24.294
78,42.876,0.8405,24.056
79,43.384,0.8395,23.794
80,43.026,0.8397,25.748
81,43.215,0.8341,24.072
82,42.594,0.8383,22.218
83,44.638,0.8418,22.741
84,45.473,0.8499,22.77
85,45.143,0.8636,22.445
86,44.312,0.8385,21.739
87,45.153,0.8213,22.674
88,44.526,0.8062,23.235
89,44.839,0.8206,22.829
90,45.743,0.8109,21.119
91,44.093,0.8077,19.96
92,46.083,0.8131,22.527
93,46.846,0.8175,23.435
94,46.899,0.8348,23.51
95,47.084,0.814,22.203
96,46.664,0.8004,23.091
97,47.286,0.8101,22.451
98,46.919,0.811,23.4
99,45.784,0.8054,24.244
100,45.351,0.8019,21.969
101,45.109,0.819,21.234
102,43.764,0.8144,22.67
103,44.354,0.8357,22.856
104,45.463,0.8302,23.123
