Episode,Scenario,Condition,CM_LateralDeviation_m,Observed_LateralDeviation_m,RelativeDegradation_percent
1,A,RM,0.488,0.5963,22.2
1,A,RA,0.4799,0.676,40.86
2,A,RM,0.484,0.6333,30.86
2,A,RA,0.4787,0.6726,40.52
3,A,RM,0.4887,0.6056,23.92
3,A,RA,0.4893,0.6987,42.79
4,A,RM,0.4763,0.5811,21.99
4,A,RA,0.4808,0.687,42.89
5,A,RM,0.4661,0.5869,25.9
5,A,RA,0.4828,0.6654,37.82
6,A,RM,0.488,0.5814,19.15
6,A,RA,0.4739,0.6752,42.5
7,A,RM,0.4748,0.6206,30.7
7,A,RA,0.4769,0.6729,41.11
8,A,RM,0.4802,0.6179,28.66
8,A,RA,0.4756,0.659,38.56
9,A,RM,0.489,0.6184,26.47
9,A,RA,0.4621,0.6831,47.82
10,A,RM,0.4833,0.6258,29.47
10,A,RA,0.4717,0.6679,41.6
11,A,RM,0.4756,0.6009,26.35
11,A,RA,0.4795,0.6887,43.63
12,A,RM,0.4849,0.6205,27.96
12,A,RA,0.4665,0.6753,44.76
13,A,RM,0.488,0.6381,30.74
13,A,RA,0.4718,0.6637,40.67
14,A,RM,0.4743,0.6132,29.27
14,A,RA,0.4823,0.6537,35.53
15,A,RM,0.4836,0.6346,31.24
15,A,RA,0.4855,0.6935,42.84
16,A,RM,0.4835,0.5854,21.08
16,A,RA,0.4912,0.6862,39.7
17,A,RM,0.47,0.5678,20.83
17,A,RA,0.4844,0.6535,34.9
18,A,RM,0.4703,0.6226,32.39
18,A,RA,0.479,0.6416,33.96
19,A,RM,0.4933,0.5971,21.02
19,A,RA,0.4791,0.6679,39.4
20,A,RM,0.4831,0.5867,21.46
20,A,RA,0.4646,0.6948,49.54
21,A,RM,0.4923,0.6183,25.59
21,A,RA,0.4898,0.6972,42.37
22,A,RM,0.496,0.6119,23.35
22,A,RA,0.4912,0.7059,43.7
23,A,RM,0.4639,0.6463,39.32
23,A,RA,0.4857,0.6487,33.56
24,A,RM,0.4814,0.6,24.64
24,A,RA,0.4833,0.7082,46.54
25,A,RM,0.4883,0.6226,27.5
25,A,RA,0.4933,0.6715,36.12
26,A,RM,0.4928,0.5771,17.1
26,A,RA,0.4815,0.6538,35.78
27,A,RM,0.4804,0.6047,25.87
27,A,RA,0.4894,0.6715,37.21
28,A,RM,0.4881,0.6197,26.95
28,A,RA,0.4792,0.6783,41.54
29,A,RM,0.4906,0.614,25.16
29,A,RA,0.4888,0.6913,41.44
30,A,RM,0.4821,0.6163,27.83
30,A,RA,0.4797,0.6793,41.61
31,A,RM,0.4827,0.5919,22.6
31,A,RA,0.4705,0.6623,40.76
32,A,RM,0.4789,0.5704,19.1
32,A,RA,0.4695,0.6581,40.17
33,A,RM,0.5007,0.6036,20.55
33,A,RA,0.4767,0.6832,43.33
34,A,RM,0.4744,0.5847,23.25
34,A,RA,0.4699,0.6629,41.06
35,A,RM,0.4841,0.6282,29.78
35,A,RA,0.4824,0.6669,38.24
36,A,RM,0.4712,0.5954,26.35
36,A,RA,0.471,0.6774,43.8
37,A,RM,0.4871,0.5925,21.64
37,A,RA,0.4843,0.6533,34.91
38,A,RM,0.4609,0.6398,38.82
38,A,RA,0.4795,0.6776,41.31
39,A,RM,0.4808,0.6123,27.34
39,A,RA,0.4822,0.6516,35.14
40,A,RM,0.4711,0.5871,24.63
40,A,RA,0.4833,0.6449,33.43
41,A,RM,0.48,0.6344,32.18
41,A,RA,0.4806,0.6936,44.31
42,A,RM,0.4821,0.5915,22.7
42,A,RA,0.4736,0.6841,44.45
43,A,RM,0.471,0.5981,26.99
43,A,RA,0.4836,0.6677,38.08
44,A,RM,0.4807,0.6193,28.82
44,A,RA,0.4684,0.6567,40.21
45,A,RM,0.4576,0.5993,30.96
45,A,RA,0.4753,0.701,47.49
46,A,RM,0.4825,0.6,24.37
46,A,RA,0.4725,0.6516,37.89
47,A,RM,0.4804,0.6226,29.6
47,A,RA,0.4761,0.6468,35.87
48,A,RM,0.4798,0.6216,29.56
48,A,RA,0.4764,0.668,40.22
49,A,RM,0.4782,0.6026,26.0
49,A,RA,0.4869,0.7043,44.63
50,A,RM,0.4654,0.5932,27.48
50,A,RA,0.472,0.7157,51.62
51,A,RM,0.4844,0.6143,26.82
51,A,RA,0.4853,0.6742,38.94
52,A,RM,0.4855,0.5789,19.25
52,A,RA,0.4755,0.6802,43.06
53,A,RM,0.481,0.6231,29.54
53,A,RA,0.483,0.6892,42.69
54,A,RM,0.4796,0.589,22.8
54,A,RA,0.4775,0.6513,36.39
55,A,RM,0.488,0.6195,26.94
55,A,RA,0.4771,0.6324,32.56
56,A,RM,0.4817,0.582,20.84
56,A,RA,0.4825,0.697,44.45
57,A,RM,0.4709,0.5807,23.3
57,A,RA,0.4824,0.6759,40.12
58,A,RM,0.4717,0.6252,32.54
58,A,RA,0.4768,0.6817,42.95
59,A,RM,0.4911,0.5853,19.17
59,A,RA,0.5021,0.6821,35.85
60,A,RM,0.4773,0.5995,25.61
60,A,RA,0.4928,0.6904,40.09
61,A,RM,0.4844,0.6255,29.11
61,A,RA,0.4879,0.6654,36.37
62,A,RM,0.4744,0.5919,24.77
62,A,RA,0.4848,0.6705,38.3
63,A,RM,0.4795,0.6218,29.67
63,A,RA,0.4866,0.6689,37.48
64,A,RM,0.4794,0.5991,24.97
64,A,RA,0.4844,0.6502,34.23
65,A,RM,0.4795,0.6161,28.49
65,A,RA,0.4787,0.6753,41.08
66,A,RM,0.4881,0.5778,18.37
66,A,RA,0.4855,0.6485,33.59
67,A,RM,0.4757,0.5922,24.51
67,A,RA,0.4723,0.6581,39.34
68,A,RM,0.4858,0.602,23.91
68,A,RA,0.4881,0.6583,34.86
69,A,RM,0.4851,0.5473,12.83
69,A,RA,0.47,0.6786,44.4
70,A,RM,0.4788,0.5936,23.97
70,A,RA,0.4923,0.6597,34.0
71,A,RM,0.4888,0.5747,17.59
71,A,RA,0.476,0.6958,46.19
72,A,RM,0.4755,0.5936,24.84
72,A,RA,0.4817,0.6514,35.23
73,A,RM,0.4832,0.6274,29.85
73,A,RA,0.4782,0.6764,41.44
74,A,RM,0.4788,0.6156,28.59
74,A,RA,0.4735,0.6793,43.45
75,A,RM,0.4763,0.6064,27.31
75,A,RA,0.4672,0.7023,50.32
76,A,RM,0.4663,0.5956,27.72
76,A,RA,0.4803,0.6917,44.03
77,A,RM,0.488,0.5909,21.08
77,A,RA,0.4818,0.6727,39.63
78,A,RM,0.487,0.6095,25.13
78,A,RA,0.4782,0.6765,41.46
79,A,RM,0.477,0.636,33.35
79,A,RA,0.489,0.6804,39.14
80,A,RM,0.4854,0.6165,27.02
80,A,RA,0.486,0.6326,30.18
81,A,RM,0.4878,0.5784,18.56
81,A,RA,0.4783,0.6666,39.38
82,A,RM,0.4846,0.6206,28.07
82,A,RA,0.4743,0.678,42.95
83,A,RM,0.4781,0.6132,28.25
83,A,RA,0.4954,0.6605,33.3
84,A,RM,0.4877,0.6373,30.66
84,A,RA,0.4798,0.6901,43.82
85,A,RM,0.4749,0.5898,24.19
85,A,RA,0.486,0.6866,41.29
86,A,RM,0.4806,0.6073,26.35
86,A,RA,0.4675,0.6772,44.85
87,A,RM,0.4706,0.5956,26.57
87,A,RA,0.4796,0.6773,41.21
88,A,RM,0.4671,0.5853,25.31
88,A,RA,0.4786,0.6859,43.3
89,A,RM,0.4824,0.6184,28.2
89,A,RA,0.4774,0.6662,39.53
90,A,RM,0.4652,0.6033,29.68
90,A,RA,0.4865,0.6411,31.78
91,A,RM,0.4671,0.571,22.25
91,A,RA,0.4881,0.6784,38.97
92,A,RM,0.4879,0.6249,28.07
92,A,RA,0.4855,0.6901,42.15
93,A,RM,0.4812,0.6049,25.72
93,A,RA,0.481,0.6538,35.91
94,A,RM,0.4747,0.6227,31.17
94,A,RA,0.4612,0.6691,45.08
95,A,RM,0.4691,0.6037,28.68
95,A,RA,0.4853,0.6431,32.52
96,A,RM,0.4838,0.6125,26.6
96,A,RA,0.4822,0.695,44.11
