Episode,Scenario,Condition,CM_LateralDeviation_m,Observed_LateralDeviation_m,RelativeDegradation_percent
1,A,RM,0.3822,0.51,33.43
1,A,RA,0.3862,0.5704,47.69
2,A,RM,0.3733,0.5086,36.25
2,A,RA,0.3756,0.5558,47.98
3,A,RM,0.3779,0.4919,30.17
3,A,RA,0.3865,0.5879,52.13
4,A,RM,0.3693,0.5074,37.38
4,A,RA,0.381,0.5706,49.79
5,A,RM,0.3719,0.5017,34.91
5,A,RA,0.3803,0.5811,52.81
6,A,RM,0.3925,0.4941,25.9
6,A,RA,0.3831,0.5583,45.73
7,A,RM,0.3808,0.4939,29.72
7,A,RA,0.3787,0.576,52.12
8,A,RM,0.3824,0.5397,41.14
8,A,RA,0.3678,0.5504,49.64
9,A,RM,0.4029,0.5239,30.02
9,A,RA,0.377,0.5444,44.4
10,A,RM,0.3692,0.524,41.93
10,A,RA,0.3838,0.5796,51.02
11,A,RM,0.3687,0.5213,41.39
11,A,RA,0.382,0.5934,55.32
12,A,RM,0.4015,0.5713,42.3
12,A,RA,0.3918,0.5235,33.64
13,A,RM,0.3763,0.4999,32.84
13,A,RA,0.3591,0.5826,62.24
14,A,RM,0.3839,0.5543,44.4
14,A,RA,0.3739,0.5657,51.29
15,A,RM,0.3784,0.4997,32.05
15,A,RA,0.3837,0.559,45.68
16,A,RM,0.3674,0.5152,40.21
16,A,RA,0.3771,0.5927,57.19
17,A,RM,0.3856,0.5212,35.18
17,A,RA,0.3913,0.5689,45.4
18,A,RM,0.3683,0.4877,32.4
18,A,RA,0.3869,0.586,51.44
19,A,RM,0.3804,0.5431,42.78
19,A,RA,0.38,0.5763,51.65
20,A,RM,0.3659,0.5021,37.24
20,A,RA,0.3756,0.5726,52.43
21,A,RM,0.3803,0.5313,39.7
21,A,RA,0.3827,0.587,53.36
22,A,RM,0.3777,0.5222,38.26
22,A,RA,0.3823,0.5763,50.74
23,A,RM,0.3783,0.4928,30.27
23,A,RA,0.3794,0.577,52.1
24,A,RM,0.3838,0.4784,24.66
24,A,RA,0.3779,0.5543,46.65
25,A,RM,0.3835,0.5641,47.1
25,A,RA,0.3787,0.5673,49.81
26,A,RM,0.3783,0.5079,34.25
26,A,RA,0.3751,0.5578,48.7
27,A,RM,0.3662,0.5353,46.17
27,A,RA,0.3808,0.5637,48.04
28,A,RM,0.3806,0.5379,41.33
28,A,RA,0.3749,0.6263,67.07
29,A,RM,0.374,0.5212,39.37
29,A,RA,0.3807,0.596,56.57
30,A,RM,0.3814,0.502,31.61
30,A,RA,0.3794,0.557,46.83
31,A,RM,0.3843,0.5035,31.02
31,A,RA,0.3928,0.5603,42.62
32,A,RM,0.3914,0.5313,35.74
32,A,RA,0.3859,0.601,55.77
33,A,RM,0.377,0.5272,39.86
33,A,RA,0.3793,0.5691,50.06
34,A,RM,0.3713,0.4962,33.62
34,A,RA,0.3736,0.5826,55.94
35,A,RM,0.3764,0.4912,30.5
35,A,RA,0.4054,0.5545,36.77
36,A,RM,0.3728,0.5061,35.77
36,A,RA,0.3851,0.5775,49.95
37,A,RM,0.3956,0.5089,28.65
37,A,RA,0.3888,0.5777,48.59
38,A,RM,0.3797,0.5266,38.68
38,A,RA,0.3765,0.5933,57.58
39,A,RM,0.372,0.5203,39.85
39,A,RA,0.3912,0.589,50.56
40,A,RM,0.3868,0.5208,34.65
40,A,RA,0.3803,0.552,45.13
41,A,RM,0.383,0.5144,34.31
41,A,RA,0.378,0.5905,56.22
42,A,RM,0.3798,0.5249,38.21
42,A,RA,0.3785,0.5476,44.67
43,A,RM,0.3794,0.5503,45.06
