Episode,Scenario,Condition,CM_LateralDeviation_m,Observed_LateralDeviation_m,RelativeDegradation_percent
1,A,RM,0.5179,0.694,34.01
1,A,RA,0.5099,0.7474,46.58
2,A,RM,0.5198,0.6753,29.91
2,A,RA,0.507,0.7286,43.7
3,A,RM,0.5033,0.6846,36.03
3,A,RA,0.5192,0.7293,40.45
4,A,RM,0.51,0.6961,36.48
4,A,RA,0.5093,0.7604,49.32
5,A,RM,0.4858,0.6535,34.53
5,A,RA,0.508,0.7084,39.44
6,A,RM,0.5155,0.6576,27.57
6,A,RA,0.5121,0.7244,41.45
7,A,RM,0.5303,0.6757,27.42
7,A,RA,0.5037,0.7386,46.63
8,A,RM,0.51,0.664,30.21
8,A,RA,0.4973,0.6931,39.38
9,A,RM,0.5121,0.7026,37.21
9,A,RA,0.5058,0.7294,44.21
10,A,RM,0.5092,0.641,25.88
10,A,RA,0.4959,0.7288,46.97
11,A,RM,0.5239,0.6879,31.29
11,A,RA,0.5109,0.6981,36.64
12,A,RM,0.5265,0.6666,26.63
12,A,RA,0.5165,0.7227,39.92
13,A,RM,0.5127,0.6866,33.92
13,A,RA,0.5128,0.7435,44.98
14,A,RM,0.5054,0.6428,27.2
14,A,RA,0.519,0.7017,35.21
15,A,RM,0.5107,0.6565,28.55
15,A,RA,0.5174,0.7525,45.44
16,A,RM,0.5068,0.6899,36.13
16,A,RA,0.5107,0.7447,45.82
17,A,RM,0.502,0.6939,38.22
17,A,RA,0.5037,0.7194,42.82
18,A,RM,0.5232,0.6873,31.36
18,A,RA,0.5197,0.7165,37.85
19,A,RM,0.5135,0.6619,28.88
19,A,RA,0.5206,0.7379,41.76
20,A,RM,0.5123,0.6728,31.31
20,A,RA,0.5047,0.7034,39.37
21,A,RM,0.503,0.6544,30.11
21,A,RA,0.5061,0.7285,43.95
22,A,RM,0.5071,0.6692,31.97
22,A,RA,0.4958,0.7497,51.2
23,A,RM,0.5038,0.6658,32.15
23,A,RA,0.4983,0.735,47.5
24,A,RM,0.5239,0.6682,27.53
24,A,RA,0.5115,0.7229,41.33
25,A,RM,0.5099,0.6646,30.35
25,A,RA,0.5023,0.7036,40.09
26,A,RM,0.5114,0.6624,29.51
26,A,RA,0.4925,0.705,43.14
27,A,RM,0.5146,0.6298,22.39
27,A,RA,0.513,0.7264,41.59
28,A,RM,0.5125,0.6609,28.95
28,A,RA,0.5098,0.6957,36.47
29,A,RM,0.4914,0.6711,36.56
29,A,RA,0.5048,0.7402,46.64
30,A,RM,0.521,0.6922,32.86
30,A,RA,0.5124,0.7307,42.59
31,A,RM,0.5126,0.6475,26.31
31,A,RA,0.5045,0.7367,46.03
32,A,RM,0.5193,0.6836,31.65
32,A,RA,0.5055,0.7168,41.8
33,A,RM,0.501,0.7109,41.89
33,A,RA,0.5102,0.7233,41.78
34,A,RM,0.5134,0.6981,35.98
34,A,RA,0.5111,0.6888,34.76
35,A,RM,0.5163,0.6609,28.0
35,A,RA,0.4911,0.7311,48.86
36,A,RM,0.4897,0.676,38.04
36,A,RA,0.5013,0.7354,46.72
37,A,RM,0.5068,0.6861,35.39
37,A,RA,0.5085,0.7376,45.05
38,A,RM,0.5115,0.6543,27.92
38,A,RA,0.4931,0.7502,52.13
39,A,RM,0.5166,0.6771,31.06
39,A,RA,0.5167,0.7221,39.75
40,A,RM,0.5036,0.6824,35.51
40,A,RA,0.5035,0.7491,48.79
41,A,RM,0.4977,0.6844,37.53
41,A,RA,0.5013,0.7419,47.98
42,A,RM,0.5227,0.6656,27.35
42,A,RA,0.5025,0.7473,48.73
43,A,RM,0.5116,0.6692,30.81
43,A,RA,0.4981,0.6896,38.44
44,A,RM,0.5018,0.6484,29.22
44,A,RA,0.5109,0.7457,45.96
45,A,RM,0.5141,0.6734,31.0
45,A,RA,0.5244,0.7116,35.72
46,A,RM,0.5064,0.6748,33.24
46,A,RA,0.5076,0.7372,45.24
47,A,RM,0.5256,0.6987,32.95
47,A,RA,0.5021,0.7339,46.17
48,A,RM,0.5223,0.6984,33.72
48,A,RA,0.5109,0.7446,45.74
49,A,RM,0.5075,0.6589,29.84
49,A,RA,0.5092,0.7227,41.94
50,A,RM,0.5132,0.6744,31.42
50,A,RA,0.5101,0.7078,38.78
51,A,RM,0.5172,0.6477,25.24
51,A,RA,0.4925,0.7431,50.86
52,A,RM,0.5188,0.6761,30.32
52,A,RA,0.5118,0.7309,42.81
53,A,RM,0.5038,0.6541,29.83
53,A,RA,0.508,0.7427,46.19
54,A,RM,0.5157,0.6766,31.21
54,A,RA,0.5272,0.7493,42.11
55,A,RM,0.5113,0.6821,33.4
55,A,RA,0.5076,0.7283,43.49
56,A,RM,0.5054,0.657,29.99
56,A,RA,0.5122,0.7294,42.4
57,A,RM,0.5067,0.698,37.75
57,A,RA,0.513,0.7595,48.06
58,A,RM,0.5161,0.692,34.1
58,A,RA,0.502,0.7164,42.71
59,A,RM,0.5101,0.6933,35.92
59,A,RA,0.5179,0.7328,41.5
60,A,RM,0.5125,0.6872,34.09
60,A,RA,0.5116,0.7287,42.43
61,A,RM,0.5074,0.6668,31.41
61,A,RA,0.5058,0.7391,46.12
62,A,RM,0.5255,0.6772,28.86
62,A,RA,0.4944,0.7364,48.95
63,A,RM,0.5145,0.6819,32.54
63,A,RA,0.5183,0.7391,42.6
64,A,RM,0.5084,0.6651,30.83
64,A,RA,0.5008,0.7386,47.49
65,A,RM,0.5173,0.644,24.5
65,A,RA,0.4876,0.7167,46.99
66,A,RM,0.5162,0.693,34.25
66,A,RA,0.5088,0.7255,42.59
67,A,RM,0.5136,0.6798,32.36
67,A,RA,0.5078,0.7333,44.39
68,A,RM,0.5091,0.6726,32.12
68,A,RA,0.5154,0.7423,44.02
69,A,RM,0.5076,0.6663,31.27
69,A,RA,0.5103,0.7094,39.02
70,A,RM,0.5108,0.6831,33.72
70,A,RA,0.5164,0.7351,42.34
71,A,RM,0.5195,0.6718,29.32
71,A,RA,0.5005,0.7487,49.58
72,A,RM,0.5141,0.6681,29.94
72,A,RA,0.5103,0.7122,39.58
73,A,RM,0.5108,0.6746,32.06
73,A,RA,0.499,0.7138,43.05
74,A,RM,0.5027,0.6784,34.95
74,A,RA,0.5196,0.7363,41.71
75,A,RM,0.5116,0.6562,28.28
75,A,RA,0.5119,0.7311,42.82
76,A,RM,0.5076,0.6934,36.62
76,A,RA,0.5121,0.6968,36.07
77,A,RM,0.5121,0.6397,24.91
77,A,RA,0.4969,0.7514,51.22
78,A,RM,0.5176,0.6732,30.04
78,A,RA,0.5066,0.7173,41.6
79,A,RM,0.4991,0.6787,35.99
79,A,RA,0.5061,0.7556,49.28
80,A,RM,0.4993,0.6696,34.1
80,A,RA,0.5073,0.7357,45.03
81,A,RM,0.5017,0.6654,32.63
81,A,RA,0.504,0.723,43.47
82,A,RM,0.508,0.6516,28.27
82,A,RA,0.521,0.7548,44.88
83,A,RM,0.5112,0.6744,31.91
83,A,RA,0.5063,0.7159,41.39
84,A,RM,0.5028,0.6804,35.33
84,A,RA,0.5105,0.7274,42.5
85,A,RM,0.513,0.6544,27.58
85,A,RA,0.5082,0.7247,42.6
86,A,RM,0.5016,0.6813,35.82
86,A,RA,0.5133,0.7362,43.44
87,A,RM,0.5089,0.6811,33.83
87,A,RA,0.5118,0.7214,40.94
88,A,RM,0.5228,0.6613,26.5
88,A,RA,0.5125,0.7186,40.19
89,A,RM,0.5043,0.6646,31.79
89,A,RA,0.4993,0.7028,40.76
90,A,RM,0.5191,0.6763,30.27
90,A,RA,0.5044,0.7614,50.96
91,A,RM,0.496,0.6704,35.15
91,A,RA,0.5058,0.7202,42.39
92,A,RM,0.5028,0.6757,34.38
92,A,RA,0.5138,0.7219,40.49
93,A,RM,0.4977,0.6722,35.06
93,A,RA,0.5049,0.7322,45.01
94,A,RM,0.5137,0.7088,37.98
94,A,RA,0.5105,0.7293,42.86
95,A,RM,0.5194,0.6678,28.58
95,A,RA,0.4988,0.7355,47.45
96,A,RM,0.5078,0.6925,36.37
96,A,RA,0.5198,0.7319,40.8
97,A,RM,0.5055,0.678,34.11
97,A,RA,0.516,0.7174,39.03
98,A,RM,0.5049,0.6882,36.32
98,A,RA,0.505,0.7259,43.73
99,A,RM,0.5003,0.6887,37.67
99,A,RA,0.5105,0.7038,37.85
100,A,RM,0.518,0.7017,35.45
100,A,RA,0.496,0.7239,45.95
101,A,RM,0.5178,0.6977,34.74
101,A,RA,0.5046,0.7453,47.72
102,A,RM,0.508,0.6767,33.2
102,A,RA,0.5081,0.7011,37.98
103,A,RM,0.498,0.6891,38.35
103,A,RA,0.5209,0.7153,37.32
104,A,RM,0.5124,0.6848,33.64
104,A,RA,0.4958,0.7225,45.71
105,A,RM,0.5063,0.6476,27.92
105,A,RA,0.5107,0.6792,32.97
106,A,RM,0.4975,0.6576,32.19
106,A,RA,0.5068,0.7273,43.5
107,A,RM,0.5102,0.6442,26.27
107,A,RA,0.5137,0.7164,39.46
108,A,RM,0.5139,0.713,38.73
108,A,RA,0.5065,0.7326,44.65
109,A,RM,0.5155,0.6444,24.99
109,A,RA,0.5216,0.7169,37.44
110,A,RM,0.5109,0.6836,33.81
110,A,RA,0.4985,0.7333,47.1
111,A,RM,0.498,0.69,38.53
111,A,RA,0.5134,0.7275,41.72
112,A,RM,0.5134,0.6627,29.09
112,A,RA,0.5118,0.7517,46.88
113,A,RM,0.5081,0.6743,32.72
113,A,RA,0.5031,0.7348,46.07
114,A,RM,0.4955,0.7058,42.43
114,A,RA,0.5004,0.7461,49.1
115,A,RM,0.5123,0.6643,29.68
115,A,RA,0.5069,0.7661,51.15
116,A,RM,0.5195,0.6713,29.2
116,A,RA,0.5176,0.7514,45.15
117,A,RM,0.5078,0.663,30.55
117,A,RA,0.5126,0.7299,42.39
118,A,RM,0.5158,0.672,30.28
118,A,RA,0.4978,0.7085,42.32
119,A,RM,0.501,0.6604,31.82
119,A,RA,0.5118,0.7184,40.36
120,A,RM,0.5241,0.6746,28.71
120,A,RA,0.495,0.7442,50.35
121,A,RM,0.5184,0.6592,27.16
121,A,RA,0.5135,0.7244,41.07
122,A,RM,0.5089,0.6438,26.51
122,A,RA,0.5077,0.723,42.4
123,A,RM,0.5051,0.6482,28.33
123,A,RA,0.4996,0.7501,50.16
124,A,RM,0.5168,0.6955,34.58
124,A,RA,0.5143,0.7155,39.1
125,A,RM,0.5089,0.667,31.07
125,A,RA,0.515,0.7028,36.47
126,A,RM,0.5119,0.6453,26.06
126,A,RA,0.5262,0.7203,36.89
127,A,RM,0.5037,0.6605,31.14
127,A,RA,0.5052,0.7271,43.92
128,A,RM,0.5229,0.6444,23.25
128,A,RA,0.5158,0.7344,42.39
129,A,RM,0.5119,0.6692,30.74
129,A,RA,0.5205,0.6978,34.07
130,A,RM,0.5198,0.6769,30.21
130,A,RA,0.4968,0.7355,48.06
131,A,RM,0.5089,0.6803,33.69
131,A,RA,0.5055,0.7495,48.26
132,A,RM,0.5046,0.6828,35.32
132,A,RA,0.5068,0.6897,36.09
133,A,RM,0.4994,0.6537,30.91
133,A,RA,0.5126,0.7044,37.41
134,A,RM,0.5013,0.6459,28.83
134,A,RA,0.514,0.7293,41.88
135,A,RM,0.5095,0.6711,31.72
135,A,RA,0.5042,0.6965,38.14
136,A,RM,0.5082,0.6811,34.03
136,A,RA,0.5028,0.7277,44.73
137,A,RM,0.5126,0.721,40.66
137,A,RA,0.5222,0.7276,39.34
138,A,RM,0.5067,0.6836,34.89
138,A,RA,0.5011,0.7269,45.05
139,A,RM,0.5239,0.6654,27.01
139,A,RA,0.512,0.7354,43.63
140,A,RM,0.5125,0.6574,28.27
140,A,RA,0.5024,0.7192,43.14
141,A,RM,0.5003,0.6741,34.73
141,A,RA,0.5072,0.7189,41.75
142,A,RM,0.5055,0.6573,30.03
142,A,RA,0.5095,0.7291,43.12
143,A,RM,0.5275,0.6453,22.34
143,A,RA,0.5183,0.7363,42.05
144,A,RM,0.5083,0.6771,33.2
144,A,RA,0.5257,0.7218,37.31
145,A,RM,0.4978,0.6815,36.9
145,A,RA,0.5058,0.723,42.94
146,A,RM,0.5019,0.6866,36.78
146,A,RA,0.5169,0.7032,36.04
147,A,RM,0.5014,0.6666,32.95
147,A,RA,0.5061,0.7103,40.35
148,A,RM,0.5084,0.6859,34.91
148,A,RA,0.5176,0.6789,31.15
149,A,RM,0.5,0.6462,29.26
149,A,RA,0.5081,0.7538,48.35
150,A,RM,0.5138,0.6653,29.48
150,A,RA,0.508,0.7344,44.58
151,A,RM,0.4995,0.6824,36.62
151,A,RA,0.5165,0.7432,43.89
152,A,RM,0.5083,0.7156,40.79
152,A,RA,0.5028,0.7341,46.0
153,A,RM,0.5026,0.6746,34.21
153,A,RA,0.4979,0.7095,42.49
154,A,RM,0.5063,0.6623,30.8
154,A,RA,0.5216,0.721,38.25
155,A,RM,0.5132,0.6648,29.53
155,A,RA,0.492,0.733,49.0
156,A,RM,0.5109,0.6673,30.62
156,A,RA,0.5013,0.7287,45.35
157,A,RM,0.4953,0.6619,33.63
157,A,RA,0.5102,0.7247,42.05
158,A,RM,0.4982,0.7047,41.47
158,A,RA,0.5051,0.7079,40.15
159,A,RM,0.5017,0.6831,36.15
159,A,RA,0.5069,0.742,46.38
160,A,RM,0.514,0.6861,33.5
160,A,RA,0.5062,0.7048,39.25
161,A,RM,0.5161,0.6711,30.03
161,A,RA,0.491,0.7471,52.14
162,A,RM,0.4964,0.7155,44.13
162,A,RA,0.49,0.7209,47.13
163,A,RM,0.5043,0.6377,26.45
163,A,RA,0.4881,0.7105,45.57
164,A,RM,0.5046,0.6588,30.56
164,A,RA,0.5263,0.6897,31.05
165,A,RM,0.499,0.6587,32.0
165,A,RA,0.5055,0.6977,38.03
166,A,RM,0.5168,0.6342,22.7
166,A,RA,0.5093,0.7404,45.38
167,A,RM,0.5065,0.7109,40.35
167,A,RA,0.4988,0.7373,47.8
168,A,RM,0.5167,0.6656,28.8
168,A,RA,0.5058,0.735,45.32
169,A,RM,0.5105,0.6947,36.08
169,A,RA,0.5003,0.7443,48.78
170,A,RM,0.5207,0.655,25.79
170,A,RA,0.5107,0.7465,46.19
171,A,RM,0.5071,0.6647,31.09
171,A,RA,0.5186,0.6991,34.82
172,A,RM,0.5257,0.6729,28.0
172,A,RA,0.5131,0.6982,36.07
173,A,RM,0.5126,0.6417,25.18
173,A,RA,0.5026,0.7091,41.09
174,A,RM,0.5116,0.6762,32.18
174,A,RA,0.5174,0.7102,37.28
175,A,RM,0.4911,0.696,41.72
175,A,RA,0.5141,0.724,40.82
176,A,RM,0.4995,0.687,37.54
176,A,RA,0.5172,0.7259,40.35
177,A,RM,0.4845,0.6928,42.98
177,A,RA,0.5073,0.7337,44.64
178,A,RM,0.5169,0.6727,30.16
178,A,RA,0.5007,0.7175,43.3
179,A,RM,0.5096,0.674,32.25
179,A,RA,0.5068,0.7285,43.73
180,A,RM,0.5189,0.6842,31.86
180,A,RA,0.5127,0.7011,36.76
181,A,RM,0.5119,0.7138,39.43
181,A,RA,0.5081,0.7294,43.56
182,A,RM,0.5109,0.6729,31.72
182,A,RA,0.5006,0.7185,43.54
183,A,RM,0.5158,0.7094,37.54
183,A,RA,0.5122,0.7375,43.99
184,A,RM,0.497,0.6914,39.12
184,A,RA,0.5261,0.736,39.9
185,A,RM,0.5055,0.6915,36.79
185,A,RA,0.5035,0.7438,47.72
186,A,RM,0.519,0.6663,28.37
186,A,RA,0.5119,0.7626,48.97
187,A,RM,0.4998,0.6851,37.09
187,A,RA,0.5153,0.7139,38.54
188,A,RM,0.5134,0.6697,30.45
188,A,RA,0.4995,0.7681,53.79
189,A,RM,0.5095,0.6733,32.15
189,A,RA,0.5175,0.7145,38.08
190,A,RM,0.5225,0.6781,29.77
190,A,RA,0.5125,0.7275,41.94
191,A,RM,0.4883,0.6833,39.95
191,A,RA,0.504,0.7364,46.13
