Episode,Scenario,Condition,CM_LateralDeviation_m,Observed_LateralDeviation_m,RelativeDegradation_percent
1,A,RM,0.3976,0.5322,33.86
1,A,RA,0.3888,0.5876,51.11
2,A,RM,0.3977,0.5316,33.66
2,A,RA,0.3998,0.6306,57.75
3,A,RM,0.3925,0.5438,38.56
3,A,RA,0.4033,0.6271,55.47
4,A,RM,0.3991,0.5418,35.76
4,A,RA,0.4024,0.6267,55.74
5,A,RM,0.3885,0.5363,38.05
5,A,RA,0.3903,0.5795,48.46
6,A,RM,0.3899,0.53,35.94
6,A,RA,0.3868,0.5847,51.17
7,A,RM,0.3948,0.5095,29.06
7,A,RA,0.3958,0.6104,54.22
8,A,RM,0.3864,0.521,34.83
8,A,RA,0.3928,0.5972,52.03
9,A,RM,0.3844,0.533,38.66
9,A,RA,0.3882,0.5903,52.04
10,A,RM,0.392,0.5368,36.96
10,A,RA,0.3955,0.5909,49.39
11,A,RM,0.3906,0.5692,45.73
11,A,RA,0.3977,0.5648,42.0
12,A,RM,0.3958,0.5134,29.72
12,A,RA,0.4122,0.6138,48.92
13,A,RM,0.3999,0.5244,31.14
13,A,RA,0.3911,0.586,49.85
14,A,RM,0.4112,0.5579,35.69
14,A,RA,0.3888,0.5891,51.52
15,A,RM,0.3953,0.5346,35.25
15,A,RA,0.3948,0.6284,59.14
16,A,RM,0.3957,0.5599,41.52
16,A,RA,0.3874,0.552,42.49
17,A,RM,0.3888,0.5264,35.4
17,A,RA,0.3981,0.6218,56.18
18,A,RM,0.3971,0.5286,33.12
18,A,RA,0.3978,0.5904,48.43
19,A,RM,0.4004,0.5333,33.21
19,A,RA,0.395,0.5801,46.87
20,A,RM,0.4005,0.5498,37.27
20,A,RA,0.4029,0.5906,46.6
21,A,RM,0.3949,0.5448,37.98
21,A,RA,0.3946,0.6084,54.17
22,A,RM,0.3842,0.5191,35.11
22,A,RA,0.3905,0.5854,49.91
23,A,RM,0.3993,0.5182,29.76
23,A,RA,0.4057,0.6077,49.77
24,A,RM,0.3965,0.5422,36.72
24,A,RA,0.4041,0.5988,48.17
25,A,RM,0.4112,0.5437,32.23
25,A,RA,0.3868,0.5734,48.25
26,A,RM,0.4054,0.5655,39.51
26,A,RA,0.379,0.5943,56.82
27,A,RM,0.389,0.5261,35.24
27,A,RA,0.3895,0.5761,47.89
28,A,RM,0.3897,0.5459,40.08
28,A,RA,0.39,0.5662,45.19
29,A,RM,0.3931,0.5214,32.63
29,A,RA,0.3954,0.5513,39.43
30,A,RM,0.3955,0.5422,37.11
30,A,RA,0.3979,0.6107,53.51
31,A,RM,0.3886,0.5185,33.41
31,A,RA,0.3938,0.5942,50.88
32,A,RM,0.3881,0.5314,36.9
32,A,RA,0.4221,0.585,38.58
33,A,RM,0.4067,0.5389,32.5
33,A,RA,0.4024,0.5834,44.99
34,A,RM,0.4026,0.5529,37.33
34,A,RA,0.3923,0.5776,47.23
35,A,RM,0.3988,0.5322,33.45
35,A,RA,0.3901,0.5883,50.79
36,A,RM,0.3993,0.5521,38.29
36,A,RA,0.3907,0.5855,49.88
37,A,RM,0.3938,0.5766,46.42
37,A,RA,0.3994,0.6098,52.7
38,A,RM,0.3932,0.5529,40.62
38,A,RA,0.3954,0.5808,46.9
39,A,RM,0.4073,0.5662,39.01
39,A,RA,0.3924,0.5559,41.65
40,A,RM,0.3908,0.5615,43.66
40,A,RA,0.3987,0.5943,49.06
41,A,RM,0.3962,0.5187,30.93
41,A,RA,0.3861,0.5757,49.1
42,A,RM,0.394,0.5392,36.87
42,A,RA,0.3944,0.5913,49.9
43,A,RM,0.399,0.5491,37.64
43,A,RA,0.4021,0.6079,51.19
44,A,RM,0.3916,0.5053,29.04
44,A,RA,0.4036,0.6102,51.17
45,A,RM,0.3936,0.5512,40.05
45,A,RA,0.3844,0.5933,54.35
46,A,RM,0.3875,0.5561,43.53
46,A,RA,0.4038,0.5709,41.39
47,A,RM,0.402,0.5401,34.35
47,A,RA,0.3944,0.5867,48.77
48,A,RM,0.3913,0.5136,31.24
48,A,RA,0.4057,0.599,47.65
49,A,RM,0.3971,0.5154,29.8
49,A,RA,0.3907,0.576,47.43
50,A,RM,0.3949,0.5522,39.85
50,A,RA,0.4046,0.6132,51.55
51,A,RM,0.3988,0.5487,37.6
51,A,RA,0.4004,0.5805,44.97
52,A,RM,0.4002,0.539,34.68
52,A,RA,0.3917,0.5927,51.32
53,A,RM,0.3999,0.5654,41.39
53,A,RA,0.402,0.5668,40.98
54,A,RM,0.4009,0.5473,36.5
54,A,RA,0.4026,0.5728,42.29
55,A,RM,0.3842,0.527,37.17
55,A,RA,0.3948,0.5784,46.48
56,A,RM,0.386,0.5442,41.0
56,A,RA,0.3916,0.6325,61.51
57,A,RM,0.3965,0.5369,35.39
57,A,RA,0.3908,0.5639,44.31
58,A,RM,0.4028,0.5695,41.38
58,A,RA,0.4052,0.5953,46.9
59,A,RM,0.3864,0.5212,34.88
59,A,RA,0.3871,0.5731,48.06
60,A,RM,0.3933,0.5716,45.34
60,A,RA,0.3864,0.6025,55.94
61,A,RM,0.4096,0.5558,35.68
61,A,RA,0.4051,0.595,46.88
62,A,RM,0.4044,0.5443,34.61
62,A,RA,0.3985,0.5756,44.42
63,A,RM,0.3965,0.5384,35.8
63,A,RA,0.3948,0.6062,53.54
64,A,RM,0.3906,0.5349,36.95
64,A,RA,0.3821,0.5775,51.16
65,A,RM,0.3836,0.5222,36.13
65,A,RA,0.4007,0.6146,53.39
66,A,RM,0.402,0.5362,33.4
66,A,RA,0.3888,0.5662,45.61
67,A,RM,0.3922,0.5314,35.5
67,A,RA,0.3884,0.5953,53.24
68,A,RM,0.394,0.5205,32.12
68,A,RA,0.3859,0.6007,55.69
69,A,RM,0.3896,0.5257,34.93
69,A,RA,0.4094,0.5502,34.39
70,A,RM,0.3921,0.533,35.92
70,A,RA,0.3946,0.5871,48.78
71,A,RM,0.3816,0.4926,29.08
71,A,RA,0.4019,0.5674,41.19
72,A,RM,0.4063,0.5457,34.32
72,A,RA,0.3872,0.6284,62.31
73,A,RM,0.417,0.5392,29.3
73,A,RA,0.3972,0.5835,46.92
74,A,RM,0.3843,0.5242,36.43
74,A,RA,0.391,0.5796,48.24
75,A,RM,0.407,0.5297,30.14
75,A,RA,0.3972,0.573,44.27
76,A,RM,0.3868,0.4941,27.74
76,A,RA,0.379,0.6212,63.9
77,A,RM,0.3824,0.5186,35.61
77,A,RA,0.385,0.6107,58.65
78,A,RM,0.4051,0.588,45.16
78,A,RA,0.404,0.6052,49.81
79,A,RM,0.3971,0.5246,32.11
79,A,RA,0.3903,0.5987,53.37
80,A,RM,0.3824,0.5144,34.51
80,A,RA,0.3997,0.583,45.85
81,A,RM,0.3944,0.5228,32.57
81,A,RA,0.3944,0.6264,58.82
82,A,RM,0.3935,0.5671,44.1
82,A,RA,0.3776,0.6291,66.59
83,A,RM,0.3973,0.5181,30.39
83,A,RA,0.3829,0.6121,59.88
84,A,RM,0.4076,0.522,28.08
