i,x,y
0,2.8618,91.8184
1,3.0222,91.5236
2,3.0721,91.1268
3,3.1767,90.7251
4,3.302,90.2794
5,3.3432,89.9339
6,3.5179,89.5796
7,3.5747,89.2135
8,3.4876,88.9499
9,3.6016,88.5746
10,3.8158,88.1926
11,3.9727,87.8233
12,4.156,87.4706
13,4.1919,87.0114
14,4.2274,86.6063
15,4.3525,86.1556
16,4.4172,85.874
17,4.5912,85.4427
18,4.8861,85.0547
19,5.0568,84.5952
20,5.1775,84.1444
21,5.2551,83.8252
22,5.3012,83.2517
23,5.3514,82.8349
24,5.4088,82.2643
25,5.4704,82.0131
26,5.5412,81.7189
27,5.5521,81.4529
28,5.7745,81.0598
29,5.7773,80.5767
30,5.8121,80.2363
31,5.7722,79.8499
32,5.9206,79.6212
33,5.9257,79.2231
34,6.2298,78.7448
35,6.2994,78.291
36,6.2811,77.9774
37,6.3437,77.6092
38,6.4513,77.267
39,6.4023,76.7603
40,6.5263,76.4156
41,6.6298,75.9322
42,6.5408,75.5809
43,6.7502,75.2641
44,6.7661,74.7923
45,7.0541,74.5142
46,6.9486,74.1828
47,6.923,73.8871
48,7.0137,73.47
49,7.0147,73.144
50,7.0799,72.6749
51,7.3236,72.3241
52,7.5907,71.8541
53,7.6156,71.4015
54,7.6912,70.9707
55,7.8767,70.6018
56,8.0738,70.0914
57,8.266,69.7629
58,8.4145,69.2006
59,8.6673,68.8111
60,8.7918,68.3704
61,8.8851,67.8778
62,8.9944,67.54
63,8.8832,67.2942
64,8.7871,66.8616
65,8.8436,66.3667
66,9.0691,65.9306
67,9.0485,65.5672
68,9.0999,65.2718
69,9.2343,64.8727
70,9.4319,64.6097
71,9.7278,64.076
72,9.6179,63.8677
73,9.7212,63.465
74,9.7177,63.0653
75,9.7274,62.7466
76,9.8272,62.453
77,9.6015,61.8806
78,9.5574,61.5993
79,9.779,61.281
80,9.8698,60.8796
81,9.9036,60.4014
82,10.1687,59.9843
83,10.3142,59.6934
84,10.4839,59.2086
85,10.5873,58.8971
86,10.7214,58.5487
87,10.9213,58.1931
88,10.9396,57.8509
89,11.2181,57.3864
90,11.3341,56.9402
91,11.5491,56.4557
92,11.6592,56.0878
93,11.7085,55.7423
94,11.4847,55.2878
95,11.6647,54.98
96,11.6206,54.5749
97,11.872,54.152
98,11.8647,53.8003
99,12.1581,53.3947
100,12.5664,52.8811
101,12.6844,52.5202
102,12.677,52.0427
103,12.8021,51.6589
104,12.9022,51.2931
105,13.1276,51.0229
106,13.2842,50.656
107,13.3281,50.2622
108,13.5178,50.0397
109,13.614,49.5664
110,13.74,49.0528
111,13.7335,48.6178
112,13.8535,48.1696
113,13.8554,47.7588
114,13.9942,47.4529
115,14.1226,47.092
116,14.0762,46.7135
117,14.2203,46.5534
118,14.443,46.118
119,14.3937,45.6146
120,14.5393,45.2739
121,14.6296,44.8495
122,14.6596,44.3762
123,14.7939,44.0496
124,14.8417,43.4442
125,14.988,43.0961
126,15.0973,42.7653
127,15.0404,42.5444
128,15.0853,42.1078
129,14.9542,41.6818
130,14.8994,41.4098
131,14.9583,40.9557
132,15.158,40.5144
133,15.3512,40.0829
134,15.3778,39.8924
135,15.4898,39.5833
136,15.6254,39.1778
137,15.753,38.8772
138,16.0035,38.5281
139,16.0157,38.206
140,16.2318,37.7479
141,16.476,37.2454
142,16.4648,36.7842
143,16.5194,36.3647
144,16.6697,35.9241
145,16.6905,35.3786
146,16.7885,35.1418
147,16.9488,34.7784
148,16.8667,34.3958
149,16.904,34.0513
150,17.0473,33.6472
151,17.1243,33.329
152,17.2717,33.1497
153,17.4836,32.791
154,17.7049,32.3371
155,17.8806,32.0895
156,17.9662,31.6946
157,18.0528,31.2142
158,18.2099,31.0876
159,18.3488,30.6296
160,18.3156,30.1936
161,18.3488,29.6637
162,18.3249,29.2416
