i,x,y
0,2.8741,91.8673
1,3.0038,91.5927
2,3.0299,91.2383
3,3.0386,90.7415
4,3.1605,90.3222
5,3.2951,89.9976
6,3.5627,89.495
7,3.6166,89.0085
8,3.7699,88.61
9,3.9463,88.2165
10,4.0984,87.9616
11,4.1026,87.6592
12,4.2767,87.3422
13,4.368,86.8872
14,4.5549,86.4798
15,4.737,86.2741
16,4.8754,85.8431
17,4.9415,85.3993
18,4.9858,84.777
19,5.067,84.329
20,5.1453,83.7927
21,5.1595,83.3551
22,5.134,83.0528
23,5.2059,82.7307
24,5.2863,82.1849
25,5.531,81.9331
26,5.6147,81.4722
27,5.5908,81.1996
28,5.5177,80.8689
29,5.5616,80.5693
30,5.7901,80.3099
31,5.7441,79.8376
32,5.7954,79.447
33,5.8842,79.0393
34,5.8438,78.632
35,5.9153,78.1739
36,6.0755,77.8295
37,6.3185,77.3354
38,6.2537,76.9121
39,6.505,76.436
40,6.6091,76.041
41,6.6141,75.6768
42,6.669,75.2635
43,6.7921,74.8597
44,6.9598,74.6252
45,7.1537,74.1816
46,7.3593,73.8001
47,7.3804,73.4343
48,7.4392,73.0709
49,7.5865,72.7593
50,7.7473,72.3521
51,8.0859,71.9403
52,8.1039,71.5156
53,8.2304,71.1126
54,8.2979,70.9233
55,8.3876,70.4535
56,8.4672,69.9878
57,8.5828,69.6034
58,8.4653,69.182
59,8.5361,68.6469
60,8.6335,68.203
61,8.7406,67.8744
62,8.7157,67.569
63,8.8766,67.2967
64,9.0605,66.9275
65,9.2425,66.4802
66,9.3355,66.1308
67,9.298,65.8039
68,9.3136,65.4927
69,9.415,64.9312
70,9.7133,64.5618
71,9.6733,64.2587
72,9.6722,63.8793
73,9.8912,63.4991
74,9.8076,63.0819
75,10.047,62.6887
76,10.1474,62.2885
77,10.1751,61.8028
78,10.2572,61.4716
79,10.3468,61.0945
80,10.3776,60.8572
81,10.4794,60.575
82,10.6045,60.0308
83,10.7324,59.5771
84,10.8927,59.2571
85,11.0165,58.7075
86,10.9429,58.516
87,11.1684,58.1616
88,11.3613,57.6445
89,11.3858,57.2605
90,11.5609,56.9045
91,11.7339,56.474
92,11.7076,55.9692
93,11.7609,55.6573
94,11.8861,55.336
95,12.0086,54.9967
96,12.1008,54.5451
97,12.1415,54.1425
98,12.1463,53.8179
99,12.3402,53.3816
100,12.4232,52.8843
101,12.5068,52.4939
102,12.3823,52.1324
103,12.4949,51.7159
104,12.6768,51.34
105,12.8935,51.1031
106,12.9975,50.7367
107,13.0571,50.4619
108,13.1537,50.0729
109,13.3153,49.6664
110,13.3183,49.4205
111,13.3419,49.0262
112,13.5595,48.6948
113,13.7106,48.3753
114,13.839,48.0239
115,13.8799,47.7689
116,13.8119,47.366
117,14.0399,46.9298
118,14.109,46.5154
119,14.1932,46.1261
120,14.1398,45.7094
121,14.1683,45.1808
122,14.0057,44.9092
123,14.1801,44.5534
124,14.3746,44.115
125,14.4761,43.6807
126,14.5429,43.2832
127,14.5579,42.8798
128,14.5457,42.4717
129,14.7083,41.9944
130,14.8419,41.5633
131,15.0828,41.1915
132,15.1594,40.8613
133,15.2245,40.3853
134,15.5058,39.9228
135,15.5618,39.5574
136,15.7914,39.0956
137,15.9639,38.7564
138,16.095,38.2514
139,16.1026,37.6772
140,16.1516,37.3437
141,16.2673,37.0422
142,16.4673,36.7023
143,16.6264,36.3414
144,16.7119,35.921
145,16.8601,35.5961
146,16.7258,35.2677
147,16.8141,34.9227
148,16.8741,34.453
149,16.9284,34.1371
150,17.016,33.7487
151,17.1213,33.3898
152,17.1631,32.9716
153,17.3165,32.6713
154,17.3155,32.2217
155,17.3389,31.9014
156,17.4781,31.5556
157,17.4635,31.0153
158,17.4639,30.7677
159,17.5923,30.2345
160,17.8016,29.9463
161,17.8774,29.5086
162,18.0438,29.0042
163,18.2741,28.6771
164,18.3844,28.4119
165,18.5936,28.0914
166,18.7118,27.855
167,18.8973,27.6171
168,18.9803,27.0499
169,19.0855,26.6185
170,19.2248,26.147
171,18.9859,25.7379
172,19.1237,25.3313
173,19.2217,24.912
174,19.2761,24.5192
175,19.4337,24.2197
176,19.6413,23.7889
177,19.8509,23.3984
178,19.894,23.1252
179,20.0414,22.6553
180,20.2287,22.2777
181,20.5511,21.9291
182,20.5162,21.528
183,20.6381,20.9991
184,20.5799,20.5196
185,20.694,20.1137
186,20.8969,19.7405
187,20.9428,19.4373
188,20.8145,19.011
189,20.8251,18.7099
190,20.7764,18.3901
191,20.7633,18.0828
192,20.7883,17.5823
193,20.8691,17.3508
194,20.8384,16.8545
195,21.0348,16.435
196,21.2345,15.9605
197,21.4326,15.5394
198,21.5253,15.2044
199,21.6092,14.7273
200,21.5899,14.4234
201,21.5535,13.9509
202,21.6647,13.4815
203,21.669,13.1365
204,21.9333,12.7141
205,22.1518,12.3483
206,22.3529,11.9087
207,22.5625,11.5895
208,22.7036,11.2686
209,22.7497,10.7888
210,22.8123,10.3852
211,22.9552,9.9117
212,23.132,9.5411
213,23.1676,9.1543
214,23.21,8.8484
215,23.225,8.3672
216,23.2904,8.0019
217,23.2286,7.6682
218,23.3571,7.1971
219,23.4787,6.7724
220,23.6071,6.4232
221,23.6537,6.174
222,23.8517,5.8774
223,24.056,5.3793
224,24.155,4.9981
225,24.2196,4.6017
226,24.1952,4.2297
