i,x,y
0,2.9724,93.0594
1,2.9949,92.608
2,2.58,92.3082
3,3.0555,91.8839
4,2.7753,91.328
5,3.0899,91.2937
6,3.2367,90.8579
7,3.4817,90.2261
8,3.3731,89.957
9,3.2458,89.0116
10,3.1976,88.6626
11,3.2094,87.8842
12,3.6659,87.1101
13,3.7075,86.5905
14,4.1861,86.2453
15,4.4948,86.1157
16,5.1089,85.8841
17,4.8703,85.4341
18,4.9096,85.6962
19,4.9965,85.0478
20,4.9863,84.9004
21,4.9282,84.7441
22,4.7038,84.5769
23,4.7661,84.1119
24,5.0724,83.6236
25,5.3414,82.8653
26,5.746,82.2385
27,6.148,81.5911
28,6.1931,81.2854
29,5.9166,80.9856
30,5.9863,80.3706
31,5.8549,80.0415
32,5.791,79.5687
33,5.9706,79.2706
34,6.1229,79.0564
35,6.0442,78.4897
36,5.951,78.3639
37,6.1106,78.1529
38,6.1626,77.6221
39,6.1342,76.9469
40,6.3071,76.5593
41,6.4295,76.5607
42,6.3355,76.3456
43,6.5674,76.0539
44,6.5757,75.744
45,6.3438,75.2019
46,6.13,74.5115
47,5.8432,74.1803
48,6.1932,73.1697
49,6.7093,72.3582
50,6.7561,71.5065
51,6.8329,71.0703
52,7.2424,70.46
53,7.1796,70.0235
54,7.2283,69.5378
55,7.7178,69.4453
56,8.1686,69.0698
57,8.3413,68.7026
58,7.9135,68.4233
59,8.0535,68.0526
60,8.4592,67.7663
61,8.9219,67.2663
62,9.0039,66.5759
63,9.0501,66.4858
64,9.0547,66.0032
65,9.0956,65.7704
66,9.2133,65.4342
67,9.3235,64.9808
68,9.4214,64.7376
69,9.5013,64.6604
70,9.2702,64.2081
71,9.7902,63.8171
72,9.6041,63.2133
73,9.8699,63.1498
74,10.3535,62.9044
75,9.9423,62.2969
76,9.9394,62.0219
77,10.0606,61.7569
78,9.6968,61.3199
79,9.7358,60.9181
80,9.7916,60.3769
81,9.8003,60.2532
82,9.7869,60.1623
83,10.0587,59.9565
84,10.2537,59.8271
85,10.2019,59.4741
86,10.3067,58.9072
87,10.7021,58.1088
88,10.9232,57.8638
89,10.6531,57.0434
90,11.2633,56.2742
91,11.1415,55.632
92,11.0354,54.8989
93,11.1134,54.4409
94,10.9881,54.101
95,11.1815,54.0209
96,11.5788,53.7891
97,11.4964,53.4917
98,11.5925,52.8907
99,11.6944,52.5811
100,11.4811,52.4186
101,11.1673,52.0488
102,11.2558,51.5892
103,11.4512,51.222
104,11.569,50.7915
105,11.762,50.5362
106,12.0513,50.1934
107,11.9639,49.9806
108,11.9545,49.8537
109,12.0351,49.2016
110,11.8732,48.5544
111,11.7957,48.0773
112,11.6434,47.5289
113,11.8743,47.0082
114,12.3364,46.5452
115,11.9945,46.3349
116,12.4297,46.1842
117,12.6549,45.7635
118,12.8733,45.5207
119,13.2293,45.2202
120,13.7257,44.4859
121,13.877,44.0083
122,13.9523,43.8572
123,14.2384,43.4916
124,14.3611,43.1691
125,14.1176,42.9471
126,14.4005,42.8735
127,14.2367,42.1111
128,14.0211,41.7651
129,14.1908,41.5158
130,14.3397,40.9185
131,14.5467,40.5486
132,15.0521,40.3177
133,15.1089,40.0941
134,15.3322,39.7415
135,15.5362,39.3643
136,15.8283,38.744
137,15.7472,38.3682
138,15.6369,37.4801
139,15.8585,37.2992
140,15.8836,36.8996
141,16.3444,36.4817
142,16.5069,35.9637
143,16.0105,35.5923
144,15.8951,35.3229
145,15.929,35.0384
146,16.1911,34.612
147,16.5165,34.1282
148,16.816,34.0002
149,16.9884,34.1886
150,17.2819,33.6637
151,17.5478,33.2086
152,17.5403,32.6982
153,17.3418,32.1131
154,17.3629,31.9069
155,17.5727,31.6541
156,17.4595,31.0532
157,17.2331,31.0394
158,17.2646,30.5891
159,17.4496,30.1173
160,17.8014,29.9458
161,18.3245,29.3291
162,18.4894,29.3671
163,18.3305,29.1208
164,18.3124,28.7805
165,18.5495,28.277
166,18.3622,27.4011
167,18.1317,26.928
168,18.185,26.7325
169,18.6508,26.1959
170,18.8163,25.7277
171,18.8311,25.6187
172,19.1194,25.1823
173,19.0586,24.9849
174,19.1246,24.3473
175,19.3482,24.0219
176,19.0916,23.7928
