i,x,y
0,2.937,91.9604
1,2.9911,91.5319
2,3.1407,91.1432
3,3.2548,90.7487
4,3.3094,90.3729
5,3.4234,89.9981
6,3.5059,89.5664
7,3.6526,89.1024
8,3.6347,88.6932
9,3.7518,88.2916
10,3.8846,87.9438
11,4.0385,87.707
12,4.104,87.447
13,4.1012,87.0762
14,4.1978,86.6613
15,4.3569,86.2948
16,4.4936,85.9004
17,4.5804,85.5058
18,4.6543,85.0846
19,4.7365,84.6784
20,4.8577,84.2635
21,4.952,83.9386
22,4.9863,83.6463
23,5.0625,83.2295
24,5.0055,82.7914
25,5.1562,82.4893
26,5.3162,82.0465
27,5.3996,81.6879
28,5.4365,81.3074
29,5.5913,81.0439
30,5.7567,80.7045
31,5.8423,80.2822
32,5.9424,79.8051
33,6.0518,79.4496
34,6.1615,78.9875
35,6.1881,78.6394
36,6.2345,78.1931
37,6.3563,77.7445
38,6.3939,77.2962
39,6.4864,76.9932
40,6.5598,76.5602
41,6.6908,76.0956
42,6.823,75.7439
43,6.9525,75.3686
44,7.0402,74.9
45,7.1352,74.5143
46,7.3349,74.1301
47,7.5562,73.6731
48,7.653,73.2155
49,7.6445,72.7862
50,7.7025,72.3613
51,7.813,72.0194
52,7.8626,71.6591
53,8.0185,71.2976
54,8.1228,70.9879
55,8.1873,70.5462
56,8.2113,70.1724
57,8.2382,69.7858
58,8.4107,69.3658
59,8.5489,69.0533
60,8.5534,68.7012
61,8.6464,68.2493
62,8.7928,67.8705
63,8.9672,67.4561
64,9.0543,67.0841
65,9.1129,66.6652
66,9.2633,66.2672
67,9.3542,65.8803
68,9.4281,65.4404
69,9.4436,65.017
70,9.5045,64.6771
71,9.6925,64.2858
72,9.8485,63.8622
73,9.9782,63.5322
74,10.0636,63.0931
75,10.0588,62.5517
76,10.1148,62.2415
77,10.1406,61.9304
78,10.2459,61.5051
79,10.4238,61.1219
80,10.4605,60.7534
81,10.5056,60.396
82,10.5055,60.0397
83,10.5549,59.6372
84,10.6428,59.2129
85,10.7601,58.9079
86,10.8928,58.4856
87,11.0436,58.0581
88,11.13,57.7285
89,11.2239,57.3239
90,11.3596,56.8585
91,11.4696,56.465
92,11.5231,56.1569
93,11.613,55.6665
94,11.7412,55.2037
95,11.8579,54.8573
96,11.9776,54.4732
97,12.0549,54.0291
98,12.1583,53.7198
99,12.2906,53.3954
100,12.2985,53.0112
101,12.365,52.6284
102,12.4111,52.2105
103,12.4741,51.8628
104,12.6116,51.5411
105,12.7079,51.1673
106,12.7906,50.8214
107,12.9721,50.3758
108,13.1268,49.9487
109,13.2078,49.5231
110,13.3089,49.1777
111,13.441,48.7403
112,13.6033,48.4301
113,13.7221,47.9787
114,13.7039,47.6557
115,13.755,47.1854
116,13.8906,46.8217
117,14.0922,46.4058
118,14.1731,46.0583
119,14.275,45.6887
120,14.45,45.3512
121,14.5822,44.9925
122,14.668,44.5769
123,14.7222,44.1397
124,14.7929,43.7235
125,14.8574,43.3952
126,14.974,42.9334
127,15.058,42.5092
128,15.2328,42.1199
129,15.2891,41.684
130,15.319,41.3616
131,15.4418,41.0094
132,15.5323,40.4912
133,15.6814,40.0823
134,15.8247,39.6425
135,15.9425,39.3167
136,16.08,38.8433
137,16.1976,38.5067
138,16.2714,38.1425
139,16.3496,37.7533
140,16.3921,37.3898
141,16.4604,37.0216
142,16.5358,36.7224
143,16.5355,36.3675
144,16.6259,35.983
145,16.759,35.5865
146,16.7793,35.2329
147,16.9293,34.7966
148,17.0189,34.4429
149,17.1236,34.0212
150,17.2333,33.6185
151,17.3042,33.2283
152,17.4349,32.7642
153,17.5165,32.4286
154,17.5619,31.9839
155,17.6237,31.5927
156,17.7613,31.2076
157,17.7891,30.8607
158,17.8512,30.5186
159,17.9139,30.1692
160,17.99,29.882
161,18.1412,29.4742
162,18.1571,28.9878
163,18.2507,28.6006
164,18.3386,28.1855
165,18.4512,27.7291
166,18.5272,27.3591
167,18.5418,26.987
168,18.6514,26.585
169,18.6546,26.1482
170,18.7389,25.7298
171,18.8563,25.3217
172,18.9393,24.8913
173,19.0,24.5552
174,19.1079,24.1912
175,19.2338,23.7972
176,19.3559,23.4601
177,19.4391,23.0856
178,19.5643,22.6053
179,19.5718,22.2479
180,19.642,21.8739
181,19.7418,21.4286
182,19.8715,20.973
183,19.9283,20.5803
184,20.0218,20.1086
185,20.1753,19.7717
186,20.3691,19.3672
187,20.4504,18.9314
188,20.5995,18.6249
189,20.6388,18.2811
190,20.7209,17.9109
191,20.8199,17.4989
192,20.9638,17.1136
193,21.0604,16.8109
194,21.1799,16.4626
195,21.3069,16.0738
196,21.4554,15.6813
197,21.5407,15.2889
198,21.5812,14.847
199,21.6979,14.4751
