i,x,y
0,2.9024,91.9662
1,2.9954,91.4925
2,3.0833,91.1758
3,3.0357,91.0311
4,3.1986,90.7475
5,3.2137,90.1521
6,3.3474,89.7427
7,3.3488,89.5925
8,3.3686,89.3377
9,3.2914,88.9325
10,3.4614,88.5611
11,3.6062,88.093
12,3.713,87.6708
13,3.7954,87.1666
14,3.9613,86.7286
15,4.0171,86.4008
16,4.1855,85.8401
17,4.3323,85.4069
18,4.5359,85.0228
19,4.7383,84.6562
20,4.9199,84.4756
21,4.8608,83.9351
22,4.8053,83.4838
23,5.0314,83.1908
24,5.0165,82.8288
25,5.1741,82.248
26,5.2532,81.9324
27,5.3274,81.4306
28,5.4184,80.9215
29,5.5546,80.7922
30,5.5008,80.4408
31,5.8656,79.9763
32,5.9192,79.4949
33,6.1211,79.0928
34,6.3079,78.6801
35,6.4054,78.2293
36,6.5952,78.0093
37,6.5043,77.4394
38,6.5167,76.9937
39,6.5487,76.3647
40,6.8427,76.0372
41,6.896,75.4504
42,6.8967,75.1776
43,6.8757,74.9276
44,7.058,74.5125
45,7.3838,74.0551
46,7.4247,73.7416
47,7.6455,73.3836
48,7.7954,72.982
49,7.8213,72.5436
50,7.8539,72.1321
51,8.057,71.75
52,7.9914,71.3094
53,8.1625,70.9241
54,8.2049,70.4708
55,8.3332,70.0512
56,8.4621,69.832
57,8.44,69.4435
58,8.4402,69.1244
59,8.4012,69.0193
60,8.4176,68.6448
61,8.3787,68.182
62,8.5135,67.6608
63,8.7654,67.1964
64,8.8871,66.6845
65,8.8603,66.1142
66,8.8282,65.7708
67,8.76,65.4568
68,8.8635,64.9598
69,9.1247,64.6878
70,9.4137,64.1966
71,9.5796,63.7608
72,9.6621,63.494
73,9.5372,63.1946
74,9.5869,62.8246
75,9.6948,62.5429
76,9.6416,62.016
77,9.7833,61.8171
78,9.9005,61.2406
79,10.0958,60.7816
80,10.3501,60.1773
81,10.6599,59.7551
82,10.7777,59.4234
83,10.7534,59.1769
84,11.1677,59.0193
85,11.2465,58.7724
86,11.3467,58.591
87,11.2852,58.2012
88,11.3323,57.703
89,11.4101,57.3346
90,11.6392,56.8062
91,11.616,56.3761
92,11.5782,55.8715
93,11.6646,55.3648
94,11.7399,55.0758
95,11.9987,54.619
96,12.0584,54.1025
97,12.4396,53.5965
98,12.5811,53.294
99,12.6327,52.8646
100,12.7497,52.3877
101,12.8262,52.0849
102,12.7743,51.7904
103,13.0306,51.6382
104,13.2218,51.0784
105,13.1847,50.6928
106,13.1509,50.3255
107,13.2527,49.7389
108,13.2855,49.172
109,13.3798,48.8637
110,13.4223,48.5616
111,13.6829,48.2145
112,13.523,47.7806
113,13.4502,47.2166
114,13.5406,46.8058
115,13.4141,46.4476
116,13.4004,46.1325
117,13.558,45.6042
118,13.6767,45.2546
119,13.7066,45.1998
120,13.8262,44.9125
121,13.9406,44.7631
122,13.9907,44.4195
123,14.2017,44.1092
124,14.4515,43.7433
125,14.8142,43.4945
126,14.8716,42.9935
127,14.7921,42.6218
128,14.9549,42.0173
129,15.1242,41.5963
130,15.2513,41.2585
131,15.2668,41.0188
132,15.4421,40.8065
133,15.4744,40.3998
134,15.5031,40.0675
135,15.7555,39.7765
136,15.8553,39.2278
137,15.9414,38.8621
138,15.862,38.4448
139,15.9488,38.0943
140,16.0395,37.6679
141,16.1227,37.2145
142,16.2967,36.795
143,16.5539,36.3207
144,16.8201,35.9396
145,17.1442,35.5844
146,17.2866,35.2716
147,17.3744,34.9203
148,17.5256,34.5627
149,17.4734,34.0999
150,17.5892,33.8966
151,17.6052,33.4793
152,17.7199,33.0388
153,17.6203,32.7147
154,17.6368,32.1295
155,17.6067,31.5845
156,17.8174,31.2299
157,17.8598,30.815
158,17.8894,30.3783
159,17.9165,29.8935
160,18.0685,29.6385
161,18.2501,29.2214
162,18.3026,28.8973
163,18.4337,28.589
164,18.8423,28.2281
165,19.0204,27.9771
166,19.0854,27.5772
167,19.0335,27.219
168,18.9945,26.6317
169,19.0833,26.2004
170,19.2225,25.4077
171,19.1749,24.8847
172,19.066,24.646
173,19.0434,24.3141
174,19.2394,23.9129
175,19.3298,23.5814
176,19.3855,23.3594
177,19.5072,23.0722
178,19.5504,22.7876
179,19.3748,22.4164
180,19.2254,22.1474
181,19.2862,21.8131
182,19.4808,21.16
183,19.6688,20.8532
184,19.8235,20.6168
185,20.2111,20.0689
186,20.3393,19.579
187,20.4669,19.3543
188,20.669,18.7938
189,20.999,18.3834
190,21.0004,17.937
191,21.0178,17.6406
192,21.1443,17.2199
193,21.0915,16.7867
194,21.1828,16.3627
195,21.3576,16.0675
196,21.3819,15.684
197,21.5297,15.3899
198,21.6531,14.736
199,21.6972,14.333
200,21.6072,14.2625
201,21.7241,13.6375
202,21.8293,13.2237
203,22.004,12.9427
204,22.2277,12.5918
205,22.0368,12.1763
206,22.1469,11.763
207,22.2116,11.0707
208,22.3532,10.6513
209,22.4041,10.5913
210,22.6973,10.097
211,22.693,9.7988
212,22.7318,9.5386
213,22.8458,9.2047
214,22.9706,8.8649
215,23.218,8.4001
216,23.277,8.0518
217,23.2842,7.6446
218,23.509,7.3363
219,23.732,6.87
220,23.8553,6.3364
221,24.1241,5.8368
222,24.1712,5.4011
223,24.1299,4.8517
224,24.3531,4.5564
225,24.5107,4.1474
226,24.5833,3.8875
227,24.6191,3.6273
228,24.534,3.3214
229,24.6154,2.8549
230,24.7442,2.5717
231,24.7825,2.109
232,24.8592,1.6086
233,24.8788,1.4716
234,25.0034,0.9642
235,25.347,0.9521
236,25.6156,0.8583
237,26.1482,1.124
238,26.5778,1.1642
239,26.8664,1.1718
240,27.1461,1.3077
241,27.6328,1.3646
242,28.0063,1.2407
243,28.2976,1.3787
244,28.7555,1.2815
245,29.1102,1.36
246,29.4541,1.2656
247,29.9073,1.0265
248,30.2788,1.2434
249,30.7745,1.2015
250,31.0665,1.029
251,31.4793,1.259
252,31.8456,1.2788
253,32.1714,1.191
254,32.7375,1.2287
255,33.2203,1.2129
256,33.525,1.0316
257,33.8275,1.0424
258,34.1891,0.9757
259,34.7596,0.843
260,35.2014,0.7971
261,35.6802,0.975
262,35.985,1.2076
263,36.3553,1.1348
264,36.8884,1.1369
265,37.2714,0.9947
266,37.7845,1.0271
267,38.2458,1.0505
268,38.7922,1.0592
269,39.0299,1.1008
270,39.5372,1.1335
271,39.7354,0.939
272,40.1518,0.8589
273,40.5616,1.1239
274,40.9204,1.0009
275,41.1897,0.8676
276,41.7518,0.9438
277,42.114,1.1459
278,42.5959,1.4788
279,43.0198,1.3257
280,43.4247,1.3176
281,43.8803,1.2883
282,44.317,1.2053
283,44.8809,1.3158
284,45.2394,1.3382
285,45.6612,1.4648
286,46.0222,1.5096
287,46.3909,1.4221
288,46.7605,1.3831
289,47.1141,1.2955
290,47.6682,1.3267
291,48.1875,1.2629
292,48.568,1.4067
293,48.9029,1.2032
294,49.2842,1.0774
295,49.6261,0.9879
296,49.9984,1.0047
297,50.2659,0.8466
298,50.4406,0.8765
299,50.7828,0.8091
300,51.1829,0.6349
301,51.4215,0.7506
302,52.0085,0.8332
303,52.3503,0.7493
304,52.7859,0.7542
305,53.3718,0.8896
306,53.8277,0.8505
307,54.2634,0.8139
308,54.5647,0.744
309,55.1196,0.8332
310,55.5188,0.8886
311,55.9822,0.7258
312,56.3451,0.8603
313,56.6661,0.8581
314,57.0747,0.8613
315,57.0636,1.2356
316,56.876,1.8505
317,56.9352,2.4217
318,56.8124,3.1149
319,56.7236,3.4895
320,56.5443,3.8258
321,56.5894,4.2553
322,56.5707,4.534
323,56.5968,4.983
324,56.5676,5.3059
325,56.8368,5.8476
326,57.0828,6.3346
327,57.0283,6.6656
328,57.0615,7.0245
329,57.0417,7.3972
330,57.0089,7.7047
331,56.997,7.9084
332,57.2576,8.3193
333,57.2222,8.6101
334,57.1549,8.9481
335,57.0671,9.4856
