i,x,y
0,2.7941,92.2836
1,2.758,91.9051
2,2.9315,91.5521
3,2.9657,91.19
4,3.0936,90.6419
5,3.2699,90.2449
6,3.2656,89.724
7,3.3399,89.3681
8,3.6067,88.8738
9,3.7964,88.5174
10,3.803,88.1537
11,4.0501,87.6941
12,4.0162,87.2198
13,4.045,86.9321
14,4.1355,86.3716
15,4.283,86.1024
16,4.3854,85.8327
17,4.4545,85.4527
18,4.5558,84.9951
19,4.7248,84.6031
20,4.785,84.4648
21,4.9463,83.9253
22,5.1525,83.4667
23,5.2733,83.1439
24,5.4376,82.7215
25,5.4202,82.4144
26,5.4271,82.051
27,5.4767,81.5757
28,5.5188,81.1475
29,5.8597,80.8876
30,5.9856,80.5017
31,6.1476,80.0868
32,6.1276,79.7437
33,6.3318,79.2881
34,6.4585,78.9218
35,6.5543,78.6171
36,6.7204,78.2329
37,6.7787,77.7613
38,6.8765,77.1706
39,6.8974,76.744
40,6.8705,76.5025
41,6.864,76.0521
42,7.1304,75.7182
43,7.2272,75.1913
44,7.3582,74.8204
45,7.4154,74.5376
46,7.3457,74.1135
47,7.4963,73.7489
48,7.337,73.3851
49,7.6566,73.0319
50,7.7516,72.5543
51,7.8631,72.0335
52,7.8657,71.6542
53,7.9557,71.3332
54,8.1448,70.9269
55,8.3284,70.3208
56,8.2715,70.0383
57,8.2892,69.6534
58,8.3611,69.3539
59,8.4083,68.7158
60,8.682,68.312
61,8.7853,67.9035
62,8.8965,67.679
63,8.9341,67.3157
64,8.9954,66.9251
65,9.2724,66.5536
66,9.2673,66.2075
67,9.3294,65.8445
68,9.5528,65.3911
69,9.7182,64.9865
70,9.931,64.7581
71,10.0482,64.2756
72,10.1482,64.095
73,10.3041,63.5433
74,10.3669,63.189
75,10.3112,62.7028
76,10.4633,62.2446
77,10.3853,61.7929
78,10.2918,61.5969
79,10.4716,61.1786
80,10.5278,60.625
81,10.6535,60.3502
82,10.7192,60.0479
83,10.8316,59.5822
84,11.0722,59.2235
85,11.1128,58.8002
86,11.295,58.324
87,11.4066,58.0165
88,11.4768,57.622
89,11.8456,57.2381
90,11.8117,56.8188
91,11.8808,56.3979
92,12.0969,56.1231
93,12.2611,55.816
94,12.2882,55.361
95,12.3057,55.0574
96,12.4727,54.5468
97,12.4354,54.192
98,12.4822,53.7697
99,12.6478,53.3568
100,12.5609,52.9072
101,12.6166,52.3552
