i,x,y
0,7.1439,89.818
1,7.0034,89.3224
2,7.0991,88.9719
3,7.0823,88.6457
4,7.0029,88.1968
5,7.1597,87.7788
6,7.1125,87.4441
7,7.1306,87.0567
8,7.091,86.723
9,7.1602,86.2668
10,7.2349,85.8798
11,7.174,85.4888
12,6.9411,84.9925
13,7.0889,84.6213
14,6.9844,84.3973
15,6.93,84.0493
16,6.9747,83.6902
17,7.0413,83.1753
18,7.0273,82.709
19,7.001,82.3932
20,6.9798,82.0552
21,6.9953,81.6868
22,7.0176,81.4006
23,7.0672,81.0215
24,7.0415,80.6824
25,7.082,80.186
26,7.0599,79.8674
27,7.1496,79.5008
28,7.2949,79.1017
29,7.1766,78.6292
30,7.0997,78.2142
31,7.1597,77.7636
32,7.2903,77.4533
33,7.1487,76.9814
34,7.3781,76.4614
35,7.4862,76.2015
36,7.2681,75.8226
37,7.1335,75.5074
38,7.0623,75.1418
39,6.9766,74.7708
40,6.8756,74.2714
41,6.9279,74.0589
42,7.0736,73.5822
43,7.1626,73.1387
44,7.0157,72.6637
45,7.1247,72.2912
46,7.1278,71.9606
47,7.0395,71.3519
48,7.0389,70.937
49,6.9386,70.5885
50,6.9596,69.9888
51,6.8985,69.625
52,7.003,69.2967
53,6.9253,68.843
54,7.0614,68.3336
55,7.2301,67.9185
56,7.1385,67.3562
57,7.0209,66.8046
58,7.1205,66.4322
59,7.175,66.0393
60,7.2608,65.4274
61,7.2207,65.1306
62,7.1647,64.6119
63,7.2235,64.3387
64,7.1852,64.0444
65,7.1603,63.6397
66,7.2794,63.3359
67,7.3412,63.0045
68,7.2425,62.6292
69,7.2033,62.033
70,7.0956,61.799
71,6.9739,61.5687
72,6.8681,61.1525
73,7.0003,60.5977
74,7.0794,60.0988
75,7.074,59.7424
76,7.2058,59.493
77,7.0578,59.1599
78,6.9876,58.8353
79,6.7678,58.2714
80,6.8117,57.7312
81,6.895,57.1949
82,6.7546,56.7951
83,6.8597,56.3942
84,6.9412,55.9996
85,6.9154,55.6638
86,7.1387,55.2195
87,7.218,54.7394
88,7.2929,54.4928
89,7.3142,54.0824
90,7.218,53.7796
91,7.2814,53.4131
92,7.317,53.0813
93,7.3013,52.6788
94,7.1861,52.0667
95,7.1,51.5415
96,6.9792,51.1591
97,6.9676,50.6959
98,7.0871,50.3572
99,7.0739,50.0203
100,7.0502,49.6509
101,6.9889,49.2629
102,6.9743,48.8202
103,7.1156,48.4501
104,7.0252,47.9998
105,7.0283,47.6857
106,6.9603,47.2435
107,6.8368,46.9963
108,6.8568,46.7197
109,6.9028,46.3882
110,6.6653,45.9371
111,6.6944,45.4663
112,6.9041,45.2167
113,6.9335,44.8336
114,6.9368,44.6544
115,6.9545,44.3383
116,7.0188,43.9097
117,7.0265,43.5353
118,7.1159,43.3376
119,7.2008,43.0278
120,7.2542,42.5579
121,7.2493,42.186
122,7.2007,41.782
123,7.1898,41.179
124,7.1997,40.6683
125,7.2141,40.0741
126,7.1983,39.7171
127,7.0928,39.3792
128,7.123,38.9442
129,7.2426,38.5702
130,7.1774,38.1122
131,7.1325,37.718
132,7.1001,37.3583
133,7.1931,36.9359
134,7.0801,36.7683
135,7.165,36.2423
136,7.3141,35.8635
137,7.3852,35.5193
138,7.2926,35.1165
139,7.2604,34.7119
140,7.1693,34.4117
141,7.2367,34.0786
142,7.2984,33.5868
143,7.387,33.2827
144,7.246,32.8735
145,7.3551,32.5442
146,7.4489,32.0071
147,7.3264,31.4607
148,7.3418,30.9551
149,7.2003,30.6349
150,7.0645,30.2817
151,6.9628,29.8007
152,6.9889,29.484
153,6.9337,28.9067
154,6.9175,28.4116
155,6.9042,28.013
156,7.0035,27.6431
157,7.0902,27.2391
158,7.256,26.9386
159,7.199,26.5905
160,7.1432,25.9831
161,7.0967,25.4346
162,7.1437,25.0761
163,7.0955,24.6326
164,6.9773,24.206
165,7.0293,23.8906
166,6.966,23.3532
167,7.1113,23.0455
168,7.1926,22.6911
169,7.1407,22.3788
170,7.1585,21.9841
171,7.3166,21.5386
172,7.2462,21.0018
173,7.1403,20.6252
174,7.1919,20.1693
175,7.099,19.5979
176,6.9865,19.2933
177,6.9019,19.0884
178,6.7373,18.7293
179,6.8101,18.3485
180,6.7954,17.9258
181,6.9206,17.5871
182,6.7958,17.2489
183,6.8921,16.6755
184,6.8069,16.4805
185,6.8823,16.2454
186,7.0014,15.7231
187,7.1034,15.2403
188,7.2625,14.7116
189,7.2176,14.3357
190,7.0213,13.8262
191,6.8867,13.553
192,6.7098,13.0936
193,6.889,12.693
194,6.904,12.2499
195,6.9058,11.8639
196,6.8016,11.4359
197,6.7717,10.8729
198,6.6679,10.4603
199,6.6159,9.9795
200,6.6823,9.4946
201,6.5649,9.046
202,6.67,8.7097
203,6.6724,8.5358
204,6.7024,8.0026
205,6.6454,7.7907
206,6.6474,7.405
207,6.6907,6.9708
208,6.8047,6.5947
209,6.6725,6.1187
210,6.4958,5.5481
211,6.4996,5.2462
212,6.3681,4.8368
213,6.4631,4.4781
214,6.394,4.0402
215,6.5201,3.7918
216,6.6548,3.5078
217,6.7604,3.0084
218,6.7149,2.7406
219,6.9484,2.3978
220,7.0874,1.9316
221,7.415,2.0457
222,7.7765,2.1757
223,8.2176,2.1573
224,8.532,2.3099
225,8.9361,2.4419
226,9.4961,2.5208
227,9.83,2.4833
228,10.2805,2.4268
229,10.7755,2.3101
230,11.1711,2.5193
231,11.5894,2.3609
232,12.0693,2.3458
233,12.3848,2.3992
234,12.9301,2.4844
235,13.3478,2.5313
236,13.5408,2.5783
237,13.8767,2.4903
238,14.3982,2.4366
239,14.7218,2.4313
240,15.1644,2.4519
241,15.6434,2.3037
242,16.0325,2.3982
243,16.6713,2.3992
244,16.9425,2.3032
245,17.3267,2.2796
246,17.7005,2.3739
247,18.0276,2.4883
248,18.3966,2.3851
249,18.7941,2.2446
250,19.314,2.1611
251,19.7691,2.1772
252,20.1908,2.0948
253,20.5531,2.0872
254,20.8395,1.9661
255,21.0778,1.9925
256,21.4495,1.907
257,21.7349,1.9105
258,22.224,1.915
259,22.8202,1.6619
260,23.2369,1.7217
261,23.6009,1.7825
262,23.946,1.7532
263,24.217,1.7853
264,24.7729,1.8114
265,25.2343,1.7781
266,25.4736,1.6472
267,25.7806,1.7433
268,26.2093,1.8485
269,26.2237,2.1678
270,26.3582,2.4489
271,26.4196,2.8401
272,26.3703,3.0724
273,26.3606,3.5164
274,26.4136,3.9915
275,26.534,4.3147
276,26.6289,4.7854
277,26.732,5.4521
278,26.7652,6.0254
279,26.682,6.3326
280,26.6978,6.6335
281,26.5589,6.9736
282,26.5258,7.3942
283,26.4494,7.6532
284,26.67,7.8846
285,26.6078,8.2737
286,26.4512,8.7262
287,26.3093,8.9347
288,26.1251,9.3009
289,26.1349,9.6977
290,26.037,10.2264
291,25.9691,10.5944
292,25.8419,11.2929
293,25.8882,11.7382
294,25.9409,12.0495
295,25.9778,12.4063
296,25.9229,12.6998
297,25.8218,13.2545
298,25.8516,13.6715
299,25.9497,14.1254
300,25.7448,14.387
301,25.7848,14.7901
302,25.8814,15.404
303,25.9334,15.8094
304,25.9151,16.0824
305,25.9109,16.5692
306,25.9173,16.921
307,25.9248,17.3955
308,25.9021,17.9147
309,25.7858,18.391
310,25.927,18.7755
311,25.9806,19.1158
312,26.0549,19.486
313,26.0286,19.988
314,26.0958,20.27
315,26.2076,20.7301
316,26.0463,21.091
317,26.0552,21.5126
318,26.0719,21.9486
319,26.1566,22.4025
320,26.1255,22.788
321,26.1878,23.1307
322,26.0554,23.461
323,26.0389,23.9614
324,25.9124,24.2368
325,25.9284,24.7918
326,25.8992,25.198
327,25.9909,25.5741
328,25.929,26.1074
329,25.9506,26.6412
330,25.8577,27.0338
331,25.7483,27.1795
332,25.7094,27.5821
333,25.7407,28.1558
334,25.7783,28.5092
335,25.8068,29.1381
336,25.8288,29.5639
337,25.8965,30.0725
338,25.9821,30.4332
339,26.0239,30.8384
340,26.1175,31.0797
341,26.0711,31.5388
342,25.9458,31.7733
343,25.8334,32.1002
344,25.777,32.5275
345,25.9035,32.8722
346,25.9006,33.3265
347,25.9353,33.675
348,26.0105,34.0199
349,26.0714,34.4728
350,26.0449,35.0038
351,26.1322,35.3984
352,26.0513,35.7844
353,26.034,36.2266
354,25.8372,36.574
355,25.708,36.8287
356,25.6996,37.4582
357,25.6966,37.7871
358,25.8117,38.0931
359,25.8067,38.45
360,26.0514,38.8432
361,26.0479,39.2639
362,26.0241,39.671
363,26.1001,40.0752
364,26.0108,40.3919
365,25.9561,40.7152
366,26.0456,41.0857
367,26.1824,41.5094
368,26.084,41.8891
369,26.1783,42.2636
370,25.9628,42.5376
371,25.8891,42.849
372,25.9493,43.1924
373,25.9257,43.6364
374,25.8264,44.0477
375,25.625,44.4638
376,25.4922,44.6735
377,25.7426,45.1253
378,25.643,45.4363
379,25.7951,45.8749
380,25.9185,46.347
381,25.8609,46.8868
382,25.9633,47.3217
383,25.9596,47.7368
384,25.9435,48.1502
385,26.0633,48.5548
386,26.1566,48.9413
387,26.2922,49.4305
388,26.3428,49.6738
389,26.4084,49.9452
390,26.488,50.3953
391,26.5104,50.7959
392,26.3185,51.2564
