i,x,y
0,6.7383,89.9497
1,6.7589,89.6415
2,6.8649,89.192
3,7.0102,88.8117
4,6.9972,88.4006
5,6.9987,87.9769
6,7.0706,87.4563
7,6.9811,87.0257
8,6.8919,86.4544
9,7.0017,85.9967
10,6.9183,85.7042
11,6.9719,85.2703
12,7.1096,84.8775
13,7.0749,84.3331
14,7.0654,84.0934
15,7.0233,83.7502
16,7.1534,83.3688
17,7.1355,82.9993
18,7.2526,82.7712
19,7.3063,82.4735
20,7.261,82.1742
21,7.3211,81.6486
22,7.2942,81.1029
23,7.3061,80.8852
24,7.3156,80.5556
25,7.2901,80.2245
26,7.1874,79.7475
27,7.1596,79.1874
28,7.1069,78.7363
29,6.9305,78.3901
30,6.8594,77.9087
31,6.6656,77.456
32,6.7107,76.956
33,6.7953,76.3931
34,6.661,76.0551
35,6.7403,75.6872
36,6.9581,75.3064
37,7.0281,74.9263
38,6.9093,74.5259
39,6.8577,74.0876
40,6.7312,73.812
41,6.7305,73.5097
42,6.9296,73.2221
43,6.9957,72.7943
44,7.0346,72.3647
45,7.065,72.079
46,6.9897,71.7533
47,7.021,71.3999
48,6.9515,70.9129
49,6.952,70.5806
50,7.0736,70.1279
51,7.2041,69.8289
52,7.2135,69.5459
53,7.2224,69.1546
54,7.2999,68.7741
55,7.1902,68.3704
56,7.1018,67.9068
57,7.234,67.4412
58,7.3212,67.0214
59,7.3324,66.7056
60,7.296,66.2903
61,7.2601,65.7754
62,7.3467,65.4946
63,7.2821,65.0505
64,7.2484,64.6098
65,7.3814,64.2051
66,7.3161,63.8439
67,7.4284,63.3035
68,7.5442,62.9067
69,7.5056,62.5575
70,7.5044,62.1955
71,7.5896,61.7326
72,7.5125,61.304
73,7.6163,60.8488
74,7.6354,60.4463
75,7.6483,60.0088
76,7.6542,59.6122
77,7.7867,59.1381
78,7.5914,58.6257
79,7.5071,58.2218
80,7.4688,57.8181
81,7.3325,57.4333
82,7.2789,56.9359
83,7.1644,56.6697
84,7.233,56.2702
85,7.33,55.8343
86,7.375,55.4153
87,7.2693,55.0767
88,7.2835,54.6417
89,7.1947,54.2451
90,7.1529,53.8143
91,7.2148,53.307
92,7.2582,52.8161
93,7.358,52.3502
94,7.288,52.0439
95,7.4862,51.5818
96,7.518,51.1155
97,7.2877,50.7689
98,7.0834,50.2588
99,7.1565,50.0474
100,7.2389,49.7436
101,7.3496,49.393
102,7.4678,48.8071
103,7.4426,48.4674
104,7.412,48.1559
105,7.2346,47.8875
106,7.1782,47.4313
107,7.1293,47.0179
108,7.0855,46.5654
109,7.0676,46.2937
110,7.2179,45.9661
111,7.3856,45.5076
112,7.3271,45.0142
113,7.3028,44.69
114,7.3169,44.2077
115,7.1815,43.785
116,7.2098,43.4374
117,7.1995,43.1415
118,7.2551,42.7118
119,7.2205,42.1766
120,7.2017,41.678
121,7.1629,41.1833
122,7.253,40.7785
123,7.1562,40.3665
124,7.0535,40.0778
125,7.1676,39.8419
126,7.1077,39.4658
127,7.1332,38.9923
128,7.0185,38.5017
129,7.1986,38.251
130,7.1328,38.0086
131,7.1492,37.6138
132,7.0966,37.1246
133,7.0858,36.658
134,6.9018,36.213
135,6.7912,35.8021
136,6.8681,35.334
137,6.8526,35.0969
138,6.986,34.644
139,7.0437,34.1916
140,7.0502,33.9295
141,7.061,33.5386
142,7.0372,33.1068
143,7.1298,32.6423
144,6.9712,32.243
145,7.0581,31.7494
146,7.1787,31.1341
147,7.2715,30.8176
148,7.2062,30.5395
149,7.1846,30.2141
150,7.208,29.6728
151,7.3242,29.219
152,7.4006,28.9571
153,7.2527,28.4984
154,7.1963,28.3187
155,7.2134,27.8178
156,7.1385,27.3733
157,7.1651,26.9801
158,7.2078,26.5944
159,7.0723,26.3773
160,6.989,26.0755
161,7.0105,25.6431
162,7.142,25.1231
163,7.241,24.7709
164,7.0998,24.3769
165,7.0017,23.9644
166,6.9695,23.6835
167,7.1392,23.389
168,7.3154,22.9741
169,7.1675,22.6675
170,7.1524,22.2064
171,7.1541,21.7579
172,7.1799,21.5052
173,7.2005,21.1185
174,7.1811,20.7746
175,7.2248,20.4205
176,7.0883,19.915
177,7.0493,19.5863
178,7.1399,19.1656
179,7.0859,18.6339
180,6.9694,18.2696
181,6.918,18.0117
182,6.95,17.5932
183,6.9867,17.1536
184,6.9768,16.6458
185,7.0321,16.1672
186,7.0863,15.6937
187,7.0713,15.3182
188,7.0054,14.9914
189,7.1247,14.6223
190,7.0274,14.3317
191,6.923,13.9276
192,6.9989,13.4676
193,7.1861,13.0338
194,7.1585,12.8312
195,7.3461,12.2513
196,7.3615,11.7876
197,7.3324,11.4156
198,7.2923,11.0679
199,7.2565,10.6698
200,7.2432,10.2093
201,7.1291,9.7869
202,7.0906,9.2587
203,6.9778,8.7431
204,6.972,8.4629
205,6.9043,8.198
206,6.8986,7.8361
207,6.9951,7.5025
208,7.0418,7.1222
209,7.0055,6.7577
210,7.0211,6.2607
211,7.0283,5.7331
212,7.1927,5.3571
213,7.1694,5.0061
214,7.1921,4.4045
215,7.0357,4.0741
216,7.0309,3.5995
217,7.1272,3.3522
218,7.0979,2.9893
219,7.0467,2.6477
220,7.0002,2.1884
221,7.3119,2.0626
222,7.6919,2.1087
223,8.1225,2.1413
224,8.3739,2.1187
225,8.683,2.075
226,9.0266,1.9673
227,9.3744,1.9007
228,9.6836,1.8555
229,10.0698,1.8812
230,10.3534,1.9579
231,10.9447,1.9918
232,11.2559,2.0215
233,11.7363,2.0402
234,12.3198,1.976
235,12.7655,1.9357
236,13.0483,1.9421
237,13.5238,1.7934
238,13.9322,1.7588
239,14.3366,1.7975
240,14.7657,1.8706
241,15.2354,1.8312
242,15.729,1.7381
243,16.1262,1.792
244,16.5491,1.9635
245,17.0758,1.9054
246,17.6045,1.9673
247,17.9404,1.8509
248,18.2649,1.8978
249,18.7676,1.9134
250,19.1166,1.8439
251,19.5763,2.0136
252,19.8857,2.0414
253,20.3568,2.1108
254,20.711,2.2009
255,21.132,2.3632
256,21.6437,2.2032
257,21.9472,2.2112
258,22.2999,2.148
259,22.6202,2.1832
260,22.9815,2.2026
261,23.1874,2.003
262,23.5899,2.1072
263,23.939,2.0568
264,24.354,2.1127
265,24.817,2.0547
266,25.2377,2.0971
267,25.6161,2.1586
268,25.9215,2.314
269,25.8693,2.7779
270,25.8406,3.1418
271,25.7847,3.5872
272,25.7537,3.8787
273,25.7785,4.2296
274,25.8526,4.5193
275,25.7804,4.9344
276,25.9312,5.3447
277,25.8775,5.7207
278,25.7967,6.1711
279,25.869,6.49
280,25.8985,6.7907
281,25.7337,7.2196
282,25.9125,7.614
283,25.9832,8.0315
284,25.9964,8.4058
285,26.0567,8.8978
286,26.0445,9.2523
287,26.1063,9.5073
288,26.0202,9.8497
289,26.151,10.3037
290,26.0862,10.7051
291,26.1917,11.1219
292,26.1858,11.5343
293,26.3752,12.0018
294,26.3833,12.37
295,26.3228,12.9136
296,26.3417,13.3044
297,26.4409,13.9236
298,26.4986,14.1374
299,26.3956,14.4433
300,26.3843,14.6566
301,26.149,15.0369
302,26.1725,15.5189
303,26.1636,15.7773
304,26.1858,16.232
305,26.2142,16.6053
306,26.1611,16.9552
307,26.2163,17.37
308,26.377,17.7428
309,26.2594,18.0658
310,26.3388,18.4969
311,26.2669,19.017
312,26.0141,19.3838
313,26.0068,19.714
314,26.0205,20.2447
315,26.0257,20.6028
316,26.0976,21.0454
317,26.0376,21.5762
318,25.9807,22.0447
319,25.9937,22.4404
320,26.0277,22.734
321,25.9318,23.1177
322,25.853,23.5983
323,25.8451,24.011
324,25.8337,24.5511
325,25.8078,25.0685
326,25.8393,25.4246
327,25.801,25.8136
328,25.841,26.2018
329,25.8375,26.4537
330,25.8792,26.8605
331,25.8759,27.2891
332,25.9498,27.7478
333,26.0905,28.2692
334,26.0725,28.7102
335,26.021,29.0812
336,26.0384,29.4163
337,26.0494,29.8529
338,25.9256,30.1738
339,25.9009,30.6059
340,26.0495,30.934
341,26.0033,31.2605
342,25.8506,31.707
343,25.8133,32.1074
344,25.7569,32.5799
345,25.7754,32.9389
346,25.7993,33.4017
347,25.9086,33.7752
348,25.7545,34.0338
349,25.5022,34.5526
350,25.6011,34.8523
351,25.5952,35.3307
352,25.6795,35.789
353,25.743,36.175
354,25.8654,36.5009
355,25.8339,36.7569
356,25.7865,37.0974
357,25.8797,37.5686
358,25.7635,37.9412
359,25.8986,38.2528
360,26.0043,38.6508
361,26.0082,39.2019
362,25.9049,39.5488
363,25.8476,39.9439
364,25.9556,40.374
365,25.9893,40.7976
366,25.9435,41.2893
367,25.8607,41.6845
368,25.8288,42.0616
369,25.8284,42.3679
370,25.8197,42.8738
371,25.9135,43.3754
372,25.9718,43.8229
373,26.0086,44.3675
374,26.1335,44.6115
375,26.0903,44.9719
376,26.1737,45.4153
377,26.0158,45.8497
378,26.1671,46.0424
379,26.1186,46.4821
380,26.2398,46.7971
381,26.1358,47.3084
382,25.9672,47.6994
383,26.1459,48.0111
384,26.1774,48.6257
385,26.1808,48.9418
386,26.0297,49.1444
387,26.149,49.6831
388,26.0947,49.8813
389,25.9247,50.2026
390,25.8622,50.5649
391,25.918,50.9961
392,25.9842,51.2639
393,25.9694,51.6666
394,26.0109,51.9632
395,25.9495,52.4367
396,25.971,52.8798
397,25.8676,53.3324
398,25.7805,53.8151
399,25.8385,54.184
400,25.8258,54.5574
401,25.7759,54.9836
402,25.7827,55.3732
403,25.7952,55.7572
404,25.9281,56.2025
405,25.8727,56.6395
406,25.8901,57.0141
407,25.8286,57.4373
408,25.6997,57.856
409,25.7759,58.3879
410,25.7917,58.6404
411,25.8991,59.1998
412,25.9379,59.7108
413,25.9085,59.9982
414,25.9695,60.4308
415,25.9525,60.7432
416,25.8418,61.059
417,25.8078,61.2986
418,25.6184,61.8845
419,25.6084,62.4787
420,25.7046,62.8851
421,25.6402,63.3181
422,25.5669,63.683
423,25.5987,64.0787
424,25.6985,64.5248
425,25.6807,64.9228
426,25.7627,65.2831
427,25.6653,65.765
428,25.6012,66.1606
429,25.6606,66.6157
430,25.6608,66.9629
431,25.6765,67.2907
432,25.6325,67.7371
433,25.5538,68.0167
434,25.5538,68.4098
435,25.5425,68.7977
436,25.7127,69.1167
437,25.9112,69.4431
438,25.8465,69.8575
439,25.59,70.1714
440,25.6408,70.6472
441,25.7591,71.0168
442,25.7259,71.3705
443,25.7138,71.8533
444,25.7174,72.0575
445,25.8403,72.3967
446,25.9166,72.7696
447,25.9113,73.2149
448,25.9582,73.5406
449,26.0064,73.9824
450,25.8667,74.583
451,25.9417,75.1755
452,25.845,75.6635
453,25.8599,76.2582
454,25.8549,76.6391
455,25.8365,77.0678
456,25.7375,77.3642
457,25.6571,77.8151
458,25.6189,78.2845
459,25.7106,78.7055
460,25.7228,78.9682
461,25.8781,79.3704
462,25.8987,79.7163
463,25.8478,80.0236
464,25.9509,80.407
465,25.9724,80.6486
466,25.9815,81.0273
467,26.0526,81.2468
468,26.1835,81.7386
469,26.2224,81.9919
470,26.2322,82.4519
471,26.1629,82.861
472,25.9661,83.4566
473,26.0694,83.8662
474,26.1443,84.3668
475,26.0959,84.8003
476,25.9373,85.1465
477,25.9818,85.634
478,25.9749,86.0658
479,25.9082,86.3048
480,25.9295,86.6206
481,26.0016,87.0466
482,26.1612,87.3848
483,26.1087,87.7967
484,25.9208,88.156
485,25.8814,88.6307
486,25.8465,88.9732
487,26.1776,88.9662
488,26.6234,88.9006
489,26.933,88.878
490,27.3933,88.8776
491,27.6895,88.8749
492,28.1076,88.8631
493,28.4069,88.9375
494,28.8131,89.092
495,29.3713,89.2439
496,29.7907,89.0834
