i,x,y
0,7.2251,89.2214
1,7.2259,88.7675
2,6.3476,88.4746
3,6.5421,88.2651
4,6.2156,87.9444
5,6.4994,87.3074
6,6.4361,86.9712
7,6.7195,86.7821
8,6.8274,86.8644
9,6.9087,86.5901
10,6.7688,85.7942
11,6.6252,85.5014
12,6.6972,84.916
13,6.4955,84.1296
14,6.7005,84.3101
15,6.3629,83.7159
16,6.3376,82.9729
17,6.5106,82.7119
18,6.4272,82.7437
19,6.347,82.398
20,6.562,81.886
21,6.4715,81.7273
22,6.8302,81.3296
23,7.1886,81.0843
24,7.8173,80.6793
25,7.5912,80.2704
26,7.4324,79.5608
27,7.179,79.1358
28,7.1599,78.4254
29,7.0749,78.4033
30,6.9281,77.64
31,6.7348,77.2213
32,7.2095,76.4808
33,6.9767,76.1436
34,7.1092,75.6627
35,7.3508,75.6462
36,7.5158,75.4738
37,7.5031,74.6909
38,7.7122,74.2913
39,8.0562,73.4462
40,8.0396,73.146
41,8.0486,72.8187
42,8.1371,72.26
43,7.7305,71.9457
44,8.1267,71.5692
45,8.3865,71.1524
46,8.4826,70.9312
47,8.438,70.4554
48,8.5659,69.8433
49,7.8199,69.4242
50,7.4133,69.1757
51,7.4098,68.6911
52,7.4095,68.5181
53,7.2672,68.3634
54,7.0544,68.3216
55,7.0036,67.8397
56,7.323,67.4283
57,7.1202,66.6429
58,7.0391,65.7817
59,7.1014,65.3813
60,7.1865,64.61
61,7.1645,64.6438
62,7.155,64.6074
63,7.358,64.5761
64,7.2308,64.1555
65,7.1065,63.9872
66,7.4538,63.6864
67,7.8155,62.9917
68,7.3052,62.472
69,7.542,62.095
70,7.3127,61.1922
71,7.0749,60.403
72,7.1789,59.8192
73,6.7554,59.3945
74,6.4037,59.2572
75,6.1534,58.7806
76,6.2334,58.1405
77,5.8816,58.1323
78,6.0802,57.7064
79,6.1928,57.612
80,6.1212,57.4055
81,6.1441,56.7668
82,6.4369,56.7212
83,6.2276,56.1808
84,6.3607,55.7422
85,6.7401,55.498
86,6.4843,54.9527
87,6.5928,54.5463
88,6.6559,54.1637
89,6.7403,53.9616
90,6.793,53.9025
91,7.1647,53.8233
92,7.0164,53.4879
93,7.4399,52.8147
94,7.3305,52.4405
95,7.3813,51.9559
96,7.1255,51.7699
97,7.2116,51.8244
98,7.2507,51.6322
99,7.4015,51.2414
100,7.2045,50.8992
101,7.2163,50.8521
102,7.2552,50.4348
103,6.9852,50.114
104,6.8643,49.3584
105,7.082,48.8243
106,7.0729,48.5941
107,6.9606,47.9469
108,6.8718,47.4841
109,7.1654,46.9942
110,7.5634,46.2989
111,7.6254,45.9335
112,7.435,45.5005
113,7.1058,45.0463
114,6.7526,44.5144
115,7.0886,44.2868
116,6.986,43.9481
117,6.8465,43.4706
118,7.2675,43.0943
119,7.0199,42.7822
120,6.9905,42.2632
121,7.0645,41.6473
122,6.9511,41.5461
123,7.0036,40.9563
124,6.9246,40.6265
125,6.3793,40.5309
126,6.5355,40.149
127,6.1467,39.7053
128,5.8999,38.8758
129,5.8521,38.6032
130,6.1842,37.6135
131,6.0832,37.1746
132,6.5298,36.7301
133,6.7138,36.7046
134,6.7255,36.3897
135,7.0113,35.8214
136,6.7972,35.1732
137,6.4586,34.782
138,6.5797,34.3899
139,6.5939,34.35
140,6.8186,33.5604
141,6.5698,32.862
142,6.5766,32.1996
143,6.5637,32.3006
144,6.3783,31.9719
145,6.5069,31.3814
146,6.7485,30.9334
147,7.0719,30.4448
148,6.9928,29.8097
149,6.4519,29.5319
150,6.4689,29.4081
151,6.3817,28.9342
152,5.9612,28.8918
153,6.4901,28.221
154,6.6296,27.7408
155,6.739,26.9556
156,6.6066,26.8102
157,6.9685,26.4559
158,6.8541,26.2276
159,6.7065,25.7011
160,6.4888,25.7399
161,6.2757,25.6288
162,6.2088,24.9921
163,5.8115,24.7663
164,6.1599,24.4682
165,6.2534,23.6715
166,6.1785,22.8838
167,6.4297,22.7468
168,6.9585,22.0165
