i,x,y
0,6.9064,90.1329
1,6.8625,89.5892
2,6.7941,89.1735
3,6.7751,88.8837
4,6.8834,88.2792
5,6.9177,87.7531
6,7.0455,87.2859
7,7.0977,86.8146
8,6.9893,86.5122
9,7.0378,86.1072
10,6.9652,85.6516
11,6.9157,85.1365
12,6.8762,84.7146
13,6.8877,84.3777
14,6.9067,84.0443
15,6.8776,83.8769
16,7.0076,83.4092
17,7.1206,83.1893
18,7.0904,82.8281
19,7.2991,82.2507
20,7.2865,81.9523
21,7.3124,81.6368
22,7.4345,81.207
23,7.6036,80.9031
24,7.4624,80.4418
25,7.3758,80.1579
26,7.3115,79.8371
27,7.2899,79.3771
28,7.3091,79.1825
29,7.1745,78.6923
30,7.0589,78.2271
31,7.1336,77.8562
32,7.1666,77.3467
33,7.1277,77.0375
34,6.827,76.5641
35,6.8295,76.1398
36,6.7433,75.8165
37,6.7225,75.1457
38,6.7286,74.6717
39,6.6951,74.2789
40,6.752,73.9229
41,6.6964,73.7368
42,6.8174,73.3588
43,6.9088,72.8738
44,6.6406,72.5506
45,6.508,72.0262
46,6.5089,71.6356
47,6.5301,71.4344
48,6.633,70.9691
49,6.5716,70.4968
50,6.4333,69.809
51,6.6316,69.4697
52,6.6912,69.019
53,6.6641,68.4858
54,6.8097,68.0999
55,6.9035,67.5893
56,7.1036,67.1754
57,6.9596,66.9196
58,6.8675,66.4937
59,6.8523,66.2447
60,6.7619,65.9517
61,6.8036,65.6032
62,6.8061,65.2223
63,6.9168,64.8472
64,6.971,64.5353
65,6.7941,64.1743
66,6.8659,63.791
67,6.8498,63.2567
68,6.8538,62.8347
69,6.8425,62.4084
70,6.81,62.0444
71,6.9009,61.6123
72,6.8435,61.2161
73,6.6863,60.8409
74,6.6768,60.4563
75,6.6545,59.9313
76,6.6075,59.5084
77,6.5654,59.1708
78,6.5325,58.8188
79,6.6323,58.4623
80,6.6828,58.1169
81,6.7431,57.6335
82,6.8154,56.9647
83,6.9384,56.5538
84,6.7968,56.0929
85,6.9448,55.7746
86,6.866,55.3185
87,6.8561,54.9931
88,6.8205,54.6645
89,6.8335,54.0793
90,6.8613,53.7674
91,6.8305,53.4238
92,6.7352,52.9092
93,6.6975,52.503
94,6.7743,52.2314
95,6.7434,51.6509
96,6.7826,51.3561
97,6.7399,51.0254
98,6.6639,50.6818
99,6.7384,50.2134
100,6.8147,49.7694
101,6.8685,49.4082
102,6.9048,48.8513
103,6.8843,48.3003
104,6.7687,47.9496
105,6.7359,47.5502
106,6.7336,47.0589
107,6.9092,46.7042
108,7.0159,46.2443
109,7.0071,45.6787
110,7.0532,45.3146
111,7.0572,44.922
112,7.0807,44.7993
113,6.9944,44.5054
114,6.8457,44.1899
115,6.8514,43.8301
116,6.8985,43.5078
117,7.1626,43.18
118,7.0945,42.7937
119,7.1085,42.5219
120,7.0825,41.9864
121,6.7987,41.5253
122,6.7694,41.0706
123,6.7855,40.7989
124,6.6231,40.4246
125,6.5923,39.8829
126,6.6734,39.5056
127,6.7641,39.2971
128,6.6797,38.962
129,6.5538,38.7097
130,6.3545,38.4271
131,6.4218,37.8629
132,6.282,37.4358
133,6.244,36.9972
134,6.2058,36.6884
135,6.3191,36.2488
136,6.2874,35.6154
137,6.283,35.2103
138,6.4072,34.894
139,6.3594,34.5145
140,6.4211,34.0549
141,6.4189,33.5121
142,6.419,32.9531
143,6.5717,32.4565
144,6.5011,32.2357
145,6.522,31.8647
146,6.5364,31.5632
147,6.5472,31.2196
148,6.5817,30.8335
149,6.6254,30.4962
150,6.5858,30.0751
151,6.4834,29.6783
152,6.5238,29.4112
153,6.5162,29.1128
154,6.6341,28.7129
155,6.7222,28.1824
156,6.6987,27.8824
157,6.7273,27.2911
158,6.6293,26.8392
159,6.5023,26.461
160,6.7115,25.9965
161,6.7323,25.5026
162,6.7495,25.0458
163,6.7084,24.6926
164,6.7951,24.3273
165,6.6113,23.8732
166,6.5871,23.4587
167,6.6494,23.167
168,6.5713,22.7087
169,6.6435,22.3404
170,6.5554,21.8851
171,6.6532,21.3916
172,6.7131,21.0801
173,6.6489,20.5715
174,6.6729,20.1086
175,6.639,19.744
176,6.6532,19.2665
177,6.6299,18.8354
178,6.5612,18.4863
179,6.6437,18.0649
180,6.5484,17.6722
181,6.6448,17.3186
182,6.595,16.9514
183,6.6359,16.5508
184,6.652,16.3378
185,6.7356,15.9089
186,6.7871,15.3446
187,7.0228,15.0754
188,7.0698,14.591
189,7.1766,14.2362
190,7.2529,13.8837
191,7.3545,13.528
192,7.3917,13.1747
193,7.3332,12.8861
194,7.1983,12.4526
195,7.1701,12.1978
196,6.9919,11.8821
197,7.1592,11.3427
198,7.0862,10.9053
199,6.9937,10.4217
200,6.9968,10.0364
201,7.094,9.504
202,7.1609,9.223
203,7.2016,8.9096
204,7.222,8.5183
205,7.1115,8.2202
206,7.1541,7.8154
207,7.1623,7.3569
208,7.1339,6.9214
209,7.1574,6.4082
210,7.1493,6.1073
211,7.1315,5.5364
212,7.2856,4.9711
213,7.3305,4.5818
214,7.1634,4.0854
215,7.1764,3.6549
216,7.0723,3.388
217,7.1227,2.8604
218,7.1229,2.3998
219,7.1936,2.0582
220,7.2206,1.7893
221,7.616,1.914
222,7.9739,2.0059
223,8.2735,2.0275
224,8.6923,2.043
225,9.2004,2.3755
226,9.593,2.3174
227,10.0179,2.1892
228,10.4104,2.064
229,10.8644,1.9526
230,11.2061,1.9414
231,11.5595,1.971
232,11.9966,1.9375
233,12.3653,1.9298
234,12.6573,1.8746
235,13.0011,1.7977
236,13.4036,1.973
237,13.9178,1.9712
238,14.2461,2.0291
239,14.7321,2.1277
240,15.0996,2.0117
241,15.4107,1.9387
242,15.6615,1.8003
243,15.9517,1.87
244,16.4203,1.8641
245,16.9276,1.9415
246,17.3635,1.8421
247,17.6368,1.7554
248,18.0621,1.9625
249,18.5892,2.0952
250,18.9745,2.1954
251,19.5639,2.3649
252,19.9609,2.577
253,20.3021,2.6034
254,20.756,2.7003
255,21.1098,2.5982
256,21.5102,2.6773
257,21.8447,2.5842
258,22.1955,2.5518
259,22.4825,2.5217
260,22.8635,2.5402
261,23.4266,2.4752
262,23.869,2.4589
263,24.1047,2.475
264,24.5361,2.481
265,24.7732,2.5196
266,25.2366,2.4928
267,25.5945,2.3459
268,25.9433,2.2396
269,25.7781,2.6945
270,25.9942,3.0972
271,25.8929,3.3099
272,25.8514,3.8239
273,25.861,4.1564
274,25.805,4.5893
275,25.8304,5.0227
276,26.0921,5.4369
277,26.134,5.6892
278,26.0679,6.1629
279,26.0002,6.5599
280,25.9951,7.0586
281,26.0118,7.405
282,25.9716,7.8211
283,25.9262,8.1713
284,26.0337,8.516
285,25.9886,8.9559
286,25.9325,9.3813
287,25.9155,9.7269
288,26.1215,10.0381
289,26.1045,10.6133
290,26.1216,11.0506
291,26.1157,11.4087
292,25.969,11.8311
293,25.9134,12.0828
294,25.8679,12.5452
295,25.8225,12.7542
296,25.8457,13.1864
297,25.833,13.5258
298,26.0392,13.7653
299,26.0224,14.2145
300,25.9575,14.6552
301,25.9565,15.0406
302,25.9744,15.3872
303,25.8193,15.6746
304,25.8405,15.9719
305,25.7399,16.5077
306,25.9355,16.9838
307,26.0778,17.2445
308,26.109,17.6614
309,26.1423,18.1684
310,26.0525,18.7071
311,25.8974,19.0846
312,25.8487,19.5912
313,25.7931,20.0024
314,25.7067,20.334
315,25.6392,20.5533
316,25.6385,21.0333
317,25.5997,21.3525
318,25.7283,21.6251
319,25.5697,21.8351
320,25.667,22.1582
321,25.5931,22.7883
322,25.6941,23.2463
323,25.6247,23.7339
324,25.6187,24.1607
325,25.6202,24.4715
326,25.7266,25.0121
327,25.8879,25.3674
328,25.8651,25.7899
329,25.994,26.1398
330,26.0808,26.3841
331,26.0225,26.8173
332,26.0921,26.9925
333,26.1405,27.5033
334,26.0946,28.0033
335,26.3963,28.4853
336,26.4522,28.9781
337,26.605,29.4516
338,26.6391,30.0546
339,26.571,30.4626
340,26.5665,30.8558
341,26.6033,31.2607
342,26.4582,31.7022
343,26.3423,32.2113
344,26.3788,32.7942
345,26.3537,33.198
346,26.3818,33.3978
347,26.3725,33.6695
348,26.4276,34.0986
349,26.4254,34.6445
350,26.5343,34.8646
351,26.465,35.2589
352,26.6954,35.7232
353,26.6721,35.9872
354,26.5921,36.482
355,26.5416,36.8647
356,26.5042,37.2469
357,26.4437,37.7911
358,26.3446,38.204
359,26.252,38.7597
360,26.2949,39.1776
361,26.3224,39.4214
362,26.2038,39.8511
363,26.2847,40.1494
364,26.2516,40.485
365,26.2843,41.0985
366,26.3116,41.4933
367,26.4155,41.8938
368,26.2254,42.02
369,26.1545,42.3639
370,26.1714,42.7929
371,26.2537,43.0737
372,26.2276,43.472
373,26.2854,44.0434
374,26.2546,44.342
375,26.1168,44.7727
376,26.102,45.3885
377,26.0312,45.8466
378,26.0956,46.2198
379,26.0518,46.6108
380,26.1189,46.9887
381,26.025,47.3896
382,26.0162,47.7209
383,25.9487,48.3647
384,26.0504,48.7648
385,26.086,49.0945
386,26.0653,49.6021
387,25.9479,49.977
388,25.729,50.3217
389,25.7922,50.5623
390,25.9429,50.8946
391,25.9442,51.2647
392,26.0082,51.7403
393,26.066,52.1429
394,26.2568,52.4327
395,26.2685,52.8667
396,26.2492,53.2193
397,26.2738,53.4662
398,26.2463,53.6982
399,26.3923,54.1119
400,26.5635,54.6909
401,26.6112,55.1711
402,26.4476,55.4665
403,26.4649,55.6785
404,26.458,56.0363
405,26.3792,56.4151
406,26.4098,56.8724
407,26.5279,57.1014
408,26.5903,57.5744
409,26.7244,57.9646
410,26.5641,58.6357
411,26.5809,58.9851
412,26.3767,59.5349
413,26.4065,59.8296
414,26.3304,60.1199
415,26.2808,60.3908
416,26.1771,60.7336
417,26.1141,61.0542
418,26.0175,61.3571
419,25.8711,61.8861
420,25.87,62.3394
421,25.8835,62.6745
422,25.9525,63.1989
423,26.0164,63.5878
424,25.9386,63.9075
425,25.9826,64.458
426,25.9932,64.6852
427,25.9485,65.0197
428,25.834,65.4581
429,25.7965,65.8331
430,25.5802,66.2577
431,25.7587,66.7933
432,25.7446,67.3989
433,25.8346,67.7553
434,25.8903,68.1465
435,25.9741,68.521
436,25.9544,68.881
437,25.9221,69.3038
438,25.9593,69.7316
439,25.9867,70.303
440,25.9368,70.8318
441,25.8734,71.3025
442,25.8977,71.6251
443,25.9896,71.902
444,26.0013,72.4488
445,26.1315,72.6325
446,26.2305,73.2114
447,25.9651,73.7338
448,25.9194,73.8929
449,25.7552,74.1571
450,25.6729,74.6575
451,25.7524,74.8827
452,25.7372,75.2316
453,25.8168,75.692
454,25.7901,76.1593
455,25.7507,76.5177
456,25.7606,76.8715
457,25.6754,77.2602
458,25.6338,77.5698
459,25.5603,78.2137
460,25.5419,78.5152
461,25.5845,78.8314
462,25.6751,79.1884
463,25.7792,79.6124
464,25.8204,80.1746
465,25.8868,80.6863
466,26.0354,81.1562
467,25.9099,81.656
468,25.7387,81.8481
469,25.8762,82.1132
470,25.9571,82.5519
471,25.8739,82.9941
472,25.9214,83.5352
473,25.9301,84.011
474,26.1378,84.4977
475,26.1794,84.8693
476,26.052,85.4188
477,25.9361,85.888
478,25.9447,86.1583
479,26.1416,86.4723
480,26.2109,86.8986
481,26.2808,87.2622
482,26.3302,87.7485
483,26.2287,88.0424
484,26.2877,88.434
485,26.3132,88.5763
486,26.2856,89.0343
487,26.7328,89.0377
488,27.1265,89.0677
489,27.6171,89.0201
490,27.8968,88.7526
491,28.3759,88.7591
492,28.8672,88.8595
493,29.318,88.9257
494,29.5618,88.9472
495,29.9124,88.9986
496,30.295,88.7841
497,30.7984,88.8347
498,31.0755,88.9328
499,31.5018,89.0614
500,31.646,88.8479
501,32.0504,88.8422
502,32.6069,88.8826
503,32.996,88.8952
504,33.296,88.9135
505,33.6563,89.0635
506,34.0659,88.9506
507,34.3547,88.9477
508,34.6004,88.803
509,34.8775,88.833
510,35.2482,88.8204
511,35.7127,88.7964
512,36.2539,88.8095
513,36.6025,88.9386
514,36.8964,88.865
515,37.1316,88.8959
516,37.5835,88.9146
517,38.124,88.8272
518,38.5662,88.7305
519,38.9422,88.8178
520,39.4987,88.7352
521,39.7612,88.8526
522,40.1739,88.9726
523,40.5501,89.0465
524,41.0088,89.0372
525,41.4188,88.9748
526,41.8429,89.0139
527,42.0186,88.9398
528,42.5239,88.8709
529,42.9159,88.8288
530,43.2746,88.8498
531,43.8514,88.8458
532,44.4657,88.9285
533,44.7844,88.8617
534,45.0521,89.0125
535,45.2485,88.6181
536,45.2323,88.2343
537,45.2066,87.7091
538,45.3967,87.2137
539,45.3285,86.7448
540,45.3736,86.4231
541,45.305,86.1199
542,45.2221,85.8107
543,45.2297,85.404
544,45.3099,84.9531
545,45.3196,84.5642
546,45.2159,84.2028
547,45.1595,83.6784
548,45.2853,83.1731
549,45.2671,82.823
550,45.2591,82.2802
551,45.2201,81.8499
552,45.1059,81.5083
553,44.9967,81.0867
554,44.8775,80.704
555,44.727,80.3236
556,44.7415,79.9004
557,44.8335,79.6482
558,44.9136,79.1458
559,44.88,78.7378
560,44.998,78.3324
561,44.9271,78.0933
562,44.9701,77.7414
563,45.092,77.3626
564,45.2083,77.0378
565,45.3057,76.5031
566,45.4054,76.1262
567,45.2601,75.9035
568,45.1946,75.6895
569,45.1049,75.0282
570,45.2722,74.5599
571,45.3283,74.0716
572,45.4109,73.5111
573,45.3208,73.1565
574,45.2678,72.7724
575,45.4137,72.2313
576,45.2462,71.9741
577,45.3369,71.6046
578,45.3416,71.2034
579,45.4118,70.6492
580,45.3094,70.2266
581,45.3652,69.9439
582,45.3076,69.5918
583,45.4177,69.0563
584,45.5666,68.6564
585,45.5984,68.4062
586,45.5987,68.0259
587,45.5483,67.5359
588,45.6556,67.3146
589,45.6515,66.8501
590,45.67,66.4618
591,45.5929,66.1452
592,45.5093,65.787
593,45.5121,65.3965
594,45.4812,65.1078
595,45.5136,64.7484
596,45.3059,64.4073
597,45.2831,63.9996
598,45.3841,63.7007
599,45.4466,63.421
600,45.4437,63.0113
601,45.4447,62.6123
602,45.3077,62.2332
603,45.3715,61.6644
604,45.3284,61.4182
605,45.2175,61.0567
606,45.2106,60.6702
607,45.1992,60.2239
608,45.267,59.8431
609,45.1676,59.4113
610,45.2773,59.1096
611,45.192,58.5669
612,45.1937,58.2786
613,45.154,57.7929
614,45.1322,57.4831
615,45.1463,57.0678
616,45.0141,56.5928
617,45.0689,56.2453
618,45.0053,55.8708
619,44.9549,55.3244
