i,x,y
0,4.6585,91.1605
1,5.0406,91.143
2,5.2792,91.2474
3,5.8218,91.1356
4,6.1391,91.0392
5,6.5287,90.9776
6,7.043,90.9744
7,7.385,90.9101
8,7.6588,90.842
9,8.1466,90.789
10,8.7601,90.6072
11,9.1864,90.5276
12,9.6897,90.3327
13,10.112,90.2545
14,10.5441,90.4005
15,10.9503,90.5274
16,11.3138,90.5947
17,11.6599,90.5645
18,12.0126,90.6768
19,12.4112,90.5512
20,12.9343,90.4546
21,13.4251,90.4661
22,13.789,90.3672
23,14.264,90.344
24,14.6904,90.2678
25,15.0699,90.3531
26,15.4384,90.3289
27,15.7955,90.1563
28,16.406,90.1318
29,16.7987,90.0066
30,17.1469,89.995
31,17.7287,90.0104
32,18.0691,89.9473
33,18.5449,90.0246
34,19.0196,90.0964
35,19.3866,89.9142
36,19.4726,89.5446
37,19.3343,89.0831
38,19.3411,88.6892
39,19.3131,88.2823
40,19.3359,87.8436
41,19.4892,87.4965
42,19.2839,86.9447
43,19.1694,86.5962
44,19.1604,86.2368
45,19.1387,85.9479
46,19.1555,85.5847
47,19.2494,85.1351
48,19.2407,84.7065
49,19.3232,84.2098
50,19.1214,84.0741
51,19.1871,83.7329
52,19.2251,83.4226
53,19.3919,83.1315
54,19.3738,82.6765
55,19.2608,82.1732
56,19.1441,81.8199
57,19.1267,81.5719
58,18.9769,80.9626
59,19.041,80.5149
60,19.1526,80.2184
61,19.1669,79.7554
62,19.2809,79.352
63,19.2261,79.0135
64,19.243,78.6122
65,19.1674,78.3573
66,19.1074,77.8107
67,19.1802,77.4545
68,19.068,77.0053
69,18.9527,76.6458
70,19.0358,76.2806
71,19.1421,75.8498
72,18.9878,75.3845
73,18.9392,74.9179
74,19.3474,74.8808
75,19.6853,74.9774
76,20.1422,74.9668
77,20.5999,74.9757
78,20.9953,74.7974
79,21.3534,74.7011
80,21.94,74.8983
81,22.2491,75.0004
82,22.8526,74.9356
83,23.288,74.8949
84,23.6897,75.0217
85,24.1848,74.9909
86,24.5177,75.1028
87,24.927,75.1881
88,25.2531,75.3239
89,25.5905,75.2315
90,25.9485,75.3538
91,26.3455,75.2222
92,26.6467,75.1698
93,27.1678,75.1518
94,27.5691,75.1622
95,28.0448,75.0247
96,28.4517,74.7943
97,29.0759,74.845
98,29.5931,74.8223
99,30.0593,74.8479
100,30.3755,74.8736
101,30.6518,74.8079
102,31.0578,74.8244
103,31.3134,74.7684
104,31.3858,74.5015
105,31.4965,74.0346
106,31.3811,73.7404
107,31.414,73.3683
108,31.3981,72.8171
109,31.3114,72.4108
110,31.2517,72.1554
111,31.1277,71.6826
112,31.1476,71.3208
113,31.1073,70.946
114,31.0171,70.3987
115,31.106,69.9644
116,31.0714,69.7046
117,30.9728,69.4907
118,31.0897,69.1567
119,30.9957,68.8109
120,30.9755,68.365
121,31.0837,67.8943
122,30.9445,67.5646
123,31.1083,67.1781
124,30.9319,66.8822
125,31.1528,66.4133
126,31.0171,66.2029
127,30.9601,65.8335
128,30.9079,65.4822
129,30.7539,65.2517
130,30.7929,64.971
131,30.8735,64.4977
132,30.9178,64.044
133,30.9532,63.6283
134,31.0238,63.2618
135,30.9421,62.7372
136,30.782,62.2739
137,30.9187,61.8164
138,30.8851,61.4596
139,30.8036,60.9976
140,30.8825,60.4292
141,30.8398,60.171
142,31.1606,60.0864
143,31.432,60.0287
144,31.8849,60.2149
145,32.229,60.2126
146,32.6,60.2076
147,32.9276,60.3458
148,33.5146,60.2851
149,34.1436,60.4426
150,34.683,60.3666
151,34.9754,60.4758
152,35.3374,60.414
153,35.8293,60.3244
154,36.2482,60.0274
155,36.5736,60.1016
156,36.9,60.0982
157,37.3647,60.1196
158,37.9042,60.1877
159,38.3452,60.2121
160,38.5672,60.1146
161,38.8805,59.9745
162,39.2842,60.0875
163,39.6235,60.0512
164,39.9349,59.8411
165,40.3428,59.8144
166,40.8314,59.9224
167,41.2561,60.0553
168,41.5113,60.0874
169,42.1541,59.9448
170,42.216,59.5476
171,42.1513,59.0998
172,42.2346,58.6857
173,42.2277,58.3716
174,42.3065,57.9246
175,42.2128,57.6348
176,42.282,57.1514
177,42.2971,56.652
178,42.4659,56.297
179,42.3115,55.9795
180,42.4147,55.8107
181,42.4624,55.3778
182,42.5481,54.8657
183,42.6008,54.4834
184,42.563,54.1079
185,42.5637,53.712
186,42.4093,53.0903
187,42.3738,52.7998
188,42.1436,52.3277
189,42.2206,52.2596
190,42.2517,51.8332
191,42.0513,51.5158
192,42.1574,51.1293
193,42.1286,50.722
194,42.11,50.1064
195,42.036,49.7772
196,42.0636,49.4061
197,42.0867,48.831
198,42.0921,48.4503
199,41.9517,48.0222
200,41.8328,47.7365
201,41.9239,47.2017
202,41.9405,46.8841
203,42.0298,46.5923
204,41.9717,46.2755
205,41.9804,45.8907
206,41.9789,45.677
207,41.8345,45.4181
208,42.3132,45.2255
209,42.8002,45.1497
210,43.0474,45.0828
211,43.5557,45.1503
212,43.945,45.1651
213,44.2637,45.0295
214,44.605,45.096
215,45.0438,45.2089
216,45.4945,45.0909
217,45.9744,45.0997
218,46.2929,45.0006
219,46.7367,44.9028
220,47.0956,45.0904
221,47.5204,45.0817
222,47.8751,45.0186
223,48.2496,44.8851
224,48.6318,44.9779
225,48.9016,45.0065
226,49.3013,45.06
227,49.6411,44.9862
228,50.1473,44.9733
229,50.7526,44.8888
230,51.2528,44.7717
231,51.6932,44.9453
232,52.0767,44.9614
233,52.5407,44.9456
234,52.9647,45.077
235,53.2129,45.2098
236,53.634,45.0056
237,54.0002,45.0804
238,54.0551,44.6352
239,53.898,44.2301
240,53.9343,43.6697
241,54.0928,43.3863
242,54.0875,42.9967
243,54.1473,42.5022
244,54.1517,42.0428
245,54.3078,41.5913
246,54.3365,41.1623
247,54.4567,40.7461
248,54.4368,40.3575
249,54.6234,40.1051
250,54.6217,39.68
251,54.615,39.2704
252,54.6494,38.8765
253,54.679,38.4768
254,54.5978,38.1448
255,54.5567,37.7851
256,54.517,37.4595
257,54.6447,37.0955
258,54.3155,36.6924
259,54.4121,36.1633
260,54.3541,35.7953
261,54.357,35.3763
262,54.3564,34.9477
263,54.3209,34.6572
264,54.2271,34.1351
265,54.1296,33.8713
266,54.1728,33.5639
267,54.1798,33.291
268,54.0855,33.0509
269,54.158,32.6122
270,54.2517,32.2077
271,54.29,31.7493
272,54.2441,31.3849
273,54.8545,31.4304
274,55.2788,31.3316
275,55.51,31.3236
276,55.888,31.2304
277,56.2061,31.1865
278,56.6422,31.1585
279,56.9016,31.1779
280,57.3005,31.219
281,57.6908,31.3017
282,58.1122,31.1235
283,58.4867,31.0881
284,58.8758,31.1277
285,59.221,31.0569
286,59.4467,31.163
287,59.9656,31.1442
288,60.3066,31.2079
289,60.6684,31.11
290,60.9492,31.0732
291,61.3967,31.1846
292,61.9192,31.224
293,62.4224,31.4235
294,62.7128,31.4166
295,62.9135,31.4276
296,63.4126,31.2843
297,63.7048,31.0172
298,64.2207,30.9905
299,64.762,31.0329
300,65.0413,31.034
301,65.1118,30.558
302,64.9975,30.1781
303,64.818,29.7964
304,64.5617,29.4707
305,64.47,28.9568
306,64.4991,28.579
307,64.5263,28.0992
308,64.5125,27.8838
309,64.6007,27.5694
310,64.6449,27.2708
311,64.7977,26.8102
312,64.7785,26.4351
313,64.8124,25.9939
314,64.6881,25.5575
315,64.768,25.3213
316,64.9329,24.9239
317,64.7945,24.4721
318,64.8499,23.9662
319,64.8274,23.5001
320,64.9263,23.1233
321,65.0164,22.5611
322,64.8735,22.2391
323,65.0118,21.7338
324,64.9945,21.3227
325,65.0542,21.0855
326,65.1492,20.7515
327,65.0157,20.2695
328,64.7973,19.7165
329,64.9032,19.2804
330,64.8035,18.9135
331,64.7649,18.579
332,64.871,18.2692
333,64.7372,17.8479
334,64.7184,17.4993
335,64.7852,17.1646
336,64.9687,16.7969
337,64.9515,16.5254
338,64.9781,15.9595
339,65.3471,15.7719
340,65.8742,15.9148
341,66.3618,15.7755
342,66.9813,15.7526
343,67.3001,15.7829
344,67.6451,15.7156
345,67.9539,15.8358
346,68.2554,16.072
347,68.5276,16.0602
348,68.9309,15.8532
349,69.3052,15.9823
350,69.6549,15.7996
351,69.9691,15.9916
352,70.3882,16.0037
353,70.826,15.8161
354,71.4888,15.8427
355,72.0409,15.8
356,72.3773,15.6797
357,72.7623,15.7325
358,73.1228,15.8019
359,73.6105,15.8378
360,73.9995,15.7956
361,74.2384,15.7394
362,74.6871,15.733
363,75.184,15.7892
364,75.5719,15.6612
365,76.1195,15.6479
366,76.4658,15.6185
367,76.7539,15.6351
368,77.132,15.6112
369,77.2615,15.2748
370,77.2947,14.9673
371,77.2451,14.5332
372,77.323,14.1517
373,77.572,13.6232
374,77.5255,13.1808
375,77.5586,12.7444
376,77.3814,12.3889
377,77.1665,12.1162
378,77.2235,11.6161
379,77.4164,11.4407
380,77.5274,10.9859
381,77.5171,10.6667
382,77.378,10.2281
383,77.3338,9.928
384,77.3562,9.6298
385,77.3804,9.3101
386,77.3547,8.8818
387,77.3066,8.3599
388,77.3398,7.9469
389,77.3376,7.6547
390,77.355,7.2672
391,77.2003,6.9048
392,77.0733,6.4512
393,77.0935,5.8401
394,77.1439,5.3895
395,77.211,4.8812
396,77.1808,4.5419
397,77.084,4.1759
398,77.0967,3.9905
399,77.057,3.5627
400,76.9965,3.3368
401,77.028,2.7705
402,77.0821,2.4197
403,76.9034,2.0214
