i,x,y
0,5.0763,90.8821
1,5.479,90.8791
2,6.0152,90.9061
3,6.4964,90.7179
4,6.8607,90.7373
5,7.1607,90.7058
6,7.5424,90.7028
7,7.9019,90.8241
8,8.3738,90.7569
9,8.7201,90.7232
10,9.0501,90.8008
11,9.6299,90.6997
12,9.8759,90.747
13,10.1555,90.6064
14,10.6714,90.3376
15,11.0267,90.3207
16,11.3308,90.2194
17,11.8165,90.2801
18,12.2191,90.2674
19,12.5815,90.1497
20,12.9067,90.0866
21,13.3095,90.2092
22,13.796,90.2056
23,14.2134,90.0007
24,14.6213,89.9658
25,15.0752,89.825
26,15.4873,89.8553
27,15.8208,89.8515
28,16.1142,89.8874
29,16.4604,90.016
30,16.6975,89.9101
31,17.0326,89.8822
32,17.3296,89.9485
33,17.7742,89.9913
34,18.3028,89.9682
35,18.7334,89.9071
36,18.8464,89.4101
37,18.8388,89.013
38,18.9348,88.6061
39,19.0697,88.0695
40,18.9407,87.8312
41,19.0088,87.3956
42,19.0052,87.0022
43,19.0324,86.5911
44,18.9338,86.1543
45,18.8901,85.7502
46,18.7715,85.455
47,18.6144,84.9417
48,18.5567,84.5576
49,18.6406,84.1975
50,18.5176,83.8163
51,18.3449,83.497
52,18.3465,83.0818
53,18.4355,82.667
54,18.4485,82.2963
55,18.5538,82.0063
56,18.6166,81.6342
57,18.4388,81.3049
58,18.562,81.0001
59,18.5777,80.5836
60,18.5216,80.2281
61,18.545,79.6934
62,18.5821,79.35
63,18.4983,78.9273
64,18.605,78.4614
65,18.6558,78.0822
66,18.6478,77.7286
67,18.4287,77.5871
68,18.4312,77.229
69,18.4741,76.8944
70,18.506,76.4588
71,18.5078,75.9507
72,18.5449,75.5533
73,18.5972,75.1391
74,19.1159,75.0172
75,19.5386,75.0028
76,19.8999,74.9194
77,20.3191,75.0589
78,20.5416,75.0532
79,20.9147,75.0953
80,21.4512,75.0735
81,21.8892,75.0142
82,22.4138,74.9956
83,22.8109,74.9838
84,23.1687,74.99
85,23.5411,75.0757
86,23.918,74.9998
87,24.3226,75.0265
88,24.8039,74.8563
89,25.3204,75.0691
90,25.7561,75.0934
91,26.1532,75.242
92,26.3941,75.2412
93,26.9877,75.1454
94,27.3623,75.2103
95,27.6348,75.0323
96,28.0676,75.1178
97,28.5442,75.1521
98,29.0191,75.1211
99,29.4018,75.0269
100,29.8163,75.0054
101,30.2173,74.7718
102,30.7026,74.8228
103,31.1179,74.6458
104,31.1493,74.2942
105,31.3629,73.8748
106,31.235,73.5068
107,31.1175,73.16
108,31.0446,72.8969
109,31.1174,72.6194
110,31.1121,72.2979
111,31.0311,71.9278
112,31.0117,71.5195
113,31.0847,71.1614
114,31.0972,70.628
115,31.0707,70.3329
116,30.9683,70.0037
117,31.0478,69.6165
118,31.0378,69.2286
119,31.0788,68.8053
120,31.1073,68.4893
121,31.0539,68.1274
122,31.0533,67.7037
123,31.0664,67.2342
124,31.1819,66.8133
125,31.2206,66.2737
126,31.3955,66.0449
127,31.2841,65.6649
128,31.3474,65.1469
129,31.3182,64.7001
130,31.1349,64.189
131,31.0938,63.7988
132,31.0356,63.3647
133,31.0858,62.8153
134,30.8971,62.3463
135,30.9273,61.9507
136,31.0395,61.5552
137,30.9487,61.3791
138,31.0897,60.9188
139,31.1283,60.5894
140,31.3194,60.1422
141,31.3656,59.4898
142,31.6704,59.43
143,32.0606,59.4053
144,32.3883,59.393
145,32.855,59.4511
146,33.2134,59.5237
147,33.6438,59.5215
148,34.0248,59.5629
149,34.5056,59.4972
150,35.003,59.4251
151,35.4501,59.5272
152,35.8132,59.5301
153,36.1476,59.5354
154,36.4501,59.5958
155,36.7401,59.5445
156,37.2029,59.6367
157,37.5489,59.6227
158,37.7735,59.6532
159,38.1414,59.6335
160,38.6893,59.7182
161,39.1109,59.8626
162,39.3929,59.755
163,39.6212,59.8998
164,40.0288,60.0285
165,40.3979,59.9569
166,40.8135,59.9339
167,41.2821,59.9409
168,41.6482,60.0111
169,42.1398,59.8318
170,42.0856,59.6079
171,42.0855,59.1337
172,42.1227,58.849
173,42.1592,58.4736
174,42.2222,58.0798
175,42.1474,57.71
176,42.138,57.2542
177,42.0646,56.8366
178,42.1195,56.409
179,42.0178,55.981
180,42.0107,55.5477
181,42.0696,55.1454
182,42.1625,54.7204
183,42.0862,54.2217
184,42.1157,54.0014
185,42.197,53.6339
186,42.2258,53.1641
187,42.1098,52.8242
188,42.1074,52.3677
189,42.0679,52.0714
190,42.0212,51.6881
191,41.9663,51.2115
192,42.1372,50.8512
193,42.1361,50.5109
194,42.1691,50.237
195,42.1958,49.7846
196,42.2421,49.5054
197,42.2782,49.0728
198,42.2802,48.7137
199,42.095,48.3009
200,42.1111,47.9039
201,41.8863,47.4074
202,41.8992,47.0868
203,42.0447,46.8591
204,41.8177,46.436
205,41.9733,45.8463
206,41.9715,45.4137
207,41.9009,45.0701
208,42.107,45.0913
209,42.5647,44.9301
210,42.9006,45.0068
211,43.3111,44.9986
212,43.6584,44.9964
213,44.1379,44.9841
214,44.5628,45.0434
215,45.0405,45.0487
216,45.6338,45.1399
217,45.9679,44.9745
218,46.3939,45.0448
219,46.6281,45.1697
220,46.996,45.1713
221,47.3434,45.0451
222,47.748,44.9593
223,48.3675,44.9296
224,48.6473,44.9399
225,49.138,44.9201
226,49.5473,44.8391
227,50.0643,44.7998
228,50.4321,44.995
229,50.8319,45.1062
230,51.1986,45.1383
231,51.4842,45.1209
232,51.9599,45.0724
233,52.3131,45.1773
234,52.6802,45.2798
235,53.2015,45.289
236,53.5097,45.381
237,53.8885,45.2682
238,54.0069,44.8713
239,54.0322,44.3758
240,53.9457,43.9848
241,53.9771,43.603
242,54.0182,43.2351
243,54.0025,42.7348
244,54.1451,42.4101
245,54.2055,41.9706
246,54.3358,41.4617
247,54.3028,41.1031
248,54.3689,40.7316
249,54.3169,40.444
250,54.2732,39.8734
251,54.2222,39.4872
