i,x,y
0,5.3385,91.0867
1,5.6588,90.8349
2,6.1535,90.7928
3,6.5206,90.5504
4,6.7813,90.2899
5,7.2274,90.4372
6,7.8863,90.6154
7,7.9695,90.691
8,8.9061,90.6895
9,9.3461,90.7539
10,9.7054,90.8508
11,9.7614,90.9095
12,10.3012,91.236
13,10.1613,91.3362
14,10.3975,91.0351
15,10.9532,91.0044
16,11.5031,90.9684
17,11.4215,91.003
18,11.9125,91.0766
19,12.2288,90.9854
20,12.9312,90.7105
21,13.3018,90.3344
22,13.4343,90.097
23,13.6675,89.9187
24,14.3825,89.6867
25,14.7973,89.5745
26,15.0995,89.5476
27,15.4243,89.5228
28,15.7626,89.7559
29,15.669,89.7273
30,15.7104,89.4871
31,16.4672,89.3398
32,17.1724,89.4285
33,17.2649,89.2744
34,17.7505,89.2279
35,18.2179,89.2601
36,18.3674,88.8148
37,18.4678,88.3719
38,18.6756,88.3659
39,18.3922,87.9426
40,18.7323,87.271
41,18.5107,87.3588
42,18.5277,86.9886
43,18.5455,86.6232
44,18.2949,86.3087
45,18.2598,85.8526
46,18.3744,85.3462
47,18.3454,84.7866
48,18.4021,84.5276
49,18.5497,84.1787
50,18.3949,83.8875
51,18.3905,83.9557
52,18.1261,83.5313
53,18.1032,83.1417
54,18.1325,82.5828
55,18.4448,82.2773
56,18.2899,82.1191
57,18.5694,81.7125
58,18.8539,81.3409
59,18.915,81.0747
60,18.9754,80.3285
61,18.448,79.9811
62,18.9645,79.8689
63,18.957,79.6214
64,18.7194,79.2491
65,18.8775,78.7988
66,18.763,78.6404
67,19.1086,77.9681
68,19.0429,77.3742
69,19.1404,77.2202
70,19.0062,76.8076
71,18.9398,76.1024
72,18.7977,75.7982
73,19.0857,75.4261
74,19.7684,75.5541
75,19.7995,74.8764
76,20.2518,74.8344
77,21.2861,74.7269
78,22.1444,74.9489
79,22.3294,74.8703
80,22.4242,74.8724
81,22.7352,74.9312
82,23.0789,75.2483
83,23.3495,75.243
84,24.0677,75.1005
85,24.2052,75.081
86,24.2271,74.9689
87,24.646,74.9129
88,24.8933,74.8699
89,25.399,74.1998
90,26.0197,74.1824
91,26.4733,74.2184
92,26.4924,73.9843
93,26.8763,73.8827
94,27.0638,73.9761
95,27.2869,74.3243
96,27.7923,74.0821
97,28.5346,74.4794
98,28.5978,74.4421
99,29.1294,74.6828
100,29.7801,74.8676
101,30.3283,75.2503
102,30.91,75.3226
103,31.4122,75.2676
104,31.1093,75.2803
105,30.9069,74.8073
106,31.1809,74.8418
