i,x,y
0,5.014,90.776
1,5.4549,90.7295
2,5.8002,90.7579
3,6.294,90.739
4,6.6879,90.7167
5,7.0908,90.5999
6,7.4908,90.5418
7,7.8421,90.5434
8,8.2839,90.4878
9,8.707,90.631
10,9.1017,90.583
11,9.4773,90.5606
12,9.9081,90.5623
13,10.3654,90.565
14,10.7066,90.4959
15,11.1008,90.396
16,11.5256,90.3789
17,11.975,90.3369
18,12.3456,90.3409
19,12.6519,90.345
20,13.0482,90.2604
21,13.4398,90.1731
22,13.8864,90.1266
23,14.3456,90.1304
24,14.7543,90.093
25,15.1796,90.0918
26,15.6192,89.9892
27,15.9734,89.9369
28,16.3862,89.9495
29,16.7875,89.9194
30,17.2145,89.9428
31,17.6702,89.9707
32,18.0135,89.87
33,18.4548,89.8812
34,18.8313,89.8858
35,19.2399,89.8687
36,19.2082,89.3854
37,19.2001,88.9926
38,19.1577,88.5665
39,19.0664,88.2191
40,18.9846,87.8572
41,18.9646,87.5233
42,18.9024,87.0864
43,18.9353,86.6461
44,18.9404,86.2369
45,18.9704,85.9499
46,18.9341,85.597
47,18.9162,85.2167
48,18.9177,84.8911
49,18.9584,84.5023
50,18.9548,84.1096
51,18.9377,83.7483
52,18.9241,83.3618
53,18.9929,82.9811
54,18.934,82.5582
55,18.9361,82.1517
56,18.966,81.7847
57,18.9185,81.4901
58,18.8941,81.0658
59,18.9291,80.646
60,18.9325,80.3098
61,18.9173,79.8662
62,18.8877,79.48
63,18.8355,79.0579
64,18.8189,78.6846
65,18.9276,78.4072
66,18.9235,77.9677
67,18.8931,77.5179
68,18.8421,77.1603
69,18.8561,76.7421
70,18.8013,76.3179
71,18.7785,75.9685
72,18.8036,75.582
73,18.8394,75.2057
74,19.32,75.2269
75,19.6445,75.2293
76,20.0844,75.2638
77,20.512,75.2621
78,20.9044,75.26
79,21.2327,75.2743
80,21.6024,75.2311
81,22.0539,75.2776
82,22.4923,75.2609
83,22.8604,75.2489
84,23.2878,75.221
85,23.7494,75.2252
86,24.148,75.2934
87,24.5239,75.3002
88,25.0664,75.2813
89,25.4944,75.2715
90,25.9129,75.1655
91,26.2622,75.1898
92,26.6776,75.1787
93,27.1162,75.1618
94,27.4572,75.0841
95,27.8625,75.1094
96,28.2458,75.1525
97,28.688,75.182
98,29.0256,75.1241
99,29.393,75.0337
100,29.8284,75.0015
101,30.2419,75.0277
102,30.6311,75.1178
103,31.0694,75.0651
104,31.0298,74.5992
105,31.0947,74.3137
106,31.0789,73.8715
107,31.1409,73.4394
108,31.1216,73.0089
109,31.1708,72.5977
110,31.2412,72.2489
111,31.0896,71.8299
112,31.0217,71.3454
113,30.9353,70.9425
114,30.9377,70.5832
115,30.9377,70.1507
116,30.8994,69.7807
117,30.8819,69.3418
118,30.9237,69.0304
119,30.9823,68.6828
120,31.0118,68.3125
121,31.0026,67.8889
122,31.0159,67.4042
123,31.04,67.0027
124,31.075,66.642
125,31.0359,66.162
126,30.9699,65.7975
127,31.0182,65.409
128,30.9609,65.0804
129,30.929,64.6948
130,30.8875,64.2917
131,30.924,63.9822
132,30.9217,63.5811
133,30.8346,63.1048
134,30.8923,62.7238
135,30.9023,62.2748
136,30.9156,61.8595
137,30.9998,61.5365
138,31.0537,61.1692
139,31.0059,60.7684
140,30.9583,60.4486
141,30.9468,60.0598
142,31.3965,60.0864
143,31.8099,60.1216
144,32.2276,60.0504
145,32.7006,60.11
146,33.096,60.1282
147,33.4935,60.06
148,33.9305,59.9999
149,34.2757,60.0438
150,34.7066,60.0377
151,35.1051,59.976
152,35.428,60.0069
153,35.7678,59.9516
154,36.2461,59.9468
155,36.7131,59.9422
156,37.1322,59.8861
157,37.4817,59.9088
158,37.7958,59.8928
159,38.1144,59.8908
160,38.4774,59.9835
161,38.8821,59.9622
162,39.2353,59.9431
163,39.6511,59.9629
164,40.0815,60.0246
165,40.4483,60.0074
166,40.9126,59.9993
167,41.2536,59.9872
168,41.6813,59.9579
169,42.0427,59.9097
170,41.9433,59.5656
171,41.9467,59.1771
172,41.9879,58.7702
173,42.0471,58.2958
174,42.077,57.9225
175,42.1143,57.531
176,42.035,57.1897
177,42.0631,56.8269
178,42.1138,56.4434
179,42.1117,56.0056
180,42.0165,55.5905
181,41.9776,55.2051
182,42.0045,54.784
183,41.9897,54.382
184,41.9835,53.9582
185,41.9949,53.6073
186,41.9267,53.247
187,41.8877,52.8758
188,41.8474,52.4737
189,41.8802,52.003
190,41.8921,51.6633
191,41.9358,51.2048
192,41.9247,50.7669
193,41.9892,50.3309
194,42.0629,49.8705
195,42.067,49.5626
196,41.9895,49.2701
197,42.0644,48.9187
198,41.975,48.5366
199,41.9882,48.2137
200,42.0278,47.7975
201,42.0377,47.4315
202,42.1362,47.0156
203,42.1327,46.5828
204,42.1196,46.0904
205,42.0672,45.7073
206,42.0118,45.2437
207,41.9615,44.861
208,42.3338,44.789
209,42.7755,44.8225
210,43.2095,44.8997
211,43.602,44.9765
212,43.967,44.9681
213,44.3736,44.9858
214,44.7717,44.996
215,45.1713,44.9487
216,45.5309,45.0297
217,45.9056,45.0471
218,46.299,45.0581
219,46.6333,45.1039
220,47.0082,45.1366
221,47.379,45.1165
222,47.6352,45.0885
223,48.0585,45.1512
224,48.5049,45.1596
225,48.9384,45.1719
226,49.3948,45.1646
227,49.8853,45.1335
228,50.2535,45.0865
229,50.6401,44.9993
230,51.0843,44.9456
231,51.478,44.9581
232,51.899,45.0432
233,52.2398,45.0576
234,52.627,45.1519
235,52.9974,45.0946
236,53.4552,44.9982
237,53.8411,45.0413
238,53.9121,44.6244
239,53.8544,44.2077
240,53.9024,43.8635
241,53.9517,43.4502
242,53.8788,42.9331
243,53.8644,42.5204
244,53.9114,42.1277
245,53.9144,41.7945
246,53.9201,41.4158
247,53.9851,41.0691
248,53.9644,40.6692
249,53.9521,40.3076
250,53.9475,39.815
251,54.0158,39.4585
252,54.0917,39.1277
253,53.9753,38.7536
254,54.0206,38.3936
255,53.9307,37.9317
256,53.9617,37.5371
257,53.9043,37.0426
258,53.922,36.6323
259,54.0003,36.1941
260,53.9645,35.7439
261,53.9553,35.3378
262,53.9176,34.872
263,53.8751,34.4451
264,53.9197,34.0309
265,53.9615,33.5772
266,53.9179,33.1071
267,54.0091,32.779
268,53.9787,32.399
269,53.8861,31.9746
270,53.906,31.6191
271,53.9221,31.2066
272,53.8057,30.889
273,54.2268,30.8335
274,54.6507,30.9507
275,55.0378,30.9688
276,55.3928,30.9397
277,55.7686,30.9861
278,56.1276,30.9451
279,56.6014,30.8635
280,56.9457,30.9108
281,57.4076,30.9468
282,57.8246,30.9851
283,58.2449,31.0245
284,58.5493,30.9898
285,58.8858,31.0261
286,59.3196,31.0056
287,59.6615,31.1069
288,60.103,31.1814
289,60.5151,31.1055
290,60.9363,31.1367
291,61.433,31.0838
292,61.8183,31.1484
293,62.2335,31.1239
294,62.6733,31.1737
295,63.056,31.282
296,63.397,31.1926
297,63.7614,31.1765
298,64.1108,31.0247
299,64.549,31.1057
300,64.9454,31.0671
301,65.0332,30.652
302,65.0472,30.2214
303,65.0013,29.8848
304,65.0365,29.5573
305,65.0619,29.1471
306,65.0431,28.6954
307,65.0302,28.3245
308,64.996,27.9787
309,65.0181,27.5352
310,65.0148,27.1551
311,65.078,26.7625
312,65.154,26.3585
313,65.1343,25.8946
314,65.0585,25.5221
