i,x,y
0,5.8798,90.5388
1,6.1521,90.5001
2,6.4619,90.5387
3,6.636,90.2442
4,7.4366,90.3707
5,7.7778,90.5661
6,8.2158,90.5961
7,8.4561,90.6969
8,8.8605,90.618
9,9.313,90.5726
10,9.5964,90.4235
11,10.1273,90.5181
12,10.5362,90.384
13,10.981,90.3182
14,11.0402,90.3566
15,11.3999,90.4691
16,11.7294,90.5243
17,12.1334,90.3942
18,12.3438,90.6125
19,12.6209,90.473
20,12.8329,90.3497
21,13.3615,90.3067
22,13.9318,90.325
23,14.2903,90.2924
24,14.7206,90.2392
25,15.1607,90.2111
26,15.4633,89.9868
27,15.6805,89.8971
28,16.0795,90.0478
29,16.3947,89.9441
30,16.7863,90.0793
31,17.0568,89.9125
32,17.4527,89.8894
33,17.9175,89.8088
34,18.3413,89.9802
35,18.7407,90.003
36,18.4811,89.8624
37,18.3464,89.7025
38,18.5988,89.2035
39,18.7614,88.988
40,18.7117,88.6164
41,18.6814,88.2098
42,18.6222,87.4901
43,18.5704,87.06
44,18.4813,86.5121
45,18.3528,86.0734
46,18.4378,85.7517
47,18.4479,85.2584
48,18.4374,84.7946
49,18.4649,84.4932
50,18.4936,83.9927
51,18.7014,83.7614
52,18.697,83.4777
53,18.5561,83.1485
54,18.5109,82.6893
55,18.5793,82.0806
56,18.4883,81.6443
57,18.4421,81.2994
58,18.4125,80.9034
59,18.4202,80.4374
60,18.5723,80.1585
61,18.6249,80.0213
62,18.5678,79.5545
63,18.7427,79.1281
64,18.756,78.8258
65,18.8993,78.2727
66,18.9683,77.893
67,18.9228,77.4089
68,18.971,77.0232
69,18.9428,76.5717
70,18.9457,76.3227
71,18.9688,76.1055
72,18.9405,75.6555
73,19.0166,75.4358
74,19.4302,75.4789
75,20.0065,75.3408
76,20.5707,75.4426
77,21.0974,75.3773
78,21.5249,75.2409
79,21.9105,75.2913
80,22.2891,75.219
81,22.7614,75.1885
82,23.2264,75.2626
83,23.6089,75.2966
84,24.1039,75.3462
85,24.4016,75.3376
86,24.8569,75.3402
87,25.0968,75.4751
88,25.4995,75.5114
89,25.7653,75.3287
90,26.0224,75.1623
91,26.3388,75.2438
92,26.9296,75.1895
93,27.328,75.1216
94,27.6468,74.954
95,28.041,74.9119
96,28.4131,74.8963
97,28.8566,74.717
98,29.2628,74.7324
99,29.4702,74.7004
100,29.7309,74.895
101,29.9305,74.8388
102,30.0305,74.9427
103,30.5651,74.7885
104,30.8055,74.718
105,30.8189,74.2972
106,30.8063,73.9301
107,30.8985,73.4868
108,30.8887,73.1711
109,31.0149,72.8288
110,30.9672,72.5409
111,31.0898,72.0884
112,31.1064,71.5688
113,31.0845,71.1003
114,31.0213,70.6375
115,30.9667,70.1782
116,30.9253,69.8235
117,30.9002,69.2618
118,30.9354,68.9015
119,30.9559,68.5471
120,30.8654,68.1313
121,31.0299,67.8621
122,31.0177,67.4797
123,31.1284,67.1687
124,31.0172,66.6668
125,30.9247,66.4413
126,31.0017,66.1182
127,31.0313,65.8012
128,31.0855,65.2858
129,31.0494,65.01
130,31.1372,64.5906
131,30.9422,64.1325
132,31.0698,63.6832
133,31.0371,63.436
134,31.1694,62.9985
135,31.1118,62.7141
136,31.1572,62.3327
137,31.0974,62.026
138,30.9215,61.8336
139,30.9182,61.2242
140,30.9169,60.897
141,30.8496,60.3597
142,31.1728,60.2785
143,31.4479,60.3011
144,31.8338,60.2137
145,32.2168,60.1636
146,32.6875,60.2747
147,33.1849,60.414
148,33.4407,60.5395
149,33.7635,60.4211
150,34.0457,60.331
151,34.5722,60.301
152,35.2332,60.1604
153,35.5028,60.1289
154,35.7248,60.07
155,36.3091,60.1399
156,36.9172,59.8881
157,37.3278,59.8157
158,37.9909,59.6975
159,38.3257,59.7685
160,38.6327,59.742
161,39.0171,59.7934
162,39.3217,59.7588
163,39.6365,59.8947
164,39.9969,59.8644
165,40.6995,59.8595
166,40.9664,59.8062
167,41.2732,59.9888
168,41.7323,60.004
169,42.1243,60.228
170,42.3602,59.7828
171,42.2813,59.2725
172,42.2672,58.9849
173,42.3624,58.5702
174,42.2666,58.1491
175,42.2822,57.688
176,42.3516,57.2369
177,42.4308,56.9467
178,42.1775,56.6757
179,42.2134,56.333
180,42.1242,56.216
181,42.0998,55.6344
182,42.1098,55.3472
183,42.1452,54.6008
184,42.0133,54.1946
185,42.1286,53.7516
186,42.1603,53.4133
187,41.9659,53.139
188,42.2211,52.5911
189,42.1944,52.196
190,42.2607,51.733
