i,x,y
0,4.6673,91.3556
1,5.0083,91.2445
2,5.5723,90.9544
3,5.8758,91.0847
4,6.3806,90.9244
5,6.8065,90.9013
6,7.3035,90.8581
7,7.6009,90.8854
8,7.917,90.7151
9,8.216,90.6487
10,8.7677,90.6056
11,9.329,90.7072
12,9.8489,90.6917
13,10.3355,90.5445
14,10.7619,90.498
15,11.1655,90.5255
16,11.6083,90.5057
17,12.0994,90.5461
18,12.4867,90.656
19,12.8463,90.692
20,13.1582,90.7514
21,13.6469,90.9068
22,13.8466,90.6484
23,14.279,90.6398
24,14.6495,90.4599
25,15.059,90.5094
26,15.4248,90.4462
27,15.791,90.4563
28,16.2056,90.447
29,16.6346,90.3993
30,16.9975,90.2336
31,17.376,90.0781
32,17.681,90.1192
33,18.0834,90.1956
34,18.3776,90.0699
35,18.5699,90.0578
36,18.6099,89.6307
37,18.71,89.1346
38,18.5679,88.7123
39,18.4966,88.3681
40,18.6243,87.8917
41,18.4882,87.4586
42,18.6204,87.0361
43,18.5682,86.5488
44,18.6171,85.9565
45,18.613,85.6236
46,18.633,85.3343
47,18.7044,84.9887
48,18.7881,84.6274
49,18.7181,84.1133
50,18.6977,83.728
51,18.7227,83.3644
52,18.847,83.0383
53,18.664,82.599
54,18.6555,82.1597
55,18.6006,81.8523
56,18.7427,81.4399
57,18.8669,81.0953
58,18.6186,80.8433
59,18.569,80.4473
60,18.5068,80.0265
61,18.5013,79.779
62,18.7646,79.4159
63,18.7567,79.017
64,18.8004,78.6621
65,18.9844,78.2078
66,18.9625,77.8012
67,19.0476,77.3314
68,19.0509,76.8609
69,19.1212,76.4352
70,19.0146,76.0873
71,18.9381,75.7546
72,19.0115,75.4287
73,18.8954,74.9087
74,19.3299,74.8719
75,19.8901,74.8136
76,20.3846,74.7679
77,20.8109,74.7698
78,21.303,74.8368
79,21.6541,74.8612
80,21.9272,74.7514
81,22.3906,74.8535
82,22.7964,74.8509
83,23.1674,74.9342
84,23.5205,74.9284
85,23.8628,74.8498
86,24.3113,74.9272
87,24.5598,74.7436
88,25.068,74.6385
89,25.5634,74.4972
90,26.0044,74.5898
91,26.3702,74.6264
92,26.9343,74.7188
93,27.365,74.79
94,27.737,74.7842
95,27.9645,74.9011
96,28.4554,74.7765
97,28.8552,74.6762
98,29.0965,74.7441
99,29.5225,74.8958
100,30.0293,74.6025
101,30.2571,74.7057
102,30.87,74.7092
103,31.1384,74.7232
104,31.1702,74.1557
105,31.1671,73.8616
106,31.0819,73.5334
107,31.209,73.0723
108,31.1319,72.5364
109,31.2761,72.101
110,31.2846,71.8879
111,31.4097,71.5898
112,31.4337,71.3089
113,31.4507,70.9069
114,31.3911,70.6312
115,31.3662,70.2701
116,31.2007,69.9883
117,31.273,69.8084
118,31.3835,69.3355
119,31.2533,68.9888
120,31.2621,68.6793
121,31.2742,68.2836
122,31.4684,67.7117
123,31.4789,67.3408
124,31.285,66.98
125,31.3267,66.5106
126,31.3385,66.0672
127,31.4417,65.8658
128,31.3915,65.3802
129,31.5442,65.0552
130,31.558,64.6283
131,31.4102,64.3203
132,31.2967,63.981
133,31.2278,63.5473
134,31.1151,63.2827
135,31.1577,62.6903
136,31.2045,62.4367
137,31.2072,62.0648
138,31.1612,61.6511
139,31.197,61.1412
140,31.2104,60.7039
141,31.3072,60.1779
142,31.8224,60.158
143,32.0906,60.0567
144,32.3191,60.06
145,32.8329,60.0921
146,33.3237,60.0485
147,33.9666,59.9124
148,34.5184,59.8739
149,34.7038,60.0583
150,35.1428,59.8614
151,35.3916,59.9267
152,35.7681,59.9499
153,36.1168,59.7424
154,36.2976,59.8885
155,36.7861,60.0967
156,37.2446,60.0255
157,37.6201,60.1031
158,37.9586,60.1447
159,38.3252,59.9794
160,38.6713,60.0032
161,38.9849,60.0169
162,39.3935,60.1157
163,39.6009,60.1577
164,39.9509,60.1814
165,40.5493,60.3229
166,41.0505,60.1827
167,41.4238,60.1928
168,41.7408,60.1219
169,42.0727,60.0424
170,42.0176,59.6605
171,41.8638,59.2299
172,41.8798,58.8433
173,41.9193,58.457
174,41.8553,58.0217
