i,x,y
0,34.9275,0.7744
1,35.1811,1.0632
2,35.6855,1.3217
3,35.9144,1.5129
4,36.1801,1.9587
5,36.539,2.2019
6,36.8574,2.6395
7,37.1842,2.8848
8,37.3358,3.1013
9,37.4897,3.6346
10,37.87,4.0561
11,38.0535,4.3236
12,38.3859,4.5881
13,38.5659,4.9868
14,38.7462,5.2066
15,38.9814,5.5487
16,39.3624,5.8687
17,39.733,5.9612
18,39.9618,6.0903
19,40.2205,6.4425
20,40.4238,6.7599
21,40.6741,6.9232
22,40.8974,7.4136
23,41.2171,7.791
24,41.5189,8.0303
25,41.9472,8.2629
26,42.1027,8.6196
27,42.3657,9.109
28,42.4258,9.4901
29,42.5999,9.864
30,42.7649,10.1219
31,42.8675,10.4433
32,43.1366,10.7154
33,43.4042,11.1453
34,43.8104,11.4372
35,43.9705,11.6709
36,44.3118,12.187
37,44.7279,12.6486
38,45.1011,12.8897
39,45.2586,13.0984
40,45.4635,13.357
41,45.59,13.5258
42,45.9821,13.8683
43,46.361,14.1615
44,46.5405,14.5567
45,46.6087,14.6305
46,47.0139,14.8993
47,47.1678,15.1209
48,47.4425,15.5294
49,47.7583,15.7797
50,48.0136,16.1168
51,48.1632,16.3869
52,48.5309,16.5797
53,48.8628,16.9408
54,49.1089,17.1728
55,49.5081,17.4183
56,49.8218,17.7636
57,50.1615,18.1328
58,50.4072,18.4017
59,50.5436,18.9015
60,50.8211,19.163
61,51.2297,19.5829
62,51.4353,19.8512
63,51.5606,20.2581
64,51.713,20.505
65,52.0714,20.8213
66,52.4349,21.1979
67,52.7483,21.471
68,53.1155,21.8166
69,53.3551,22.0378
70,53.7501,22.4223
71,53.9643,22.7165
72,54.2168,22.8196
73,54.6325,23.0675
74,54.7643,23.3228
75,54.9653,23.5661
76,55.1476,23.8566
77,55.4927,24.0804
78,55.7854,24.4388
79,56.0524,24.7484
80,56.4181,25.0765
81,56.6197,25.4724
82,56.9419,25.6683
83,57.3294,25.8979
84,57.4323,26.3877
85,57.6539,26.5195
86,57.9792,26.9304
87,58.194,27.2427
88,58.5421,27.4271
89,58.7559,27.8027
90,59.0114,28.0943
91,59.23,28.3404
92,59.5218,28.5764
93,59.8134,28.7801
94,60.0133,29.0784
95,60.1177,29.405
96,60.3423,29.5736
97,60.6677,30.0338
98,60.7267,30.2746
99,61.1019,30.4402
100,61.4189,30.6444
101,61.9016,31.1267
102,62.0502,31.4828
103,62.3528,31.9216
104,62.5741,32.021
105,62.8366,32.2992
106,63.1374,32.6775
107,63.5408,33.0111
108,63.7638,33.22
109,63.9617,33.3913
110,64.1268,33.7309
111,64.3007,34.2086
112,64.6541,34.5646
113,64.9575,35.005
114,65.218,35.2585
115,65.5142,35.5479
116,66.0346,35.7927
117,66.0951,36.0215
118,66.4028,36.3438
119,66.5158,36.4902
120,66.9001,36.9323
121,67.3392,37.2053
122,67.6533,37.4505
123,67.8185,37.7569
124,68.1117,38.0212
125,68.4179,38.367
126,68.5071,38.5596
127,68.7875,38.7038
128,69.1785,38.9763
129,69.3897,39.2289
130,69.6389,39.6321
131,69.9097,40.1518
132,70.0143,40.4259
133,70.2701,40.7578
134,70.5476,40.9257
135,70.9329,41.1887
136,71.1361,41.5509
137,71.4397,41.7791
138,71.7586,41.9201
139,72.0638,42.167
140,72.2251,42.497
141,72.5525,42.805
142,72.7761,43.1366
143,72.9897,43.4709
144,73.1669,43.8701
145,73.4845,44.2913
146,73.8391,44.5138
147,74.1202,44.7868
148,74.2572,45.0814
149,74.518,45.417
150,74.8081,45.7217
151,75.0804,45.947
152,75.3297,46.0651
153,75.4985,46.5052
154,75.8983,46.6103
155,76.2288,46.9467
156,76.4884,47.1898
157,76.6877,47.4861
158,76.8139,47.6892
159,77.1901,48.0916
160,77.5158,48.4011
161,77.9954,48.7911
162,78.2962,48.3158
163,78.4969,47.9921
164,78.6816,47.8173
165,78.9087,47.2792
166,79.1317,46.9933
167,79.4001,46.7663
168,79.4962,46.5067
169,79.6763,46.1273
170,79.9325,45.8315
171,80.1305,45.3437
172,80.4916,45.0226
173,80.6948,44.5662
174,80.9415,44.3783
175,81.1851,44.081
176,81.3325,43.7439
177,81.6301,43.7051
178,81.9,43.3255
179,81.9181,42.8733
180,82.0413,42.565
181,82.2415,42.2366
182,82.511,41.8306
183,82.6871,41.4781
184,82.8051,41.2311
185,82.9052,40.9616
186,83.0881,40.8291
187,83.1956,40.4818
188,83.5343,39.8997
189,83.8724,39.7466
190,84.155,39.4123
191,84.2673,39.1739
192,84.4997,38.9349
193,84.7832,38.5103
194,85.1555,38.142
195,85.4513,37.6729
196,85.7537,37.2384
197,85.8748,36.8197
198,86.2581,36.6035
199,86.411,36.2154
200,86.6295,35.7534
201,86.7874,35.4733
202,87.0082,35.1984
203,87.2365,34.6613
204,87.3108,34.246
205,87.494,34.0653
206,87.7372,33.7149
207,87.9459,33.1868
208,88.1967,32.8888
209,88.6913,32.6322
210,88.9504,32.2618
211,89.1482,31.9713
212,89.3717,31.8326
213,89.5603,31.4417
214,89.8636,31.1961
215,90.0703,30.7977
216,90.0652,30.4544
217,90.3883,30.3568
218,91.0245,30.1981
219,91.4359,30.1121
220,91.8767,29.9233
221,92.0899,30.0067
222,92.4229,30.1219
223,92.7863,30.0047
224,93.205,29.9634
225,93.5803,29.9261
226,93.9345,29.987
227,94.4735,30.1522
228,95.0209,30.1359
229,95.4141,30.3003
230,95.7631,30.5545
231,95.9438,30.5311
232,96.3555,30.5633
233,96.7384,30.573
234,97.1096,30.5358
235,97.558,30.3153
236,98.0051,30.2732
237,98.4,30.4902
238,98.7022,30.6118
239,99.0334,30.6621
240,99.3776,30.8036
241,99.8854,30.848
242,100.3583,30.7197
243,100.7582,30.7702
244,101.0241,30.7146
245,101.296,30.701
246,101.808,30.7266
247,102.2085,30.8295
248,102.433,30.8722
249,102.8496,30.8785
250,103.338,30.8616
251,103.6194,30.8759
252,103.9685,31.0187
253,103.9628,31.3307
254,103.9523,31.5489
255,103.9333,31.9217
256,103.9408,32.3861
257,104.1464,32.8315
258,104.1745,33.283
259,104.1708,33.6838
260,104.2012,33.9876
261,104.2764,34.5601
262,104.3658,34.9905
263,104.3739,35.4288
264,104.3883,35.7524
265,104.2166,36.0982
266,104.1598,36.4048
267,104.1494,36.679
268,104.0279,37.0219
269,104.0474,37.3304
270,104.1813,37.8047
271,104.2842,38.2937
272,104.3086,38.7639
273,104.2882,39.1411
274,104.1819,39.5996
275,104.1391,40.1889
276,104.1829,40.6401
277,104.2384,41.1062
278,104.2695,41.5112
279,104.1972,41.8643
280,104.1643,42.3039
281,104.219,42.5621
282,104.2551,42.9607
283,104.3856,43.3325
284,104.3142,43.8332
285,104.3096,44.2505
286,104.421,44.7457
287,104.4584,45.1208
288,104.4073,45.5646
289,104.4953,45.9314
290,104.3649,46.4426
291,104.486,46.8902
292,104.4777,47.3178
293,104.6399,47.8644
294,104.5864,48.1715
295,104.533,48.5054
296,104.6579,48.863
297,104.7147,49.2486
298,104.6654,49.5932
299,104.7303,49.8888
300,104.8002,50.322
301,104.8832,50.7355
302,104.7552,51.2878
303,104.7508,51.5258
304,104.7309,51.786
305,104.7913,52.0572
306,104.6286,52.3051
307,104.7997,52.8578
308,104.7592,53.3405
309,104.6737,53.758
310,104.5801,54.1839
311,104.6541,54.5878
312,104.7895,54.8572
313,104.7568,55.3018
314,104.8469,55.6736
315,104.7294,56.2411
316,104.88,56.6835
317,104.8618,57.0438
318,104.9346,57.4311
319,105.0141,57.9858
320,104.9853,58.4327
321,105.0158,58.7202
322,105.1717,59.098
323,104.9655,59.5348
324,104.8311,60.0399
325,105.0312,60.4812
326,104.9537,60.8887
327,104.9079,61.2665
328,104.948,61.5861
329,105.1844,61.8011
330,105.1727,62.1316
331,104.9361,62.0111
332,104.6104,62.2745
333,104.2992,62.5407
334,103.963,62.7418
335,103.4356,62.7162
336,102.9253,63.0106
337,102.5049,63.1965
338,101.9696,63.4584
339,101.4407,63.6676
340,100.9796,63.9374
341,100.6948,63.9601
342,100.2192,64.111
343,99.9697,64.1975
344,99.7448,64.1204
345,99.2196,64.3236
346,99.0424,64.4632
347,98.728,64.8506
348,98.3914,64.9602
349,97.9587,65.1496
350,97.6858,65.2388
351,97.3037,65.3674
352,97.0512,65.6313
353,96.6775,65.9355
354,96.3516,66.0551
355,96.041,66.0407
356,95.8288,66.1812
357,95.4173,66.173
358,95.056,66.3809
359,94.7461,66.7314
360,94.2475,66.845
361,93.9447,66.8284
362,93.4874,67.0255
363,92.9959,67.2166
364,92.703,67.1951
365,92.477,67.4075
366,92.2008,67.6113
367,91.7166,67.6483
368,91.4017,67.88
369,90.9703,68.0128
370,90.5821,68.1846
371,90.3036,68.4678
372,89.9041,68.5229
373,89.4851,68.5248
