i,x,y
0,34.8793,1.1049
1,35.2347,1.4868
2,35.5258,1.7931
3,35.8095,2.1764
4,36.1764,2.4374
5,36.4772,2.9091
6,36.6993,3.1091
7,36.8953,3.364
8,37.2139,3.7274
9,37.463,4.1049
10,37.7153,4.2776
11,37.9168,4.6898
12,38.0916,4.9615
13,38.3788,5.1856
14,38.7394,5.4433
15,38.9299,5.8096
16,39.2229,5.9454
17,39.5963,6.2698
18,39.8399,6.4236
19,40.2277,6.6431
20,40.6754,6.8566
21,40.9321,7.0759
22,41.1313,7.4949
23,41.4442,7.8528
24,41.7004,8.3139
25,41.9679,8.514
26,42.2488,8.8102
27,42.3801,9.2104
28,42.6547,9.5098
29,42.9223,9.8211
30,43.2365,10.3131
31,43.4823,10.5253
32,43.7396,10.8437
33,44.0229,11.1963
34,44.2947,11.4708
35,44.5217,11.7909
36,44.6332,12.2994
37,44.7783,12.5019
38,45.026,12.849
39,45.2043,12.9586
40,45.3394,13.2345
41,45.5571,13.4956
42,45.8448,13.8909
43,46.0687,14.2799
44,46.381,14.5079
45,46.6195,14.7491
46,46.9757,15.0961
47,47.4962,15.3766
48,47.7833,15.6054
49,48.1089,15.8983
50,48.3604,16.2357
51,48.682,16.5276
52,48.9867,16.6732
53,49.1691,17.0714
54,49.3844,17.2468
55,49.6212,17.5296
56,49.8052,17.7503
57,50.1314,18.0552
58,50.3519,18.3419
59,50.7777,18.6872
60,51.0334,19.0294
61,51.0918,19.2847
62,51.4702,19.5973
63,51.7363,19.998
64,51.9513,20.2388
65,52.174,20.542
66,52.3368,20.7727
67,52.6144,21.1389
68,52.936,21.433
69,53.1633,21.8233
70,53.4378,22.0454
71,53.8036,22.4007
72,54.0224,22.7055
73,54.3569,22.9524
74,54.5646,23.3855
75,55.0184,23.6618
76,55.2554,23.9104
77,55.5958,24.2269
78,55.9385,24.4389
79,56.1731,24.6793
80,56.4289,24.8423
81,56.6871,25.1726
82,57.0732,25.3925
83,57.3881,25.8356
84,57.6013,26.0707
85,57.9114,26.4903
86,58.1725,26.9308
87,58.3698,27.1937
88,58.645,27.5471
89,58.9384,27.8572
90,59.1069,28.1271
91,59.3598,28.3681
92,59.6882,28.6006
93,60.0702,28.9356
94,60.1813,29.1386
95,60.3105,29.5117
96,60.6159,29.81
97,60.904,30.1422
98,61.163,30.3927
99,61.319,30.6115
100,61.6313,30.8742
101,61.8134,31.0651
102,62.0817,31.4107
103,62.2137,31.6839
104,62.4926,31.9934
105,62.8589,32.1685
106,63.2589,32.4496
107,63.4514,32.5951
108,63.6528,32.9251
109,63.9585,33.1788
110,64.1086,33.3147
111,64.5228,33.5466
112,64.8727,33.7441
113,65.0677,34.0864
114,65.2693,34.4546
115,65.4555,34.8524
116,65.7336,35.4049
117,65.9797,35.6864
118,66.1918,35.8547
119,66.3254,36.2912
120,66.5279,36.6097
121,66.9152,37.0543
122,67.1596,37.337
123,67.4486,37.6781
124,67.785,37.8892
125,67.9388,38.1227
126,68.2199,38.416
127,68.451,38.7748
128,68.7678,39.236
129,69.1172,39.6569
130,69.4937,39.9987
131,69.8227,40.2946
132,70.0926,40.6438
133,70.5359,41.0159
134,70.7697,41.3662
135,70.9784,41.515
136,71.2901,41.9095
137,71.5968,42.2562
138,71.7928,42.5372
139,71.8934,42.8137
140,72.2321,43.0779
141,72.621,43.3991
142,72.9208,43.5872
143,73.2235,43.8304
144,73.5183,44.0157
145,73.8198,44.1786
146,73.9921,44.5217
147,74.159,44.6443
148,74.3115,44.9503
149,74.5355,45.2711
150,74.7386,45.6292
151,75.1166,46.0422
152,75.3707,46.296
153,75.8046,46.7333
154,76.0166,47.0826
155,76.1238,47.4435
156,76.4172,47.7226
157,76.7947,47.9177
158,77.0478,48.1579
159,77.4098,48.4906
160,77.6972,48.801
161,77.9369,49.1362
162,78.0484,48.7119
163,78.1563,48.4739
164,78.2038,48.2153
165,78.5142,47.7989
166,78.7846,47.3944
167,79.1608,47.0388
168,79.3815,46.8176
169,79.581,46.5402
170,79.7067,46.0253
171,80.0293,45.6125
172,80.277,45.1802
173,80.5919,44.9097
174,80.6571,44.4972
