i,x,y
0,34.6496,0.8534
1,34.8834,0.9107
2,34.948,1.3274
3,35.4877,1.4988
4,35.9659,1.5903
5,36.2927,2.115
6,36.1249,2.6184
7,36.5785,2.7948
8,36.9997,2.9818
9,37.4551,3.2647
10,38.076,3.0549
11,38.3631,3.9426
12,38.3854,4.4952
13,38.7486,4.9457
14,39.3245,5.2064
15,39.4847,5.5425
16,39.8981,5.8092
17,39.9273,5.9392
18,39.8268,6.1123
19,40.096,6.4029
20,40.5276,6.8353
21,40.7786,7.1322
22,41.1268,7.2246
23,41.3255,7.7356
24,41.2932,8.2751
25,41.303,8.4767
26,41.3931,8.7517
27,42.001,8.9605
28,42.0167,9.0207
29,42.0893,9.67
30,42.3425,10.0841
31,42.4835,10.4654
32,42.6785,11.0133
33,43.5485,10.9758
34,43.611,11.2436
35,43.8477,11.6334
36,44.3008,11.795
37,44.5144,12.0456
38,44.7842,12.51
39,44.8194,12.3789
40,44.9186,12.7403
41,45.2173,13.1345
42,45.5971,13.0225
43,45.9076,13.199
44,45.9276,13.3714
45,46.4513,13.7767
46,46.5486,13.8874
47,46.7891,14.4491
48,46.9006,14.5496
49,47.4098,14.9361
50,47.8425,15.5184
51,48.0451,15.9775
52,48.4119,16.1848
53,48.2399,16.5702
54,48.3367,16.8849
55,48.8739,16.8741
56,49.3749,17.2922
57,49.8297,17.4936
58,50.2051,17.6668
59,50.7637,18.4611
60,51.1248,18.4687
61,51.4919,19.0466
62,51.6167,19.6564
63,52.0805,20.0625
64,52.3155,20.4526
65,52.3832,20.3316
66,52.4065,20.4827
67,52.8369,20.8169
68,53.329,20.9937
69,53.2731,20.984
70,53.6786,21.7748
71,53.6117,21.9195
72,53.9338,22.3437
73,54.3246,22.3675
74,54.7416,22.3893
75,54.8962,22.7663
76,55.3362,22.9618
77,55.4997,23.1663
78,55.8163,23.7154
79,55.4983,23.8153
80,55.8209,23.9239
81,56.4287,24.5448
82,57.274,25.0038
83,57.6703,25.2601
84,58.2807,25.6494
85,58.8277,25.9381
86,58.8793,26.4689
87,59.0001,26.877
88,58.7535,27.2663
89,58.9813,27.4373
90,59.2303,27.355
91,59.5622,27.5709
92,60.024,27.9148
93,60.3542,28.4033
94,60.6361,28.6764
95,60.8954,29.2988
96,61.2746,29.6323
97,62.0205,29.5698
98,62.1966,29.6549
99,61.6609,30.3667
100,61.8974,31.0338
101,61.9557,31.1874
102,62.3239,31.514
103,62.5751,31.7751
104,62.8552,31.7357
105,62.8094,31.8439
106,63.2997,31.8715
107,63.7134,32.4059
108,63.9629,33.0626
109,64.1865,33.764
110,64.7364,34.0533
111,64.8791,34.419
112,64.9535,34.5406
113,65.4009,34.5216
114,65.5682,35.0585
115,65.9704,35.0898
116,66.3065,35.6959
117,66.5813,35.8133
118,66.8314,36.1795
119,66.9995,36.3844
120,67.3047,36.8108
121,67.7672,36.9129
122,68.0524,37.3003
123,68.3702,37.5564
124,68.4993,38.2434
125,68.8311,38.4753
126,69.3356,39.1658
127,69.3276,39.5823
128,69.7178,39.7646
129,69.3125,40.0295
130,69.4986,40.0414
131,69.7794,40.1702
132,70.0353,40.4401
133,70.0926,40.8629
134,70.5854,41.0314
135,71.0007,41.1574
136,71.3413,41.5964
137,71.7398,42.0165
138,72.0331,42.6651
139,72.0475,42.9779
140,72.4757,42.9806
141,72.9216,43.4519
142,73.4363,43.7596
143,74.1539,44.0966
144,74.3954,44.2212
145,74.5445,44.3803
146,74.8413,44.7536
147,74.8443,45.0234
148,74.97,45.0978
149,75.445,45.7146
150,75.4669,46.0814
151,75.9349,46.2651
152,76.0095,46.5649
153,76.2979,47.2094
154,76.419,47.4079
155,76.5375,47.9282
156,76.9565,48.0688
157,77.4048,48.4097
158,77.468,48.2468
159,77.2275,48.4146
160,77.5928,48.9833
161,77.9427,49.2026
162,78.2745,48.9942
163,78.3314,48.5615
164,78.4242,48.2866
165,78.5527,47.6523
166,78.8689,47.5374
167,78.7873,47.197
168,79.0965,47.0149
169,79.3688,46.9958
170,79.3074,46.5997
171,79.9171,46.1671
172,80.1954,45.6564
173,80.7132,45.0663
174,80.8575,44.2922
175,80.6407,43.9386
176,80.8014,43.4328
177,81.2268,43.151
178,81.7813,42.6488
179,82.0334,42.3517
180,82.0407,41.9459
181,82.3728,41.5233
182,82.7,41.1263
183,82.8674,40.7631
184,82.9676,40.7717
185,83.0734,40.3242
186,83.1544,39.8558
187,83.3314,39.3842
