i,x,y
0,34.8887,0.9587
1,35.1559,1.2308
2,35.5017,1.4981
3,35.7447,1.8404
4,35.9971,2.0424
5,36.278,2.2867
6,36.4847,2.6526
7,36.7843,2.9271
8,37.1122,3.2655
9,37.356,3.6418
10,37.6624,3.9427
11,37.9288,4.2331
12,38.1287,4.4924
13,38.3988,4.8497
14,38.6519,5.1227
15,38.9708,5.3802
16,39.2081,5.7566
17,39.4885,6.0321
18,39.6905,6.3305
19,39.8515,6.6599
20,40.1897,6.9607
21,40.4524,7.1926
22,40.7189,7.4533
23,41.0153,7.7903
24,41.3171,8.0408
25,41.5964,8.3483
26,41.9153,8.6847
27,42.1753,9.0515
28,42.5078,9.377
29,42.7052,9.617
30,43.0046,9.8796
31,43.3652,10.1815
32,43.5544,10.528
33,43.7609,10.8693
34,44.0334,11.1392
35,44.3509,11.45
36,44.6072,11.7551
37,44.9815,12.0611
38,45.2413,12.3468
39,45.4989,12.7425
40,45.7245,13.0258
41,46.0047,13.352
42,46.2634,13.6162
43,46.5596,13.9442
44,46.854,14.3213
45,47.1862,14.5668
46,47.4746,14.838
47,47.8126,15.0771
48,48.0784,15.4016
49,48.4194,15.7648
50,48.6429,16.1
51,48.8734,16.4427
52,49.1346,16.6242
53,49.3881,17.0019
54,49.6002,17.3333
55,49.8694,17.5069
56,50.0925,17.7934
57,50.3562,18.0999
58,50.5453,18.3357
59,50.8748,18.6046
60,51.0758,18.9536
61,51.3534,19.2685
62,51.6428,19.546
63,51.8812,19.793
64,52.1322,20.0247
65,52.454,20.3395
66,52.7298,20.6452
67,53.0046,20.9661
68,53.197,21.1934
69,53.3664,21.4365
70,53.5709,21.7341
71,53.7784,22.0908
72,54.1245,22.468
73,54.3905,22.73
74,54.6868,23.0183
75,54.914,23.256
76,55.131,23.5721
77,55.4554,23.8519
78,55.7163,24.158
79,56.0636,24.4627
80,56.3725,24.778
81,56.7132,25.0099
82,57.0023,25.3915
83,57.2199,25.6764
84,57.5033,25.9696
85,57.7142,26.282
86,58.0151,26.5237
87,58.2573,26.8787
88,58.6538,27.1482
89,58.9322,27.4184
90,59.2591,27.7817
91,59.4672,28.1796
92,59.8253,28.4745
93,60.0267,28.7763
94,60.2703,29.0079
95,60.5218,29.2453
96,60.7173,29.5188
97,60.989,29.807
98,61.1934,30.1488
99,61.476,30.3285
100,61.7061,30.6098
101,61.9226,30.8884
102,62.2606,31.1731
103,62.5747,31.504
104,62.8806,31.902
105,63.1464,32.2253
106,63.3922,32.5311
107,63.6393,32.8887
108,63.7966,33.276
109,64.0694,33.5726
110,64.3521,33.8742
111,64.6312,34.1514
112,64.9207,34.4618
113,65.1709,34.7892
114,65.4896,35.0212
115,65.7232,35.3195
116,65.8773,35.5599
117,66.2082,35.8829
118,66.5124,36.1228
119,66.7596,36.4363
120,67.0563,36.7887
121,67.3493,37.1465
122,67.6302,37.4088
123,67.9774,37.7444
124,68.3205,38.0538
125,68.5719,38.4084
126,68.8165,38.6965
127,69.0604,39.0751
128,69.2624,39.3159
129,69.5493,39.6314
130,69.8369,39.9357
131,70.0865,40.1892
132,70.3884,40.4814
133,70.5703,40.7876
134,70.9274,41.049
135,71.218,41.3151
136,71.5425,41.5911
137,71.7857,41.8938
138,72.1197,42.1051
139,72.329,42.3694
140,72.632,42.7523
141,72.9064,43.0411
142,73.1331,43.2479
143,73.4354,43.495
144,73.6798,43.7559
145,73.9526,44.0036
146,74.1708,44.2968
147,74.393,44.6269
148,74.7159,44.9269
149,74.9692,45.2539
150,75.2519,45.6102
151,75.5321,45.9648
152,75.7834,46.2702
153,76.0964,46.6096
154,76.3473,46.9124
155,76.6246,47.2492
156,76.9214,47.5525
157,77.1903,47.8078
158,77.4752,48.0975
159,77.6865,48.3378
160,77.8894,48.6054
161,78.0385,48.9841
162,78.2621,48.6653
163,78.5035,48.3233
164,78.725,47.9832
165,78.955,47.6031
166,79.0767,47.2282
167,79.3521,46.8838
168,79.6033,46.5244
169,79.7361,46.2028
170,79.9443,45.8439
171,80.2153,45.5519
172,80.4165,45.2615
173,80.6212,44.8861
174,80.9063,44.5469
175,81.1241,44.2756
176,81.3308,43.9588
177,81.5494,43.6484
178,81.7548,43.2679
179,81.9513,42.9144
180,82.1196,42.638
181,82.3522,42.2621
182,82.5795,41.9842
183,82.8316,41.5108
184,83.1301,41.2454
185,83.2115,40.9146
186,83.4377,40.6434
187,83.6537,40.3461
188,83.7995,39.9727
189,84.0165,39.6377
190,84.2414,39.2377
191,84.4842,38.8222
192,84.7187,38.5209
193,84.906,38.1138
194,85.0859,37.7975
195,85.3696,37.3863
196,85.5431,37.0197
197,85.7409,36.7013
198,85.9457,36.3432
199,86.1604,36.0387
200,86.3444,35.6974
201,86.5242,35.3121
202,86.741,35.0036
203,87.0187,34.7194
204,87.2309,34.46
205,87.521,34.1355
206,87.7458,33.807
207,87.8869,33.4891
208,88.0861,33.1471
209,88.398,32.8534
210,88.6023,32.4501
211,88.8728,32.0757
212,88.9929,31.7022
213,89.1126,31.3249
214,89.3204,30.9526
215,89.5552,30.6213
216,89.8094,30.3137
217,90.104,29.9962
218,90.5142,29.9978
219,90.8238,30.0059
220,91.2151,30.0998
221,91.6762,30.1167
222,92.141,30.1041
223,92.5704,30.0599
224,92.9297,30.1161
225,93.2735,30.2063
226,93.6675,30.2984
227,94.0069,30.3055
228,94.349,30.2523
229,94.8307,30.291
230,95.2455,30.3286
231,95.7087,30.3956
232,96.1556,30.4214
233,96.4963,30.4702
234,96.8665,30.3355
235,97.2597,30.3353
236,97.7169,30.3663
237,98.121,30.416
238,98.3833,30.4517
239,98.7584,30.4895
240,99.2393,30.518
241,99.6211,30.5447
242,100.0293,30.6774
243,100.4988,30.6862
244,100.8731,30.7089
245,101.276,30.7373
246,101.7056,30.7955
247,102.0506,30.8095
248,102.3929,30.9334
249,102.8002,30.98
250,103.1719,30.9551
251,103.4637,30.9268
252,103.8862,30.9636
253,103.931,31.4558
254,103.9536,31.8223
255,103.9262,32.2288
256,104.0015,32.6381
257,104.0167,33.0501
258,103.9835,33.389
259,103.9842,33.8248
260,103.9672,34.2007
261,104.021,34.5919
262,103.9581,34.9315
263,103.991,35.2972
264,104.0702,35.6738
265,104.1008,36.0602
266,104.1,36.5399
267,104.1409,36.9735
268,104.1888,37.3164
269,104.1996,37.6203
270,104.1787,37.9451
271,104.2125,38.2866
272,104.1601,38.7401
273,104.1331,39.1616
274,104.1171,39.6322
275,104.1682,40.1355
276,104.3025,40.4914
277,104.309,40.8829
278,104.2711,41.3006
279,104.2845,41.6901
280,104.3401,42.0661
281,104.3282,42.4867
282,104.3825,42.9694
283,104.4274,43.3469
284,104.4458,43.7735
285,104.4335,44.201
286,104.4224,44.6171
287,104.477,45.0689
288,104.4864,45.4384
289,104.546,45.8663
290,104.547,46.2328
291,104.5144,46.6954
292,104.5542,47.1785
293,104.5704,47.5306
294,104.6019,47.938
295,104.7197,48.254
296,104.6968,48.6374
297,104.7076,49.0168
298,104.7227,49.4148
299,104.6997,49.804
300,104.6852,50.1804
301,104.7244,50.4701
302,104.7911,50.8443
303,104.7305,51.1853
304,104.7315,51.6522
305,104.7771,52.1089
306,104.832,52.5676
307,104.8025,52.9683
308,104.7224,53.2976
309,104.7996,53.6766
310,104.7749,54.0736
311,104.7483,54.5124
312,104.7177,54.9517
313,104.729,55.3208
314,104.718,55.6574
315,104.6466,56.1165
316,104.6746,56.5089
317,104.6508,56.9512
318,104.6324,57.4758
319,104.642,57.7513
320,104.6954,58.13
321,104.7222,58.5436
322,104.734,58.8491
323,104.669,59.2976
324,104.694,59.6743
325,104.6884,60.1324
326,104.7408,60.4509
327,104.7103,60.8565
328,104.7007,61.2394
329,104.7388,61.5824
330,104.7542,61.9811
331,104.4459,62.1606
332,104.0355,62.2964
333,103.78,62.4598
334,103.4479,62.6036
335,103.0726,62.7832
336,102.7238,63.0185
337,102.2928,63.0956
338,101.9056,63.2664
339,101.5045,63.4568
340,101.1648,63.5578
341,100.7829,63.6949
342,100.4732,63.74
343,100.0548,63.9394
344,99.7949,64.1587
345,99.4565,64.3548
346,99.1244,64.4877
347,98.7634,64.6292
348,98.4412,64.787
349,98.0924,64.892
350,97.8124,65.0695
351,97.439,65.2711
352,97.0818,65.4313
353,96.7669,65.6649
354,96.3836,65.768
355,96.0214,66.0225
356,95.5646,66.227
357,95.1687,66.3413
358,94.8266,66.444
359,94.452,66.5445
360,94.1027,66.7381
361,93.8067,66.9349
362,93.5009,67.1229
363,93.1175,67.2084
364,92.7302,67.3916
365,92.3683,67.6119
366,92.0498,67.7873
367,91.6533,68.0304
368,91.2893,68.1376
369,91.0122,68.3237
370,90.5558,68.4873
371,90.2026,68.6167
372,89.8821,68.6953
373,89.4421,68.8595
