i,x,y
0,34.9487,0.6769
1,35.201,1.1091
2,35.3369,1.5008
3,35.5158,1.6232
4,35.9843,2.0259
5,36.2009,2.0864
6,36.347,2.3503
7,36.4961,2.6274
8,36.7752,2.9589
9,37.2721,3.361
10,37.6737,3.757
11,37.9898,3.994
12,38.2202,4.394
13,38.5283,4.6923
14,38.677,5.0316
15,38.9411,5.3362
16,39.0935,5.8363
17,39.536,5.997
18,39.7444,6.339
19,40.0772,6.3751
20,40.2549,6.6423
21,40.5691,7.1822
22,40.9625,7.5427
23,41.3396,7.9463
24,41.5874,8.3592
25,41.8167,8.5649
26,41.9859,8.7398
27,42.3159,9.0016
28,42.6936,9.3287
29,43.0576,9.4915
30,43.3046,9.815
31,43.6023,10.1794
32,43.7369,10.5722
33,43.975,10.9105
34,44.2861,11.2841
35,44.4298,11.5032
36,44.6125,11.6266
37,44.9022,11.8616
38,45.2567,12.0748
39,45.6337,12.3734
40,45.8057,12.8144
41,45.9999,13.0415
42,46.2825,13.3824
43,46.574,13.7052
44,46.8009,13.897
45,47.0436,14.3174
46,47.3974,14.4304
47,47.6873,14.8574
48,47.8971,15.0966
49,48.3591,15.5182
50,48.6168,15.7438
51,48.96,16.0854
52,49.1979,16.6025
53,49.3734,16.7373
54,49.6069,17.1353
55,49.7487,17.4947
56,49.9842,17.9653
57,50.0975,18.2095
58,50.2597,18.4276
59,50.4262,18.6188
60,50.873,18.9838
61,51.1361,19.3115
62,51.2637,19.5302
63,51.776,19.6499
64,52.1884,20.0217
65,52.5709,20.1857
66,52.7435,20.2946
67,52.9227,20.7253
68,53.256,21.0047
69,53.3356,21.3816
70,53.6935,21.5714
71,54.0258,21.9125
72,54.3151,22.2919
73,54.628,22.4473
74,54.8235,22.7185
75,55.0052,22.9415
76,55.5469,23.3203
77,55.6374,23.6488
78,55.9882,23.8276
79,55.9705,24.2744
80,56.05,24.5044
81,56.3635,24.9649
82,56.499,25.276
83,56.8276,25.7122
84,57.0852,25.7937
85,57.4533,26.1883
86,57.8285,26.7475
87,58.2687,27.2023
88,58.3082,27.5415
89,58.5606,27.8259
90,58.7489,27.9515
91,59.0905,28.4012
92,59.2097,28.8127
93,59.5587,29.0498
94,59.9541,29.2898
95,60.1112,29.5073
96,60.5612,29.7349
97,60.5924,30.0513
98,60.7091,30.3439
99,61.1558,30.8328
100,61.4471,31.0329
101,61.7762,31.4492
102,62.1733,31.6992
103,62.5998,31.9754
104,62.8395,32.3314
105,63.1028,32.645
106,63.4472,32.8382
107,63.6855,33.0776
108,63.9777,33.3939
109,64.3531,33.6544
110,64.3962,33.9513
111,64.6446,34.4586
112,64.9833,34.6722
113,65.3259,34.861
114,65.5471,35.1545
115,65.6062,35.5235
116,65.8377,35.9042
117,66.0437,36.1174
118,66.3152,36.5188
119,66.5373,36.6679
120,66.7946,36.8191
121,67.1524,37.1781
122,67.4261,37.3085
123,67.7426,37.7729
124,67.9434,38.0468
125,68.3537,38.2168
126,68.7123,38.5324
127,68.9838,38.7693
128,69.2109,38.9159
129,69.4011,39.1383
130,69.5481,39.365
131,69.858,39.6899
132,70.0773,40.0179
133,70.3341,40.3515
134,70.5814,40.5816
135,70.6456,41.0708
136,70.887,41.3807
137,71.1836,41.7824
138,71.4941,42.2952
139,71.9467,42.6034
140,72.2867,42.8289
141,72.5395,43.2236
142,72.912,43.1759
143,73.2758,43.3784
144,73.5393,43.8243
145,73.7942,44.0171
146,74.1093,44.3536
147,74.2615,44.6222
148,74.6182,45.0717
149,74.8486,45.4092
150,74.977,45.747
151,75.2244,46.1367
152,75.4121,46.374
153,75.8331,46.6247
154,76.2755,46.7032
155,76.6383,47.087
156,76.8896,47.4642
157,77.2405,47.6595
158,77.3886,48.0315
159,77.6694,48.6136
160,77.8508,48.78
161,78.1774,49.011
162,78.3414,48.7548
163,78.6518,48.5126
164,78.838,48.0193
165,78.9387,47.7074
166,79.1534,47.3835
167,79.1727,47.204
168,79.4168,46.8684
169,79.6886,46.746
170,79.8917,46.4724
171,80.4282,46.1087
172,80.5351,45.7681
173,80.8306,45.4461
174,80.9918,45.0816
175,80.9618,44.6963
176,81.2354,44.2682
177,81.3363,43.7142
178,81.4721,43.05
179,81.8354,42.6928
180,81.9615,42.332
181,82.1566,42.0556
182,82.4082,41.6156
183,82.7487,41.252
184,83.0511,40.8253
185,83.3598,40.5038
186,83.5049,40.1212
187,83.5717,39.9588
188,83.719,39.3742
189,83.7834,38.7901
190,84.1916,38.5197
191,84.4183,38.0377
