i,x,y
0,35.0224,0.8332
1,35.0872,1.0698
2,35.2469,1.4469
3,35.5828,1.8396
4,35.9427,2.2829
5,36.0869,2.5496
6,36.3864,2.6948
7,36.5814,2.9286
8,36.941,3.2388
9,37.1694,3.5787
10,37.416,3.8468
11,37.8068,4.0126
12,37.9601,4.3929
13,38.2415,4.8633
14,38.5483,5.0546
15,38.8145,5.5497
16,39.091,5.8449
17,39.4205,6.1567
18,39.7273,6.5841
19,40.2195,7.0068
20,40.3955,7.4315
21,40.6097,7.6825
22,40.922,8.1155
23,41.2539,8.3859
24,41.5592,8.5512
25,41.8509,8.7348
26,42.1164,8.917
27,42.3142,9.2237
28,42.604,9.6164
29,42.8542,9.9271
30,43.0505,10.1178
31,43.2619,10.4529
32,43.5257,10.7806
33,43.8483,10.8565
34,43.9827,11.1525
35,44.2582,11.4377
36,44.6317,11.6747
37,45.001,12.0512
38,45.2766,12.3002
39,45.5944,12.6148
40,45.9132,12.7795
41,46.0367,13.0382
42,46.2674,13.2865
43,46.623,13.4529
44,47.0624,13.7507
45,47.3866,14.0261
46,47.7043,14.3552
47,47.8314,14.6049
48,48.1731,15.0098
49,48.1462,15.2037
50,48.4053,15.4482
51,48.5779,15.796
52,48.9051,16.132
53,48.9986,16.363
54,49.3325,16.5289
55,49.6193,16.7806
56,49.873,17.0707
57,50.1098,17.3747
58,50.31,17.728
59,50.6041,18.0274
60,50.9958,18.4143
61,51.2958,18.8075
62,51.6611,19.2677
63,51.9299,19.5769
64,52.0914,19.8184
65,52.4141,20.164
66,52.7201,20.6033
67,52.9205,20.9431
68,53.0727,21.0773
69,53.4458,21.4449
70,53.729,21.6332
71,54.0557,21.975
72,54.4795,22.2907
73,54.6107,22.6241
74,54.826,22.9368
75,55.1243,23.1125
76,55.4395,23.3616
77,55.7114,23.6346
78,55.8812,23.9218
79,56.1743,24.1325
80,56.3354,24.5479
81,56.6147,24.8324
82,56.8291,25.1233
83,56.954,25.3759
84,57.1751,25.6215
85,57.4469,25.9805
86,57.6437,26.1703
87,57.813,26.3297
88,58.1519,26.679
89,58.5167,26.9865
90,58.986,27.3275
91,59.2398,27.6426
92,59.5579,28.2109
93,59.8613,28.5396
94,60.189,28.9375
95,60.3671,29.2394
96,60.6432,29.7386
97,60.9888,29.8217
98,61.3042,29.9825
99,61.5878,30.2907
100,61.906,30.4746
101,62.2698,30.9795
102,62.523,31.2799
103,62.7755,31.5532
104,62.9991,31.9573
105,63.3593,32.1798
106,63.5614,32.4348
107,63.7346,32.773
108,64.1232,33.144
109,64.3974,33.4935
