i,x,y
0,2.3003,15.9784
1,2.645,16.1223
2,2.99,16.0926
3,3.3311,16.0574
4,3.551,15.8689
5,4.0801,15.9933
6,4.5364,15.9173
7,5.1462,15.8255
8,5.4158,15.8979
9,5.8009,15.828
10,6.1659,15.9299
11,6.4259,15.932
12,6.8527,16.0543
13,7.2561,15.9755
14,7.631,16.0908
15,7.8628,16.1777
16,8.1603,16.2377
17,8.5977,16.0771
18,8.9502,16.2067
19,9.3914,16.1869
20,10.0026,16.0543
21,10.4753,15.9851
22,11.0237,16.1319
23,11.4538,16.0704
24,11.8232,16.0181
25,12.1605,16.0499
26,12.5492,16.155
27,13.0017,16.1668
28,13.3587,16.2288
29,13.5786,16.2075
30,14.1533,16.1765
31,14.5973,16.0717
32,14.9665,16.2595
33,15.3145,16.1939
34,15.56,16.1111
35,15.9298,16.0231
36,16.2814,16.1507
37,16.8206,16.2114
38,17.2114,16.2667
39,17.5238,16.1255
40,17.9262,16.0031
41,18.2924,16.1349
42,18.6743,16.259
43,18.8515,16.2171
44,19.4411,16.2428
45,19.9215,16.0832
46,20.4743,16.0723
47,20.9092,15.9722
48,21.3573,15.9892
49,21.7474,15.8324
50,22.2012,15.8473
51,22.6011,15.8486
52,22.8569,15.8389
53,23.2676,15.9387
54,23.8764,15.985
55,24.2873,16.1004
56,24.6904,16.1715
57,24.865,16.1995
58,25.2344,16.3115
59,25.5415,16.4122
60,26.0011,16.4522
61,26.4025,16.4704
62,26.6739,16.419
63,27.0969,16.426
64,27.5229,16.4495
65,28.0192,16.3842
66,28.4824,16.2313
67,28.9806,16.2637
68,29.4306,16.3792
69,29.6921,16.2911
70,30.0941,16.4836
71,30.7465,16.3856
72,31.013,16.4724
73,31.5272,16.4271
74,31.9738,16.3512
75,32.249,16.2343
76,32.7095,16.1096
77,33.1652,16.133
78,33.4133,16.0476
79,33.82,16.0794
80,34.1996,16.1865
81,34.5215,16.1969
82,34.8558,16.1181
83,35.3869,15.9562
84,35.7287,16.0358
85,36.0324,15.9422
86,36.5062,15.7877
87,36.8088,15.7838
88,37.1129,15.8864
89,37.3927,15.9538
90,37.7763,16.0388
91,37.6258,15.8614
92,37.7041,15.4911
93,37.6903,15.0425
94,37.5722,14.74
95,37.4673,14.1329
96,37.4022,13.6127
97,37.3642,13.2104
98,37.4044,12.759
99,37.5056,12.4181
100,37.6295,11.8979
101,37.6046,11.5732
102,37.6919,10.9997
103,37.6889,10.7285
104,37.7893,10.3394
105,37.868,9.9363
106,37.8785,9.5526
107,37.9128,9.116
108,38.0549,8.5714
109,38.1089,8.2194
110,38.1591,7.9425
111,38.1666,7.4569
112,38.0109,7.0869
113,38.0063,6.7225
114,37.9702,6.3646
115,37.7813,5.9424
116,37.8152,5.3705
117,37.8249,4.9736
118,37.8473,4.7116
119,37.6722,4.3528
120,37.7274,4.0139
121,37.8305,3.565
122,37.8857,3.2414
123,37.6811,2.7802
124,37.6327,2.3247
125,37.5409,1.8612
126,37.5875,1.4818
127,37.6803,0.9772
128,37.8717,0.8121
