i,x,y
0,2.2401,16.468
1,2.5398,16.5312
2,2.9983,16.4402
3,3.3718,16.3803
4,3.7657,16.2816
5,4.3248,16.1121
6,4.6255,16.0466
7,4.9921,15.9688
8,5.3049,15.8476
9,5.688,15.7745
10,6.1483,15.7279
11,6.5399,15.8144
12,6.837,15.9239
13,7.1988,15.8665
14,7.6519,15.9034
15,8.0811,16.0837
16,8.4287,15.9382
17,8.8668,15.8916
18,9.2008,15.8872
19,9.5452,16.0227
20,10.1774,16.0344
21,10.6511,15.9335
22,10.8959,15.9628
23,11.2631,15.9573
24,11.6669,15.9087
25,11.9963,16.0574
26,12.4735,15.9686
27,12.8393,15.902
28,13.3378,15.9064
29,13.7421,15.911
30,14.2782,15.9894
31,14.673,15.8975
32,14.9565,15.9253
33,15.4037,15.974
34,15.8299,15.8002
35,16.2179,15.7391
36,16.6625,15.8513
37,17.0512,16.0173
38,17.3319,16.046
39,17.616,15.9078
40,18.0154,15.9701
41,18.306,15.9683
42,18.9011,15.9998
43,19.2245,15.9867
44,19.7031,15.9287
45,20.3061,15.9001
46,20.6901,15.9052
47,21.1427,15.7992
48,21.5577,15.7863
49,21.8594,15.8391
50,22.2397,15.9632
51,22.6707,15.9683
52,22.9722,15.9151
53,23.3596,15.9728
54,23.7738,15.861
55,24.0647,15.792
56,24.4004,15.7474
57,24.8522,15.7192
58,25.1836,15.7858
59,25.459,15.7901
60,25.9246,15.8436
61,26.4656,15.7721
62,26.9006,15.6571
63,27.4321,15.5704
64,27.7668,15.4546
65,27.9419,15.4197
66,28.5061,15.4957
67,28.7838,15.6306
68,29.2354,15.5709
69,29.5167,15.5292
70,29.7404,15.5527
71,30.2265,15.4939
72,30.7073,15.553
73,31.2321,15.6992
74,31.6619,15.7201
75,32.1083,15.7704
76,32.4569,15.7548
77,32.9401,15.8015
78,33.2745,15.6967
79,33.72,15.6953
80,34.1875,15.7538
81,34.3867,15.5964
82,34.9271,15.6963
83,35.2203,15.757
84,35.672,15.7233
85,35.9961,15.93
86,36.4806,15.961
87,36.7467,15.9747
88,37.0625,16.003
89,37.3874,15.9407
90,37.6834,15.9559
91,37.8615,15.511
92,37.986,15.1412
93,38.1031,14.6814
94,38.0744,14.3361
95,38.0557,14.0661
96,38.2372,13.6369
97,38.1558,13.1588
98,38.0881,12.77
99,38.0222,12.4007
100,37.8842,12.0071
101,37.9865,11.5565
102,37.9908,11.307
103,37.9769,10.9691
104,38.0425,10.4703
105,38.0739,9.9477
106,38.1023,9.408
107,38.1458,8.9975
108,38.0617,8.5771
109,38.0175,7.9842
110,38.254,7.6496
111,38.2961,7.3431
112,38.2642,7.0779
113,38.1029,6.8251
114,38.0543,6.3703
115,38.0555,6.0138
116,38.0485,5.6254
117,38.082,5.2596
118,37.898,4.8204
119,37.936,4.3184
120,38.0165,3.9035
121,38.0271,3.5619
122,38.0782,2.9681
123,37.9772,2.6501
124,38.098,2.3333
125,38.1462,1.8791
126,38.0553,1.4496
127,38.2427,1.0531
128,38.0774,0.6616
129,38.0894,0.4016
130,38.0159,0.0801
131,38.4826,0.1903
132,38.8842,0.1837
133,39.3189,0.1674
134,39.6155,0.0852
135,39.9537,0.1215
136,40.2853,0.0172
137,40.9574,0.012
138,41.2587,-0.0182
139,41.7742,-0.1146
140,42.0962,-0.2294
141,42.4748,-0.1513
142,42.8569,-0.15
143,43.174,-0.1651
144,43.6254,0.0336
145,43.9845,0.1011
146,44.2477,0.1042
147,44.6552,0.3045
148,45.1145,0.2782
149,45.4035,0.1981
150,45.7332,0.2021
151,46.2426,0.1814
152,46.5063,-0.0399
153,47.0125,0.0876
154,47.4126,0.0569
155,47.7341,-0.0114
156,48.1414,0.0374
157,48.5404,-0.1716
158,49.0061,-0.0221
159,49.2536,0.0229
160,49.6658,-0.0668
161,50.0284,-0.0771
162,50.3947,-0.1063
163,50.7264,-0.1094
164,51.106,-0.2371
165,51.3306,-0.211
166,51.7262,-0.2008
167,52.1743,-0.1459
168,52.6136,-0.0581
169,52.9778,-0.0863
170,53.3283,-0.2277
171,53.7836,-0.1212
172,54.4023,-0.0856
173,55.0063,-0.1329
174,55.4157,-0.0987
175,55.7913,-0.0249
176,56.2808,-0.2164
177,56.6499,-0.2135
178,57.0828,-0.2068
179,57.3746,-0.3532
180,57.7506,-0.3893
181,58.0572,-0.339
182,58.572,-0.2516
183,58.9897,-0.326
184,59.4139,-0.2369
185,59.9152,-0.3241
186,60.1627,-0.3724
187,60.5921,-0.2566
188,60.9252,-0.263
189,61.4737,-0.3102
190,61.8883,-0.2708
191,62.4205,-0.1273
192,62.7085,-0.2505
193,63.1245,-0.1557
194,63.5414,-0.1248
195,63.9488,0.0386
196,64.3967,0.0508
197,64.8445,0.107
198,65.2437,-0.0547
199,65.6939,-0.1255
200,66.1437,-0.0356
201,66.5599,-0.105
202,66.8337,-0.138
203,66.6644,0.4009
204,66.762,0.7286
205,66.7178,1.0248
206,66.7439,1.3276
207,66.7706,1.7357
208,66.8032,2.2728
209,66.7637,2.6644
210,66.8242,2.9283
211,66.7471,3.3702
212,66.7899,3.8599
213,66.8418,4.2809
214,66.861,4.7692
215,66.877,5.3016
216,66.8285,5.6296
217,66.9808,6.1367
218,66.928,6.5086
219,66.8905,6.8194
220,66.9674,7.3088
221,67.1359,7.7698
222,67.1493,8.1553
223,67.0042,8.5008
224,67.0025,8.8308
225,67.0462,9.3021
226,66.9958,9.5867
227,66.9037,9.9822
228,66.7805,10.4526
229,66.865,10.7861
230,66.8602,11.2137
231,66.9175,11.4048
232,67.0227,11.7503
233,67.0963,12.2101
234,67.1349,12.7477
235,67.1702,12.9801
236,67.2228,13.306
237,67.3037,13.6447
238,67.3818,14.1474
239,67.1615,14.5543
240,67.1156,15.1949
241,67.2981,15.6195
242,67.3162,16.0824
243,67.3108,16.6351
244,67.0787,17.1266
245,66.9437,17.4828
246,66.8917,17.8358
247,66.8525,18.1576
248,67.0207,18.646
249,66.8627,19.0825
250,66.9141,19.4253
251,66.9134,19.8118
252,66.7989,20.1659
253,66.7523,20.5752
254,66.9339,21.0194
255,66.9735,21.4203
256,66.8522,21.7632
257,66.8777,22.3058
258,66.7326,22.7751
259,66.6273,23.0701
260,66.7068,23.3913
261,66.7178,23.9043
262,66.7267,24.3982
263,66.7635,24.7252
264,66.7942,25.1392
265,66.7752,25.4817
266,66.8322,25.7762
