i,x,y
0,2.0772,15.1902
1,2.7542,15.3714
2,3.1041,15.5854
3,3.4988,15.6748
4,3.7286,16.1305
5,4.0987,16.0511
6,4.2227,16.4093
7,4.7224,16.5128
8,5.3725,16.7287
9,5.4873,16.3534
10,5.4538,16.6712
11,6.0263,16.5168
12,6.7199,16.6441
13,7.0797,16.3786
14,7.4199,16.4984
15,8.122,16.7073
16,8.6032,16.4639
17,9.1035,16.3916
18,9.453,16.284
19,9.8159,16.2291
20,10.2285,16.5532
21,10.1685,16.6988
22,10.43,15.968
23,10.9112,15.8132
24,11.5568,15.5848
25,12.0078,15.9078
26,12.0996,16.3288
27,12.9394,16.4294
28,13.1597,16.4333
29,13.3871,16.4146
30,13.6534,16.2174
31,14.2308,16.0916
32,14.4874,16.2558
33,14.7043,15.9516
34,15.1781,15.926
35,15.557,15.9465
36,16.0301,16.238
37,16.7692,16.6492
38,16.9092,16.5278
39,17.8773,16.4328
40,18.6815,16.2953
41,19.065,16.4985
42,19.3942,16.4139
43,19.6166,16.9017
44,19.9277,16.8183
45,20.2992,16.6008
46,20.7278,16.5936
47,21.5019,16.2603
48,21.6784,16.3376
49,21.9176,16.4331
50,22.3388,16.5618
51,22.5381,16.172
52,23.0968,16.4197
53,23.6201,16.5688
54,24.1056,16.4841
55,24.3564,16.2433
56,24.7429,16.1545
57,25.2669,16.1471
58,25.7065,15.8973
59,26.1714,15.7697
60,26.6733,15.9023
61,27.302,16.0677
62,27.5983,15.8247
63,27.7946,15.7944
64,28.1729,15.9454
65,28.8832,16.0653
66,29.1457,16.0372
67,29.2209,15.8007
68,29.9717,15.7712
69,29.9862,15.4665
70,30.2461,15.3394
71,31.0919,15.2986
72,31.4873,15.3445
73,31.7505,15.0747
74,32.6391,14.6872
75,33.2295,14.7451
76,33.4901,14.9407
77,33.6747,14.9829
78,34.0728,14.957
79,34.1566,15.1029
80,34.4172,14.8301
81,35.136,15.438
82,35.8755,15.2846
83,36.2716,15.0659
84,36.4237,15.1945
85,36.3845,15.5685
86,36.6033,15.8209
87,36.8845,15.8207
88,36.9087,15.912
89,37.3035,15.7747
90,37.5977,15.4951
91,37.685,15.3654
92,37.9499,14.6071
93,37.7243,14.4596
94,37.6653,14.0093
95,37.6742,13.8269
96,37.4664,13.3677
97,37.6059,12.6402
98,37.265,12.609
99,37.5445,12.2103
100,37.6369,11.7384
101,37.3767,11.1584
102,37.9353,10.6275
103,37.901,10.8147
104,38.6868,10.4006
105,38.7596,10.2117
106,38.5958,9.8167
107,38.6818,9.5983
108,38.4632,8.9443
109,38.6394,8.9184
110,38.6697,8.6678
111,38.6615,8.3948
112,38.8993,8.1136
113,38.7019,7.6249
114,38.7696,7.4439
115,38.5553,6.3767
116,38.2179,6.1374
117,38.4565,5.6297
118,38.6648,5.5481
119,38.3468,4.911
120,38.2008,4.2925
121,38.2088,3.5953
122,38.2657,3.3627
123,38.2181,2.4843
124,38.4454,1.784
125,38.2261,1.7865
126,38.4654,1.2092
127,38.373,1.0651
128,38.4349,0.6454
129,38.6662,0.5334
130,38.8014,-0.0889
131,39.3008,-0.0338
132,39.6039,0.2442
133,39.7123,0.0808
134,40.2486,0.0979
135,40.4662,-0.2323
136,41.1657,-0.3144
137,41.6936,-0.3928
138,41.9039,-0.3822
139,42.3798,-0.3524
140,42.227,-0.4144
141,42.417,-0.2307
142,42.891,-0.2508
143,43.0272,-0.1133
144,43.4903,0.215
145,43.9891,0.034
146,44.1355,0.1171
147,44.7181,0.0725
148,45.2104,0.1249
149,46.0494,0.0279
150,46.5392,0.3549
151,46.6586,0.27
152,47.3811,-0.1062
153,48.2148,-0.2319
154,48.8262,-0.4466
155,49.2695,-0.0344
156,49.3366,-0.4579
157,49.7215,-0.2547
158,49.9376,-0.2708
159,50.7878,-0.1216
160,50.9299,0.2941
161,50.6417,0.0372
162,51.4236,0.1969
163,51.7181,0.5716
164,52.2762,0.3704
