i,x,y
0,2.0397,16.1766
1,2.5379,16.2436
2,2.883,16.22
3,3.271,16.1984
4,3.7726,16.2057
5,4.157,16.1433
6,4.4476,16.2104
7,4.8717,16.117
8,5.3617,16.143
9,5.7109,16.0465
10,5.9875,16.0448
11,6.3246,16.0432
12,6.8113,15.9695
13,7.2114,15.9218
14,7.6028,16.0058
15,8.009,15.9408
16,8.4386,15.8911
17,8.9031,15.9041
18,9.2858,15.961
19,9.7284,15.9521
20,10.0873,15.9264
21,10.4364,15.908
22,10.9186,15.9121
23,11.2913,15.8948
24,11.67,15.9247
25,12.0639,15.9647
26,12.415,15.9493
27,12.8102,15.9711
28,13.1398,15.9597
29,13.5496,15.91
30,13.9791,15.875
31,14.3627,15.8916
32,14.7136,15.8751
33,15.1289,15.8763
34,15.5185,15.9621
35,15.9532,16.0236
36,16.2795,15.9971
37,16.7214,15.9525
38,17.1657,15.9778
39,17.5398,15.9811
40,17.9669,15.9897
41,18.353,16.0076
42,18.7459,16.001
43,19.1408,16.0513
44,19.5108,16.0756
45,19.8793,16.0002
46,20.1583,15.9662
47,20.5183,15.9736
48,21.0362,15.9503
49,21.4828,15.8479
50,21.857,15.8812
51,22.2418,15.9062
52,22.6392,15.8642
53,23.0065,15.8465
54,23.3328,15.8116
55,23.771,15.7843
56,24.2054,15.879
57,24.6319,15.856
58,25.0469,15.9185
59,25.3925,15.9967
60,25.7983,16.0157
61,26.2688,15.9392
62,26.7286,15.9281
63,27.21,15.9214
64,27.5478,15.9121
65,27.9483,15.9537
66,28.3646,16.008
67,28.8452,16.037
68,29.3093,16.021
69,29.6813,15.9685
70,30.0556,15.9803
71,30.3734,15.9092
72,30.7278,15.9774
73,31.1865,15.9519
74,31.5617,15.9649
75,32.0136,16.0131
76,32.4596,15.9719
77,32.8472,15.9534
78,33.1346,16.019
79,33.5553,16.0121
80,33.8983,15.9298
81,34.3044,15.931
82,34.6874,15.9751
83,35.1138,15.892
84,35.5754,15.8699
85,35.9727,15.9516
86,36.3156,16.0392
87,36.7328,15.998
88,37.1988,16.006
89,37.6449,16.0352
90,38.0524,15.9806
91,37.9525,15.6083
92,37.936,15.2432
93,37.9366,14.8748
94,37.9101,14.3921
95,37.9122,14.0487
96,37.9528,13.6324
97,37.9776,13.2862
98,37.8987,12.8325
99,37.9617,12.4257
100,37.9933,11.9931
101,38.0308,11.6198
102,37.9927,11.1459
103,38.0469,10.7021
104,38.0624,10.3457
105,38.0653,9.9553
106,38.116,9.6037
107,38.0483,9.2229
108,38.0588,8.8356
109,38.0866,8.4498
110,38.0076,8.0496
111,38.0668,7.743
112,38.1199,7.2844
113,37.9713,6.8547
114,38.0313,6.3566
115,38.0647,5.9481
116,38.0721,5.5529
117,37.9537,5.1009
118,37.9837,4.7316
119,37.9008,4.3991
120,37.9014,4.0578
121,37.9678,3.6105
