i,x,y
0,1.9795,15.6798
1,2.3703,15.8074
2,2.6761,15.6532
3,3.155,15.7222
4,3.4068,15.7379
5,3.8334,15.9217
6,4.2409,15.847
7,4.6675,15.7689
8,5.0441,15.786
9,5.4629,15.6134
10,6.1008,15.6963
11,6.4981,15.7535
12,6.7846,15.6623
13,7.0086,15.5903
14,7.4702,15.6076
15,8.0212,15.736
16,8.4867,15.6368
17,8.7617,15.4958
18,8.8325,15.2473
19,9.1879,15.4191
20,9.7443,15.5264
21,9.9089,15.6606
22,10.3005,15.7183
23,10.7834,15.7364
24,11.2257,15.5382
25,11.5683,15.5944
26,12.0648,15.6388
27,12.4913,15.6191
28,13.076,15.7917
29,13.4766,15.9608
30,13.9038,16.0974
31,14.0807,16.1378
32,14.6272,16.1131
33,14.9231,16.1028
34,15.4268,16.3856
35,15.8715,16.4922
36,16.171,16.1811
37,16.6606,16.2804
38,16.9899,16.0245
39,17.3155,15.882
40,17.8756,16.069
41,18.4243,16.0122
42,18.9132,16.0627
43,19.407,16.0659
44,19.8385,16.0481
45,20.1142,16.1434
46,20.5155,16.2363
47,21.0045,16.3064
48,21.3645,16.4435
49,21.5874,16.4863
50,22.0123,16.6048
51,22.5017,16.6375
52,22.8566,16.6497
53,23.4035,16.7399
54,23.7988,16.777
55,24.2953,17.0032
56,24.6229,16.8162
57,24.961,16.7384
58,25.2552,16.8351
59,25.9219,16.7082
60,26.4129,16.5752
61,26.8692,16.5319
62,27.1945,16.4994
63,27.7131,16.6047
64,27.9837,16.4946
65,28.3867,16.4901
66,28.7793,16.4522
67,29.1344,16.5161
68,29.4978,16.3583
69,29.8061,16.356
70,30.2512,16.3042
71,30.7963,16.2213
72,31.1691,16.0238
73,31.4752,15.9553
74,31.9094,15.9253
75,32.2132,16.1172
76,32.7822,16.1612
77,33.0624,16.2137
78,33.6029,16.1612
79,34.1239,16.209
80,34.5722,16.1444
81,34.9212,16.0972
82,35.1852,16.3122
83,35.556,16.189
84,35.9883,16.4751
85,36.351,16.6231
86,36.7575,16.7246
87,37.1786,16.6153
88,37.3053,16.4244
89,37.6634,16.2386
90,38.0369,16.2483
91,38.1997,15.7957
92,38.072,15.5433
93,38.0958,14.9405
94,37.9732,14.5977
95,37.7624,14.1786
96,37.6846,13.6501
97,37.7419,13.2571
98,37.925,12.7428
99,37.6711,12.3616
100,37.759,12.0385
101,37.6554,11.5838
102,37.7674,11.113
103,37.6383,10.6557
104,37.8044,10.3476
105,37.8808,9.8612
106,38.058,9.443
107,37.9076,9.1903
108,37.8195,8.9712
109,37.8482,8.4229
110,37.9358,8.067
111,38.0036,7.6636
112,38.0652,7.2735
113,38.052,6.778
114,37.8655,6.2027
115,37.7658,5.813
116,37.7697,5.5143
117,37.7165,5.1458
118,37.8533,4.8253
119,37.7495,4.3818
120,37.644,3.9539
121,37.5997,3.6694
122,37.5771,3.2854
123,37.3967,3.0049
124,37.6783,2.6266
125,37.7274,2.0911
126,37.5961,1.7042
127,37.6345,1.2727
128,37.6426,0.9733
129,37.8548,0.6214
130,37.8705,0.4195
131,38.3309,0.4448
132,38.6955,0.2106
133,39.168,0.2696
134,39.5305,0.3357
135,39.8622,0.1117
136,40.0916,0.0806
137,40.6489,0.1219
138,41.1301,0.2975
139,41.5335,0.4394
140,41.8658,0.3353
141,42.2361,0.3044
142,42.5724,0.2683
143,43.1375,0.2919
144,43.4502,0.4396
145,43.7222,0.5064
146,44.2727,0.349
147,44.8479,0.5694
148,45.2345,0.6395
149,45.649,0.4659
150,46.1406,0.3765
151,46.5712,0.3892
152,47.1297,0.3174
153,47.3974,0.5531
154,47.8825,0.4718
155,48.2366,0.3638
156,48.6159,0.3823
157,48.799,0.3215
158,49.1379,0.3286
159,49.6299,0.4189
160,49.9727,0.5279
161,50.4571,0.5405
162,50.9109,0.4952
163,51.3275,0.5355
164,51.5291,0.4648
165,52.1094,0.3421
