i,x,y
0,2.1804,16.2213
1,2.4823,16.3012
2,2.8252,16.1332
3,3.073,16.2533
4,3.4279,16.3201
5,3.867,16.4038
6,4.3007,16.3328
7,4.6663,16.4578
8,5.0025,16.4103
9,5.259,16.2303
10,5.513,16.281
11,6.036,16.28
12,6.4487,16.17
13,6.869,16.338
14,7.32,16.3716
15,7.877,16.3713
16,8.3337,16.2221
17,8.7625,16.2769
18,9.1769,16.2206
19,9.6521,16.2175
20,10.0108,16.1482
21,10.5153,16.048
22,10.9516,15.9186
23,11.2695,15.9911
24,11.7421,15.9076
25,12.0303,15.9514
26,12.4015,15.9908
27,12.6202,15.8274
28,13.0139,15.8163
29,13.7534,15.8973
30,14.002,16.0316
31,14.3292,16.214
32,14.7471,16.2765
33,15.1493,16.3231
34,15.6356,16.3062
35,16.0057,16.1686
36,16.5736,16.1224
37,16.9929,16.121
38,17.3914,16.2216
39,17.6698,16.3229
40,18.0773,16.2532
41,18.2963,16.2018
42,18.6681,16.0671
43,19.0124,16.0618
44,19.5351,16.0935
45,20.1031,16.0589
46,20.5096,16.0481
47,20.7594,15.9645
48,21.128,16.0424
49,21.6755,16.0951
50,22.0089,16.1834
51,22.2746,16.2804
52,22.6847,16.2502
53,23.1438,16.1813
54,23.6763,15.9927
55,24.0017,16.0227
56,24.5356,16.0066
57,24.8432,15.9764
58,25.2456,15.9257
59,25.5302,15.944
60,25.9128,16.0624
61,26.285,16.1427
62,26.7433,16.2098
63,27.1395,16.2064
64,27.6073,16.1677
65,28.1231,16.2402
66,28.2814,16.1687
67,28.7129,16.0853
68,29.1548,15.8832
69,29.4217,15.7413
70,29.6954,15.7289
71,30.2482,15.7253
72,30.8439,15.7675
73,31.285,15.9915
74,31.8315,16.0156
75,32.2316,16.0133
76,32.5347,15.8952
77,33.0057,15.8438
78,33.3239,15.886
79,33.5588,15.9247
80,33.9956,15.9064
81,34.4959,15.9678
82,34.7859,15.9287
83,35.1356,15.899
84,35.5257,15.7699
85,35.8962,15.6174
86,36.3002,15.7121
87,36.7054,15.841
88,37.0338,15.8617
89,37.473,15.9713
90,37.9154,15.9559
91,37.8037,15.5334
92,38.0064,15.1784
93,37.8554,14.688
94,37.8923,14.3829
95,37.8834,13.8866
96,37.7892,13.4792
97,37.7872,13.1177
98,37.8127,12.6597
99,37.9552,12.2551
100,38.0741,11.8313
101,37.9291,11.3982
102,37.8286,11.1108
103,38.1011,10.8464
104,38.1084,10.53
105,38.1966,10.1387
106,38.2442,9.6447
107,38.3098,9.1655
108,38.147,8.8962
109,38.3733,8.5058
110,38.4443,8.0368
111,38.3334,7.5565
112,38.3495,7.4017
113,38.3712,6.9972
114,38.318,6.324
115,38.0744,5.9332
116,38.0888,5.5167
117,38.1861,5.1203
118,38.1087,4.7196
119,38.0264,4.1822
120,38.0641,3.7413
121,38.028,3.4977
122,38.1496,3.1937
123,38.2976,2.8486
124,38.3267,2.5277
125,38.2679,2.0544
126,38.1682,1.609
127,38.3251,1.3185
128,38.3121,0.9403
129,38.4338,0.485
130,38.3531,0.1483
131,38.7747,0.1967
132,39.1966,0.2153
133,39.7225,0.1857
134,40.2086,0.1183
135,40.6445,0.174
136,40.9815,0.048
137,41.2828,-0.033
138,41.5403,-0.0031
139,42.022,0.0386
140,42.3239,0.078
141,42.8094,0.1877
142,43.1923,0.0836
143,43.4723,0.1383
144,43.9689,0.1491
145,44.3111,0.2208
146,44.5965,0.2266
147,45.1216,0.1338
148,45.5139,0.364
149,45.9298,0.3337
150,46.2151,0.3086
151,46.8265,0.1346
152,47.3227,0.1821
153,47.6264,0.1926
154,48.0987,0.1179
155,48.5891,0.0599
156,49.11,0.1727
157,49.5152,0.2617
158,50.0016,0.2591
159,50.3763,0.2332
160,50.6735,0.2025
161,50.9272,0.2904
162,51.3095,0.2851
163,51.7151,0.2746
164,52.0317,0.2776
165,52.1954,0.3082
166,52.5174,0.2946
167,52.9935,0.3852
168,53.4356,0.2049
169,53.7121,0.3122
170,54.0656,0.3706
171,54.4545,0.172
172,54.7755,0.1527
173,55.1785,0.1307
174,55.5578,0.2063
175,55.926,0.3269
176,56.424,0.3028
177,56.7822,0.4266
178,57.27,0.3422
179,57.5964,0.2784
180,58.0811,0.3721
181,58.3438,0.2583
182,58.8359,0.1258
183,59.2487,0.1522
184,59.6681,0.2606
185,59.897,0.1907
186,60.3491,0.1006
187,60.7666,-0.0507
188,61.1716,-0.0473
189,61.5182,-0.2252
190,61.9294,-0.3774
191,62.2143,-0.45
