i,x,y
0,2.0,16.0
1,2.4,16.0
2,2.8,16.0
3,3.2,16.0
4,3.6,16.0
5,4.0,16.0
6,4.4,16.0
7,4.8,16.0
8,5.2,16.0
9,5.6,16.0
10,6.0,16.0
11,6.4,16.0
12,6.8,16.0
13,7.2,16.0
14,7.6,16.0
15,8.0,16.0
16,8.4,16.0
17,8.8,16.0
18,9.2,16.0
19,9.6,16.0
20,10.0,16.0
21,10.4,16.0
22,10.8,16.0
23,11.2,16.0
24,11.6,16.0
25,12.0,16.0
26,12.4,16.0
27,12.8,16.0
28,13.2,16.0
29,13.6,16.0
30,14.0,16.0
31,14.4,16.0
32,14.8,16.0
33,15.2,16.0
34,15.6,16.0
35,16.0,16.0
36,16.4,16.0
37,16.8,16.0
38,17.2,16.0
39,17.6,16.0
40,18.0,16.0
41,18.4,16.0
42,18.8,16.0
43,19.2,16.0
44,19.6,16.0
45,20.0,16.0
46,20.4,16.0
47,20.8,16.0
48,21.2,16.0
49,21.6,16.0
50,22.0,16.0
51,22.4,16.0
52,22.8,16.0
53,23.2,16.0
54,23.6,16.0
55,24.0,16.0
56,24.4,16.0
57,24.8,16.0
58,25.2,16.0
59,25.6,16.0
60,26.0,16.0
61,26.4,16.0
62,26.8,16.0
63,27.2,16.0
64,27.6,16.0
65,28.0,16.0
66,28.4,16.0
67,28.8,16.0
68,29.2,16.0
69,29.6,16.0
70,30.0,16.0
71,30.4,16.0
72,30.8,16.0
73,31.2,16.0
74,31.6,16.0
75,32.0,16.0
76,32.4,16.0
77,32.8,16.0
78,33.2,16.0
79,33.6,16.0
80,34.0,16.0
81,34.4,16.0
82,34.8,16.0
83,35.2,16.0
84,35.6,16.0
85,36.0,16.0
86,36.4,16.0
87,36.8,16.0
88,37.2,16.0
89,37.6,16.0
90,38.0,16.0
91,38.0,15.6
92,38.0,15.2
93,38.0,14.8
94,38.0,14.4
95,38.0,14.0
96,38.0,13.6
97,38.0,13.2
98,38.0,12.8
99,38.0,12.4
100,38.0,12.0
101,38.0,11.6
102,38.0,11.2
103,38.0,10.8
104,38.0,10.4
105,38.0,10.0
106,38.0,9.6
107,38.0,9.2
108,38.0,8.8
109,38.0,8.4
110,38.0,8.0
111,38.0,7.6
112,38.0,7.2
113,38.0,6.8
114,38.0,6.4
115,38.0,6.0
116,38.0,5.6
117,38.0,5.2
118,38.0,4.8
119,38.0,4.4
120,38.0,4.0
121,38.0,3.6
122,38.0,3.2
123,38.0,2.8
124,38.0,2.4
125,38.0,2.0
126,38.0,1.6
127,38.0,1.2
128,38.0,0.8
129,38.0,0.4
130,38.0,0.0
131,38.4028,0.0
132,38.8056,0.0
133,39.2083,0.0
134,39.6111,0.0
135,40.0139,0.0
136,40.4167,0.0
137,40.8194,0.0
138,41.2222,0.0
139,41.625,0.0
140,42.0278,0.0
141,42.4306,0.0
142,42.8333,0.0
143,43.2361,0.0
144,43.6389,0.0
145,44.0417,0.0
146,44.4444,0.0
147,44.8472,0.0
148,45.25,0.0
149,45.6528,0.0
150,46.0556,0.0
151,46.4583,0.0
152,46.8611,0.0
153,47.2639,0.0
154,47.6667,0.0
155,48.0694,0.0
156,48.4722,0.0
157,48.875,0.0
158,49.2778,0.0
159,49.6806,0.0
160,50.0833,0.0
161,50.4861,0.0
162,50.8889,0.0
163,51.2917,0.0
164,51.6944,0.0
165,52.0972,0.0
166,52.5,0.0
167,52.9028,0.0
168,53.3056,0.0
169,53.7083,0.0
170,54.1111,0.0
171,54.5139,0.0
172,54.9167,0.0
173,55.3194,0.0
174,55.7222,0.0
175,56.125,0.0
176,56.5278,0.0
177,56.9306,0.0
178,57.3333,0.0
179,57.7361,0.0
180,58.1389,0.0
181,58.5417,0.0
182,58.9444,0.0
183,59.3472,0.0
184,59.75,0.0
185,60.1528,0.0
186,60.5556,0.0
187,60.9583,0.0
188,61.3611,0.0
189,61.7639,0.0
190,62.1667,0.0
191,62.5694,0.0
192,62.9722,0.0
193,63.375,0.0
194,63.7778,0.0
195,64.1806,0.0
196,64.5833,0.0
197,64.9861,0.0
198,65.3889,0.0
199,65.7917,0.0
200,66.1944,0.0
201,66.5972,0.0
202,67.0,0.0
203,67.0,0.4
204,67.0,0.8
205,67.0,1.2
206,67.0,1.6
207,67.0,2.0
208,67.0,2.4
209,67.0,2.8
210,67.0,3.2
211,67.0,3.6
212,67.0,4.0
213,67.0,4.4
214,67.0,4.8
215,67.0,5.2
216,67.0,5.6
217,67.0,6.0
218,67.0,6.4
219,67.0,6.8
220,67.0,7.2
221,67.0,7.6
222,67.0,8.0
223,67.0,8.4
224,67.0,8.8
225,67.0,9.2
226,67.0,9.6
227,67.0,10.0
228,67.0,10.4
229,67.0,10.8
230,67.0,11.2
231,67.0,11.6
232,67.0,12.0
233,67.0,12.4
234,67.0,12.8
235,67.0,13.2
236,67.0,13.6
237,67.0,14.0
238,67.0,14.4
239,67.0,14.8
240,67.0,15.2
241,67.0,15.6
242,67.0,16.0
243,67.0,16.4
244,67.0,16.8
245,67.0,17.2
