i,x,y
0,-0.3164,56.1338
1,0.1382,56.301
2,0.6091,56.2432
3,1.1111,56.2695
4,1.391,56.2565
5,1.9233,56.117
6,2.3546,56.1696
7,2.616,56.0327
8,3.0135,56.0672
9,3.5078,56.0234
10,3.9024,55.9388
11,4.5181,55.9845
12,4.8992,56.0076
13,5.387,55.8927
14,5.9429,55.8794
15,6.1838,55.8691
16,6.4929,55.762
17,6.9131,55.7959
18,7.3323,55.8129
19,7.7762,55.789
20,8.2942,55.8705
21,8.7123,55.9339
22,8.9867,55.9313
23,9.3088,55.9377
24,9.7852,55.8431
25,10.0682,55.8244
26,10.4863,55.7744
27,10.9057,55.5488
28,11.4159,55.3735
29,11.772,55.3533
30,12.1304,55.351
31,12.6211,55.4492
32,12.9853,55.5832
33,13.412,55.5899
34,13.9311,55.5709
35,14.2146,55.6196
36,14.4506,55.6783
37,14.9515,55.7693
38,15.3653,55.7402
39,15.8604,55.6937
40,16.1625,55.7112
41,16.5335,55.6888
42,16.8999,55.7173
43,17.4014,55.7444
44,17.6835,55.6299
45,18.0963,55.7303
46,18.5291,55.5999
47,18.9929,55.7449
48,19.3285,55.901
49,19.5897,55.8589
50,19.8344,55.7268
51,20.2916,55.7748
52,20.7761,55.6741
53,21.0882,55.758
54,21.453,55.7635
55,21.8293,55.9094
56,22.1284,55.7428
57,22.5642,55.6733
58,22.8974,55.5962
59,23.3729,55.6115
60,23.7206,55.8757
61,24.1217,55.9835
62,24.5498,56.0639
63,24.7696,56.1707
64,25.1308,56.1205
65,25.7075,56.0853
66,25.9847,56.1341
67,26.463,55.9675
68,26.9102,56.057
69,27.4311,55.9862
70,27.8048,56.055
71,28.1641,56.0519
72,28.5576,56.1925
73,28.9453,56.2221
74,29.4387,56.175
75,29.8904,56.0618
76,30.3936,56.1225
77,30.7927,56.0628
78,31.143,55.9024
79,31.5448,55.7806
80,31.9466,55.6689
81,32.4987,55.7906
82,32.9405,55.8268
83,33.3357,55.8331
84,33.6595,56.0091
85,34.2095,56.0893
86,34.591,56.1404
87,34.8874,56.0924
88,35.2928,56.2337
89,35.6362,56.1541
90,35.9751,55.9608
91,36.3653,56.0794
92,36.6919,56.054
93,37.1911,56.0318
94,37.6451,55.9601
95,37.9877,55.9187
96,38.4227,55.8244
97,38.9821,55.8343
98,39.3314,55.794
99,39.7629,55.9057
100,40.2183,55.8939
101,40.5562,55.9146
102,41.007,56.1283
103,41.3953,56.0204
104,41.6758,56.1781
105,41.8365,56.0647
106,42.265,55.9752
107,42.6318,55.918
108,42.938,55.8857
109,43.4063,56.0179
110,43.8636,55.9208
111,44.448,55.906
112,44.8779,55.9089
113,45.1446,56.028
114,45.621,55.9236
115,45.9244,55.9961
116,46.3393,55.9922
117,46.7522,56.109
118,47.1123,56.2165
119,47.5373,56.3501
120,47.9819,56.437
121,48.3644,56.504
122,48.8049,56.5305
123,49.3583,56.3253
124,49.8247,56.3135
125,50.3677,56.2933
126,50.6541,56.3444
127,51.0002,56.2139
128,51.4048,56.2586
129,51.7983,56.0746
130,52.1018,56.0401
131,52.4166,56.0399
132,52.6332,56.1525
133,53.0663,56.0692
134,53.4736,56.2005
135,53.8754,56.2381
136,54.2891,56.1848
137,54.6307,56.3438
138,54.9129,56.3745
139,55.2196,56.3072
140,55.6438,56.2046
141,55.9474,56.1889
142,56.4198,56.1701
143,56.78,56.167
144,57.2864,56.1278
