i,x,y
0,-0.0766,55.6138
1,0.502,55.6562
2,0.8327,55.6059
3,1.1815,55.6445
4,1.5985,55.5863
5,1.9798,55.6174
6,2.3917,55.654
7,2.8336,55.7596
8,3.1943,55.7971
9,3.4679,55.9831
10,3.8393,56.1031
11,4.2563,56.0666
12,4.663,56.0356
13,5.0614,56.1384
14,5.5316,56.2434
15,5.8828,56.154
16,6.2859,55.9776
17,6.657,56.0788
18,6.9606,55.9784
19,7.4129,56.0438
20,7.8256,56.1463
21,8.2121,56.0581
22,8.5963,56.197
23,8.9964,56.1729
24,9.4818,56.2221
25,9.8144,56.0371
26,10.1349,56.0491
27,10.6495,56.137
28,11.0862,55.938
29,11.4598,55.8691
30,11.8596,55.7926
31,12.3043,55.9231
32,12.7078,56.0668
33,13.1774,55.964
34,13.5369,55.8375
35,13.9568,55.8561
36,14.4143,55.8069
37,14.7698,55.9092
38,15.1489,55.8708
39,15.4264,56.109
40,15.6925,56.0936
41,16.0763,56.2222
42,16.4228,56.1542
43,16.8953,56.147
44,17.3531,56.1621
45,17.8883,55.988
46,18.2965,56.0034
47,18.6411,56.0812
48,18.9591,56.0846
49,19.3099,55.956
50,19.8162,55.9074
51,20.4201,55.8955
52,20.7793,55.8051
53,21.1814,55.837
54,21.4049,55.9237
55,21.9125,55.9053
56,22.3003,55.7652
57,22.7892,55.7531
58,23.1293,55.8598
59,23.519,55.7416
60,24.0244,55.8574
61,24.4856,55.9136
62,24.8987,56.02
63,25.2991,55.8575
64,25.6986,56.0684
65,26.0143,56.0788
66,26.4873,56.0813
67,27.0384,56.0187
68,27.4371,55.9107
69,27.704,55.8083
70,28.2088,55.7554
71,28.6529,55.8423
72,29.0128,55.7896
73,29.4317,55.8106
74,29.8761,55.7901
75,30.2286,55.821
76,30.6493,55.8314
77,31.0631,55.8255
78,31.5171,55.8002
79,31.8447,55.7762
80,32.3213,55.7964
81,32.7152,55.8042
82,33.1794,55.7999
83,33.6708,55.6115
84,34.1061,55.7227
85,34.6008,55.6155
86,34.9486,55.6228
87,35.2778,55.5923
88,35.6916,55.6066
89,36.0498,55.6539
90,36.4246,55.5801
91,36.7863,55.67
92,37.2269,55.7502
93,37.6319,55.667
94,38.059,55.7336
95,38.5703,55.842
96,38.9627,55.969
97,39.3885,55.9914
98,39.8739,56.1041
99,40.2586,55.9306
100,40.5745,55.9694
101,41.0427,56.0277
102,41.5355,56.0419
103,41.7687,56.0316
104,42.0985,55.9992
105,42.4669,55.9462
106,42.7135,55.9641
107,42.9466,55.8942
108,43.3999,55.9771
109,43.7933,55.9066
110,44.3665,55.7994
111,44.8682,55.6122
112,45.2681,55.6206
113,45.4242,55.6851
114,45.8092,55.7711
115,46.2064,55.7762
116,46.5769,55.8013
117,46.9598,55.7809
118,47.3076,55.7877
119,47.6317,55.8103
120,47.9439,56.0028
121,48.2909,55.898
122,48.6849,55.9692
123,49.2037,56.0718
124,49.5381,55.9837
125,49.9403,55.9069
126,50.3264,55.9008
127,50.6537,55.8527
128,51.0157,55.7705
129,51.4456,55.9421
130,51.9977,55.9579
131,52.3135,55.8311
132,52.6676,55.8897
133,53.0475,56.0026
134,53.4864,55.9701
135,53.9127,55.8143
136,54.3503,55.779
137,54.827,55.6136
138,55.2629,55.7044
139,55.6553,55.743
140,56.0542,55.7727
141,56.5107,55.8496
142,56.9172,55.8425
143,57.2478,55.7839
144,57.5354,55.7967
145,57.8433,55.9433
146,58.4495,55.8566
147,58.8607,55.8147
148,59.29,55.8436
149,59.7424,55.8233
150,60.1294,55.8636
151,60.086,55.4894
152,60.2216,55.0653
153,60.1654,54.6943
154,60.0346,54.4076
155,60.0407,54.0745
156,60.0099,53.6553
