i,x,y
0,-0.3747,55.655
1,0.4868,55.787
2,0.6179,55.8572
3,1.4698,55.5432
4,1.68,55.5399
5,1.764,55.2547
6,2.1788,55.4975
7,2.6252,55.5406
8,3.2739,55.4869
9,4.0254,55.5626
10,4.1549,55.4948
11,4.5524,55.428
12,4.9695,55.2167
13,4.9018,55.197
14,5.5698,54.8522
15,5.7736,55.157
16,5.9165,55.5161
17,6.3757,55.1857
18,6.948,55.1755
19,7.4861,54.6114
20,7.8762,54.9618
21,8.4915,55.1662
22,8.7678,55.2498
23,9.3716,55.418
24,9.9215,55.1355
25,10.6455,55.3332
26,10.6554,55.3334
27,11.0449,55.2424
28,11.3949,55.9176
29,11.8756,55.7989
30,12.1551,55.5704
31,12.7695,55.7182
32,13.2654,55.9385
33,13.5139,55.7559
34,13.825,55.8502
35,14.1868,56.181
36,14.5921,55.8298
37,15.1765,55.9767
38,15.7554,56.3195
39,16.2492,56.9331
40,16.7213,57.2208
41,17.2688,57.1403
42,17.5411,57.2559
43,17.8783,57.0816
44,18.3888,56.9879
45,18.9069,57.1386
46,19.5514,57.3081
47,20.2166,57.3688
48,20.8226,57.2543
49,20.8963,56.9457
50,21.1684,56.8894
51,21.4956,56.5221
52,21.7188,56.7793
53,22.1225,56.8364
54,22.6374,56.8527
55,22.82,56.5167
56,23.4054,56.3561
57,23.617,56.3065
58,24.0171,56.0123
59,24.4762,55.9483
60,24.8253,55.9639
61,24.9994,56.2408
62,25.0982,55.9884
63,25.6468,55.8033
64,26.2941,55.9789
65,26.7329,55.8938
66,27.0587,55.82
67,27.2654,55.3969
68,27.4538,55.1513
69,27.9666,55.1534
70,28.2932,55.1496
71,28.9208,55.284
72,29.0505,55.4775
73,29.5646,55.245
74,30.321,55.1104
75,30.7157,54.9147
76,30.9106,54.7759
77,31.4066,54.6662
78,32.0359,54.8703
79,32.3091,55.0058
80,32.5138,55.3486
81,33.0974,55.5123
82,33.1853,55.368
83,33.2841,55.4905
84,33.5962,56.2517
85,34.1508,56.1877
86,34.4484,56.0307
87,34.9104,55.7988
88,35.2813,55.5521
89,35.9161,55.121
90,36.1472,55.1839
91,36.5421,55.1964
92,36.9572,55.0029
93,37.5798,54.8877
94,38.1199,55.1541
95,38.4017,55.4049
96,38.4992,56.1562
97,39.2353,55.78
98,39.3429,55.7245
99,39.3729,55.6642
100,39.7317,55.7475
101,40.4774,55.5011
102,40.828,55.4793
103,40.9801,55.5532
104,41.0743,55.6674
105,41.288,55.3137
106,42.1124,55.2113
107,42.6629,55.329
108,43.0465,55.2057
109,43.3001,54.9574
110,43.6032,55.1448
111,44.0438,55.2013
112,44.5796,55.3879
113,44.7943,55.282
114,45.1427,55.0692
115,45.2455,54.8242
116,45.6166,55.1508
117,46.2321,55.3336
118,46.749,55.4916
119,47.467,55.7646
120,48.0643,55.1992
121,48.1139,55.1591
122,48.5726,55.3509
123,49.4477,55.2312
124,49.6986,55.1646
125,50.2884,55.0258
126,50.4138,55.0904
127,51.2218,55.5695
128,51.3988,55.6553
129,52.0217,55.5223
130,52.2879,55.3756
131,52.6552,55.7314
132,52.956,55.6464
133,53.3611,55.3795
134,53.9995,55.4906
135,54.4082,55.3868
136,54.3305,55.2705
137,55.0271,55.1018
138,55.313,55.2244
139,55.8107,55.3213
140,56.4639,55.5993
141,56.7218,55.7514
142,56.9697,55.5372
143,57.1663,55.4516
144,57.1647,55.7241
145,57.3623,55.8748
146,58.1062,55.9928
147,58.6939,56.3353
148,59.3412,56.0648
149,59.7037,55.6036
150,60.0657,55.9403
151,59.6233,55.6388
152,59.8514,55.1888
153,59.826,54.897
154,59.6173,54.4217
155,59.3601,54.1562
156,59.3894,53.7758
157,59.5998,53.5583
158,58.8826,53.174
159,59.0297,52.5297
160,59.2949,52.1776
161,58.8599,52.2083
162,58.6165,51.8898
163,58.7203,51.944
164,59.0601,51.5073
165,58.8172,50.836
166,58.763,50.103
167,58.8647,49.2987
168,59.1588,48.7735
169,58.8266,48.4798
170,58.7827,48.1139
171,59.1076,47.525
172,59.1972,47.6686
173,59.3284,47.312
174,59.6576,46.9674
175,60.0619,46.6143
176,59.8922,46.1479
177,60.3601,45.6285
178,60.1854,45.0402
179,60.4334,44.3291
180,60.67,44.5201
181,60.6138,44.1228
182,60.5216,43.3682
183,60.576,43.3727
184,60.3262,42.6068
185,60.207,42.0312
186,60.38,41.6478
187,60.3641,40.8332
188,60.4699,40.5948
189,60.5386,39.6231
190,60.4016,39.4949
191,60.4345,39.2897
192,60.4856,38.9482
193,60.3506,38.8315
194,60.5636,38.4143
195,60.2237,37.6064
196,59.6946,37.6023
197,59.4619,37.1933
198,59.3968,37.095
199,59.3893,36.3068
200,59.5241,35.5096
201,59.659,34.6916
202,59.586,34.5857
203,59.4165,34.082
204,59.3454,34.2237
205,59.3028,33.8168
206,59.5358,33.6925
207,59.7221,33.3692
208,59.9559,32.7346
209,59.9112,32.4659
210,59.8564,32.2638
211,59.657,31.609
212,59.4697,31.1163
213,59.8345,30.5603
214,59.5133,29.7801
215,59.8936,29.628
216,59.7396,29.248
217,59.8551,28.5541
218,59.6565,28.1175
219,59.3905,27.3343
220,59.5137,27.2649
221,59.9054,27.1
222,60.0088,26.7241
223,60.024,26.3998
224,60.2297,25.8863
225,60.5555,25.623
226,60.0804,25.3215
227,60.2064,24.8508
228,60.193,24.3299
229,60.0374,24.2096
230,59.83,23.7499
231,59.9442,23.5315
232,59.9361,22.7766
233,59.7625,22.2277
234,59.7405,21.6903
235,59.7228,21.2841
236,59.7369,20.7006
237,59.6611,20.7608
238,59.5964,20.0476
239,59.9927,19.6166
240,59.919,19.2645
241,60.0957,19.1804
242,60.2136,18.9736
243,60.0567,18.3324
244,59.7037,18.0736
245,59.6619,17.7655
246,59.9482,17.2206
247,60.0479,16.8314
248,60.3033,16.2893
249,60.3081,15.7708
250,60.5072,15.7996
251,60.7395,15.0494
252,60.5397,14.3007
253,60.192,13.7804
254,59.6571,12.8433
255,59.5186,12.739
256,59.2376,12.5913
257,59.3958,12.2102
258,59.2453,12.0781
259,59.0378,12.0546
260,59.0377,11.8192
261,59.0878,11.2268
262,59.0155,10.4662
263,58.896,9.6573
264,58.88,9.4641
265,59.0612,9.0935
266,58.8864,8.4995
267,59.0864,8.2131
268,59.2252,7.9484
269,59.2661,7.5989
270,59.2529,6.9554
271,59.4977,6.2378
272,59.6865,5.7801
273,59.4561,5.2728
274,59.1484,4.5688
275,59.1869,4.1025
276,59.1381,3.6078
277,59.6087,3.4976
278,59.9386,3.164
279,59.6395,3.0131
280,59.897,3.0365
281,60.3826,2.7055
282,60.1104,2.6831
283,59.9517,2.557
284,59.8301,2.3097
285,60.1353,1.6792
286,60.4655,1.3124
287,60.5502,1.033
288,60.3524,0.7224
289,60.2495,0.053
290,60.1598,0.0602
291,59.9426,0.2297
292,59.4543,0.461
293,59.3879,0.5298
294,58.6348,0.345
295,58.1625,0.1197
296,57.5601,0.1343
297,56.9751,0.3159
298,56.3845,0.096
299,56.1284,-0.1985
300,55.4653,-0.1925
301,55.0771,-0.2872
302,54.5278,-0.2932
303,54.0439,-0.3946
304,53.8353,-0.1971
305,53.3748,-0.3722
306,52.4992,-0.0422
307,52.3126,-0.3568
308,51.8468,-0.4127
309,51.6084,-0.7549
310,51.2927,-0.6525
311,51.0828,-0.2992
312,50.586,-0.1902
313,50.4762,-0.0734
314,50.0387,-0.0234
315,49.9924,-0.3262
316,49.8653,-0.1496
317,49.4848,-0.1201
318,48.8569,0.1598
319,48.2415,0.1623
320,47.6087,0.1695
321,47.2478,0.2774
322,47.0067,0.3068
323,46.7307,-0.0758
324,46.3036,-0.1411
325,46.1825,0.1924
326,46.1607,0.2903
327,45.9609,0.337
328,44.912,0.4369
329,44.6507,0.2901
330,44.5182,0.5772
331,44.1725,0.465
332,43.6716,0.0045
333,42.9315,0.1573
334,42.6787,0.169
335,41.9304,0.0642
336,41.7736,0.3123
337,41.461,-0.0507
338,40.9707,0.0029
339,40.7283,0.2662
340,40.1751,0.1255
341,39.2235,0.3356
342,38.943,0.9172
343,38.9246,0.8166
344,38.6091,0.6997
345,37.9403,0.7432
346,37.3637,1.0673
347,37.1776,1.1598
348,36.9559,0.884
349,36.7249,1.4617
350,36.7507,1.641
351,36.1659,1.9427
352,35.6317,1.7836
353,35.1554,1.9499
354,34.4142,1.529
355,34.1997,1.9111
356,33.7133,1.6645
357,33.2774,1.7338
358,33.2019,1.3871
359,32.7162,1.0377
360,32.2404,0.803
361,32.191,0.817
362,31.6241,0.597
363,31.3006,0.7713
364,31.141,0.9499
365,30.9684,1.0726
366,30.7219,1.5421
367,30.4834,1.5804
368,30.1807,1.7818
369,30.4161,1.8944
370,30.2699,2.1405
371,30.1805,2.716
372,29.6543,3.3245
373,29.7613,3.575
374,29.5491,4.0609
375,29.3565,4.4202
376,29.5344,4.9341
377,29.6387,5.1885
378,29.6869,5.5436
379,29.4303,5.9388
380,29.5053,5.995
381,29.5749,6.4237
382,29.6447,6.646
383,29.5089,6.3489
384,29.4736,6.6094
385,29.6206,7.1028
386,29.3262,7.5305
387,29.1525,8.3673
388,29.1368,8.6022
389,29.4994,8.9578
390,29.5561,9.4107
391,29.644,9.7517
392,29.597,10.157
393,29.8495,10.4962
394,29.9377,10.9986
395,29.9887,11.5411
396,30.1182,12.22
397,30.1137,12.6677
398,30.0754,13.3804
399,30.0336,13.9133
400,30.2986,14.7114
401,30.0959,14.8993
402,29.896,15.4275
403,29.9779,15.7032
404,30.0847,16.1581
405,30.2301,16.6097
406,30.4582,16.842
407,30.3217,17.1478
408,30.6488,17.6337
409,30.3346,17.9813
410,29.8818,18.0716
411,30.112,18.469
412,30.4163,19.0321
413,30.1947,19.2307
414,30.1866,19.4392
415,30.3016,19.6536
416,30.4386,20.1276
417,30.4581,20.5223
418,30.7395,21.1337
419,30.7048,21.5085
420,30.9592,21.8127
421,30.5238,22.3272
422,30.207,22.4247
423,30.5534,23.3135
424,30.4387,23.6792
425,30.4346,23.8458
426,30.4077,24.2452
427,30.6196,24.9501
428,30.6087,25.3702
429,30.2285,25.8902
430,30.2844,26.1201
431,30.2745,26.4096
432,30.0215,26.8243
433,30.2137,27.0574
434,30.9616,27.3618
435,31.3215,27.2202
436,31.7355,27.5975
437,32.3682,27.8754
438,32.6058,27.8779
439,33.4074,27.7358
440,33.6577,27.5986
441,33.6193,27.2809
442,33.8808,27.2074
443,33.4914,27.4173
444,33.9504,27.4427
445,34.386,27.4732
446,34.919,27.7795
447,35.5926,27.6867
448,36.3312,27.4488
449,36.8953,26.805
450,37.5011,26.518
451,37.8499,26.9003
452,37.9204,26.7523
453,38.2805,26.6948
454,38.3974,26.4387
455,38.9446,26.4491
456,39.3149,26.0551
457,39.8245,26.5892
458,40.1303,26.7176
459,40.1653,27.1696
460,40.7058,27.2419
461,41.5408,27.312
462,42.2834,27.3855
463,42.9056,27.0476
464,42.9971,26.8644
465,43.1207,26.6281
466,43.8676,26.6495
467,44.3392,27.1603
468,44.3494,27.0105
469,45.109,27.2624
470,45.6581,27.4274
471,46.1289,27.0637
472,46.2636,27.2736
473,46.7072,27.0379
474,46.8949,27.0613
475,47.209,27.3246
476,47.2166,27.3296
477,47.5889,27.2848
478,48.2851,27.0589
479,48.5523,26.8345
480,49.1437,26.8661
481,49.8876,26.8625
482,50.0087,26.843
483,49.8165,26.8134
484,50.2576,27.0656
485,50.9651,27.2569
486,51.4597,27.4282
487,51.7064,26.8776
488,51.9523,27.0013
489,52.2774,27.4128
490,52.6518,27.9329
491,52.8631,27.6669
492,53.4276,27.3243
493,53.4719,27.2247
494,53.6756,27.0163
495,53.8861,27.1555
496,54.198,26.9747
497,54.8225,26.6543
498,55.6344,26.6633
499,55.8895,26.7679
500,55.7837,26.6969
501,56.3248,26.8992
502,56.4208,26.7165
503,56.492,26.8718
504,56.9106,27.1271
505,57.3312,27.0294
506,57.0875,26.47
507,57.2892,26.6849
508,58.0502,26.5434
509,58.4415,26.1443
510,58.6854,25.7853
511,58.8879,25.1095
512,58.7081,24.669
513,59.2915,24.2513
514,59.182,24.0009
515,59.1684,23.994
516,59.2415,23.5969
517,59.1744,22.95
518,59.2187,22.7261
519,59.1948,22.7256
520,59.6486,22.0199
521,59.6723,21.6475
522,59.8386,21.1531
523,59.6164,20.7077
524,59.9306,20.7362
525,59.6528,20.2052
526,59.7773,19.8399
527,59.9014,19.6448
528,60.3867,19.0911
529,60.8756,18.5196
530,60.582,18.3303
531,60.5676,17.7867
532,60.4235,16.9284
533,60.606,16.341
534,60.7535,16.0261
535,60.6642,15.6616
536,61.05,15.4192
537,60.4957,14.7837
538,60.4226,14.3186
539,60.5488,13.9252
540,60.5888,13.2714
541,60.5002,13.0717
542,60.2335,12.7453
543,59.9739,11.8659
544,60.0641,11.5032
545,59.7491,10.8489
546,59.4508,10.3168
547,59.6712,10.2465
548,59.6432,9.7941
549,59.3844,9.7298
550,59.1778,9.1122
551,59.2121,8.4111
552,59.3178,8.0492
553,59.5138,7.5137
554,59.0925,7.42
555,59.0642,7.4079
556,59.2611,7.0648
557,59.5341,7.0298
558,59.884,6.6269
559,59.665,6.1314
560,59.9333,5.6379
561,59.9323,5.6245
562,59.8161,5.4252
563,59.755,5.1016
564,59.7081,4.4983
565,59.4348,3.9222
566,59.7005,3.8048
567,59.5904,3.6005
568,59.3764,2.986
569,59.7772,2.3077
570,60.1294,1.9731
571,60.1703,1.4947
572,60.206,1.3621
573,59.8887,0.7476
574,59.5616,0.2396
575,59.3988,-0.0246
576,58.9849,-0.0656
577,58.5273,0.0374
578,58.4343,-0.2178
579,58.4112,0.0627
580,58.2586,-0.3779
581,57.5695,-0.1329
582,57.4554,0.3541
583,56.7997,0.0181
584,56.3846,0.1027
585,56.3368,0.207
586,55.8674,0.3312
587,55.6079,0.1106
588,55.2051,-0.0423
589,54.7304,0.011
590,54.055,0.0513
591,53.732,-0.2873
592,53.2623,-0.3497
593,52.8088,-0.2992
594,52.502,-0.2342
595,52.2914,-0.2127
596,51.8599,0.0593
597,50.9546,0.1312
598,50.8951,0.2841
599,50.8233,0.5443
600,50.5418,0.6514
601,50.2022,0.5926
602,49.6028,0.2844
603,48.998,0.3582
604,48.8107,0.5382
605,48.6386,0.4314
606,47.9332,0.3758
607,48.2197,0.7277
608,47.7227,1.0992
609,47.1473,1.2098
610,46.5521,1.1558
611,46.3722,0.7692
612,45.5915,0.0676
613,45.5392,0.1636
614,45.246,0.3539
615,44.5603,0.4663
616,43.7886,0.8776
617,43.146,0.569
618,42.8358,0.5951
619,42.6404,1.0215
620,42.3544,1.0625
621,41.9589,0.9829
622,41.5459,1.4756
623,40.8571,1.1893
624,40.8946,0.7968
625,40.7275,0.3921
626,40.3538,0.3665
627,40.15,0.0501
628,39.327,-0.1075
629,39.0134,-0.0318
630,38.4181,0.175
631,38.1171,0.1143
632,37.7856,0.1288
633,37.5614,0.4912
634,37.1207,0.7472
635,36.5592,0.872
636,36.1104,0.8885
637,35.6825,0.6552
638,35.4591,0.6114
639,35.2597,0.4068
640,34.976,0.5291
641,34.6433,0.8306
642,34.664,0.7144
643,34.4402,0.7629
644,33.9609,0.6589
645,33.6434,0.8154
646,33.1509,0.6446
647,32.569,0.5874
648,32.3248,0.3656
649,31.7698,0.5015
650,31.6658,0.7148
651,31.2139,0.21
652,30.8175,-0.1291
653,30.2406,-0.2375
654,29.3281,-0.4665
655,29.036,-0.3504
656,28.8131,-0.2953
657,28.5247,-0.1416
658,28.5445,0.1636
659,27.8254,0.0618
660,27.3981,0.4077
661,26.8622,0.0759
662,26.2272,-0.0219
663,25.8659,-0.1726
664,25.3548,-0.1419
665,24.5207,-0.0791
666,24.1631,-0.2086
667,23.6085,0.1121
668,22.9477,0.1641
669,22.3147,0.2088
670,21.9508,0.2797
671,21.5494,0.5242
672,21.4051,0.4445
673,20.7336,0.3569
674,20.441,0.5479
675,19.9481,0.5279
676,19.715,0.5399
677,19.3401,0.5551
678,18.6611,0.5419
679,18.1208,0.4631
680,18.0151,0.6041
681,17.1342,0.2514
682,16.6223,0.1584
683,16.605,-0.0068
684,16.4431,0.2341
685,16.0104,0.2364
686,16.0825,0.6157
687,15.6961,0.7039
688,15.4564,0.1786
689,15.1186,0.2188
690,15.0368,0.4813
691,14.4731,-0.0041
692,13.7906,-0.0119
693,13.9059,-0.156
694,13.594,-0.2433
695,12.8573,-0.1373
