i,x,y
0,-0.1548,56.0096
1,0.2274,56.0277
2,0.605,56.0149
3,0.9794,56.0656
4,1.4953,56.1409
5,1.9527,56.1392
6,2.3557,56.223
7,2.9079,56.1467
8,3.2603,56.1193
9,3.6194,56.1174
10,4.0021,56.0892
11,4.3189,56.0816
12,4.6889,56.0971
13,5.0907,56.0783
14,5.4509,56.0653
15,5.9548,56.043
16,6.3498,56.0516
17,6.7952,56.0972
18,7.1673,56.1477
19,7.5624,56.1212
20,7.9302,56.0931
21,8.3603,56.0724
22,8.7267,56.1058
23,9.1561,56.1533
24,9.552,56.1173
25,9.9971,56.1121
26,10.3332,56.1635
27,10.7601,56.1382
28,11.2106,56.1388
29,11.6767,56.0731
30,12.0373,56.1041
31,12.3953,55.9947
32,12.7732,56.0357
33,13.1957,55.9849
34,13.5853,55.9901
35,14.0289,56.0176
36,14.3402,55.9985
37,14.6653,56.0151
38,15.0775,56.0076
39,15.5251,56.0824
40,15.9265,56.0856
41,16.2896,56.0859
42,16.7449,56.1633
43,17.0933,56.138
44,17.5499,56.0738
45,17.9288,56.0072
46,18.3445,55.9867
47,18.7356,55.9922
48,19.1611,55.9957
49,19.5464,56.0414
50,19.9885,55.9368
51,20.3094,55.9876
52,20.7066,56.0077
53,21.1273,56.0502
54,21.52,56.0032
55,21.9223,56.0062
56,22.3506,56.0554
57,22.7385,56.0268
58,23.1244,56.0257
59,23.578,55.9954
60,24.0811,55.9046
61,24.5209,55.914
62,24.9532,55.9154
63,25.2868,55.9059
64,25.7266,55.881
65,26.1661,55.9298
66,26.4689,55.9158
67,26.8381,55.9217
68,27.1779,55.9166
69,27.6528,55.9197
70,27.9649,55.8885
71,28.3831,55.984
72,28.879,55.9783
73,29.1553,55.946
74,29.5837,55.9695
75,29.9388,56.0088
76,30.3836,56.0469
77,30.7375,56.0861
78,31.2359,56.1273
79,31.6404,56.0363
80,32.0297,55.9896
81,32.5069,56.0505
82,32.8773,56.013
83,33.2665,55.9926
84,33.6213,56.0309
85,34.1101,56.0642
86,34.5618,56.0047
87,35.0685,56.0156
88,35.4765,56.1025
89,35.8285,56.1502
90,36.236,56.1166
91,36.63,56.1255
92,37.005,56.1523
93,37.4372,56.1998
94,37.8462,56.1677
95,38.2572,56.208
96,38.6939,56.2037
97,39.0506,56.147
98,39.4351,56.1331
99,39.8887,56.1144
100,40.2722,56.0973
101,40.5332,56.0685
102,40.9309,56.0879
103,41.2556,56.1858
104,41.7179,56.1278
105,42.1651,56.0692
106,42.5318,56.1502
107,42.8324,56.1785
108,43.2379,56.2074
109,43.652,56.165
110,44.0007,56.1215
111,44.3523,56.13
112,44.8041,56.1257
113,45.2347,56.1074
114,45.5948,56.0825
115,45.9883,56.1159
116,46.4115,56.1091
117,46.8124,56.1748
118,47.2414,56.1789
119,47.6231,56.1114
120,47.9983,56.0909
121,48.4006,56.0084
122,48.8067,56.0347
123,49.2712,56.0316
124,49.6761,56.067
125,50.1586,56.06
126,50.5606,56.1148
127,51.0559,56.1699
128,51.4109,56.1226
129,51.8146,56.2163
130,52.2521,56.2241
131,52.645,56.2009
132,53.1537,56.1534
133,53.5344,56.2118
134,53.887,56.2353
135,54.3229,56.1605
136,54.6956,56.1537
137,55.1193,56.2154
138,55.4126,56.1841
139,55.7094,56.1422
140,56.047,56.0907
141,56.4539,56.0879
142,56.7766,56.1047
143,57.2265,56.1109
144,57.6748,56.1447
145,57.9958,56.1741
146,58.3487,56.211
147,58.7248,56.182
148,59.1914,56.1461
149,59.6283,56.147
150,60.0252,56.1004
151,59.94,55.6953
152,59.9468,55.2051
153,59.8687,54.7813
154,59.852,54.4219
155,59.8471,54.0806
156,59.8874,53.7433
157,59.9362,53.2598
158,59.9212,52.8573
159,59.929,52.4681
160,60.0279,52.1007
161,60.0445,51.5884
162,60.0671,51.1501
163,60.1282,50.7813
164,60.1063,50.3886
165,60.1052,50.0633
166,60.091,49.6853
167,60.1343,49.2899
168,60.0538,48.9367
169,59.9387,48.5283
170,60.0257,48.0847
171,60.0325,47.6301
172,59.997,47.182
173,59.9798,46.7415
174,59.9712,46.3487
175,60.0039,45.9521
176,60.0919,45.6097
177,60.0748,45.1453
178,60.0815,44.7999
179,60.0979,44.3983
180,59.9721,44.0096
181,60.0113,43.6539
182,60.0449,43.3396
183,60.0697,42.9656
184,60.1397,42.5749
185,60.156,42.1582
186,60.1472,41.7835
187,60.1761,41.3891
188,60.1229,40.9294
189,60.1353,40.5139
190,60.0858,40.0599
191,60.0342,39.5634
192,60.0172,39.1527
193,59.9921,38.7522
194,60.0054,38.4135
195,59.9767,37.9717
196,59.9713,37.5789
197,59.9426,37.1473
198,60.0319,36.7325
199,59.9782,36.2906
200,59.9488,35.8763
201,59.8853,35.5086
202,59.9193,35.0921
203,59.9375,34.6512
204,59.9268,34.342
205,59.9324,33.9399
206,59.8891,33.5919
207,59.8866,33.2352
208,59.9488,32.8026
209,59.9826,32.4253
210,59.9794,32.0342
211,60.0184,31.7048
212,59.9924,31.2258
213,60.0507,30.8807
214,60.0469,30.4757
215,60.0532,30.0315
216,60.1546,29.6509
217,60.087,29.2235
218,60.0672,28.8609
219,60.107,28.4141
220,60.1105,27.9963
221,60.0698,27.5392
222,60.0565,27.1762
223,60.074,26.7564
224,60.0916,26.322
225,60.1441,25.8735
226,60.1035,25.5271
227,59.9965,25.1462
228,60.0043,24.7341
229,59.9792,24.3225
230,59.9444,23.9068
231,60.0489,23.5058
232,60.0208,23.1291
233,60.0856,22.772
234,60.0472,22.4429
235,60.0015,21.9868
236,59.9813,21.5356
237,59.9892,21.0651
238,59.9269,20.6799
239,59.9128,20.3437
240,59.949,19.8838
241,59.9057,19.451
242,59.8434,19.0799
243,59.8696,18.652
244,59.8843,18.2258
245,59.7979,17.9136
246,59.7525,17.6132
247,59.8156,17.1302
248,59.8944,16.7454
249,59.8352,16.3806
250,59.8243,15.978
251,59.8203,15.638
252,59.8742,15.2384
253,59.8454,14.7629
254,59.8405,14.3712
255,59.8565,13.9401
256,59.8372,13.5463
257,59.7766,13.091
258,59.8112,12.6979
