i,x,y
0,0.094,56.2233
1,0.4516,56.1964
2,0.6614,56.1443
3,1.139,56.0163
4,1.624,55.9466
5,2.0751,55.8702
6,2.5874,55.8817
7,3.2107,55.9076
8,3.6906,55.9102
9,3.9703,55.9131
10,4.3343,55.9616
11,4.6716,56.0105
12,5.087,55.9222
13,5.3635,56.033
14,5.7958,55.9631
15,6.3091,55.8715
16,6.7434,55.892
17,7.0279,55.9995
18,7.4792,55.8638
19,7.8944,55.7551
20,8.2777,55.8357
21,8.7495,55.7673
22,9.0768,55.5684
23,9.5748,55.4685
24,9.968,55.5733
25,10.3397,55.7012
26,10.8058,55.6192
27,11.3029,55.6928
28,11.472,55.8203
29,12.0626,55.7895
30,12.5482,55.8494
31,12.8215,55.8637
32,13.349,55.7854
33,13.7372,55.5892
34,14.2361,55.639
35,14.4952,55.6752
36,14.8827,55.8442
37,15.145,55.9805
38,15.5364,56.0503
39,15.9039,56.0185
40,16.3208,56.0857
41,16.706,56.0389
42,17.1482,55.9832
43,17.5038,55.7958
44,18.0353,55.9927
45,18.441,56.0802
46,18.7745,56.0567
47,19.1794,56.0175
48,19.5315,55.9431
49,19.8013,56.0077
50,20.2026,56.0591
51,20.6047,56.0702
52,21.0287,56.0252
53,21.2844,56.1097
54,21.4962,56.1333
55,21.6487,56.0294
56,22.1375,56.0458
57,22.6813,55.9661
58,23.1862,56.0068
59,23.6562,56.053
60,24.1475,55.9213
61,24.5286,55.8211
62,25.0984,55.8667
63,25.5001,55.803
64,25.9714,55.7831
65,26.3737,55.8527
66,26.6139,55.9378
67,27.0779,55.9028
68,27.3706,55.9728
69,27.6508,55.9879
70,28.0823,55.9094
71,28.551,55.9329
72,28.9295,55.7669
73,29.3305,55.6866
74,29.8168,55.6905
75,30.3599,55.8711
76,30.8054,55.9457
77,31.2022,55.8833
78,31.6111,55.9061
79,31.8804,55.9176
80,32.1838,55.9415
81,32.4931,56.0544
82,32.7551,56.081
83,33.2676,56.0969
84,33.5593,56.2537
85,33.9579,56.3665
86,34.1631,56.3042
87,34.6446,56.2391
88,35.1336,56.2024
89,35.571,56.101
90,36.0419,56.0178
91,36.4105,55.9323
92,36.7946,55.9921
93,37.1282,55.9006
94,37.5454,55.6851
95,38.0474,55.7041
