i,x,y
0,3.0,92.0
1,3.094,91.6111
2,3.188,91.2222
3,3.2821,90.8333
4,3.3761,90.4444
5,3.4701,90.0556
6,3.5641,89.6667
7,3.6581,89.2778
8,3.7521,88.8889
9,3.8462,88.5
10,3.9402,88.1111
11,4.0342,87.7222
12,4.1282,87.3333
13,4.2222,86.9444
14,4.3162,86.5556
15,4.4103,86.1667
16,4.5043,85.7778
17,4.5983,85.3889
18,4.6923,85.0
19,4.7863,84.6111
20,4.8803,84.2222
21,4.9744,83.8333
22,5.0684,83.4444
23,5.1624,83.0556
24,5.2564,82.6667
25,5.3504,82.2778
26,5.4444,81.8889
27,5.5385,81.5
28,5.6325,81.1111
29,5.7265,80.7222
30,5.8205,80.3333
31,5.9145,79.9444
32,6.0085,79.5556
33,6.1026,79.1667
34,6.1966,78.7778
35,6.2906,78.3889
36,6.3846,78.0
37,6.4786,77.6111
38,6.5726,77.2222
39,6.6667,76.8333
40,6.7607,76.4444
41,6.8547,76.0556
42,6.9487,75.6667
43,7.0427,75.2778
44,7.1368,74.8889
45,7.2308,74.5
46,7.3248,74.1111
47,7.4188,73.7222
48,7.5128,73.3333
49,7.6068,72.9444
50,7.7009,72.5556
51,7.7949,72.1667
52,7.8889,71.7778
53,7.9829,71.3889
54,8.0769,71.0
55,8.1709,70.6111
56,8.265,70.2222
57,8.359,69.8333
58,8.453,69.4444
59,8.547,69.0556
60,8.641,68.6667
61,8.735,68.2778
62,8.8291,67.8889
63,8.9231,67.5
64,9.0171,67.1111
65,9.1111,66.7222
66,9.2051,66.3333
67,9.2991,65.9444
68,9.3932,65.5556
69,9.4872,65.1667
70,9.5812,64.7778
71,9.6752,64.3889
72,9.7692,64.0
73,9.8632,63.6111
74,9.9573,63.2222
75,10.0513,62.8333
76,10.1453,62.4444
77,10.2393,62.0556
78,10.3333,61.6667
79,10.4274,61.2778
80,10.5214,60.8889
81,10.6154,60.5
82,10.7094,60.1111
83,10.8034,59.7222
84,10.8974,59.3333
85,10.9915,58.9444
86,11.0855,58.5556
87,11.1795,58.1667
88,11.2735,57.7778
89,11.3675,57.3889
90,11.4615,57.0
91,11.5556,56.6111
92,11.6496,56.2222
93,11.7436,55.8333
94,11.8376,55.4444
95,11.9316,55.0556
96,12.0256,54.6667
97,12.1197,54.2778
98,12.2137,53.8889
99,12.3077,53.5
100,12.4017,53.1111
101,12.4957,52.7222
102,12.5897,52.3333
103,12.6838,51.9444
104,12.7778,51.5556
105,12.8718,51.1667
106,12.9658,50.7778
107,13.0598,50.3889
108,13.1538,50.0
109,13.2479,49.6111
110,13.3419,49.2222
111,13.4359,48.8333
112,13.5299,48.4444
113,13.6239,48.0556
114,13.7179,47.6667
115,13.812,47.2778
116,13.906,46.8889
117,14.0,46.5
118,14.094,46.1111
119,14.188,45.7222
120,14.2821,45.3333
121,14.3761,44.9444
122,14.4701,44.5556
123,14.5641,44.1667
124,14.6581,43.7778
125,14.7521,43.3889
126,14.8462,43.0
127,14.9402,42.6111
128,15.0342,42.2222
129,15.1282,41.8333
130,15.2222,41.4444
131,15.3162,41.0556
132,15.4103,40.6667
133,15.5043,40.2778
134,15.5983,39.8889
135,15.6923,39.5
136,15.7863,39.1111
137,15.8803,38.7222
138,15.9744,38.3333
139,16.0684,37.9444
140,16.1624,37.5556
141,16.2564,37.1667
142,16.3504,36.7778
143,16.4444,36.3889
144,16.5385,36.0
145,16.6325,35.6111
146,16.7265,35.2222
147,16.8205,34.8333
148,16.9145,34.4444
149,17.0085,34.0556
150,17.1026,33.6667
151,17.1966,33.2778
152,17.2906,32.8889
153,17.3846,32.5
154,17.4786,32.1111
155,17.5726,31.7222
156,17.6667,31.3333
157,17.7607,30.9444
158,17.8547,30.5556
159,17.9487,30.1667
160,18.0427,29.7778
161,18.1368,29.3889
162,18.2308,29.0
163,18.3248,28.6111
164,18.4188,28.2222
165,18.5128,27.8333
166,18.6068,27.4444
167,18.7009,27.0556
168,18.7949,26.6667
169,18.8889,26.2778
170,18.9829,25.8889
171,19.0769,25.5
172,19.1709,25.1111
173,19.265,24.7222
174,19.359,24.3333
175,19.453,23.9444
176,19.547,23.5556
177,19.641,23.1667
178,19.735,22.7778
179,19.8291,22.3889
180,19.9231,22.0
181,20.0171,21.6111
182,20.1111,21.2222
183,20.2051,20.8333
184,20.2991,20.4444
185,20.3932,20.0556
186,20.4872,19.6667
187,20.5812,19.2778
188,20.6752,18.8889
189,20.7692,18.5
190,20.8632,18.1111
191,20.9573,17.7222
192,21.0513,17.3333
193,21.1453,16.9444
194,21.2393,16.5556
195,21.3333,16.1667
196,21.4274,15.7778
197,21.5214,15.3889
198,21.6154,15.0
199,21.7094,14.6111
200,21.8034,14.2222
201,21.8974,13.8333
202,21.9915,13.4444
203,22.0855,13.0556
204,22.1795,12.6667
205,22.2735,12.2778
206,22.3675,11.8889
207,22.4615,11.5
208,22.5556,11.1111
209,22.6496,10.7222
210,22.7436,10.3333
211,22.8376,9.9444
212,22.9316,9.5556
213,23.0256,9.1667
214,23.1197,8.7778
215,23.2137,8.3889
216,23.3077,8.0
217,23.4017,7.6111
218,23.4957,7.2222
219,23.5897,6.8333
220,23.6838,6.4444
221,23.7778,6.0556
222,23.8718,5.6667
223,23.9658,5.2778
224,24.0598,4.8889
225,24.1538,4.5
226,24.2479,4.1111
227,24.3419,3.7222
228,24.4359,3.3333
229,24.5299,2.9444
230,24.6239,2.5556
231,24.7179,2.1667
232,24.812,1.7778
233,24.906,1.3889
234,25.0,1.0
235,25.4,1.0
236,25.8,1.0
237,26.2,1.0
238,26.6,1.0
239,27.0,1.0
240,27.4,1.0
241,27.8,1.0
242,28.2,1.0
243,28.6,1.0
244,29.0,1.0
245,29.4,1.0
246,29.8,1.0
247,30.2,1.0
248,30.6,1.0
249,31.0,1.0
250,31.4,1.0
251,31.8,1.0
252,32.2,1.0
253,32.6,1.0
254,33.0,1.0
255,33.4,1.0
256,33.8,1.0
257,34.2,1.0
258,34.6,1.0
259,35.0,1.0
260,35.4,1.0
261,35.8,1.0
262,36.2,1.0
263,36.6,1.0
264,37.0,1.0
265,37.4,1.0
266,37.8,1.0
267,38.2,1.0
268,38.6,1.0
269,39.0,1.0
270,39.4,1.0
271,39.8,1.0
272,40.2,1.0
273,40.6,1.0
274,41.0,1.0
275,41.4,1.0
276,41.8,1.0
277,42.2,1.0
278,42.6,1.0
279,43.0,1.0
280,43.4,1.0
281,43.8,1.0
282,44.2,1.0
283,44.6,1.0
284,45.0,1.0
285,45.4,1.0
286,45.8,1.0
287,46.2,1.0
288,46.6,1.0
289,47.0,1.0
290,47.4,1.0
291,47.8,1.0
292,48.2,1.0
293,48.6,1.0
294,49.0,1.0
295,49.4,1.0
296,49.8,1.0
297,50.2,1.0
298,50.6,1.0
299,51.0,1.0
300,51.4,1.0
301,51.8,1.0
302,52.2,1.0
303,52.6,1.0
304,53.0,1.0
305,53.4,1.0
306,53.8,1.0
307,54.2,1.0
308,54.6,1.0
309,55.0,1.0
310,55.4,1.0
311,55.8,1.0
312,56.2,1.0
313,56.6,1.0
314,57.0,1.0
315,57.0,1.4
316,57.0,1.8
317,57.0,2.2
318,57.0,2.6
319,57.0,3.0
320,57.0,3.4
321,57.0,3.8
322,57.0,4.2
323,57.0,4.6
324,57.0,5.0
325,57.0,5.4
326,57.0,5.8
327,57.0,6.2
328,57.0,6.6
329,57.0,7.0
330,57.0,7.4
331,57.0,7.8
332,57.0,8.2
333,57.0,8.6
334,57.0,9.0
335,57.0,9.4
336,57.0,9.8
337,57.0,10.2
338,57.0,10.6
339,57.0,11.0
340,57.0,11.4
341,57.0,11.8
342,57.0,12.2
343,57.0,12.6
344,57.0,13.0
345,57.0,13.4
346,57.0,13.8
347,57.0,14.2
348,57.0,14.6
349,57.0,15.0
350,57.0,15.4
351,57.0,15.8
352,57.0,16.2
353,57.0,16.6
354,57.0,17.0
355,57.0,17.4
356,57.0,17.8
357,57.0,18.2
358,57.0,18.6
359,57.0,19.0
360,57.0,19.4
361,57.0,19.8
362,57.0,20.2
363,57.0,20.6
