i,x,y
0,3.0,92.0
1,3.432,91.7063
2,3.5328,91.2934
3,3.6266,90.9002
4,3.7186,90.5044
5,3.8103,90.0991
6,3.9,89.6919
7,3.9848,89.2944
8,4.0656,88.9025
9,4.1432,88.5137
10,4.2219,88.1102
11,4.2978,87.7082
12,4.367,87.3245
13,4.4331,86.9455
14,4.5006,86.5527
15,4.5703,86.1439
16,4.6345,85.7521
17,4.6943,85.3735
18,4.7517,85.0014
19,4.8099,84.6237
20,4.8744,84.2189
21,4.936,83.8261
22,4.997,83.438
23,5.0525,83.0756
24,5.1189,82.6731
25,5.1862,82.2726
26,5.2495,81.896
27,5.3255,81.4754
28,5.3933,81.0986
29,5.464,80.7212
30,5.5417,80.3268
31,5.6238,79.9275
32,5.7076,79.535
33,5.794,79.1465
34,5.8804,78.7734
35,5.9738,78.3871
36,6.0717,77.9982
37,6.1715,77.6174
38,6.2806,77.2142
39,6.391,76.8215
40,6.5053,76.4276
41,6.6221,76.0385
42,6.7413,75.6537
43,6.8623,75.2745
44,6.9892,74.8825
45,7.1202,74.485
46,7.2501,74.1017
47,7.3772,73.7382
48,7.5016,73.3923
49,7.6421,72.9849
50,7.7777,72.6009
51,7.9176,72.2008
52,8.0546,71.8125
53,8.1878,71.4382
54,8.3116,71.0982
55,8.4373,70.7451
56,8.5685,70.3618
57,8.6987,69.973
58,8.8199,69.611
59,8.9378,69.25
60,9.0528,68.8874
61,9.1681,68.5081
62,9.2747,68.1483
63,9.3817,67.7694
64,9.4854,67.3858
65,9.5841,67.0041
66,9.6732,66.642
67,9.763,66.2574
68,9.8465,65.8784
69,9.9242,65.5035
70,10.011,65.071
71,10.085,64.6719
72,10.1519,64.2833
73,10.2096,63.9144
74,10.27,63.5175
75,10.3223,63.1377
76,10.377,62.733
77,10.4312,62.3174
78,10.4813,61.9065
79,10.5256,61.5097
80,10.5753,61.0816
81,10.6217,60.6611
82,10.6666,60.2418
83,10.7141,59.8086
84,10.7518,59.4151
85,10.7895,59.023
86,10.825,58.6431
87,10.8659,58.2454
88,10.9076,57.8512
89,10.9542,57.4456
90,10.998,57.0616
91,11.0504,56.6543
92,11.0995,56.2734
93,11.1524,55.8919
94,11.2093,55.5096
95,11.2721,55.1197
96,11.3454,54.7045
97,11.4211,54.2975
98,11.4983,53.9033
99,11.5787,53.5153
100,11.6656,53.1201
101,11.7543,52.7367
102,11.85,52.3439
103,11.9472,51.9637
104,12.0519,51.571
105,12.1624,51.1719
106,12.2745,50.7833
107,12.3872,50.4074
108,12.5041,50.0293
109,12.617,49.6812
110,12.7374,49.3145
111,12.8648,48.9293
112,12.9952,48.5406
113,13.1303,48.1405
114,13.2608,47.7658
115,13.3942,47.3832
116,13.5319,46.9857
117,13.661,46.6254
118,13.7974,46.235
119,13.9262,45.8741
120,14.0553,45.5091
121,14.1874,45.127
122,14.3194,44.7401
123,14.45,44.3515
124,14.5739,43.9836
125,14.6978,43.6065
126,14.821,43.2231
127,14.946,42.8222
128,15.0716,42.4084
129,15.1857,42.0311
130,15.3038,41.6261
131,15.4182,41.2253
132,15.5346,40.805
133,15.6401,40.4191
134,15.7399,40.0464
135,15.8476,39.6312
136,15.9452,39.2481
137,16.0455,38.8452
138,16.1387,38.4635
139,16.2306,38.0803
140,16.3222,37.6924
141,16.4157,37.2914
142,16.5053,36.9022
143,16.5925,36.5199
144,16.6781,36.1425
145,16.7633,35.7652
146,16.8482,35.3897
147,16.9422,34.9771
148,17.025,34.6132
149,17.1113,34.2371
150,17.2008,33.8517
151,17.2924,33.4619
152,17.384,33.0772
153,17.4791,32.6833
154,17.5661,32.3287
155,17.6666,31.9248
156,17.7658,31.5322
157,17.8629,31.155
158,17.9651,30.7626
159,18.0622,30.3977
160,18.1702,29.9935
161,18.2715,29.6224
162,18.3821,29.2177
163,18.4997,28.7883
164,18.61,28.3927
165,18.7209,27.9975
166,18.8293,27.6143
167,18.9378,27.2318
168,19.0511,26.8292
169,19.1587,26.4492
170,19.2676,26.0617
171,19.3781,25.6645
172,19.4861,25.2736
173,19.5888,24.8992
174,19.6892,24.5283
175,19.7915,24.1425
176,19.8913,23.7588
177,19.987,23.3836
178,20.0822,23.0013
179,20.1726,22.6284
180,20.2643,22.2398
181,20.3574,21.8347
182,20.4477,21.4299
183,20.532,21.0389
184,20.6167,20.6349
185,20.691,20.2626
186,20.7612,19.8967
187,20.8354,19.5036
188,20.9135,19.0848
189,20.9835,18.6901
190,21.0451,18.3219
191,21.1129,17.9205
192,21.1747,17.5371
193,21.2347,17.1561
194,21.2992,16.752
195,21.3603,16.3588
196,21.4196,15.9716
197,21.4812,15.5741
198,21.5425,15.1792
199,21.6061,14.7769
200,21.6729,14.3651
201,21.7382,13.9643
202,21.8123,13.5336
203,21.8797,13.1379
204,21.9455,12.7579
205,22.0167,12.3654
206,22.0856,11.9928
207,22.1638,11.5938
208,22.2433,11.2022
209,22.3309,10.7901
210,22.4109,10.423
211,22.5032,10.0194
212,22.596,9.6276
213,22.6924,9.2357
214,22.7924,8.8428
215,22.8968,8.446
216,22.998,8.0761
217,23.1057,7.6925
218,23.2212,7.2888
219,23.335,6.9037
220,23.4559,6.5002
221,23.5755,6.1115
222,23.6973,5.7217
223,23.8114,5.3714
224,23.9263,5.0231
225,24.0529,4.6305
226,24.1742,4.2628
227,24.3007,3.8748
228,24.4204,3.5148
229,24.548,3.12
230,24.6743,2.727
231,24.7965,2.3465
232,24.9109,1.9912
233,25.0328,1.5975
234,24.9991,1.2503
235,25.2451,1.2175
236,25.6554,1.2361
237,26.0564,1.2518
238,26.4568,1.2644
239,26.845,1.2737
240,27.2134,1.2795
241,27.6196,1.2817
242,28.0116,1.2804
243,28.4231,1.2754
244,28.8588,1.2668
245,29.253,1.2546
246,29.6494,1.2389
247,30.0541,1.2199
248,30.4521,1.1977
249,30.8335,1.1726
250,31.2329,1.1446
251,31.6508,1.1143
252,32.084,1.0817
