i,x,y
0,3.0,92.0
1,2.7599,91.534
2,2.841,91.1379
3,2.9218,90.752
4,3.0056,90.3624
5,3.0837,90.0044
6,3.1717,89.6135
7,3.2613,89.2231
8,3.3516,88.8368
9,3.4478,88.4326
10,3.5441,88.0344
11,3.6489,87.6064
12,3.7426,87.2295
13,3.834,86.8664
14,3.9261,86.5053
15,4.0265,86.1131
16,4.1292,85.7149
17,4.2297,85.3285
18,4.3317,84.9383
19,4.435,84.5451
20,4.5337,84.1729
21,4.6401,83.7701
22,4.7446,83.3763
23,4.8442,83.0038
24,4.9472,82.6185
25,5.0534,82.2204
26,5.1533,81.8488
27,5.2544,81.4726
28,5.3489,81.1244
29,5.4524,80.739
30,5.5563,80.3525
31,5.6615,79.9613
32,5.7616,79.5914
33,5.8656,79.2063
34,5.9756,78.7967
35,6.0803,78.41
36,6.1846,78.026
37,6.2896,77.6401
38,6.3909,77.2706
39,6.4959,76.8875
40,6.5997,76.5105
41,6.7082,76.1156
42,6.8151,75.7293
43,6.9213,75.3474
44,7.0204,74.997
45,7.1304,74.6032
46,7.239,74.2172
47,7.3449,73.8441
48,7.4517,73.4692
49,7.5653,73.0683
50,7.6735,72.6911
51,7.7851,72.3017
52,7.8962,71.9154
53,8.0067,71.5331
54,8.1169,71.1527
55,8.2276,70.7711
56,8.3366,70.3965
57,8.456,69.9794
58,8.5685,69.5904
59,8.6768,69.2178
60,8.7843,68.8477
61,8.8925,68.4727
62,9.0036,68.0839
63,9.1165,67.6856
64,9.2232,67.3097
65,9.3316,66.9232
66,9.4415,66.5267
67,9.5399,66.1739
68,9.6449,65.7887
69,9.7431,65.4264
70,9.8428,65.0526
71,9.9393,64.686
72,10.0401,64.2953
73,10.1346,63.9245
74,10.2315,63.5366
75,10.3315,63.1287
76,10.4255,62.7386
77,10.5154,62.3583
78,10.6042,61.9748
79,10.6948,61.5762
80,10.7813,61.1875
81,10.8668,60.7957
82,10.9535,60.3912
83,11.0371,59.9929
84,11.1209,59.5869
85,11.1947,59.216
86,11.2718,58.8254
87,11.3521,58.4157
88,11.427,58.0229
89,11.505,57.6131
90,11.5757,57.2291
91,11.6452,56.8463
92,11.7157,56.4571
93,11.7838,56.0752
94,11.8541,55.6823
95,11.9268,55.279
96,11.9984,54.8802
97,12.0703,54.4803
98,12.1405,54.089
99,12.2085,53.7086
100,12.2856,53.2937
101,12.352,52.9259
102,12.4266,52.5283
103,12.5002,52.1399
104,12.5754,51.7499
105,12.6576,51.3365
106,12.7325,50.9601
107,12.8138,50.564
108,12.8983,50.1616
109,12.9807,49.7758
110,13.0633,49.3967
111,13.1482,49.0162
112,13.2364,48.6307
113,13.3265,48.2453
114,13.42,47.8543
115,13.5115,47.4799
116,13.6107,47.0814
117,13.7081,46.6988
118,13.8106,46.3029
119,13.9138,45.9115
120,14.0132,45.5428
121,14.1225,45.1395
122,14.2304,44.7483
123,14.3344,44.3787
124,14.4419,43.9996
125,14.5482,43.6294
126,14.6534,43.2678
127,14.769,42.8655
128,14.8805,42.4827
129,15.0025,42.0579
130,15.1161,41.6679
131,15.2326,41.266
132,15.3492,40.8629
133,15.4622,40.4727
134,15.5729,40.0895
135,15.6806,39.7156
136,15.7924,39.3207
137,15.9013,38.9335
138,16.0122,38.5327
139,16.1159,38.1559
140,16.2191,37.7748
141,16.3253,37.3746
142,16.4234,37.001
143,16.5227,36.615
144,16.6209,36.2257
145,16.712,35.8578
146,16.8084,35.4601
147,16.9016,35.0675
148,16.9908,34.6837
149,17.0781,34.2999
150,17.1648,33.9109
151,17.2527,33.5097
152,17.3387,33.1089
153,17.4226,32.7105
154,17.5079,32.3003
155,17.5893,31.9003
156,17.6653,31.518
157,17.7411,31.132
158,17.8185,30.7355
159,17.8931,30.3479
160,17.9713,29.9436
161,18.0457,29.5532
162,18.1264,29.1365
163,18.1953,28.769
164,18.2639,28.4035
165,18.3345,28.0322
166,18.4122,27.6341
167,18.4883,27.2464
168,18.5713,26.8346
169,18.6488,26.4509
170,18.7254,26.0766
171,18.8026,25.7061
172,18.8876,25.3108
173,18.9777,24.9022
174,19.0662,24.5081
175,19.1598,24.1017
176,19.2511,23.7141
177,19.3448,23.3255
178,19.4436,22.925
179,19.5425,22.5342
180,19.6448,22.1384
181,19.7499,21.7407
182,19.8554,21.3509
183,19.9655,20.9509
184,20.0752,20.5614
185,20.1856,20.1773
186,20.2951,19.8054
187,20.4062,19.4337
188,20.5203,19.0566
189,20.6379,18.6714
190,20.7555,18.2914
191,20.8756,17.9055
