i,x,y
0,3.0,92.0
1,2.8853,91.5806
2,2.9614,91.1885
3,3.0351,90.8174
4,3.1145,90.4362
5,3.1915,90.0801
6,3.2853,89.6703
7,3.3622,89.348
8,3.4563,88.9723
9,3.5383,88.665
10,3.6313,88.3314
11,3.741,87.9468
12,3.8554,87.5605
13,3.98,87.1501
14,4.1004,86.773
15,4.2244,86.3969
16,4.3406,86.0667
17,4.4672,85.7064
18,4.5921,85.3638
19,4.7346,84.9577
20,4.8679,84.597
21,5.004,84.2297
22,5.1337,83.8927
23,5.2617,83.5644
24,5.3911,83.2302
25,5.5479,82.7803
26,5.6844,82.4103
27,5.8216,82.0326
28,5.9548,81.6641
29,6.0954,81.2573
30,6.2403,80.8234
31,6.3766,80.415
32,6.5176,79.9759
33,6.6432,79.5896
34,6.7497,79.2701
35,6.8646,78.9044
36,6.977,78.537
37,7.079,78.2012
38,7.1899,77.8172
39,7.3119,77.3764
40,7.4055,77.0434
41,7.5065,76.6708
42,7.6008,76.3174
43,7.6861,75.994
44,7.7857,75.6051
45,7.8944,75.1733
46,8.002,74.742
47,8.0918,74.3805
48,8.1884,73.9887
49,8.2852,73.5948
50,8.3866,73.1809
51,8.494,72.7416
52,8.5828,72.3799
53,8.6964,71.9159
54,8.7969,71.5073
55,8.892,71.1219
56,8.9977,70.693
57,9.096,70.2958
58,9.1982,69.8818
59,9.3073,69.4389
60,9.3944,69.0855
61,9.4897,68.6955
62,9.5822,68.3142
63,9.659,67.9932
64,9.7373,67.6603
65,9.8297,67.2621
66,9.9245,66.8457
67,10.0358,66.3519
68,10.1153,65.979
69,10.2013,65.5672
70,10.2815,65.1666
71,10.3537,64.7853
72,10.4359,64.3474
73,10.4916,64.004
74,10.558,63.6005
75,10.6119,63.2321
76,10.6559,62.8886
77,10.7214,62.4398
78,10.7719,62.0371
79,10.81,61.6705
80,10.8667,61.2126
81,10.9107,60.794
82,10.9557,60.3593
83,11.0038,59.9014
84,11.0441,59.467
85,11.0917,58.996
86,11.1144,58.6233
87,11.1557,58.1718
88,11.1913,57.7435
89,11.2251,57.3256
90,11.2532,56.9368
91,11.2852,56.5394
92,11.3133,56.1684
93,11.3531,55.7617
94,11.378,55.4318
95,11.4243,55.0309
96,11.4945,54.5504
97,11.5462,54.168
98,11.5994,53.8027
99,11.6729,53.3776
100,11.7399,53.0048
101,11.8277,52.5723
102,11.9151,52.1682
103,11.9989,51.8059
104,12.093,51.4274
105,12.1868,51.0759
106,12.3011,50.665
107,12.4401,50.1755
108,12.5511,49.8237
109,12.664,49.4838
110,12.7931,49.095
111,12.9297,48.69
112,13.0608,48.3202
113,13.19,47.9672
114,13.324,47.6005
115,13.4557,47.2463
116,13.5895,46.8821
117,13.7176,46.5376
118,13.8555,46.1446
119,13.9787,45.8013
120,14.1159,45.3859
121,14.2332,45.0348
122,14.3511,44.6611
123,14.4871,44.1889
124,14.5961,43.8032
125,14.7064,43.3841
126,14.7958,43.022
127,14.8638,42.7176
128,14.9529,42.2942
129,15.0113,41.9663
130,15.0769,41.5761
131,15.1436,41.1496
132,15.192,40.7685
133,15.2512,40.3135
134,15.2964,39.8889
135,15.3198,39.5296
136,15.3438,39.1457
137,15.3627,38.764
138,15.3806,38.3706
139,15.4236,37.8618
140,15.4309,37.4927
141,15.457,37.0423
142,15.474,36.631
143,15.4867,36.243
144,15.5112,35.8163
145,15.5262,35.4437
146,15.554,35.0377
147,15.5846,34.6442
148,15.6332,34.2039
149,15.6789,33.8077
150,15.7294,33.4273
151,15.7996,33.0045
152,15.8684,32.6291
153,15.943,32.274
154,16.0404,31.871
155,16.1412,31.5013
156,16.2574,31.1168
157,16.3807,30.7517
158,16.524,30.3524
159,16.6787,29.9541
160,16.826,29.6322
161,16.9933,29.2722
162,17.1586,28.9618
163,17.3374,28.6346
164,17.5288,28.2903
165,17.7342,27.919
166,17.9448,27.553
167,18.1653,27.168
168,18.3789,26.828
169,18.5979,26.477
170,18.8177,26.1286
171,19.0417,25.763
172,19.2694,25.377
173,19.4983,24.9748
174,19.7344,24.5263
175,19.9453,24.1605
176,20.1543,23.7753
177,20.3584,23.3787
178,20.5491,23.0011
179,20.7369,22.5954
180,20.9172,22.1773
181,21.0853,21.7628
182,21.2424,21.3449
183,21.3832,20.9432
184,21.5051,20.5677
185,21.6287,20.1322
186,21.7214,19.7725
187,21.8084,19.3839
188,21.8818,19.0013
189,21.96,18.5507
