i,x,y
0,3.0,92.0
1,3.0281,91.5892
2,3.1455,91.2075
3,3.2608,90.837
4,3.3768,90.4651
5,3.4979,90.0727
6,3.6173,89.6872
7,3.7331,89.3148
8,3.85,88.9353
9,3.9664,88.5543
10,4.0815,88.1745
11,4.1962,87.7909
12,4.3089,87.4094
13,4.4193,87.0308
14,4.5291,86.6466
15,4.6383,86.2565
16,4.7421,85.8804
17,4.8469,85.4908
18,4.9486,85.1043
19,5.0462,84.7247
20,5.1421,84.3425
21,5.2374,83.9532
22,5.3296,83.5665
23,5.42,83.1776
24,5.5083,82.7884
25,5.5976,82.3856
26,5.6821,81.9949
27,5.7654,81.6009
28,5.8468,81.2076
29,5.9264,80.8154
30,6.0048,80.422
31,6.0845,80.019
32,6.1612,79.6238
33,6.2404,79.2155
34,6.3132,78.8309
35,6.3877,78.4383
36,6.4615,78.0477
37,6.5362,77.6539
38,6.6125,77.2547
39,6.6905,76.8504
40,6.7669,76.4555
41,6.8424,76.0676
42,6.9201,75.6744
43,6.9995,75.279
44,7.0797,74.8851
45,7.1606,74.4934
46,7.246,74.0892
47,7.3282,73.7038
48,7.4167,73.2983
49,7.5082,72.8863
50,7.5976,72.4888
51,7.6864,72.0997
52,7.7778,71.7056
53,7.8691,71.3169
54,7.9596,70.9366
55,8.0509,70.5577
56,8.1416,70.1851
57,8.2355,69.8028
58,8.3344,69.403
59,8.4317,69.0125
60,8.5276,68.6295
61,8.6219,68.2545
62,8.7206,67.8625
63,8.8179,67.4761
64,8.9171,67.0823
65,9.0143,66.6955
66,9.1125,66.304
67,9.2108,65.91
68,9.3073,65.5222
69,9.4021,65.1389
70,9.4958,64.7581
71,9.5916,64.3666
72,9.6927,63.9506
73,9.7851,63.5679
74,9.8783,63.1797
75,9.9704,62.794
76,10.06,62.4166
77,10.1491,62.0396
78,10.2427,61.6431
79,10.338,61.238
80,10.4299,60.8469
81,10.5243,60.4455
82,10.6161,60.055
83,10.7103,59.6559
84,10.8032,59.264
85,10.8985,58.8638
86,10.9909,58.4787
87,11.0854,58.0875
88,11.1804,57.6982
89,11.2755,57.3126
90,11.3711,56.9295
91,11.4704,56.5355
92,11.5711,56.1412
93,11.6729,55.7476
94,11.7764,55.3527
95,11.8792,54.9659
96,11.984,54.5762
97,12.0903,54.1859
98,12.1989,53.7908
99,12.3082,53.3982
100,12.4204,52.9982
101,12.5287,52.6185
102,12.6409,52.2261
103,12.7503,51.8485
104,12.8619,51.4637
105,12.9728,51.084
106,13.0821,50.7118
107,13.1957,50.3218
108,13.3077,49.9374
109,13.4191,49.5544
110,13.5305,49.1688
111,13.6404,48.7861
112,13.7505,48.3981
113,13.858,48.0162
114,13.9647,47.632
115,14.0693,47.25
116,14.1746,46.8575
117,14.2759,46.4743
118,14.3779,46.0797
119,14.4737,45.7021
120,14.5689,45.3175
121,14.6641,44.9235
122,14.7548,44.5384
123,14.8446,44.1474
124,14.9325,43.7548
125,15.02,43.3544
126,15.1006,42.973
127,15.1818,42.5804
128,15.2629,42.1792
129,15.3398,41.7881
130,15.4165,41.3901
131,15.4932,40.9856
132,15.5646,40.5972
133,15.636,40.2038
134,15.708,39.8042
135,15.7777,39.4104
136,15.8499,39.0048
137,15.9205,38.6044
138,15.9864,38.2236
139,16.0545,37.8343
140,16.1224,37.448
141,16.1925,37.0555
142,16.2628,36.6662
143,16.3353,36.2724
144,16.4096,35.8772
145,16.4832,35.4909
146,16.5626,35.0875
147,16.6459,34.6759
148,16.726,34.2858
149,16.811,33.8839
150,16.8965,33.4892
151,16.9838,33.0959
152,17.0735,32.7021
153,17.1653,32.3086
154,17.2568,31.9259
155,17.3518,31.5374
156,17.4505,31.1425
157,17.5516,30.746
158,17.6524,30.3586
159,17.7542,29.9744
160,17.8586,29.5859
161,17.9628,29.2044
162,18.0731,28.8032
163,18.1811,28.416
164,18.2885,28.0351
165,18.3955,27.6584
166,18.5041,27.2778
167,18.6162,26.8837
168,18.7236,26.5096
169,18.8345,26.1209
170,18.9462,25.728
171,19.0557,25.3425
172,19.1659,24.952
173,19.2736,24.5689
174,19.3799,24.1881
175,19.485,23.8087
176,19.5863,23.4407
177,19.6925,23.048
178,19.7956,22.6633
179,19.8976,22.2787
180,19.999,21.8919
181,20.0997,21.503
182,20.1985,21.1172
183,20.2931,20.7446
184,20.3917,20.3509
185,20.4845,19.9776
186,20.5797,19.591
187,20.6757,19.1978
188,20.7707,18.8062
189,20.8666,18.409
190,20.962,18.0117
191,21.0575,17.6131
192,21.1514,17.2208
193,21.2432,16.8369
194,21.3334,16.46
195,21.4266,16.0715
196,21.5183,15.6903
197,21.6124,15.3011
198,21.7071,14.9112
199,21.803,14.5184
200,21.8986,14.1296
201,21.9953,13.7388
202,22.0912,13.3535
203,22.1868,12.9724
204,22.2859,12.5795
205,22.3824,12.1998
206,22.4852,11.7962
207,22.5847,11.4078
208,22.6827,11.0277
209,22.781,10.647
210,22.8805,10.2623
211,22.9794,9.8802
212,23.0756,9.5087
213,23.1746,9.1248
214,23.2759,8.7303
215,23.3771,8.3334
216,23.4732,7.9555
217,23.5692,7.5741
218,23.6658,7.1869
219,23.7602,6.804
220,23.8554,6.4129
221,23.9532,6.0056
222,24.0465,5.6112
223,24.1364,5.2248
224,24.2233,4.8443
225,24.3085,4.4643
226,24.3936,4.078
227,24.4796,3.6813
228,24.5614,3.2952
229,24.6444,2.8976
230,24.7268,2.4965
231,24.8068,2.0992
232,24.8852,1.7036
233,24.9612,1.3123
234,25.0835,0.9555
235,25.5064,0.9968
236,25.9118,0.9763
237,26.3242,0.9552
238,26.7316,0.9338
239,27.13,0.9123
240,27.5351,0.8909
241,27.9342,0.8699
242,28.3285,0.8494
243,28.7262,0.8296
244,29.1316,0.8108
245,29.537,0.7932
246,29.9517,0.7769
247,30.3449,0.7623
248,30.7491,0.7493
249,31.167,0.7382
250,31.5672,0.7291
251,31.9614,0.7222
252,32.3664,0.7175
253,32.7674,0.715
254,33.1656,0.7149
255,33.552,0.7171
256,33.9493,0.7217
257,34.3376,0.7286
258,34.7385,0.7377
259,35.1418,0.7491
260,35.5345,0.7625
261,35.9458,0.7778
262,36.3471,0.795
263,36.7432,0.8137
264,37.1558,0.834
265,37.5517,0.8554
266,37.9423,0.8779
267,38.3387,0.9013
268,38.7348,0.9252
269,39.1418,0.9495
270,39.5361,0.9739
271,39.9327,0.9981
272,40.3261,1.0221
273,40.7261,1.0455
274,41.1281,1.0681
275,41.5337,1.0897
276,41.9439,1.1101
277,42.3587,1.1292
278,42.7522,1.1469
279,43.1513,1.1628
280,43.5553,1.1771
281,43.9591,1.1895
282,44.3573,1.2
283,44.7537,1.2086
284,45.1516,1.2152
285,45.5545,1.2198
286,45.9607,1.2225
287,46.3571,1.2233
288,46.7612,1.2222
289,47.1529,1.2194
290,47.5378,1.215
291,47.9466,1.209
292,48.3415,1.2017
293,48.7426,1.1931
294,49.1391,1.1834
295,49.5467,1.1729
296,49.9446,1.1615
297,50.3406,1.1496
298,50.7456,1.1373
299,51.151,1.1248
300,51.546,1.1122
301,51.9448,1.0996
302,52.3382,1.0873
303,52.7278,1.0754
304,53.1194,1.064
305,53.5128,1.0531
306,53.906,1.043
307,54.3004,1.0336
308,54.7125,1.025
309,55.1038,1.0174
310,55.5038,1.0106
311,55.9076,1.0047
312,56.3016,0.9996
313,56.7072,0.9955
314,57.0803,1.0691
315,57.0106,1.5012
316,57.0125,1.8983
317,57.0139,2.2896
318,57.0149,2.6851
319,57.0154,3.069
320,57.0157,3.4581
321,57.0158,3.853
322,57.0159,4.2533
323,57.0161,4.6402
324,57.0165,5.0458
325,57.0172,5.4339
326,57.0183,5.8343
327,57.0199,6.2309
328,57.0221,6.6283
329,57.025,7.0196
330,57.0286,7.4227
331,57.0329,7.8197
332,57.038,8.2106
333,57.0438,8.6096
334,57.0505,9.0188
335,57.0578,9.4227
336,57.0659,9.8202
337,57.0746,10.2169
338,57.0838,10.6161
339,57.0935,11.0214
340,57.1035,11.4377
341,57.1138,11.8362
342,57.1241,12.2286
343,57.1344,12.6285
344,57.1444,13.0262
345,57.1541,13.4192
346,57.1632,13.8094
347,57.1717,14.2044
348,57.1793,14.5994
349,57.186,15.0066
350,57.1914,15.4011
351,57.1956,15.7875
352,57.1984,16.1945
353,57.1997,16.5917
354,57.1993,16.9955
355,57.1972,17.4021
356,57.1934,17.8108
357,57.1878,18.2201
358,57.1803,18.6145
359,57.1711,19.0198
360,57.16,19.4243
361,57.1472,19.8193
362,57.1327,20.2192
363,57.1166,20.6326
364,57.0991,21.0251
365,57.0802,21.4222
366,57.0601,21.8331
367,57.039,22.238
368,57.0171,22.6332
369,56.9945,23.0448
370,56.9716,23.4436
371,56.9483,23.8491
372,56.9252,24.2456
373,56.9022,24.6428
374,56.8797,25.0488
375,56.8579,25.4569
376,56.8371,25.8482
377,56.8173,26.233
378,56.7989,26.631
379,56.782,27.0343
380,56.7668,27.4194
381,56.7534,27.8142
382,56.7421,28.2068
383,56.7328,28.605
384,56.7258,29.0133
385,56.721,29.4079
386,56.7185,29.7995
387,56.7184,30.1933
388,56.7206,30.5945
389,56.7251,30.9918
390,56.7319,31.3912
391,56.7409,31.7985
392,56.7519,32.197
393,56.7648,32.6004
394,56.7796,32.994
395,56.796,33.3781
396,56.8139,33.7707
397,56.8331,34.1689
398,56.8533,34.5676
399,56.8912,35.0691
400,57.3786,35.1039
401,57.7784,35.0818
402,58.1862,35.0594
403,58.5961,35.0371
404,58.9971,35.0151
405,59.3942,34.9935
406,59.8038,34.9725
407,60.2112,34.9524
408,60.6103,34.9333
409,61.0217,34.9154
410,61.4329,34.8989
411,61.8241,34.8837
412,62.2367,34.8701
413,62.6364,34.8581
414,63.0381,34.8478
415,63.4411,34.8392
416,63.8472,34.8323
417,64.2472,34.8271
418,64.6531,34.8236
419,65.0456,34.8217
420,65.4572,34.8215
421,65.873,34.8226
422,66.2787,34.8252
423,66.6768,34.829
424,67.0857,34.834
425,67.4867,34.8399
426,67.8953,34.8467
427,68.3018,34.8541
428,68.704,34.8622
429,69.1031,34.8706
430,69.5136,34.8792
431,69.9228,34.8879
432,70.3334,34.8966
433,70.7419,34.9051
434,71.1396,34.9133
435,71.5433,34.9211
436,71.9448,34.9284
437,72.3432,34.935
438,72.7479,34.941
439,73.1457,34.9464
440,73.5455,34.951
441,73.9501,34.9548
442,74.3553,34.9579
443,74.7646,34.9603
444,75.1675,34.962
445,75.5664,34.9631
446,75.9774,34.9637
447,76.3757,34.9638
448,76.7955,34.9635
449,77.1917,34.9629
450,77.5979,34.9622
451,78.0,35.0
