i,x,y
0,3.0,92.0
1,2.9547,91.5981
2,3.0685,91.2027
3,3.1786,90.8257
4,3.2902,90.4452
5,3.4046,90.0544
6,3.5201,89.6607
7,3.6313,89.2856
8,3.742,88.9127
9,3.8579,88.5178
10,3.9734,88.123
11,4.081,87.7588
12,4.1949,87.3663
13,4.3035,86.9922
14,4.4142,86.6055
15,4.5252,86.2132
16,4.6371,85.8123
17,4.738,85.4517
18,4.8439,85.0644
19,4.9477,84.6794
20,5.0521,84.2856
21,5.1477,83.922
22,5.2445,83.547
23,5.3413,83.1653
24,5.4327,82.8001
25,5.5276,82.4142
26,5.6226,82.022
27,5.7165,81.6298
28,5.8136,81.2191
29,5.9065,80.8216
30,6.0032,80.4055
31,6.0921,80.0185
32,6.182,79.6255
33,6.2662,79.2549
34,6.3492,78.889
35,6.4367,78.5051
36,6.5306,78.0958
37,6.6206,77.7051
38,6.7132,77.3062
39,6.8057,76.9116
40,6.9006,76.5108
41,6.9953,76.1163
42,7.0876,75.7368
43,7.1836,75.3476
44,7.2846,74.9442
45,7.3805,74.5682
46,7.4824,74.1733
47,7.5829,73.7911
48,7.6815,73.4225
49,7.7795,73.0627
50,7.8832,72.6847
51,7.9895,72.3011
52,8.1,71.9043
53,8.2086,71.5194
54,8.3144,71.1492
55,8.4225,70.7712
56,8.5313,70.3913
57,8.6441,69.9947
58,8.7607,69.5811
59,8.8759,69.1713
60,8.9915,68.7565
61,9.0954,68.3855
62,9.2053,67.9837
63,9.3111,67.5923
64,9.4137,67.2058
65,9.509,66.8407
66,9.609,66.4465
67,9.7041,66.0617
68,9.7976,65.672
69,9.8862,65.2905
70,9.9743,64.8983
71,10.0555,64.5216
72,10.1385,64.1243
73,10.2182,63.7273
74,10.2918,63.3424
75,10.3623,62.9573
76,10.4291,62.5744
77,10.4997,62.164
78,10.5606,61.782
79,10.6281,61.3623
80,10.6822,60.9879
81,10.7478,60.5573
82,10.8082,60.1405
83,10.8635,59.7385
84,10.9192,59.33
85,10.9684,58.9444
86,11.0206,58.5447
87,11.0712,58.1502
88,11.1186,57.7702
89,11.1755,57.3528
90,11.2322,56.94
91,11.2945,56.5091
92,11.3511,56.1082
93,11.4041,55.7302
94,11.4628,55.3374
95,11.5161,54.9771
96,11.5785,54.5904
97,11.654,54.1619
98,11.7233,53.7713
99,11.7955,53.3825
100,11.8678,53.0071
101,11.9482,52.6129
102,12.0299,52.2276
103,12.118,51.8301
104,12.2065,51.4458
105,12.2985,51.0613
106,12.3914,50.6871
107,12.4879,50.3119
108,12.5878,49.9349
109,12.6904,49.5594
110,12.799,49.1703
111,12.9105,48.78
112,13.0262,48.3816
113,13.138,48.0084
114,13.2581,47.6082
115,13.3745,47.2298
116,13.496,46.8362
117,13.618,46.4445
118,13.7402,46.0556
119,13.8582,45.6866
120,13.9779,45.3117
121,14.1004,44.926
122,14.2215,44.545
123,14.3411,44.1693
124,14.4627,43.7836
125,14.5825,43.4028
126,14.6987,43.0334
127,14.8185,42.6454
128,14.933,42.2754
129,15.0495,41.8931
130,15.1659,41.5064
131,15.2822,41.1158
132,15.397,40.7264
133,15.51,40.3402
134,15.6191,39.965
135,15.7256,39.5968
136,15.8343,39.215
137,15.9361,38.8582
138,16.0481,38.4553
139,16.151,38.0864
140,16.2622,37.6807
141,16.3638,37.3114
142,16.4686,36.9266
143,16.5701,36.5534
144,16.6737,36.1693
145,16.7767,35.7862
146,16.8801,35.3997
147,16.9838,35.0102
148,17.0871,34.6212
149,17.1965,34.2056
150,17.3009,33.8093
151,17.4058,33.409
152,17.5083,33.0171
153,17.6093,32.6293
154,17.7046,32.2625
155,17.8034,31.8792
156,17.9073,31.4716
157,18.0088,31.0702
158,18.1056,30.685
159,18.199,30.3096
160,18.2929,29.9275
161,18.3876,29.5367
162,18.4838,29.1343
163,18.5732,28.7543
164,18.6639,28.3626
165,18.7495,27.9856
166,18.8344,27.6045
167,18.9163,27.2292
168,19.0032,26.8259
169,19.0842,26.4396
170,19.166,26.0434
171,19.2504,25.6293
172,19.329,25.2327
173,19.4099,24.8202
174,19.4862,24.4209
175,19.5624,24.0165
176,19.6401,23.6015
177,19.7165,23.1877
178,19.7898,22.7835
179,19.8652,22.3685
180,19.936,21.9708
181,20.007,21.5724
182,20.0802,21.1653
183,20.1518,20.7668
184,20.2201,20.3847
185,20.2938,19.9842
186,20.3676,19.5886
187,20.4413,19.1994
188,20.5199,18.7973
189,20.5916,18.4318
190,20.6762,18.0224
191,20.757,17.638
192,20.8445,17.2373
193,20.9295,16.858
194,21.0253,16.4456
195,21.1162,16.0662
196,21.2122,15.6777
197,21.306,15.3115
198,21.4098,14.9164
199,21.5178,14.5162
200,21.6252,14.1307
201,21.7297,13.7693
202,21.8436,13.3797
203,21.956,13.0069
204,22.0737,12.6212
205,22.197,12.2216
206,22.3173,11.8414
207,22.4376,11.4675
208,22.5615,11.0839
209,22.6852,10.7048
210,22.8086,10.3292
211,22.9321,9.9538
212,23.0579,9.5685
213,23.1809,9.1927
214,23.3051,8.8084
215,23.4298,8.417
216,23.553,8.0257
217,23.6676,7.6627
218,23.7837,7.2842
219,23.8946,6.9176
220,24.0026,6.5521
221,24.1132,6.1643
222,24.2162,5.795
223,24.3208,5.4062
224,24.4233,5.0126
225,24.52,4.6292
226,24.6163,4.2332
227,24.7034,3.8611
228,24.7936,3.4626
229,24.8768,3.0791
230,24.959,2.6867
231,25.0337,2.3131
232,25.1109,1.9168
233,25.1852,1.5217
234,25.1308,1.2529
235,25.3679,1.2545
236,25.7715,1.2275
237,26.204,1.1989
238,26.5861,1.1691
239,26.999,1.1382
240,27.3993,1.1066
241,27.8031,1.0747
242,28.1719,1.0426
243,28.5656,1.0107
244,28.951,0.9793
245,29.3532,0.9487
246,29.729,0.919
247,30.1349,0.8906
248,30.5397,0.8635
249,30.9445,0.8381
250,31.3445,0.8145
251,31.7448,0.7927
252,32.137,0.773
253,32.5428,0.7553
254,32.9427,0.7397
255,33.3462,0.7263
256,33.7402,0.715
257,34.1329,0.7058
258,34.5512,0.6986
259,34.9285,0.6934
260,35.3227,0.69
261,35.723,0.6883
262,36.1197,0.6883
263,36.522,0.6896
264,36.9397,0.6923
265,37.3372,0.6961
266,37.7727,0.7009
267,38.1803,0.7064
268,38.5702,0.7126
269,38.9876,0.7192
270,39.3905,0.7262
271,39.7937,0.7333
272,40.1804,0.7405
273,40.5783,0.7476
274,40.9681,0.7545
275,41.3567,0.7612
276,41.7787,0.7676
277,42.1806,0.7736
278,42.5658,0.7792
279,42.9585,0.7844
280,43.3437,0.7892
281,43.7452,0.7937
282,44.157,0.7979
283,44.5481,0.8018
284,44.9407,0.8055
285,45.3417,0.8091
286,45.7425,0.8127
287,46.1409,0.8164
288,46.5583,0.8203
289,46.9753,0.8245
290,47.3656,0.8291
291,47.7558,0.8342
292,48.1601,0.8399
293,48.5895,0.8462
294,49.0069,0.8533
295,49.4149,0.8612
296,49.8207,0.87
297,50.2235,0.8797
298,50.6082,0.8903
299,51.0057,0.9019
300,51.4165,0.9143
301,51.833,0.9276
302,52.2301,0.9417
303,52.6124,0.9565
304,53.0065,0.972
305,53.4145,0.988
306,53.8432,1.0045
307,54.2643,1.0212
308,54.6558,1.0381
309,55.0476,1.055
310,55.4188,1.0717
311,55.8016,1.0881
312,56.1975,1.104
313,56.5993,1.1192
314,56.9212,1.1102
315,56.8529,1.4268
316,56.8405,1.8295
317,56.8293,2.2042
318,56.8195,2.6217
319,56.8111,3.0407
320,56.8042,3.4564
321,56.7988,3.8566
322,56.7951,4.2486
323,56.7929,4.6384
324,56.7923,5.0414
325,56.7933,5.4653
326,56.7958,5.9068
327,56.7997,6.329
328,56.8048,6.722
329,56.8112,7.1226
330,56.8185,7.517
331,56.8267,7.9218
332,56.8356,8.3338
333,56.8449,8.7231
334,56.8545,9.1156
335,56.8642,9.544
336,56.8737,9.9492
337,56.8829,10.334
338,56.8915,10.7511
339,56.8992,11.1556
340,56.906,11.5543
341,56.9116,11.9515
342,56.9159,12.3344
343,56.9186,12.7211
344,56.9198,13.1217
345,56.9192,13.5194
346,56.9168,13.9157
347,56.9126,14.3368
348,56.9065,14.7421
349,56.8985,15.1502
350,56.8887,15.5399
351,56.8772,15.8954
352,56.864,16.3064
353,56.8492,16.7124
354,56.8331,17.1256
355,56.8159,17.5066
356,56.7976,17.9005
357,56.7787,18.29
358,56.7592,18.6665
359,56.7395,19.0653
360,56.72,19.4801
361,56.7007,19.901
362,56.6822,20.2922
363,56.6646,20.6746
364,56.6482,21.0964
365,56.6334,21.4969
366,56.6204,21.8629
367,56.6096,22.2472
368,56.6011,22.645
369,56.5951,23.0398
370,56.5919,23.4255
371,56.5917,23.8362
372,56.5946,24.2269
373,56.6007,24.6328
374,56.6101,25.0185
375,56.6229,25.4147
376,56.6389,25.8081
377,56.6584,26.2132
378,56.6811,26.5994
379,56.7069,27.0233
380,56.7358,27.4442
381,56.7675,27.8584
382,56.8019,28.2488
383,56.8387,28.6534
384,56.8777,29.0648
385,56.9185,29.4548
386,56.961,29.8525
387,57.0047,30.2551
388,57.0494,30.6644
389,57.0946,31.0538
390,57.1401,31.4601
391,57.1855,31.8602
392,57.2304,32.2749
393,57.2745,32.6537
394,57.3175,33.0414
395,57.359,33.4246
396,57.3988,33.8437
397,57.4366,34.2554
398,57.472,34.6431
399,57.3918,34.6773
400,57.4541,34.4648
401,57.8644,34.4375
402,58.2944,34.4133
403,58.6962,34.3922
404,59.0886,34.3744
405,59.4732,34.3599
406,59.8571,34.3488
407,60.2914,34.3409
408,60.69,34.3364
409,61.0856,34.3351
410,61.4873,34.3369
411,61.8961,34.3417
412,62.2764,34.3494
413,62.6935,34.3598
414,63.0944,34.3728
415,63.4986,34.3881
416,63.8693,34.4056
417,64.2883,34.4251
418,64.6775,34.4464
