i,x,y
0,7.0,90.0
1,7.0,89.6
2,7.0,89.2
3,7.0,88.8
4,7.0,88.4
5,7.0,88.0
6,7.0,87.6
7,7.0,87.2
8,7.0,86.8
9,7.0,86.4
10,7.0,86.0
11,7.0,85.6
12,7.0,85.2
13,7.0,84.8
14,7.0,84.4
15,7.0,84.0
16,7.0,83.6
17,7.0,83.2
18,7.0,82.8
19,7.0,82.4
20,7.0,82.0
21,7.0,81.6
22,7.0,81.2
23,7.0,80.8
24,7.0,80.4
25,7.0,80.0
26,7.0,79.6
27,7.0,79.2
28,7.0,78.8
29,7.0,78.4
30,7.0,78.0
31,7.0,77.6
32,7.0,77.2
33,7.0,76.8
34,7.0,76.4
35,7.0,76.0
36,7.0,75.6
37,7.0,75.2
38,7.0,74.8
39,7.0,74.4
40,7.0,74.0
41,7.0,73.6
42,7.0,73.2
43,7.0,72.8
44,7.0,72.4
45,7.0,72.0
46,7.0,71.6
47,7.0,71.2
48,7.0,70.8
49,7.0,70.4
50,7.0,70.0
51,7.0,69.6
52,7.0,69.2
53,7.0,68.8
54,7.0,68.4
55,7.0,68.0
56,7.0,67.6
57,7.0,67.2
58,7.0,66.8
59,7.0,66.4
60,7.0,66.0
61,7.0,65.6
62,7.0,65.2
63,7.0,64.8
64,7.0,64.4
65,7.0,64.0
66,7.0,63.6
67,7.0,63.2
68,7.0,62.8
69,7.0,62.4
70,7.0,62.0
71,7.0,61.6
72,7.0,61.2
73,7.0,60.8
74,7.0,60.4
75,7.0,60.0
76,7.0,59.6
77,7.0,59.2
78,7.0,58.8
79,7.0,58.4
80,7.0,58.0
81,7.0,57.6
82,7.0,57.2
83,7.0,56.8
84,7.0,56.4
85,7.0,56.0
86,7.0,55.6
87,7.0,55.2
88,7.0,54.8
89,7.0,54.4
90,7.0,54.0
91,7.0,53.6
92,7.0,53.2
93,7.0,52.8
94,7.0,52.4
95,7.0,52.0
96,7.0,51.6
97,7.0,51.2
98,7.0,50.8
99,7.0,50.4
100,7.0,50.0
