i,x,y
0,7.0,90.0
1,7.3283,89.5963
2,7.3319,89.1944
3,7.3353,88.8052
4,7.3385,88.3834
5,7.3413,87.9792
6,7.344,87.5896
7,7.3463,87.1808
8,7.3484,86.7725
9,7.3502,86.3591
10,7.3517,85.9579
11,7.3529,85.5564
12,7.3538,85.158
13,7.3545,84.7628
14,7.3548,84.3602
15,7.3548,83.9631
16,7.3545,83.549
17,7.3539,83.1384
18,7.3529,82.7115
19,7.3517,82.3324
20,7.3502,81.9324
21,7.3483,81.545
22,7.3462,81.1554
23,7.3437,80.7363
24,7.341,80.3331
25,7.3379,79.9452
26,7.3346,79.5267
27,7.331,79.1304
28,7.3271,78.7102
29,7.323,78.3123
30,7.3186,77.8813
31,7.3139,77.4412
32,7.309,77.0436
33,7.3039,76.6401
34,7.2985,76.2377
35,7.293,75.8253
36,7.2872,75.4023
37,7.2812,74.9815
38,7.2751,74.5695
39,7.2687,74.1719
40,7.2622,73.7816
41,7.2556,73.3809
42,7.2488,73.014
43,7.2419,72.5854
44,7.2348,72.1578
45,7.2277,71.7517
46,7.2204,71.3639
47,7.213,70.9547
48,7.2056,70.542
49,7.1981,70.1558
50,7.1905,69.7442
51,7.1829,69.3406
52,7.1752,68.8977
53,7.1675,68.5055
54,7.1598,68.1031
55,7.1521,67.7026
56,7.1443,67.2997
57,7.1366,66.9018
58,7.1288,66.5186
59,7.1211,66.1346
60,7.1134,65.7508
61,7.1057,65.3389
62,7.098,64.9207
63,7.0904,64.5446
64,7.0828,64.1331
65,7.0752,63.7325
66,7.0677,63.3255
67,7.0602,62.9304
68,7.0528,62.5412
69,7.0454,62.1245
70,7.0381,61.7226
71,7.0308,61.3142
72,7.0235,60.9019
73,7.0163,60.4843
74,7.0092,60.083
75,7.0021,59.6684
76,6.995,59.2669
77,6.988,58.8576
78,6.981,58.4471
79,6.974,58.0466
80,6.9671,57.6536
81,6.9602,57.2748
82,6.9533,56.8955
83,6.9464,56.4942
84,6.9395,56.0521
85,6.9326,55.6637
86,6.9257,55.2947
87,6.9188,54.913
88,6.9119,54.5126
89,6.905,54.1177
90,6.898,53.6997
91,6.891,53.3105
92,6.8839,52.8969
93,6.8769,52.5043
94,6.8697,52.0955
95,6.8625,51.7095
96,6.8552,51.2865
97,6.8478,50.8984
98,6.8404,50.5002
99,6.8329,50.1159
100,6.8253,49.718
101,6.8176,49.297
102,6.8098,48.8983
103,6.8019,48.5015
104,6.7939,48.0937
105,6.7857,47.6909
106,6.7775,47.2915
107,6.7692,46.9006
108,6.7607,46.5288
109,6.7521,46.1345
110,6.7434,45.7278
111,6.7346,45.347
112,6.7257,44.947
113,6.7166,44.5571
114,6.7075,44.1502
115,6.6982,43.7836
116,6.6888,43.3881
117,6.6794,42.9881
118,6.6698,42.5667
119,6.6602,42.2014
120,6.6504,41.8033
121,6.6406,41.3881
122,6.6307,40.9831
123,6.6208,40.5797
124,6.6108,40.1682
125,6.6008,39.7762
126,6.5908,39.3328
127,6.5807,38.9502
128,6.5706,38.5693
129,6.5606,38.1742
130,6.5506,37.7512
131,6.5406,37.3387
132,6.5306,36.9606
133,6.5208,36.5538
134,6.511,36.1491
135,6.5013,35.7755
136,6.4918,35.3601
137,6.4823,34.9768
138,6.4731,34.5718
139,6.464,34.1573
140,6.4551,33.7515
141,6.4464,33.3639
142,6.4379,32.9487
143,6.4297,32.5378
144,6.4218,32.1196
145,6.4141,31.7288
146,6.4068,31.333
147,6.3998,30.9325
148,6.3931,30.5175
149,6.3868,30.1212
150,6.3808,29.7245
151,6.3753,29.3582
152,6.3702,28.9471
153,6.3655,28.5275
