i,x,y
0,7.0,90.0
1,7.2238,89.6177
2,7.2169,89.2158
3,7.2099,88.8079
4,7.2026,88.3896
5,7.1951,87.9615
6,7.1875,87.5613
7,7.1797,87.1575
8,7.1717,86.7521
9,7.1635,86.3487
10,7.1552,85.9512
11,7.1468,85.5869
12,7.1382,85.1821
13,7.1295,84.7721
14,7.1206,84.3791
15,7.1116,83.9798
16,7.1025,83.5669
17,7.0934,83.142
18,7.0841,82.7504
19,7.0747,82.3366
20,7.0653,81.9265
21,7.0557,81.5253
22,7.0462,81.1326
23,7.0365,80.7507
24,7.0269,80.359
25,7.0172,79.9535
26,7.0074,79.5622
27,6.9977,79.1668
28,6.9879,78.7772
29,6.9781,78.3766
30,6.9684,77.9734
31,6.9586,77.5794
32,6.9489,77.17
33,6.9393,76.7816
34,6.9296,76.382
35,6.92,75.9709
36,6.9105,75.5719
37,6.9011,75.1738
38,6.8917,74.7729
39,6.8824,74.3657
40,6.8732,73.961
41,6.8641,73.567
42,6.8551,73.1626
43,6.8463,72.7484
44,6.8375,72.33
45,6.8289,71.941
46,6.8205,71.5576
47,6.8122,71.1428
48,6.804,70.7647
49,6.796,70.3576
50,6.7882,69.9663
51,6.7806,69.5486
52,6.7732,69.1444
53,6.7659,68.7338
54,6.7589,68.34
55,6.752,67.946
56,6.7454,67.5535
57,6.739,67.1648
58,6.7328,66.7739
59,6.7269,66.3574
60,6.7212,65.9665
61,6.7157,65.5674
62,6.7105,65.1636
63,6.7056,64.7505
64,6.7008,64.3316
65,6.6964,63.9271
66,6.6922,63.5379
67,6.6883,63.1341
68,6.6847,62.7162
69,6.6814,62.3326
70,6.6783,61.9326
71,6.6755,61.538
72,6.673,61.1427
73,6.6708,60.7409
74,6.6689,60.3451
75,6.6672,59.9574
76,6.6659,59.5577
77,6.6649,59.1538
78,6.6642,58.7526
79,6.6637,58.3372
80,6.6636,57.9587
81,6.6638,57.5784
82,6.6642,57.1795
83,6.665,56.7735
84,6.6661,56.3826
85,6.6674,56.0019
86,6.6691,55.5846
87,6.671,55.1707
88,6.6733,54.7749
89,6.6759,54.3685
90,6.6787,53.9698
91,6.6818,53.5526
92,6.6852,53.149
93,6.6889,52.7363
94,6.6929,52.3174
95,6.6972,51.8993
96,6.7017,51.4894
97,6.7065,51.0886
98,6.7116,50.6742
99,6.7169,50.2696
100,6.7225,49.8705
101,6.7284,49.4603
102,6.7345,49.0459
103,6.7408,48.6509
104,6.7474,48.2277
105,6.7542,47.8117
106,6.7612,47.4032
107,6.7684,46.9846
108,6.7759,46.5768
109,6.7836,46.1688
110,6.7914,45.7665
111,6.7995,45.3626
112,6.8077,44.9689
113,6.8162,44.5789
114,6.8247,44.1918
115,6.8335,43.7952
116,6.8424,43.4255
117,6.8515,43.0273
118,6.8607,42.6237
119,6.87,42.2217
120,6.8795,41.8268
121,6.889,41.4314
122,6.8987,41.0383
123,6.9085,40.6431
124,6.9184,40.2349
125,6.9283,39.8153
126,6.9383,39.4005
127,6.9484,39.0054
128,6.9585,38.5963
129,6.9687,38.2085
130,6.9789,37.799
131,6.9892,37.393
132,6.9994,37.0084
133,7.0097,36.5978
134,7.02,36.1878
135,7.0302,35.7907
136,7.0405,35.3836
137,7.0507,34.983
138,7.0609,34.5647
139,7.071,34.1877
140,7.0811,33.7964
141,7.0911,33.3983
142,7.101,32.9974
143,7.1109,32.6145
144,7.1206,32.2234
145,7.1303,31.8253
146,7.1399,31.4199
147,7.1493,31.0394
148,7.1586,30.6234
149,7.1678,30.2038
150,7.1768,29.8126
151,7.1857,29.403
152,7.1944,28.995
153,7.203,28.59
154,7.2113,28.1841
155,7.2195,27.7726
156,7.2276,27.3729
157,7.2354,26.9454
158,7.243,26.5695
159,7.2504,26.1538
160,7.2576,25.7477
161,7.2645,25.3351
162,7.2713,24.9333
163,7.2777,24.5441
164,7.284,24.1452
165,7.29,23.7482
166,7.2957,23.357
167,7.3012,22.9492
168,7.3065,22.5394
169,7.3114,22.1586
170,7.3161,21.7605
171,7.3205,21.3698
172,7.3246,20.9782
173,7.3285,20.585
174,7.332,20.1909
175,7.3353,19.7906
176,7.3382,19.3784
177,7.3409,18.99
178,7.3432,18.5713
179,7.3453,18.1616
180,7.3471,17.7521
181,7.3485,17.35
182,7.3496,16.9355
183,7.3505,16.5545
184,7.351,16.1512
185,7.3512,15.7619
186,7.3511,15.3636
187,7.3507,14.9625
188,7.35,14.5675
189,7.3489,14.1634
190,7.3476,13.7551
191,7.3459,13.3531
192,7.344,12.9509
193,7.3417,12.57
194,7.3391,12.1704
195,7.3363,11.7687
196,7.3331,11.363
197,7.3296,10.9698
198,7.3259,10.5769
199,7.3218,10.1627
200,7.3175,9.7605
201,7.3129,9.3719
202,7.308,8.9634
203,7.3028,8.5464
204,7.2974,8.1522
205,7.2917,7.7579
206,7.2857,7.3669
207,7.2795,6.9522
208,7.273,6.5637
209,7.2663,6.1514
210,7.2594,5.7647
211,7.2522,5.3677
212,7.2448,4.9596
213,7.2371,4.5622
214,7.2293,4.1507
215,7.2213,3.7594
216,7.213,3.3466
217,7.2046,2.9474
218,7.196,2.5383
219,7.1872,2.1483
220,7.294,1.9562
221,7.6395,2.1691
222,8.0295,2.1598
223,8.4044,2.1504
224,8.7915,2.1409
225,9.1624,2.1312
226,9.5526,2.1214
227,9.9634,2.1115
228,10.376,2.1015
229,10.7761,2.0914
230,11.1718,2.0812
231,11.564,2.0709
232,11.9669,2.0606
233,12.3791,2.0502
234,12.7585,2.0398
235,13.1465,2.0294
236,13.5329,2.0189
237,13.9301,2.0084
238,14.341,1.9979
239,14.7366,1.9873
240,15.1322,1.9768
241,15.5244,1.9664
242,15.917,1.9559
243,16.2876,1.9455
244,16.6707,1.9351
245,17.0499,1.9248
246,17.4543,1.9145
247,17.8747,1.9044
248,18.271,1.8943
249,18.6628,1.8843
250,19.0965,1.8744
251,19.5133,1.8646
252,19.909,1.8549
253,20.2983,1.8454
254,20.6656,1.836
255,21.0531,1.8267
256,21.4762,1.8176
257,21.8449,1.8086
258,22.2361,1.7998
259,22.6419,1.7912
260,23.0431,1.7828
261,23.4345,1.7746
262,23.7996,1.7665
263,24.176,1.7587
264,24.5627,1.7511
265,24.9501,1.7437
266,25.3604,1.7365
267,25.7419,1.7296
268,26.3037,1.9126
269,26.2836,2.5489
270,26.2898,2.9502
271,26.2958,3.347
272,26.3014,3.7537
273,26.3069,4.1779
274,26.312,4.5755
275,26.3169,4.9745
276,26.3215,5.3981
277,26.3259,5.7959
278,26.3299,6.1794
279,26.3336,6.6023
280,26.3371,6.9985
281,26.3403,7.4031
282,26.3431,7.7884
283,26.3457,8.1844
284,26.348,8.5796
285,26.3499,8.9793
286,26.3516,9.3742
287,26.3529,9.7738
288,26.3539,10.1559
289,26.3547,10.5225
290,26.3551,10.925
291,26.3552,11.3331
292,26.355,11.7111
293,26.3545,12.0784
294,26.3536,12.48
295,26.3525,12.8665
296,26.3511,13.2572
297,26.3493,13.6507
298,26.3473,14.0493
299,26.3449,14.4398
300,26.3423,14.8407
301,26.3394,15.249
302,26.3361,15.6576
303,26.3326,16.0772
304,26.3288,16.4729
305,26.3247,16.863
306,26.3204,17.2795
307,26.3157,17.6699
308,26.3108,18.0775
309,26.3056,18.4785
310,26.3002,18.887
311,26.2945,19.2747
312,26.2885,19.6582
313,26.2824,20.0606
314,26.2759,20.4579
315,26.2693,20.8627
316,26.2624,21.2715
317,26.2553,21.6573
318,26.248,22.0594
319,26.2405,22.4345
320,26.2327,22.8283
321,26.2248,23.2492
322,26.2167,23.6513
323,26.2085,24.0439
324,26.2,24.4561
325,26.1914,24.8579
326,26.1827,25.263
327,26.1738,25.6575
328,26.1647,26.0773
329,26.1556,26.4796
330,26.1463,26.8751
331,26.1369,27.2703
332,26.1274,27.6593
333,26.1178,28.0512
334,26.1081,28.4379
335,26.0984,28.8451
336,26.0886,29.2572
337,26.0787,29.646
338,26.0688,30.0325
339,26.0588,30.4557
340,26.0488,30.8605
341,26.0388,31.2403
342,26.0288,31.632
343,26.0188,32.037
344,26.0087,32.4334
345,25.9987,32.8156
346,25.9888,33.2242
347,25.9788,33.6351
348,25.9689,34.0383
349,25.9591,34.4512
350,25.9493,34.8529
351,25.9396,35.25
352,25.93,35.645
353,25.9204,36.0397
354,25.911,36.4344
355,25.9017,36.832
356,25.8925,37.2286
357,25.8834,37.6159
358,25.8744,38.0177
359,25.8656,38.4236
360,25.8569,38.8248
361,25.8484,39.2459
362,25.8401,39.6468
363,25.8319,40.0198
364,25.8239,40.4232
365,25.8161,40.804
366,25.8084,41.193
367,25.801,41.5912
368,25.7938,41.9717
369,25.7868,42.3757
370,25.78,42.7681
371,25.7735,43.1487
372,25.7672,43.5571
373,25.7611,43.9276
374,25.7552,44.3245
375,25.7497,44.7277
376,25.7443,45.1261
377,25.7392,45.5066
378,25.7344,45.9082
379,25.7299,46.2998
380,25.7256,46.7014
381,25.7216,47.0939
382,25.7179,47.5093
383,25.7145,47.9008
384,25.7113,48.2642
385,25.7084,48.6798
386,25.7059,49.0781
387,25.7036,49.4777
388,25.7016,49.8937
389,25.6999,50.3011
390,25.6985,50.6977
391,25.6974,51.1193
392,25.6966,51.5287
393,25.6961,51.9354
394,25.6959,52.3412
395,25.696,52.7244
396,25.6964,53.0921
397,25.6971,53.5197
398,25.6981,53.8991
399,25.6994,54.3086
400,25.7009,54.7012
401,25.7028,55.1181
402,25.705,55.515
403,25.7074,55.9228
404,25.7102,56.3226
405,25.7132,56.7253
406,25.7165,57.1267
407,25.7201,57.519
408,25.7239,57.9287
409,25.7281,58.3392
410,25.7325,58.7559
411,25.7371,59.1728
412,25.742,59.5753
413,25.7472,59.9801
414,25.7526,60.3952
415,25.7582,60.794
416,25.7641,61.2199
417,25.7702,61.6264
418,25.7765,62.0188
419,25.783,62.4363
420,25.7898,62.8235
421,25.7967,63.2169
422,25.8039,63.5989
423,25.8112,64.0046
424,25.8188,64.4091
425,25.8265,64.8012
426,25.8343,65.1904
427,25.8423,65.5943
428,25.8505,66.0028
429,25.8588,66.419
430,25.8673,66.8249
431,25.8759,67.2145
432,25.8846,67.6078
433,25.8934,67.9823
434,25.9023,68.3995
435,25.9113,68.7796
436,25.9203,69.1813
437,25.9295,69.5841
438,25.9387,69.9684
439,25.948,70.3648
440,25.9573,70.7494
441,25.9667,71.1192
442,25.9761,71.5355
443,25.9855,71.9245
444,25.9949,72.3135
445,26.0043,72.7074
446,26.0137,73.1365
447,26.0231,73.5371
448,26.0325,73.9451
449,26.0418,74.3419
450,26.0511,74.7494
451,26.0603,75.1552
452,26.0695,75.5588
453,26.0786,75.9471
454,26.0876,76.3665
455,26.0965,76.7703
456,26.1053,77.1717
457,26.114,77.5669
458,26.1226,77.9591
459,26.1311,78.3573
460,26.1394,78.7477
461,26.1476,79.1539
462,26.1556,79.5481
463,26.1635,79.9509
464,26.1712,80.3506
465,26.1787,80.7509
466,26.1861,81.1578
467,26.1932,81.5446
468,26.2002,81.9351
469,26.207,82.3258
470,26.2135,82.7184
471,26.2198,83.1163
472,26.2259,83.5207
473,26.2318,83.9134
474,26.2374,84.2937
475,26.2428,84.6849
476,26.2479,85.0814
477,26.2528,85.4955
478,26.2574,85.9085
479,26.2618,86.3225
480,26.2659,86.7276
481,26.2697,87.1046
482,26.2732,87.5062
483,26.2765,87.9198
484,26.2795,88.3119
485,26.2821,88.7115
486,26.2862,88.8846
487,26.5126,88.7134
488,26.9211,88.7116
489,27.3316,88.7101
490,27.7189,88.7089
491,28.114,88.708
492,28.4949,88.7074
493,28.8859,88.7072
494,29.2828,88.7072
495,29.6718,88.7075
496,30.068,88.7082
497,30.4545,88.7091
498,30.8576,88.7104
499,31.2414,88.712
500,31.6365,88.7138
501,32.0433,88.716
502,32.4496,88.7185
503,32.8512,88.7213
504,33.2457,88.7244
505,33.6464,88.7278
506,34.0314,88.7315
507,34.4252,88.7355
508,34.8382,88.7397
509,35.2536,88.7443
510,35.6454,88.7491
511,36.0672,88.7542
512,36.4409,88.7596
513,36.8334,88.7653
514,37.227,88.7712
515,37.6068,88.7774
516,38.0205,88.7838
517,38.4034,88.7905
518,38.8031,88.7974
519,39.1955,88.8046
520,39.5985,88.812
521,39.9715,88.8196
522,40.3717,88.8274
523,40.765,88.8355
524,41.1739,88.8437
525,41.5794,88.8522
526,41.9653,88.8608
527,42.3399,88.8696
528,42.7291,88.8786
529,43.1185,88.8878
530,43.5072,88.8971
531,43.9057,88.9066
532,44.3139,88.9162
533,44.7059,88.9259
534,45.0255,88.8831
535,44.9458,88.502
536,44.9558,88.0909
537,44.966,87.6737
538,44.9763,87.2929
539,44.9866,86.8789
540,44.997,86.4683
541,45.0075,86.0736
542,45.018,85.6859
543,45.0285,85.2778
544,45.0391,84.8873
545,45.0497,84.4922
546,45.0603,84.106
547,45.0709,83.7014
548,45.0815,83.3184
549,45.0921,82.9096
550,45.1026,82.5218
551,45.1131,82.1303
552,45.1236,81.7554
553,45.134,81.3472
554,45.1443,80.956
555,45.1546,80.5621
556,45.1647,80.1448
557,45.1748,79.7441
