i,x,y
0,7.0,90.0
1,6.2265,89.558
2,6.2612,89.145
3,6.2969,88.7028
4,6.3335,88.298
5,6.3709,87.9077
6,6.4089,87.4791
7,6.4476,87.1021
8,6.4867,86.6314
9,6.5263,86.2038
10,6.5661,85.799
11,6.6061,85.4227
12,6.6462,85.0338
13,6.6862,84.6595
14,6.7262,84.2901
15,6.7659,83.903
16,6.8054,83.5572
17,6.8444,83.123
18,6.883,82.7436
19,6.9209,82.3421
20,6.9582,81.9885
21,6.9947,81.5737
22,7.0304,81.1861
23,7.0651,80.7902
24,7.0988,80.3853
25,7.1315,80.0165
26,7.163,79.6259
27,7.1932,79.2307
28,7.2222,78.8794
29,7.2498,78.4801
30,7.2759,78.0458
31,7.3006,77.659
32,7.3238,77.2561
33,7.3454,76.8497
34,7.3654,76.4675
35,7.3838,76.0592
36,7.4005,75.6291
37,7.4154,75.2156
38,7.4286,74.7761
39,7.4401,74.4141
40,7.4497,74.0393
41,7.4576,73.6626
42,7.4636,73.2781
43,7.4679,72.8259
44,7.4704,72.3845
45,7.471,71.9723
46,7.4699,71.5404
47,7.467,71.1074
48,7.4624,70.647
49,7.456,70.2872
50,7.4479,69.883
51,7.4381,69.5299
52,7.4268,69.1447
53,7.4138,68.7636
54,7.3992,68.3989
55,7.3832,68.0085
56,7.3657,67.6632
57,7.3468,67.2185
58,7.3265,66.8207
59,7.305,66.4481
60,7.2823,66.0243
61,7.2584,65.5899
62,7.2334,65.2264
63,7.2074,64.8104
64,7.1805,64.4327
65,7.1527,64.0422
66,7.1242,63.6848
67,7.0949,63.2809
68,7.065,62.8296
69,7.0346,62.3952
70,7.0038,62.0461
71,6.9725,61.5821
72,6.941,61.227
73,6.9094,60.8277
74,6.8776,60.4332
75,6.8458,60.1085
76,6.814,59.6672
77,6.7825,59.2514
78,6.7512,58.8348
79,6.7202,58.4645
80,6.6896,58.0402
81,6.6596,57.648
82,6.6301,57.246
83,6.6013,56.8491
84,6.5733,56.4371
85,6.546,56.0254
86,6.5197,55.6499
87,6.4944,55.2209
88,6.4701,54.8419
89,6.447,54.5018
90,6.425,54.1143
91,6.4043,53.7456
92,6.3849,53.2916
93,6.3668,52.8791
94,6.3502,52.4982
95,6.3351,52.0374
96,6.3215,51.649
97,6.3094,51.2765
98,6.299,50.9247
99,6.2902,50.5388
100,6.2831,50.0662
101,6.2777,49.6402
102,6.274,49.2937
103,6.2721,48.8501
104,6.2719,48.4359
105,6.2735,48.0535
106,6.2769,47.7015
107,6.2821,47.351
108,6.2891,46.9969
109,6.2979,46.5938
110,6.3084,46.1891
111,6.3207,45.865
112,6.3347,45.4329
113,6.3505,44.971
114,6.3679,44.6004
115,6.387,44.1892
116,6.4078,43.7851
117,6.4301,43.3558
118,6.454,42.9223
119,6.4794,42.5087
120,6.5062,42.1437
121,6.5344,41.7585
122,6.564,41.3986
123,6.5949,40.9258
124,6.627,40.5273
125,6.6603,40.1135
126,6.6946,39.6809
127,6.73,39.2527
128,6.7663,38.8419
129,6.8035,38.3778
130,6.8414,37.9248
131,6.8801,37.5131
132,6.9194,37.1164
133,6.9593,36.6946
134,6.9996,36.3051
135,7.0403,35.9372
136,7.0812,35.5525
137,7.1224,35.2148
138,7.1637,34.7844
139,7.2049,34.3893
140,7.2462,34.0189
141,7.2872,33.5795
142,7.328,33.0998
143,7.3685,32.7126
144,7.4085,32.2839
145,7.448,31.903
146,7.4869,31.5404
147,7.5251,31.1818
148,7.5625,30.8441
149,7.5991,30.3972
150,7.6347,30.0268
151,7.6693,29.5901
152,7.7028,29.1609
153,7.7351,28.68
154,7.7662,28.2432
155,7.7959,27.8696
156,7.8243,27.5056
157,7.8512,27.1619
158,7.8765,26.7228
159,7.9003,26.375
160,7.9225,25.9465
161,7.943,25.5545
162,7.9618,25.1966
163,7.9788,24.8145
164,7.9939,24.4199
