i,x,y
0,7.0,90.0
1,7.3102,89.6034
2,7.3075,89.1975
3,7.3041,88.7926
4,7.3002,88.388
5,7.2958,87.9787
6,7.2909,87.5898
7,7.2855,87.1807
8,7.2796,86.7695
9,7.2731,86.3659
10,7.2662,85.9644
11,7.2589,85.5652
12,7.251,85.1613
13,7.2428,84.7496
14,7.2341,84.3403
15,7.225,83.9531
16,7.2155,83.553
17,7.2057,83.1448
18,7.1955,82.7486
19,7.1849,82.3401
20,7.1741,81.9503
21,7.1629,81.5524
22,7.1515,81.1513
23,7.1399,80.7578
24,7.128,80.3584
25,7.1159,79.9696
26,7.1036,79.5618
27,7.0912,79.1617
28,7.0786,78.7754
29,7.0659,78.3714
30,7.0531,77.9697
31,7.0403,77.5673
32,7.0274,77.166
33,7.0144,76.7517
34,7.0015,76.3445
35,6.9887,75.9367
36,6.9758,75.5445
37,6.9631,75.1412
38,6.9504,74.7418
39,6.9379,74.3376
40,6.9255,73.9533
41,6.9133,73.5613
42,6.9012,73.1539
43,6.8894,72.7609
44,6.8778,72.3601
45,6.8665,71.9393
46,6.8554,71.5562
47,6.8446,71.1531
48,6.8341,70.7395
49,6.824,70.3466
50,6.8142,69.9439
51,6.8048,69.5492
52,6.7957,69.1423
53,6.7871,68.7608
54,6.7788,68.3527
55,6.771,67.9515
56,6.7636,67.5512
57,6.7566,67.1628
58,6.7501,66.7512
59,6.7441,66.3381
60,6.7385,65.9326
61,6.7335,65.5415
62,6.7289,65.138
63,6.7248,64.7263
64,6.7212,64.3492
65,6.7181,63.964
66,6.7156,63.56
67,6.7135,63.1689
68,6.712,62.7769
69,6.7109,62.3731
70,6.7104,61.9695
71,6.7104,61.5667
72,6.7109,61.159
73,6.7119,60.7654
74,6.7134,60.3665
75,6.7154,59.9646
76,6.7179,59.5772
77,6.7208,59.1728
78,6.7242,58.7743
79,6.7281,58.3876
80,6.7324,57.993
81,6.7372,57.59
82,6.7424,57.1906
83,6.748,56.8001
84,6.7541,56.38
85,6.7605,55.9708
86,6.7673,55.5657
87,6.7744,55.1496
88,6.7819,54.7413
89,6.7897,54.342
90,6.7978,53.9415
91,6.8062,53.5463
92,6.8149,53.1457
93,6.8239,52.7452
94,6.8331,52.3398
95,6.8425,51.9403
96,6.8521,51.5367
97,6.8619,51.1376
98,6.8719,50.7515
99,6.882,50.3516
100,6.8923,49.9475
101,6.9026,49.5343
102,6.913,49.1446
103,6.9235,48.7441
104,6.9341,48.3519
105,6.9447,47.9567
106,6.9552,47.566
107,6.9658,47.1713
108,6.9763,46.7739
109,6.9868,46.367
110,6.9972,45.95
111,7.0075,45.5451
112,7.0178,45.1394
113,7.0279,44.7309
114,7.0378,44.3331
115,7.0476,43.9282
116,7.0573,43.537
117,7.0667,43.133
118,7.0759,42.7219
119,7.085,42.3365
120,7.0938,41.9385
