i,x,y
0,7.0,90.0
1,6.8399,89.6065
2,6.8349,89.2186
3,6.8299,88.7952
4,6.8247,88.402
5,6.8194,88.0035
6,6.8141,87.5842
7,6.8087,87.1917
8,6.8032,86.7823
9,6.7977,86.3894
10,6.7921,85.9728
11,6.7865,85.5791
12,6.7808,85.1721
13,6.7751,84.7437
14,6.7695,84.3566
15,6.7638,83.9741
16,6.7581,83.5615
17,6.7524,83.1872
18,6.7468,82.7915
19,6.7411,82.3881
20,6.7356,82.0019
21,6.73,81.5922
22,6.7246,81.2192
23,6.7192,80.8428
24,6.7139,80.4665
25,6.7086,80.0632
26,6.7035,79.6592
27,6.6984,79.2873
28,6.6935,78.8775
29,6.6887,78.4862
30,6.684,78.084
31,6.6794,77.6798
32,6.675,77.3132
33,6.6707,76.9123
34,6.6666,76.4901
35,6.6627,76.0623
36,6.6589,75.6854
37,6.6554,75.2827
38,6.652,74.8799
39,6.6487,74.4707
40,6.6457,74.0864
41,6.6429,73.6972
42,6.6404,73.3126
43,6.638,72.9174
44,6.6359,72.5165
45,6.6339,72.1121
46,6.6323,71.7336
47,6.6308,71.3128
48,6.6296,70.9177
49,6.6287,70.4983
50,6.628,70.1006
51,6.6275,69.6909
52,6.6273,69.3004
53,6.6274,68.9025
54,6.6277,68.4892
55,6.6284,68.0737
56,6.6292,67.6492
57,6.6304,67.2345
58,6.6318,66.7869
59,6.6335,66.3868
60,6.6355,66.0104
61,6.6377,65.5988
62,6.6402,65.172
63,6.643,64.7614
64,6.6461,64.3627
65,6.6494,63.9784
66,6.653,63.5928
67,6.6569,63.1873
68,6.661,62.7853
69,6.6655,62.3846
70,6.6702,62.0006
71,6.6751,61.6094
72,6.6803,61.1962
73,6.6858,60.7678
74,6.6915,60.3508
75,6.6975,59.97
76,6.7037,59.5637
77,6.7101,59.1533
78,6.7168,58.7245
79,6.7238,58.3171
80,6.7309,57.9241
81,6.7383,57.5281
82,6.7459,57.1361
83,6.7537,56.7566
84,6.7617,56.3767
85,6.7699,55.9698
86,6.7782,55.5825
87,6.7868,55.1772
88,6.7956,54.779
89,6.8045,54.3699
90,6.8136,53.9689
91,6.8228,53.5538
92,6.8322,53.1759
93,6.8417,52.7397
94,6.8513,52.3261
95,6.8611,51.9302
96,6.871,51.534
97,6.881,51.1274
98,6.891,50.7374
99,6.9012,50.34
100,6.9114,49.926
101,6.9218,49.4943
102,6.9321,49.0893
103,6.9425,48.7014
104,6.953,48.3062
105,6.9635,47.9114
106,6.974,47.5057
107,6.9846,47.1056
108,6.9951,46.7068
109,7.0056,46.3271
110,7.0161,45.9237
111,7.0266,45.5266
112,7.0371,45.1384
113,7.0475,44.7611
114,7.0579,44.3856
115,7.0682,43.9956
116,7.0784,43.5812
117,7.0886,43.2033
118,7.0986,42.8085
119,7.1086,42.4142
120,7.1185,42.0086
121,7.1282,41.6379
122,7.1378,41.239
123,7.1473,40.7998
124,7.1567,40.3819
125,7.1659,39.979
126,7.1749,39.5635
127,7.1838,39.1673
128,7.1925,38.7614
129,7.2011,38.3531
130,7.2094,37.9577
131,7.2176,37.5487
132,7.2255,37.1391
133,7.2333,36.7546
134,7.2408,36.3628
135,7.2481,35.9294
136,7.2552,35.5481
137,7.2621,35.1397
138,7.2687,34.7275
139,7.2751,34.3116
140,7.2812,33.8969
141,7.2871,33.4949
142,7.2927,33.1437
143,7.2981,32.7091
144,7.3032,32.3176
145,7.308,31.9289
146,7.3125,31.5314
147,7.3168,31.1212
148,7.3208,30.7124
149,7.3245,30.3087
